age,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,workclass,income
39,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,State-gov,<=50K
50,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,Self-emp-not-inc,<=50K
38,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,Private,<=50K
53,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,Private,<=50K
28,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,Private,<=50K
37,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,Private,<=50K
49,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,0,0,16,Private,<=50K
52,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,Self-emp-not-inc,>50K
31,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084,0,50,Private,>50K
42,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,Private,>50K
37,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,Private,>50K
30,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,State-gov,>50K
23,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,30,Private,<=50K
32,12,Never-married,Sales,Not-in-family,Black,Male,0,0,50,Private,<=50K
34,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Private,<=50K
25,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,35,Self-emp-not-inc,<=50K
32,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Private,<=50K
38,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,Private,<=50K
43,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,Self-emp-not-inc,>50K
40,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,Private,>50K
54,9,Separated,Other-service,Unmarried,Black,Female,0,0,20,Private,<=50K
35,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,Federal-gov,<=50K
43,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2042,40,Private,<=50K
59,9,Divorced,Tech-support,Unmarried,White,Female,0,0,40,Private,<=50K
56,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Local-gov,>50K
19,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,Private,<=50K
39,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,80,Private,<=50K
49,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Private,<=50K
23,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,52,Local-gov,<=50K
20,10,Never-married,Sales,Own-child,Black,Male,0,0,44,Private,<=50K
45,13,Divorced,Exec-managerial,Own-child,White,Male,0,1408,40,Private,<=50K
30,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,40,Federal-gov,<=50K
22,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,15,State-gov,<=50K
48,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,Private,<=50K
21,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,Private,<=50K
19,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,25,Private,<=50K
48,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Self-emp-not-inc,<=50K
31,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,Private,<=50K
53,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Self-emp-not-inc,<=50K
24,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,Private,<=50K
49,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,Private,<=50K
25,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,Private,<=50K
57,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,Federal-gov,>50K
53,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,Private,<=50K
44,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,Private,<=50K
41,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,State-gov,<=50K
29,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,Private,<=50K
25,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,40,Private,<=50K
47,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1902,60,Private,>50K
50,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,Federal-gov,>50K
47,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,Self-emp-inc,<=50K
43,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Private,>50K
46,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Private,<=50K
35,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Private,<=50K
41,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,Private,<=50K
30,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,40,Private,<=50K
30,13,Married-civ-spouse,Sales,Husband,White,Male,2407,0,40,Private,<=50K
48,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,Private,<=50K
42,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,Private,>50K
29,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,Private,<=50K
36,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Private,<=50K
28,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,Private,<=50K
53,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,Private,>50K
49,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,Self-emp-inc,>50K
19,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,32,Private,<=50K
31,13,Separated,Sales,Own-child,Black,Female,0,0,40,Private,<=50K
