date,help_requests
2024-01-01,97
2024-01-02,96
2024-01-03,92
2024-01-04,92
2024-01-05,86
2024-01-06,67
2024-01-07,66
2024-01-08,110
2024-01-09,110
2024-01-10,104
2024-01-11,99
2024-01-12,89
2024-01-13,68
2024-01-14,64
2024-01-15,110
2024-01-16,99
2024-01-17,94
2024-01-18,97
2024-01-19,92
2024-01-20,68
2024-01-21,60
2024-01-22,112
2024-01-23,111
2024-01-24,97
2024-01-25,98
2024-01-26,92
2024-01-27,70
2024-01-28,63
2024-01-29,103
2024-01-30,101
2024-01-31,101
2024-02-01,96
2024-02-02,82
2024-02-03,66
2024-02-04,60
2024-02-05,104
2024-02-06,96
2024-02-07,90
2024-02-08,80
2024-02-09,78
2024-02-10,58
2024-02-11,56
2024-02-12,113
2024-02-13,96
2024-02-14,94
2024-02-15,100
2024-02-16,91
2024-02-17,67
2024-02-18,63
2024-02-19,108
2024-02-20,102
2024-02-21,93
2024-02-22,86
2024-02-23,82
2024-02-24,60
2024-02-25,60
2024-02-26,100
2024-02-27,96
2024-02-28,91
2024-02-29,87
2024-03-01,79
2024-03-02,68
2024-03-03,61
2024-03-04,102
2024-03-05,96
2024-03-06,98
2024-03-07,96
2024-03-08,91
2024-03-09,63
2024-03-10,68
2024-03-11,117
2024-03-12,106
2024-03-13,101
2024-03-14,99
2024-03-15,105
2024-03-16,82
2024-03-17,78
2024-03-18,120
2024-03-19,106
2024-03-20,102
2024-03-21,102
2024-03-22,103
2024-03-23,73
2024-03-24,73
2024-03-25,122
2024-03-26,109
2024-03-27,102
2024-03-28,98
2024-03-29,100
2024-03-30,82
2024-03-31,80
2024-04-01,119
2024-04-02,109
2024-04-03,104
2024-04-04,96
2024-04-05,87
2024-04-06,71
2024-04-07,71
2024-04-08,113
2024-04-09,102
2024-04-10,98
2024-04-11,96
2024-04-12,89
2024-04-13,81
2024-04-14,70
2024-04-15,110
2024-04-16,105
2024-04-17,98
2024-04-18,100
2024-04-19,86
2024-04-20,68
2024-04-21,60
2024-04-22,107
2024-04-23,94
2024-04-24,93
2024-04-25,87
2024-04-26,88
2024-04-27,66
2024-04-28,62
2024-04-29,110
2024-04-30,105
2024-05-01,99
2024-05-02,93
2024-05-03,93
2024-05-04,64
2024-05-05,68
2024-05-06,115
2024-05-07,110
2024-05-08,100
2024-05-09,100
2024-05-10,97
2024-05-11,73
2024-05-12,68
2024-05-13,117
2024-05-14,107
2024-05-15,110
2024-05-16,102
2024-05-17,96
2024-05-18,84
2024-05-19,83
2024-05-20,128
2024-05-21,119
2024-05-22,112
2024-05-23,103
2024-05-24,94
2024-05-25,81
2024-05-26,77
2024-05-27,122
2024-05-28,110
2024-05-29,106
2024-05-30,110
2024-05-31,107
2024-06-01,85
2024-06-02,70
2024-06-03,111
2024-06-04,104
2024-06-05,105
2024-06-06,104
2024-06-07,99
2024-06-08,87
2024-06-09,80
2024-06-10,120
2024-06-11,112
2024-06-12,99
2024-06-13,98
2024-06-14,90
2024-06-15,70
2024-06-16,65
2024-06-17,109
2024-06-18,96
2024-06-19,102
2024-06-20,92
2024-06-21,86
2024-06-22,77
2024-06-23,75
2024-06-24,113
2024-06-25,109
2024-06-26,101
2024-06-27,94
2024-06-28,94
2024-06-29,78
2024-06-30,65
2024-07-01,109
2024-07-02,107
2024-07-03,99
2024-07-04,100
2024-07-05,93
2024-07-06,75
2024-07-07,75
2024-07-08,121
2024-07-09,118
2024-07-10,100
2024-07-11,104
2024-07-12,103
2024-07-13,92
2024-07-14,83
2024-07-15,125
2024-07-16,120
2024-07-17,111
2024-07-18,110
2024-07-19,108
2024-07-20,85
2024-07-21,75
2024-07-22,117
2024-07-23,109
2024-07-24,103
2024-07-25,99
2024-07-26,101
2024-07-27,82
2024-07-28,74
2024-07-29,123
2024-07-30,122
2024-07-31,110
2024-08-01,110
2024-08-02,110
2024-08-03,85
2024-08-04,77
2024-08-05,124
2024-08-06,118
2024-08-07,110
2024-08-08,103
2024-08-09,102
2024-08-10,90
2024-08-11,83
2024-08-12,121
2024-08-13,114
2024-08-14,111
2024-08-15,113
2024-08-16,97
2024-08-17,87
2024-08-18,77
2024-08-19,122
2024-08-20,115
2024-08-21,104
2024-08-22,101
2024-08-23,99
2024-08-24,76
2024-08-25,75
2024-08-26,131
2024-08-27,117
2024-08-28,109
2024-08-29,94
2024-08-30,95
2024-08-31,76
2024-09-01,76
2024-09-02,126
2024-09-03,112
2024-09-04,108
2024-09-05,100
2024-09-06,93
2024-09-07,76
2024-09-08,76
2024-09-09,121
2024-09-10,113
2024-09-11,104
2024-09-12,112
2024-09-13,105
2024-09-14,96
2024-09-15,83
2024-09-16,122
2024-09-17,114
2024-09-18,105
2024-09-19,101
2024-09-20,100
2024-09-21,82
2024-09-22,84
2024-09-23,133
2024-09-24,123
2024-09-25,109
2024-09-26,110
2024-09-27,102
2024-09-28,80
2024-09-29,79
2024-09-30,127
2024-10-01,128
2024-10-02,113
2024-10-03,110
2024-10-04,111
2024-10-05,90
2024-10-06,83
2024-10-07,118
2024-10-08,106
2024-10-09,101
2024-10-10,105
2024-10-11,101
2024-10-12,79
2024-10-13,83
2024-10-14,124
2024-10-15,122
2024-10-16,117
2024-10-17,110
2024-10-18,110
2024-10-19,88
2024-10-20,77
2024-10-21,123
2024-10-22,114
2024-10-23,105
2024-10-24,102
2024-10-25,102
2024-10-26,84
2024-10-27,73
2024-10-28,123
2024-10-29,112
2024-10-30,113
2024-10-31,104
2024-11-01,98
2024-11-02,78
2024-11-03,81
2024-11-04,122
2024-11-05,114
2024-11-06,115
2024-11-07,115
2024-11-08,110
2024-11-09,84
2024-11-10,82
2024-11-11,134
