reading_id,soil_condition,sensor_result
GH-0001,not dry,alert
GH-0002,not dry,no alert
GH-0003,not dry,no alert
GH-0004,not dry,no alert
GH-0005,not dry,no alert
GH-0006,not dry,no alert
GH-0007,not dry,no alert
GH-0008,not dry,no alert
GH-0009,not dry,no alert
GH-0010,not dry,no alert
GH-0011,not dry,no alert
GH-0012,not dry,no alert
GH-0013,not dry,no alert
GH-0014,dry,no alert
GH-0015,not dry,no alert
GH-0016,not dry,no alert
GH-0017,not dry,no alert
GH-0018,not dry,no alert
GH-0019,not dry,no alert
GH-0020,dry,alert
GH-0021,not dry,no alert
GH-0022,dry,alert
GH-0023,not dry,no alert
GH-0024,not dry,no alert
GH-0025,not dry,no alert
GH-0026,not dry,no alert
GH-0027,not dry,no alert
GH-0028,not dry,no alert
GH-0029,not dry,no alert
GH-0030,dry,alert
GH-0031,not dry,no alert
GH-0032,not dry,no alert
GH-0033,dry,alert
GH-0034,dry,no alert
GH-0035,not dry,no alert
GH-0036,not dry,no alert
GH-0037,not dry,no alert
GH-0038,not dry,no alert
GH-0039,not dry,no alert
GH-0040,not dry,no alert
GH-0041,not dry,no alert
GH-0042,not dry,no alert
GH-0043,not dry,no alert
GH-0044,not dry,no alert
GH-0045,not dry,no alert
GH-0046,not dry,no alert
GH-0047,dry,alert
GH-0048,not dry,alert
GH-0049,not dry,no alert
GH-0050,not dry,no alert
GH-0051,not dry,no alert
GH-0052,not dry,no alert
GH-0053,not dry,no alert
GH-0054,not dry,no alert
GH-0055,not dry,no alert
GH-0056,not dry,no alert
GH-0057,not dry,no alert
GH-0058,not dry,no alert
GH-0059,not dry,no alert
GH-0060,dry,no alert
GH-0061,not dry,no alert
GH-0062,not dry,no alert
GH-0063,not dry,no alert
GH-0064,not dry,no alert
GH-0065,not dry,no alert
GH-0066,not dry,no alert
GH-0067,not dry,alert
GH-0068,not dry,no alert
GH-0069,not dry,no alert
GH-0070,not dry,no alert
GH-0071,not dry,no alert
GH-0072,not dry,no alert
GH-0073,not dry,no alert
GH-0074,not dry,no alert
GH-0075,not dry,no alert
GH-0076,not dry,no alert
GH-0077,not dry,no alert
GH-0078,not dry,no alert
GH-0079,not dry,no alert
GH-0080,dry,alert
GH-0081,not dry,no alert
GH-0082,not dry,no alert
GH-0083,not dry,alert
GH-0084,dry,alert
GH-0085,dry,no alert
GH-0086,not dry,no alert
GH-0087,dry,alert
GH-0088,dry,alert
GH-0089,dry,no alert
GH-0090,not dry,no alert
GH-0091,not dry,no alert
GH-0092,dry,alert
GH-0093,not dry,no alert
GH-0094,not dry,no alert
GH-0095,not dry,no alert
GH-0096,dry,alert
GH-0097,not dry,no alert
GH-0098,not dry,no alert
GH-0099,not dry,no alert
GH-0100,not dry,no alert
GH-0101,not dry,no alert
GH-0102,dry,no alert
GH-0103,not dry,alert
GH-0104,not dry,no alert
GH-0105,not dry,no alert
GH-0106,not dry,no alert
GH-0107,not dry,no alert
GH-0108,not dry,no alert
GH-0109,dry,alert
GH-0110,not dry,no alert
GH-0111,not dry,no alert
GH-0112,not dry,no alert
GH-0113,dry,alert
GH-0114,not dry,no alert
GH-0115,not dry,no alert
GH-0116,not dry,no alert
GH-0117,not dry,no alert
GH-0118,not dry,no alert
GH-0119,dry,alert
GH-0120,not dry,no alert
GH-0121,not dry,no alert
GH-0122,dry,no alert
GH-0123,not dry,no alert
GH-0124,not dry,no alert
GH-0125,not dry,no alert
GH-0126,not dry,no alert
GH-0127,not dry,alert
GH-0128,not dry,no alert
GH-0129,dry,alert
GH-0130,not dry,no alert
GH-0131,dry,no alert
GH-0132,not dry,no alert
GH-0133,not dry,no alert
GH-0134,dry,alert
GH-0135,not dry,no alert
GH-0136,dry,alert
GH-0137,not dry,no alert
GH-0138,not dry,no alert
GH-0139,not dry,no alert
GH-0140,not dry,no alert
GH-0141,not dry,no alert
GH-0142,not dry,no alert
GH-0143,not dry,no alert
GH-0144,not dry,alert
GH-0145,not dry,no alert
GH-0146,not dry,no alert
GH-0147,not dry,no alert
GH-0148,not dry,no alert
GH-0149,not dry,no alert
GH-0150,not dry,no alert
GH-0151,not dry,no alert
GH-0152,not dry,no alert
GH-0153,not dry,no alert
GH-0154,not dry,no alert
GH-0155,not dry,no alert
GH-0156,not dry,no alert
GH-0157,not dry,no alert
GH-0158,not dry,no alert
GH-0159,not dry,no alert
GH-0160,not dry,no alert
GH-0161,not dry,no alert
GH-0162,dry,no alert
GH-0163,not dry,no alert
GH-0164,dry,alert
GH-0165,not dry,no alert
GH-0166,not dry,no alert
GH-0167,dry,alert
GH-0168,not dry,no alert
GH-0169,not dry,no alert
GH-0170,not dry,no alert
GH-0171,not dry,no alert
GH-0172,not dry,alert
GH-0173,not dry,no alert
GH-0174,not dry,no alert
GH-0175,not dry,no alert
GH-0176,not dry,no alert
GH-0177,not dry,no alert
GH-0178,not dry,no alert
GH-0179,not dry,no alert
GH-0180,not dry,no alert
GH-0181,not dry,no alert
GH-0182,not dry,no alert
GH-0183,not dry,no alert
GH-0184,not dry,no alert
GH-0185,not dry,no alert
GH-0186,dry,alert
GH-0187,not dry,no alert
GH-0188,not dry,no alert
GH-0189,not dry,no alert
GH-0190,dry,no alert
GH-0191,not dry,no alert
GH-0192,not dry,no alert
GH-0193,not dry,no alert
GH-0194,not dry,no alert
GH-0195,dry,no alert
GH-0196,not dry,no alert
GH-0197,not dry,no alert
GH-0198,not dry,no alert
GH-0199,not dry,no alert
GH-0200,not dry,no alert
GH-0201,not dry,no alert
GH-0202,not dry,no alert
GH-0203,not dry,no alert
GH-0204,not dry,no alert
GH-0205,dry,alert
GH-0206,not dry,no alert
GH-0207,not dry,no alert
GH-0208,not dry,no alert
GH-0209,not dry,no alert
GH-0210,not dry,no alert
GH-0211,not dry,no alert
GH-0212,not dry,no alert
GH-0213,not dry,no alert
GH-0214,not dry,no alert
GH-0215,not dry,alert
GH-0216,dry,alert
GH-0217,not dry,no alert
GH-0218,not dry,no alert
GH-0219,not dry,no alert
GH-0220,not dry,no alert
GH-0221,not dry,no alert
GH-0222,not dry,no alert
GH-0223,not dry,no alert
GH-0224,not dry,no alert
GH-0225,not dry,no alert
GH-0226,not dry,no alert
GH-0227,not dry,alert
GH-0228,not dry,no alert
GH-0229,not dry,no alert
GH-0230,not dry,no alert
GH-0231,not dry,no alert
GH-0232,not dry,alert
GH-0233,not dry,no alert
GH-0234,not dry,no alert
GH-0235,not dry,no alert
GH-0236,not dry,alert
GH-0237,dry,no alert
GH-0238,not dry,no alert
GH-0239,not dry,no alert
GH-0240,not dry,no alert
GH-0241,not dry,alert
GH-0242,not dry,no alert
GH-0243,not dry,no alert
GH-0244,not dry,no alert
GH-0245,dry,alert
GH-0246,not dry,alert
GH-0247,not dry,no alert
GH-0248,not dry,no alert
GH-0249,not dry,no alert
GH-0250,not dry,no alert
GH-0251,dry,alert
GH-0252,dry,alert
GH-0253,not dry,no alert
GH-0254,not dry,no alert
GH-0255,not dry,no alert
GH-0256,not dry,no alert
GH-0257,not dry,no alert
GH-0258,not dry,no alert
GH-0259,not dry,no alert
GH-0260,not dry,no alert
GH-0261,not dry,no alert
GH-0262,dry,no alert
GH-0263,not dry,no alert
GH-0264,not dry,no alert
GH-0265,not dry,no alert
GH-0266,dry,alert
GH-0267,not dry,no alert
GH-0268,dry,alert
GH-0269,not dry,no alert
GH-0270,not dry,alert
GH-0271,not dry,no alert
GH-0272,not dry,no alert
GH-0273,not dry,no alert
GH-0274,not dry,alert
GH-0275,not dry,no alert
GH-0276,not dry,no alert
GH-0277,not dry,no alert
GH-0278,not dry,no alert
GH-0279,not dry,no alert
GH-0280,dry,alert
GH-0281,dry,alert
GH-0282,not dry,no alert
GH-0283,not dry,no alert
GH-0284,not dry,no alert
GH-0285,not dry,no alert
GH-0286,not dry,no alert
GH-0287,not dry,no alert
GH-0288,dry,no alert
GH-0289,not dry,no alert
GH-0290,not dry,no alert
GH-0291,not dry,no alert
GH-0292,not dry,no alert
GH-0293,dry,alert
GH-0294,dry,alert
GH-0295,not dry,no alert
GH-0296,not dry,no alert
GH-0297,not dry,no alert
GH-0298,not dry,no alert
GH-0299,not dry,no alert
GH-0300,dry,no alert
GH-0301,not dry,no alert
GH-0302,not dry,no alert
GH-0303,not dry,no alert
GH-0304,not dry,no alert
GH-0305,not dry,no alert
GH-0306,not dry,no alert
GH-0307,not dry,no alert
GH-0308,not dry,no alert
GH-0309,not dry,no alert
GH-0310,not dry,no alert
GH-0311,not dry,no alert
GH-0312,not dry,no alert
GH-0313,not dry,no alert
GH-0314,dry,alert
GH-0315,not dry,no alert
GH-0316,not dry,no alert
GH-0317,not dry,no alert
GH-0318,not dry,alert
GH-0319,not dry,no alert
GH-0320,not dry,no alert
GH-0321,not dry,no alert
GH-0322,not dry,no alert
GH-0323,not dry,no alert
GH-0324,not dry,no alert
GH-0325,not dry,no alert
GH-0326,not dry,no alert
GH-0327,not dry,no alert
GH-0328,not dry,no alert
GH-0329,not dry,no alert
GH-0330,not dry,no alert
GH-0331,not dry,no alert
GH-0332,not dry,no alert
GH-0333,not dry,no alert
GH-0334,not dry,no alert
GH-0335,dry,alert
GH-0336,not dry,no alert
GH-0337,not dry,no alert
GH-0338,not dry,no alert
