sheet_id,production_line,coating_g_m2,split
CS-0001,line_A,53.169,test
CS-0002,line_B,62.72,train
CS-0003,line_A,52.011,train
CS-0004,line_A,45.176,train
CS-0005,line_A,45.36,train
CS-0006,line_B,59.875,train
CS-0007,line_B,62.718,train
CS-0008,line_A,52.129,train
CS-0009,line_B,73.134,test
CS-0010,line_A,62.535,train
CS-0011,line_A,46.298,train
CS-0012,line_A,47.165,test
CS-0013,line_B,61.234,test
CS-0014,line_A,54.153,test
CS-0015,line_B,59.952,test
CS-0016,line_B,60.716,test
CS-0017,line_A,50.775,test
CS-0018,line_B,52.614,train
CS-0019,line_A,54.592,train
CS-0020,line_A,47.519,test
CS-0021,line_A,47.072,train
CS-0022,line_A,47.316,train
CS-0023,line_B,48.399,test
CS-0024,line_A,51.437,train
CS-0025,line_A,43.617,train
CS-0026,line_B,51.569,train
CS-0027,line_A,44.614,train
CS-0028,line_A,32.359,train
CS-0029,line_B,51.014,train
CS-0030,line_B,55.658,train
CS-0031,line_A,55.639,test
CS-0032,line_A,47.599,train
CS-0033,line_A,41.231,train
CS-0034,line_A,43.044,train
CS-0035,line_A,36.566,test
CS-0036,line_B,64.465,train
CS-0037,line_B,60.44,test
CS-0038,line_A,50.524,test
CS-0039,line_A,60.849,train
CS-0040,line_A,41.133,test
CS-0041,line_A,49.055,test
CS-0042,line_B,56.654,train
CS-0043,line_A,37.788,train
CS-0044,line_B,54.38,train
CS-0045,line_A,47.742,train
CS-0046,line_A,54.576,train
CS-0047,line_A,46.864,train
CS-0048,line_A,43.888,train
CS-0049,line_A,54.398,train
CS-0050,line_A,47.12,test
CS-0051,line_A,38.773,test
CS-0052,line_A,44.431,train
CS-0053,line_B,64.994,train
CS-0054,line_B,63.786,train
CS-0055,line_A,44.809,test
CS-0056,line_B,58.44,train
CS-0057,line_A,44.974,train
CS-0058,line_A,32.561,train
CS-0059,line_B,64.48,train
CS-0060,line_B,48.586,train
CS-0061,line_B,57.06,train
CS-0062,line_A,44.527,train
CS-0063,line_A,51.723,test
CS-0064,line_A,57.8,train
CS-0065,line_A,54.679,train
CS-0066,line_A,36.977,train
CS-0067,line_A,51.721,train
CS-0068,line_B,54.62,train
CS-0069,line_A,48.28,train
CS-0070,line_A,50.172,train
CS-0071,line_A,46.661,test
CS-0072,line_A,46.759,train
CS-0073,line_A,43.845,test
CS-0074,line_B,51.944,test
CS-0075,line_A,43.171,test
CS-0076,line_A,46.099,train
CS-0077,line_A,48.868,test
CS-0078,line_B,58.024,test
CS-0079,line_A,52.922,train
CS-0080,line_A,49.763,train
CS-0081,line_B,57.751,test
CS-0082,line_A,51.557,train
CS-0083,line_A,45.267,train
CS-0084,line_A,48.758,train
CS-0085,line_B,64.497,test
CS-0086,line_A,42.687,train
CS-0087,line_A,41.97,test
CS-0088,line_A,51.574,train
CS-0089,line_A,55.918,train
CS-0090,line_A,50.763,train
CS-0091,line_A,43.01,test
CS-0092,line_A,40.566,train
CS-0093,line_A,50.045,train
CS-0094,line_B,70.734,train
CS-0095,line_A,41.475,train
