repair_id,resolution_hours,split
SENSOR-0001,19.86,fit
SENSOR-0002,23.37,fit
SENSOR-0003,9.42,fit
SENSOR-0004,1.34,fit
SENSOR-0005,21.66,fit
SENSOR-0006,13.64,check
SENSOR-0007,4.32,fit
SENSOR-0008,6.02,check
SENSOR-0009,5.13,fit
SENSOR-0010,8.4,fit
SENSOR-0011,10.99,fit
SENSOR-0012,4.67,check
SENSOR-0013,3.39,check
SENSOR-0014,8.06,fit
SENSOR-0015,3.38,fit
SENSOR-0016,9.39,check
SENSOR-0017,6.12,fit
SENSOR-0018,1.89,fit
SENSOR-0019,13.69,fit
SENSOR-0020,12.99,fit
SENSOR-0021,6.31,check
SENSOR-0022,25.71,fit
SENSOR-0023,3.65,fit
SENSOR-0024,8.83,check
SENSOR-0025,13.25,fit
SENSOR-0026,8.26,fit
SENSOR-0027,4.1,fit
SENSOR-0028,4.28,fit
SENSOR-0029,4.54,fit
SENSOR-0030,1.53,fit
SENSOR-0031,6.71,fit
SENSOR-0032,2.46,check
SENSOR-0033,2.48,fit
SENSOR-0034,3.82,fit
SENSOR-0035,5.62,check
SENSOR-0036,3.13,check
SENSOR-0037,3.79,fit
SENSOR-0038,8.1,fit
SENSOR-0039,5.96,fit
SENSOR-0040,6.93,fit
SENSOR-0041,9.86,fit
SENSOR-0042,7.78,fit
SENSOR-0043,11.03,fit
SENSOR-0044,3.29,fit
SENSOR-0045,16.29,check
SENSOR-0046,12.82,check
SENSOR-0047,11.73,fit
SENSOR-0048,5.28,fit
SENSOR-0049,3.64,fit
SENSOR-0050,7.53,fit
SENSOR-0051,9.31,fit
SENSOR-0052,3.43,fit
SENSOR-0053,10.13,check
SENSOR-0054,6.37,fit
SENSOR-0055,14.12,fit
SENSOR-0056,1.34,fit
SENSOR-0057,11.06,check
SENSOR-0058,13.17,check
SENSOR-0059,4.43,fit
SENSOR-0060,7.93,check
SENSOR-0061,11.49,fit
SENSOR-0062,5.54,fit
SENSOR-0063,8.15,fit
SENSOR-0064,4.69,fit
SENSOR-0065,5.56,fit
SENSOR-0066,3.75,fit
SENSOR-0067,0.71,check
SENSOR-0068,7.28,fit
SENSOR-0069,19.49,fit
SENSOR-0070,1.21,fit
SENSOR-0071,6.66,fit
SENSOR-0072,11.18,check
SENSOR-0073,8.3,check
SENSOR-0074,1.21,fit
SENSOR-0075,10.47,fit
SENSOR-0076,9.95,check
SENSOR-0077,7.45,fit
SENSOR-0078,4.81,fit
SENSOR-0079,5.71,fit
SENSOR-0080,6.74,check
SENSOR-0081,6.75,fit
SENSOR-0082,4.95,fit
SENSOR-0083,9.34,fit
SENSOR-0084,7.36,check
SENSOR-0085,2.42,check
SENSOR-0086,3.53,fit
SENSOR-0087,6.48,fit
SENSOR-0088,1.03,check
SENSOR-0089,7.35,fit
SENSOR-0090,4.03,check
SENSOR-0091,2.29,fit
SENSOR-0092,8.95,fit
SENSOR-0093,2.29,fit
SENSOR-0094,23.94,fit
SENSOR-0095,2.51,fit
SENSOR-0096,6.05,check
SENSOR-0097,6.38,fit
SENSOR-0098,6.98,fit
SENSOR-0099,4.08,fit
SENSOR-0100,16.3,fit
SENSOR-0101,2.38,fit
SENSOR-0102,15.88,fit
SENSOR-0103,11.79,check
SENSOR-0104,15.55,check
SENSOR-0105,7.98,fit
SENSOR-0106,5.12,check
SENSOR-0107,5.72,check
SENSOR-0108,9.47,fit
SENSOR-0109,10.77,check
SENSOR-0110,5.93,fit
SENSOR-0111,5.35,fit
SENSOR-0112,3.84,fit
SENSOR-0113,3.01,fit
SENSOR-0114,5.95,fit
SENSOR-0115,5.74,fit
SENSOR-0116,6.52,fit
SENSOR-0117,9.12,fit
SENSOR-0118,8.43,check
SENSOR-0119,5.51,fit
SENSOR-0120,3.33,fit
SENSOR-0121,7.09,fit
SENSOR-0122,4.92,check
SENSOR-0123,9.16,fit
SENSOR-0124,5.59,fit
SENSOR-0125,16.72,check
SENSOR-0126,7.1,fit
SENSOR-0127,7.33,check
SENSOR-0128,4.11,check
SENSOR-0129,5.72,fit
SENSOR-0130,7.62,fit
SENSOR-0131,9.85,fit
SENSOR-0132,2.84,fit
SENSOR-0133,4.78,fit
SENSOR-0134,4.59,fit
SENSOR-0135,10.66,check
SENSOR-0136,15.52,check
