device_id,device_age_days,temperature_c,vibration_mm_s,errors_24h,days_since_service,alert_next_7_days
DV-0001,1018,40.2,2.2,1,138,0
DV-0002,1245,52.3,9.01,1,262,1
DV-0003,2022,34.9,3.66,1,259,0
DV-0004,2183,42.9,6.03,1,59,1
DV-0005,2048,46.7,0.8,0,299,0
DV-0006,456,54.5,2.49,0,266,0
DV-0007,1267,40.7,0.3,0,321,0
DV-0008,1126,53.6,6.36,1,251,1
DV-0009,538,43.9,3.86,1,153,0
DV-0010,464,50.3,5.86,0,26,0
DV-0011,1467,57.1,5.29,1,27,1
DV-0012,403,39.3,0.78,1,87,0
DV-0013,706,36.7,2.67,4,339,1
DV-0014,827,45.8,2.35,0,160,0
DV-0015,312,27.7,1.25,1,136,0
DV-0016,654,33.3,2.65,0,304,0
DV-0017,715,49.6,3.4,0,334,0
DV-0018,927,38.1,1.93,0,379,0
DV-0019,384,46.7,5.79,1,284,0
DV-0020,2177,38.2,8.08,0,320,0
DV-0021,1320,65.2,3.62,0,392,1
DV-0022,1103,36.4,2.38,0,261,0
DV-0023,456,44.2,1.68,1,376,0
DV-0024,1088,52.1,2.66,1,18,0
DV-0025,701,53.6,4.32,2,107,0
DV-0026,423,62.9,2.32,1,364,1
DV-0027,1521,61.2,2.58,1,375,1
DV-0028,843,76.8,3.61,0,315,1
DV-0029,2108,36.8,1.6,2,354,0
DV-0030,757,36.5,1.46,0,117,0
DV-0031,393,48.5,1.07,4,413,1
DV-0032,729,53.5,2.66,1,341,0
DV-0033,1381,62.4,1.49,0,337,0
DV-0034,1128,58.4,2.34,3,172,0
DV-0035,800,26.7,0.79,1,48,0
DV-0036,199,41.4,1.35,0,381,0
DV-0037,374,41.5,2.58,1,394,0
DV-0038,1722,43.0,3.51,0,21,0
DV-0039,760,58.0,1.5,1,194,0
DV-0040,860,60.1,4.93,1,309,1
DV-0041,1535,50.9,1.75,1,157,0
DV-0042,858,48.2,3.02,1,337,1
DV-0043,2061,55.8,4.48,1,257,0
DV-0044,1922,54.5,3.49,2,43,0
DV-0045,1159,50.0,1.65,1,7,0
DV-0046,338,54.7,1.08,1,262,0
DV-0047,317,45.1,12.0,2,4,0
DV-0048,1150,52.0,1.55,1,252,0
DV-0049,1270,50.2,3.36,0,311,1
DV-0050,618,63.3,2.85,1,376,0
DV-0051,2163,33.8,4.12,1,308,0
DV-0052,84,43.9,3.22,0,212,0
DV-0053,1334,36.1,1.67,1,388,0
DV-0054,2162,57.9,3.93,1,417,1
DV-0055,2185,53.1,2.01,2,392,0
DV-0056,940,37.9,4.04,3,102,0
DV-0057,426,60.5,4.71,1,376,1
DV-0058,1086,36.8,1.18,2,7,0
DV-0059,1327,72.1,12.0,2,48,1
DV-0060,1756,39.0,6.55,0,31,0
DV-0061,2163,56.4,0.42,3,203,1
DV-0062,1869,48.2,1.84,1,136,1
DV-0063,769,50.5,2.74,2,206,0
DV-0064,1079,73.2,1.15,0,106,1
DV-0065,2128,41.3,1.56,0,139,0
DV-0066,1396,57.0,2.25,3,7,0
DV-0067,1450,42.1,0.46,1,5,0
DV-0068,1288,36.1,0.61,1,376,0
DV-0069,191,47.6,2.85,0,352,0
DV-0070,1468,53.3,0.2,3,236,1
DV-0071,940,45.1,7.05,2,157,0
DV-0072,996,36.8,4.66,1,359,0
DV-0073,1742,28.2,0.37,1,45,0
DV-0074,455,28.6,6.83,1,320,1
DV-0075,625,54.8,3.26,0,25,0
DV-0076,2037,40.1,0.29,2,237,0
DV-0077,812,37.0,2.91,1,242,0
DV-0078,1173,52.8,1.3,2,309,0
DV-0079,1462,46.3,0.67,3,387,0
DV-0080,1621,46.4,4.01,0,302,0
DV-0081,152,58.7,1.93,0,133,0
DV-0082,1060,18.0,5.43,2,74,1
DV-0083,1791,36.6,2.27,0,28,0
DV-0084,909,54.1,0.99,1,298,0
DV-0085,1809,56.7,0.39,0,312,0
DV-0086,869,52.1,1.61,1,286,0
DV-0087,1196,28.8,2.25,3,257,0
DV-0088,2167,35.1,2.25,1,190,0
DV-0089,834,41.5,0.98,0,258,0
DV-0090,2072,33.4,2.58,3,261,1
DV-0091,462,35.0,2.63,0,1,0
DV-0092,142,45.8,1.23,4,350,0
DV-0093,1559,32.8,2.56,2,176,0
DV-0094,208,52.5,1.2,1,388,0
DV-0095,318,58.1,0.23,3,255,0
DV-0096,948,57.7,3.1,2,305,0
DV-0097,1932,49.0,6.36,0,218,1
DV-0098,747,55.3,1.26,1,69,0
DV-0099,879,50.7,0.99,1,298,0
DV-0100,174,42.9,5.15,1,4,0
DV-0101,1229,45.3,1.22,1,313,0
DV-0102,233,58.1,2.72,1,214,0
DV-0103,37,38.9,3.6,3,119,1
DV-0104,1498,42.9,1.41,0,54,0
DV-0105,574,76.1,1.5,0,46,0
DV-0106,1715,41.3,3.53,1,89,0
DV-0107,580,41.2,3.02,2,23,0
DV-0108,107,53.6,4.22,2,225,0
DV-0109,1796,35.4,3.2,0,64,0
DV-0110,800,63.8,0.35,2,120,0
DV-0111,1648,50.8,2.64,0,413,1
DV-0112,385,47.6,3.13,1,142,0
DV-0113,885,31.7,0.93,2,311,0
DV-0114,1737,52.8,2.45,1,232,0
DV-0115,293,39.8,2.59,0,111,0
DV-0116,188,45.4,6.55,0,15,0
DV-0117,2001,51.5,4.21,0,80,0
DV-0118,1515,43.4,1.46,1,403,0
DV-0119,2165,44.2,0.79,2,202,0
DV-0120,294,70.4,0.74,1,208,0
DV-0121,2175,43.4,9.17,1,30,1
DV-0122,1268,45.7,4.76,1,358,0
DV-0123,1751,38.3,4.39,2,58,0
DV-0124,63,43.7,0.92,2,237,0
DV-0125,177,57.3,2.1,1,143,0
DV-0126,1206,60.3,2.0,0,184,0
DV-0127,1727,59.2,1.28,2,86,0
DV-0128,2137,39.4,1.02,0,230,0
DV-0129,982,63.2,3.77,1,209,0
DV-0130,959,43.7,6.55,0,228,1
DV-0131,1198,35.1,1.16,2,235,0
DV-0132,1180,45.8,1.99,1,318,1
DV-0133,322,36.6,1.47,0,30,0
DV-0134,664,40.2,3.32,1,283,0
DV-0135,1554,41.9,1.34,1,398,0
DV-0136,1241,46.8,1.78,0,350,1
DV-0137,2131,58.5,1.8,2,208,1
DV-0138,1654,48.0,5.15,2,176,1
DV-0139,1782,56.5,3.7,3,169,0
DV-0140,416,47.3,5.32,1,131,0
DV-0141,858,50.9,3.41,1,278,0
DV-0142,2099,50.1,1.42,3,358,1
DV-0143,546,27.9,2.33,1,77,0
DV-0144,589,50.1,2.05,1,161,0
DV-0145,696,38.3,2.58,1,114,0
DV-0146,1826,45.5,3.33,4,19,1
DV-0147,1066,51.2,1.36,1,138,0
DV-0148,202,57.6,3.34,2,231,0
DV-0149,1230,41.7,3.43,0,416,1
DV-0150,1676,59.6,4.4,1,292,1
DV-0151,833,62.2,2.01,3,99,0
DV-0152,1012,54.7,4.33,0,301,0
DV-0153,2163,18.0,5.08,0,143,0
DV-0154,1242,51.5,2.56,1,123,1
DV-0155,32,60.8,5.35,0,273,0
DV-0156,1648,28.9,1.27,1,201,0
DV-0157,1304,26.8,1.72,1,170,0
DV-0158,1297,46.0,5.7,1,146,0
DV-0159,1048,44.0,1.69,1,208,1
DV-0160,1170,28.2,1.3,2,298,1
DV-0161,349,43.7,4.57,1,62,0
