date,cumulative_energy_kwh
2025-01-01,12546.73
2025-01-02,12597.93
2025-01-03,12652.01
2025-01-04,12706.77
2025-01-05,12762.44
2025-01-06,12813.34
2025-01-07,12865.1
2025-01-08,12914.4
2025-01-09,12961.23
2025-01-10,13008.21
2025-01-11,13052.47
2025-01-12,13097.07
2025-01-13,13148.86
2025-01-14,13201.04
2025-01-15,13251.53
2025-01-16,13300.97
2025-01-17,13348.96
2025-01-18,13395.82
2025-01-19,13447.13
2025-01-20,13498.71
2025-01-21,13548.32
2025-01-22,13599.05
2025-01-23,13650.51
2025-01-24,13701.62
2025-01-25,13747.48
2025-01-26,13798.7
2025-01-27,13846.33
2025-01-28,13897.9
2025-01-29,13947.36
2025-01-30,13995.17
2025-01-31,14038.49
2025-02-01,14090.53
2025-02-02,14149.93
2025-02-03,14203.42
2025-02-04,14252.49
2025-02-05,14308.65
2025-02-06,14356.23
2025-02-07,14406.88
2025-02-08,14461.05
2025-02-09,14520.95
2025-02-10,14579.59
2025-02-11,14635.19
2025-02-12,14685.08
2025-02-13,14734.06
2025-02-14,14783.65
2025-02-15,14833.36
2025-02-16,14884.46
2025-02-17,14936.69
2025-02-18,14988.67
2025-02-19,15044.23
2025-02-20,15099.02
2025-02-21,15148.97
2025-02-22,15194.69
2025-02-23,15239.08
2025-02-24,15287.64
2025-02-25,15335.27
2025-02-26,15388.2
2025-02-27,15443.87
2025-02-28,15497.38
2025-03-01,15547.51
2025-03-02,15595.8
2025-03-03,15643.49
2025-03-04,15696.56
2025-03-05,15750.88
2025-03-06,15805.03
2025-03-07,15853.7
2025-03-08,15902.52
2025-03-09,15953.63
2025-03-10,16008.02
2025-03-11,16060.48
2025-03-12,16109.27
2025-03-13,16160.04
2025-03-14,16209.21
2025-03-15,16264.05
2025-03-16,16317.92
2025-03-17,16375.99
2025-03-18,16427.02
2025-03-19,16477.28
2025-03-20,16527.39
2025-03-21,16585.96
2025-03-22,16643.66
2025-03-23,16699.96
2025-03-24,16753.46
2025-03-25,16804.68
2025-03-26,16857.07
2025-03-27,16914.22
2025-03-28,16966.98
2025-03-29,17020.91
2025-03-30,17073.97
2025-03-31,17118.05
2025-04-01,17166.4
2025-04-02,17219.52
2025-04-03,17273.33
2025-04-04,17325.66
2025-04-05,17375.74
2025-04-06,17425.19
2025-04-07,17478.6
2025-04-08,17533.73
2025-04-09,17588.77
2025-04-10,17638.65
2025-04-11,17684.44
2025-04-12,17735.9
2025-04-13,17791.69
2025-04-14,17847.55
2025-04-15,17895.15
2025-04-16,17943.38
2025-04-17,17995.69
2025-04-18,18049.12
2025-04-19,18104.89
2025-04-20,18154.74
2025-04-21,18206.1
2025-04-22,18258.08
2025-04-23,18313.65
2025-04-24,18366.59
2025-04-25,18413.81
2025-04-26,18454.03
2025-04-27,18498.47
2025-04-28,18549.97
2025-04-29,18604.13
2025-04-30,18658.48
2025-05-01,18708.35
2025-05-02,18758.54
2025-05-03,18811.17
2025-05-04,18864.64
2025-05-05,18917.31
2025-05-06,18973.11
2025-05-07,19023.87
2025-05-08,19078.96
2025-05-09,19130.64
2025-05-10,19184.87
2025-05-11,19239.52
2025-05-12,19288.48
2025-05-13,19337.74
2025-05-14,19389.73
