Title,Artist,Nationality,Gender,Date,Medium,Department,DateAcquired
9 Bilder (9 Pictures),Hans-Peter Feldmann,(German),(male),1971,"Staple-bound book of half-tone photographs, 12 pages",Drawings & Prints,2022-05-24
Patriotic propaganda postcard with verse by Vladimir Mayakovsky,Kazimir Malevich,(Russian),(male),1914,Lithograph,Drawings & Prints,2001-01-24
"County Clare, Ireland",Dorothea Lange,(American),(female),1954,Gelatin silver print,Photography,1995-06-15
Untitled,,,,"June 9, 1962",Gelatin silver print,Drawings & Prints,2008-10-08
Litho Drawing II,George Sugarman,(American),(male),1965,Lithograph,Drawings & Prints,1974-01-10
"Solomon R. Guggenheim Museum, New York, NY",Frank Lloyd Wright,(American),(male),1943-1959,,Architecture & Design,
"Danville, Virginia",Emmet Gowin,(American),(male),1973,Gelatin silver print,Photography,1974-06-04
Portrait of Emmett Williams from Fluxus 1,George Maciunas,(American),(male),"c. 1963, assembled 1964–65",Offset on transparentized paper,Drawings & Prints,
"Untitled (Deuropening Reguliersgracht 90, Amsterdam) (Doorway)",stanley brouwn,(Dutch),(male),1985,Gelatin silver print and pencil on paper,Drawings & Prints,2007-10-09
The Soup Song,Unidentified photographer,(),(),c. 1927,Gelatin silver print,Photography,2020-10-07
"Urban Proposal with Multi Thin-Shell Capsules, project (Exterior perspective and detail sketches)",Daniel Grataloup,(Swiss),(male),1970,Pencil on paper,Architecture & Design,2012-10-15
Untitled,U.S. Army Signal Corps,(American),(),1944-45,Gelatin silver print,Photography,1990-12-13
Spirit Shoes from The Valise,Matías Duville,(Argentine),(male),"2016, published 2017","Offset lithograph from a multiple of archival carrying case, containing 14 printed objects, two multiples, two books, and one 12-inch vinyl record",Drawings & Prints,2017-10-18
Unidentfied Project (Plan. Sketch.),Ludwig Mies van der Rohe,(American),(male),n.d.,Pencil on paper,Architecture & Design,1968-04-11
Untitled (9) from Untitled,Carroll Dunham,(American),(male),2004-06,One from a series of fourteen lithographs,Drawings & Prints,2006-06-01
Korabli. Vtoraia kniga stikhov,Unknown artist,(),(),1920,,Drawings & Prints,2001-01-24
Helen and Andrew,Dorothea Lange,(American),(female),1956,Gelatin silver print,Photography,1995-06-15
Repairmen. (two men repairing train),Simpson Kalisher,(American),(male),1955,"Gelatin silver print, printed c. 1961",Photography,1998-06-11
A Feeling of Flying (Pocit Letu),Milan Knížák,(Czech),(male),1983,Photocopy,Drawings & Prints,2008-10-08
"GOAT (in-text plate, page 208) from DAPHNIS AND CHLOE",Aristide Maillol,(French),(male),1937,,Drawings & Prints,1964-10-06
Gift 20-Clay (Kindergarten material based on the educational theories of Friedrich Froebel),Unknown artist,(),(),1899,Various materials,Architecture & Design,2011-03-09
El Número 17,Lola Álvarez Bravo,(Mexican),(female),c. 1958,Gelatin silver print,Photography,1995-03-09
"Daily Forecast: December 22nd, 2023",Sadie Benning,(American),(non-binary),2023,"Watercolor, acrylic gouache, and pencil on paper",Drawings & Prints,2026-05-27
"Kaufmann's Department Store, Pittsburgh, PA (Office for Edgar J. Kaufmann)",Frank Lloyd Wright,(American),(male),(1937),Pencil and colored pencil on tracing paper,Architecture & Design,
Le bonheur est dans la mediocrite,,,,,,Fluxus Collection,2008-10-08
"IITRI Minerals and Metals Research Building, Chicago, IL (Windows. Elevations. Structural details. Sections.)",Ludwig Mies van der Rohe,(American),(male),1942—1943,Pencil on paper,Architecture & Design,1968-04-11
THE WALL,Nicolas de Staël,(French),(male),1951,"Lithograph, printed in color",Drawings & Prints,1956-12-19
Oxygen House Project (Plan),Douglas Darden,(American),(male),1988,Pencil on paper,Architecture & Design,2012-10-15
Plate (page 44) from Gloria,Alex Katz,(American),(male),2005,One from an illustrated book with twenty-five etchings and a supplementary suite of twenty-five etchings,Drawings & Prints,2006-03-08
"Charcuterie Bousquet,  Raissac-d'Aude",Unidentified photographer,(),(),c. 1905,Gelatin silver print,Photography,2019-11-12
"Die IAH zeigt am Sonntag, 11. Mai Vormittags 11 Uhr zum Besten ihrer Kinderheime den Film Polikuschka im Union-Theater",Franz Wilhelm Seiwert,(German),(male),Unknown,Letterpress,Architecture & Design,1999-12-10
Sewing (Kindergarten material based on the educational theories of Friedrich Froebel),Lettie A. Allen,(),(female),c. 1890,Various materials,Architecture & Design,2011-03-09
Headpiece (page 430) from L'IMITATION DE JÉSUS-CHRIST,Maurice Denis,(French),(male),1893-1903,,Drawings & Prints,1964-10-06
Meditations in Thin Air,Lee Mullican,(American),(male),1964,Lithograph,Drawings & Prints,1969-12-04
"Turi, der Wanderlappe",,,,1913,6 sheet/2 piece,Film,2005-07-01
Untitled from Forms Derived From A Cube,Sol LeWitt,(American),(male),1982,One from a portfolio of twenty-four etching and aquatints,Drawings & Prints,2005-06-02
Untitled,Seydou Keïta,(Malian),(male),c. 1952-56,"Gelatin silver print, printed later",Photography,2019-02-28
