message_id,position,token,entity_signal,action_signal,time_signal,issue_signal
message_a,0,parcel,1.3,0.1,0.2,0.0
message_a,1,arrives,0.1,1.35,0.35,0.0
message_a,2,today,0.0,0.2,1.45,0.1
message_b,0,route,1.15,0.05,0.1,0.2
message_b,1,check,0.1,1.2,0.1,0.15
message_b,2,shows,0.05,0.95,0.2,0.25
message_b,3,delay,0.15,0.1,0.35,1.4
message_c,0,driver,1.2,0.15,0.05,0.1
message_c,1,needs,0.05,1.1,0.1,0.35
message_c,2,gate,1.0,0.05,0.0,0.45
message_c,3,code,0.9,0.1,0.05,0.55
message_c,4,now,0.0,0.25,1.35,0.3
