job_id,item_count,active_packers,distinct_skus,fragile_pct,walking_distance_m,rush_order,packing_minutes
PACK-0001,417,5,60,9.3,358.7,0,81.11
PACK-0002,278,2,29,26.7,349.2,0,114.73
PACK-0003,423,6,8,8.1,142.4,0,57.53
PACK-0004,338,4,16,20.2,256.4,0,83.16
PACK-0005,72,4,14,8.8,199.2,0,50.02
PACK-0006,208,3,4,22.2,237.0,0,62.04
PACK-0007,323,8,2,13.9,230.8,0,42.01
PACK-0008,394,4,9,21.2,196.6,1,91.25
PACK-0009,342,8,9,27.2,101.3,0,55.63
PACK-0010,37,2,3,11.3,297.5,0,37.87
PACK-0011,396,4,7,38.0,50.2,0,67.66
PACK-0012,492,2,18,41.8,356.2,1,160.1
PACK-0013,470,4,22,9.1,231.0,0,91.03
PACK-0014,105,8,24,13.4,642.4,1,62.14
PACK-0015,109,6,7,44.6,154.1,0,41.45
PACK-0016,199,4,5,17.8,148.1,0,54.15
PACK-0017,165,2,64,7.2,44.7,0,85.7
PACK-0018,105,5,2,21.2,68.0,1,39.24
PACK-0019,412,5,2,17.3,189.4,1,63.46
PACK-0020,416,8,1,32.2,129.0,0,45.29
PACK-0021,341,4,13,9.0,344.3,0,73.03
PACK-0022,370,2,30,16.5,437.9,0,131.27
PACK-0023,366,5,5,13.3,123.0,1,70.06
PACK-0024,194,1,13,27.5,495.8,1,138.63
PACK-0025,264,4,8,33.6,488.5,0,70.59
PACK-0026,278,5,11,19.4,176.6,0,65.48
PACK-0027,369,5,5,4.3,157.8,0,61.24
PACK-0028,274,7,3,28.7,202.3,1,49.45
PACK-0029,174,3,11,24.7,102.2,0,68.16
PACK-0030,67,4,1,12.1,186.7,1,23.06
PACK-0031,171,3,17,22.4,63.2,0,64.93
PACK-0032,43,1,13,20.9,185.4,0,54.02
PACK-0033,181,3,11,16.9,246.8,0,60.03
PACK-0034,376,8,12,25.9,55.9,0,59.67
PACK-0035,397,4,36,21.3,55.9,0,94.75
PACK-0036,353,2,3,16.7,451.8,0,103.78
PACK-0037,332,8,5,14.2,267.0,0,51.32
PACK-0038,483,6,3,10.0,230.7,0,59.95
PACK-0039,460,7,3,29.4,179.1,0,50.44
PACK-0040,281,1,6,10.9,190.3,0,149.16
PACK-0041,347,7,6,39.3,225.3,0,58.75
PACK-0042,401,6,5,4.1,186.8,1,61.1
PACK-0043,452,1,7,32.4,320.1,0,233.53
PACK-0044,318,3,1,17.4,339.1,0,69.19
PACK-0045,236,8,3,22.4,186.8,0,40.15
PACK-0046,179,8,8,16.6,413.6,1,60.66
PACK-0047,246,6,5,14.3,239.4,1,58.75
PACK-0048,79,2,6,41.6,40.4,0,48.96
PACK-0049,114,4,4,14.3,87.8,0,40.64
PACK-0050,394,8,14,7.5,80.8,0,46.36
PACK-0051,388,8,12,1.8,158.6,0,61.54
PACK-0052,275,2,14,10.2,308.2,1,95.96
PACK-0053,350,4,9,48.5,259.7,1,87.58
PACK-0054,107,4,42,50.3,103.8,0,64.1
PACK-0055,92,6,34,28.0,53.3,0,56.65
PACK-0056,60,8,2,13.7,118.2,0,21.49
PACK-0057,37,4,7,28.7,107.8,0,39.47
PACK-0058,305,5,7,31.7,383.8,1,78.21
PACK-0059,200,2,8,21.9,216.2,0,84.37
PACK-0060,162,3,3,16.8,573.8,1,66.14
PACK-0061,443,8,7,10.3,55.5,0,57.55
PACK-0062,145,3,11,8.1,90.1,0,48.51
PACK-0063,333,5,17,8.7,261.1,0,71.62
PACK-0064,105,1,4,38.3,134.6,0,68.03
PACK-0065,256,3,2,41.1,86.1,0,55.64
PACK-0066,206,2,8,37.5,333.2,0,80.87
PACK-0067,273,6,3,22.0,163.3,0,44.61
PACK-0068,36,4,2,13.2,359.7,0,36.72
PACK-0069,435,4,9,23.6,119.2,0,85.72
PACK-0070,307,4,5,6.7,120.4,0,57.36
PACK-0071,31,6,45,19.8,93.5,0,48.5
PACK-0072,388,6,10,13.5,188.4,0,68.56
PACK-0073,102,7,17,13.6,126.6,0,47.04
PACK-0074,199,7,13,18.6,155.2,0,44.67
PACK-0075,328,3,13,19.5,318.9,1,98.52
PACK-0076,45,2,5,25.0,91.0,0,40.47
PACK-0077,107,8,1,9.7,163.7,1,30.21
PACK-0078,195,5,15,18.8,110.2,0,55.13
PACK-0079,493,1,31,44.2,81.2,0,260.63
PACK-0080,295,5,3,16.4,450.0,0,57.01
PACK-0081,250,7,7,5.8,413.7,0,52.81
PACK-0082,500,2,7,5.1,120.1,1,141.18
PACK-0083,324,5,15,26.6,191.6,0,66.06
PACK-0084,322,4,5,60.3,141.2,1,72.57
PACK-0085,324,8,17,34.3,233.8,0,64.69
PACK-0086,435,6,3,4.2,206.9,0,49.7
PACK-0087,482,1,2,24.6,470.1,0,238.7
PACK-0088,46,8,11,11.4,230.9,1,53.12
PACK-0089,498,3,2,15.8,142.0,0,86.86
PACK-0090,392,1,8,10.2,220.8,1,211.71
PACK-0091,286,6,3,13.0,255.8,0,46.0
PACK-0092,151,7,42,17.0,232.9,0,61.68
PACK-0093,233,7,2,15.1,291.5,0,40.4
PACK-0094,33,4,53,35.7,61.7,0,55.24
PACK-0095,255,1,4,36.7,286.6,0,139.87
PACK-0096,205,7,7,32.1,674.7,0,53.6
PACK-0097,437,8,13,11.0,177.3,0,78.83
PACK-0098,197,4,16,18.0,372.5,0,64.46
PACK-0099,144,6,5,25.1,118.1,0,44.4
PACK-0100,114,4,8,20.2,85.4,0,37.02
PACK-0101,233,4,6,22.1,95.2,0,45.05
PACK-0102,159,3,4,10.6,181.5,0,55.54
PACK-0103,454,1,11,33.1,97.1,0,222.61
PACK-0104,458,5,4,32.9,137.0,0,65.16
PACK-0105,295,5,2,3.1,136.4,0,53.79
PACK-0106,420,3,2,41.0,219.2,0,89.23
PACK-0107,191,5,1,13.4,254.1,0,35.43
PACK-0108,439,6,3,20.1,1061.2,0,74.71
PACK-0109,254,5,16,16.4,127.3,0,61.29
PACK-0110,101,7,4,10.1,217.7,0,35.56
PACK-0111,434,6,7,23.7,123.4,1,69.36
PACK-0112,500,2,11,18.9,154.5,0,138.27
PACK-0113,148,6,11,11.3,303.0,0,43.9
PACK-0114,464,6,12,33.6,72.6,0,70.88
PACK-0115,134,6,80,13.4,479.9,1,77.04
PACK-0116,418,6,11,10.6,137.0,1,71.17
PACK-0117,52,2,27,41.0,201.0,0,58.8
PACK-0118,356,6,5,24.6,126.1,1,63.4
PACK-0119,38,5,4,28.6,109.1,0,41.65
PACK-0120,224,2,10,20.1,133.1,0,80.98
PACK-0121,193,6,4,7.0,248.2,0,42.28
PACK-0122,360,3,80,3.4,313.1,0,114.35
PACK-0123,329,8,3,16.0,441.9,0,53.34
PACK-0124,451,4,5,8.8,259.0,0,80.81
PACK-0125,492,5,23,32.9,475.0,0,94.16
PACK-0126,279,3,10,24.4,128.8,0,76.94
