tile_id,row,column,red,green,blue,red_minus_blue,green_minus_blue,local_contrast,is_defect
T01,0,0,173,184,190,-17.0000,-6.0000,3.6356,0
T01,0,1,181,188,199,-18.0000,-11.0000,3.4653,0
T01,0,2,178,196,200,-22.0000,-4.0000,3.1285,0
T01,0,3,177,189,191,-14.0000,-2.0000,2.4567,0
T01,0,4,178,186,194,-16.0000,-8.0000,2.6599,0
T01,0,5,178,186,193,-15.0000,-7.0000,2.1168,0
T01,0,6,185,188,197,-12.0000,-9.0000,2.7255,0
T01,0,7,182,187,196,-14.0000,-9.0000,3.1735,0
T01,0,8,175,180,189,-14.0000,-9.0000,3.3163,0
T01,0,9,179,187,199,-20.0000,-12.0000,3.7368,0
T01,0,10,176,186,195,-19.0000,-9.0000,4.0967,0
T01,0,11,185,196,202,-17.0000,-6.0000,4.0408,0
T01,0,12,177,182,191,-14.0000,-9.0000,3.8343,0
T01,0,13,186,192,202,-16.0000,-10.0000,3.8439,0
T01,0,14,181,187,200,-19.0000,-13.0000,3.8266,0
T01,0,15,180,192,202,-22.0000,-10.0000,4.3195,0
T01,0,16,174,186,193,-19.0000,-7.0000,4.6605,0
T01,0,17,180,188,192,-12.0000,-4.0000,4.6653,0
T01,0,18,184,193,200,-16.0000,-7.0000,5.2296,0
T01,0,19,173,186,193,-20.0000,-7.0000,5.2267,0
T01,0,20,183,191,203,-20.0000,-12.0000,4.6649,0
T01,0,21,170,180,189,-19.0000,-9.0000,4.3431,0
T01,0,22,175,185,194,-19.0000,-9.0000,4.2427,0
T01,0,23,184,193,202,-18.0000,-9.0000,3.3867,0
T01,0,24,177,182,192,-15.0000,-10.0000,2.9002,0
T01,0,25,178,184,194,-16.0000,-10.0000,3.6636,0
T01,0,26,179,186,194,-15.0000,-8.0000,3.3481,0
T01,0,27,175,184,189,-14.0000,-5.0000,3.2569,0
T01,0,28,178,191,200,-22.0000,-9.0000,3.4477,0
T01,0,29,181,186,197,-16.0000,-11.0000,3.3566,0
T01,0,30,184,193,194,-10.0000,-1.0000,2.3570,0
T01,0,31,178,190,194,-16.0000,-4.0000,3.2173,0
T01,0,32,176,181,191,-15.0000,-10.0000,3.4377,0
T01,0,33,171,181,184,-13.0000,-3.0000,3.0971,0
T01,0,34,176,188,193,-17.0000,-5.0000,2.9141,0
T01,0,35,171,184,192,-21.0000,-8.0000,3.5070,0
T01,0,36,179,188,192,-13.0000,-4.0000,3.1145,0
T01,0,37,170,178,186,-16.0000,-8.0000,2.7712,0
T01,0,38,175,185,195,-20.0000,-10.0000,2.9166,0
T01,0,39,173,186,194,-21.0000,-8.0000,3.8301,0
T01,0,40,181,191,196,-15.0000,-5.0000,3.6011,0
T01,0,41,175,187,192,-17.0000,-5.0000,3.8569,0
T01,0,42,177,187,195,-18.0000,-8.0000,3.6870,0
T01,0,43,181,189,197,-16.0000,-8.0000,4.0515,0
T01,0,44,176,188,196,-20.0000,-8.0000,3.5012,0
T01,0,45,171,183,184,-13.0000,-1.0000,2.8651,0
T01,0,46,178,191,197,-19.0000,-6.0000,2.5541,0
T01,0,47,177,188,195,-18.0000,-7.0000,3.0436,0
T01,0,48,176,184,195,-19.0000,-11.0000,3.1686,0
T01,0,49,175,185,188,-13.0000,-3.0000,2.8417,0
T01,0,50,180,190,197,-17.0000,-7.0000,4.1149,0
T01,0,51,173,189,196,-23.0000,-7.0000,4.2037,0
T01,0,52,163,172,181,-18.0000,-9.0000,4.3184,0
T01,0,53,170,179,184,-14.0000,-5.0000,4.3223,0
T01,0,54,176,183,188,-12.0000,-5.0000,4.3912,0
T01,0,55,180,186,193,-13.0000,-7.0000,2.9037,0
T01,0,56,176,183,190,-14.0000,-7.0000,3.0864,0
T01,0,57,172,184,193,-21.0000,-9.0000,3.1781,0
T01,0,58,171,178,183,-12.0000,-5.0000,3.2721,0
T01,0,59,172,180,192,-20.0000,-12.0000,3.5273,0
T01,0,60,170,182,189,-19.0000,-7.0000,3.5539,0
T01,0,61,176,187,192,-16.0000,-5.0000,3.2000,0
T01,0,62,174,182,190,-16.0000,-8.0000,3.0420,0
T01,0,63,177,187,195,-18.0000,-8.0000,2.3851,0
T01,1,0,171,180,190,-19.0000,-10.0000,3.3255,0
T01,1,1,178,187,195,-17.0000,-8.0000,3.6348,0
T01,1,2,179,190,194,-15.0000,-4.0000,3.6139,0
T01,1,3,177,185,195,-18.0000,-10.0000,3.4731,0
T01,1,4,176,183,191,-15.0000,-8.0000,3.5788,0
T01,1,5,184,186,197,-13.0000,-11.0000,3.2333,0
T01,1,6,178,183,194,-16.0000,-11.0000,3.2236,0
T01,1,7,178,188,192,-14.0000,-4.0000,3.2670,0
T01,1,8,180,188,194,-14.0000,-6.0000,2.9946,0
T01,1,9,187,193,200,-13.0000,-7.0000,3.4475,0
T01,1,10,175,184,190,-15.0000,-6.0000,3.7101,0
T01,1,11,178,190,200,-22.0000,-10.0000,3.6528,0
T01,1,12,174,181,192,-18.0000,-11.0000,3.6769,0
T01,1,13,180,188,194,-14.0000,-6.0000,3.7810,0
T01,1,14,177,186,190,-13.0000,-4.0000,3.8296,0
T01,1,15,178,191,194,-16.0000,-3.0000,4.1298,0
T01,1,16,177,183,190,-13.0000,-7.0000,4.5324,0
T01,1,17,172,180,185,-13.0000,-5.0000,4.4623,0
T01,1,18,178,184,190,-12.0000,-6.0000,4.8451,0
T01,1,19,177,186,195,-18.0000,-9.0000,4.9153,0
T01,1,20,170,177,188,-18.0000,-11.0000,4.6044,0
T01,1,21,180,191,195,-15.0000,-4.0000,4.4423,0
T01,1,22,181,188,194,-13.0000,-6.0000,4.2878,0
T01,1,23,181,187,199,-18.0000,-12.0000,3.6102,0
T01,1,24,178,188,195,-17.0000,-7.0000,3.2563,0
T01,1,25,176,183,188,-12.0000,-5.0000,3.6276,0
T01,1,26,183,187,199,-16.0000,-12.0000,3.5503,0
T01,1,27,173,179,186,-13.0000,-7.0000,3.4128,0
T01,1,28,179,191,196,-17.0000,-5.0000,3.9169,0
T01,1,29,176,187,195,-19.0000,-8.0000,3.8361,0
T01,1,30,180,191,196,-16.0000,-5.0000,3.3423,0
T01,1,31,179,189,196,-17.0000,-7.0000,3.5012,0
T01,1,32,177,187,195,-18.0000,-8.0000,3.6647,0
T01,1,33,173,186,191,-18.0000,-5.0000,3.1098,0
T01,1,34,180,190,199,-19.0000,-9.0000,3.1092,0
T01,1,35,170,187,189,-19.0000,-2.0000,3.4655,0
T01,1,36,175,188,195,-20.0000,-7.0000,3.1284,0
T01,1,37,177,188,197,-20.0000,-9.0000,2.8468,0
T01,1,38,176,186,194,-18.0000,-8.0000,3.1299,0
T01,1,39,176,181,190,-14.0000,-9.0000,3.5071,0
T01,1,40,173,182,192,-19.0000,-10.0000,3.1254,0
T01,1,41,184,195,203,-19.0000,-8.0000,3.4663,0
T01,1,42,186,190,201,-15.0000,-11.0000,3.5629,0
T01,1,43,179,190,197,-18.0000,-7.0000,4.1226,0
T01,1,44,174,185,191,-17.0000,-6.0000,4.0346,0
T01,1,45,176,185,191,-15.0000,-6.0000,3.7393,0
T01,1,46,176,183,191,-15.0000,-8.0000,3.5324,0
T01,1,47,177,186,193,-16.0000,-7.0000,3.6582,0
T01,1,48,177,184,189,-12.0000,-5.0000,3.3759,0
T01,1,49,170,181,186,-16.0000,-5.0000,2.7229,0
T01,1,50,176,183,188,-12.0000,-5.0000,4.3257,0
T01,1,51,175,184,193,-18.0000,-9.0000,4.4820,0
T01,1,52,173,179,187,-14.0000,-8.0000,4.5536,0
T01,1,53,176,184,193,-17.0000,-9.0000,4.5600,0
T01,1,54,176,188,194,-18.0000,-6.0000,4.6092,0
T01,1,55,173,183,195,-22.0000,-12.0000,3.5944,0
T01,1,56,178,185,198,-20.0000,-13.0000,3.7239,0
T01,1,57,172,186,192,-20.0000,-6.0000,3.6330,0
T01,1,58,173,185,189,-16.0000,-4.0000,3.6752,0
T01,1,59,174,176,187,-13.0000,-11.0000,3.7901,0
T01,1,60,169,182,190,-21.0000,-8.0000,3.5924,0
T01,1,61,181,190,195,-14.0000,-5.0000,3.1918,0
T01,1,62,179,188,190,-11.0000,-2.0000,3.0140,0
