timestamp,vibration_mm_s,simulation_drift_mm_s
2026-04-15 06:00:00,1.6156,1.5506
2026-04-15 06:02:00,1.5893,1.5554
2026-04-15 06:04:00,1.6098,1.5601
2026-04-15 06:06:00,1.666,1.5647
2026-04-15 06:08:00,1.6398,1.5692
2026-04-15 06:10:00,1.6393,1.5736
2026-04-15 06:12:00,1.5877,1.5779
2026-04-15 06:14:00,1.6324,1.582
2026-04-15 06:16:00,1.5641,1.5862
2026-04-15 06:18:00,1.6054,1.5902
2026-04-15 06:20:00,1.6549,1.5941
2026-04-15 06:22:00,1.6472,1.598
2026-04-15 06:24:00,1.6623,1.6018
2026-04-15 06:26:00,1.5998,1.6055
2026-04-15 06:28:00,1.5555,1.6092
2026-04-15 06:30:00,1.5251,1.6128
2026-04-15 06:32:00,1.4905,1.6164
2026-04-15 06:34:00,1.5576,1.6199
2026-04-15 06:36:00,1.5338,1.6233
2026-04-15 06:38:00,1.6303,1.6267
2026-04-15 06:40:00,1.7265,1.6301
2026-04-15 06:42:00,1.6204,1.6334
2026-04-15 06:44:00,1.6972,1.6367
2026-04-15 06:46:00,1.7019,1.6399
2026-04-15 06:48:00,1.6435,1.6431
2026-04-15 06:50:00,1.6773,1.6462
2026-04-15 06:52:00,1.6303,1.6493
2026-04-15 06:54:00,1.7017,1.6524
2026-04-15 06:56:00,1.7158,1.6555
2026-04-15 06:58:00,1.7898,1.6585
2026-04-15 07:00:00,1.7293,1.6615
2026-04-15 07:02:00,1.7169,1.6644
2026-04-15 07:04:00,1.6918,1.6673
2026-04-15 07:06:00,1.6628,1.6702
2026-04-15 07:08:00,1.5968,1.6731
2026-04-15 07:10:00,1.5862,1.676
2026-04-15 07:12:00,1.5827,1.6788
2026-04-15 07:14:00,1.5986,1.6816
2026-04-15 07:16:00,1.6004,1.6844
2026-04-15 07:18:00,1.6529,1.6872
2026-04-15 07:20:00,1.6939,1.6899
2026-04-15 07:22:00,1.7252,1.6926
2026-04-15 07:24:00,1.6619,1.6954
2026-04-15 07:26:00,1.7103,1.6981
2026-04-15 07:28:00,1.7094,1.7007
2026-04-15 07:30:00,1.6512,1.7034
2026-04-15 07:32:00,1.7321,1.7061
2026-04-15 07:34:00,1.8243,1.7087
2026-04-15 07:36:00,1.7915,1.7114
2026-04-15 07:38:00,1.7893,1.714
2026-04-15 07:40:00,1.7504,1.7166
2026-04-15 07:42:00,1.7247,1.7192
2026-04-15 07:44:00,1.7388,1.7218
2026-04-15 07:46:00,1.7072,1.7244
2026-04-15 07:48:00,1.7003,1.727
2026-04-15 07:50:00,1.67,1.7296
2026-04-15 07:52:00,1.6602,1.7322
2026-04-15 07:54:00,1.7098,1.7348
2026-04-15 07:56:00,1.7218,1.7373
2026-04-15 07:58:00,1.635,1.7399
2026-04-15 08:00:00,1.661,1.7425
2026-04-15 08:02:00,1.704,1.7451
2026-04-15 08:04:00,1.6393,1.7477
2026-04-15 08:06:00,1.7333,1.7502
2026-04-15 08:08:00,1.7102,1.7528
2026-04-15 08:10:00,1.8046,1.7554
2026-04-15 08:12:00,1.7851,1.758
2026-04-15 08:14:00,1.8613,1.7606
2026-04-15 08:16:00,1.8726,1.7633
2026-04-15 08:18:00,1.8799,1.7659
2026-04-15 08:20:00,1.8499,1.7685
2026-04-15 08:22:00,1.8203,1.7712
2026-04-15 08:24:00,1.7739,1.7738
2026-04-15 08:26:00,1.7757,1.7765
2026-04-15 08:28:00,1.8058,1.7792
2026-04-15 08:30:00,1.8468,1.7819
2026-04-15 08:32:00,1.7806,1.7847
2026-04-15 08:34:00,1.6928,1.7874
2026-04-15 08:36:00,1.8173,1.7902
2026-04-15 08:38:00,1.7107,1.793
2026-04-15 08:40:00,1.6768,1.7958
2026-04-15 08:42:00,1.7639,1.7986
2026-04-15 08:44:00,1.7218,1.8015
2026-04-15 08:46:00,1.7846,1.8044
2026-04-15 08:48:00,1.7472,1.8073
2026-04-15 08:50:00,1.7876,1.8102
2026-04-15 08:52:00,1.9139,1.8132
2026-04-15 08:54:00,1.8968,1.8162
2026-04-15 08:56:00,2.0044,1.8193
2026-04-15 08:58:00,2.0605,1.8224
