epoch,train_rmse_kwh,validation_rmse_kwh
1,10.51971,10.18318
2,8.44322,8.17846
3,5.78551,5.65432
4,3.67541,3.72703
5,3.69367,3.73781
6,3.17715,3.24639
7,2.59723,2.76984
8,2.49275,2.70888
9,2.31288,2.54397
10,2.15555,2.3814
11,2.07496,2.30617
12,1.99038,2.25223
13,1.9315,2.2194
14,1.88546,2.18722
15,1.84453,2.15402
16,1.81089,2.12769
17,1.77995,2.1063
18,1.75221,2.08728
19,1.7274,2.0689
20,1.70504,2.05156
21,1.68483,2.036
22,1.66586,2.02179
23,1.64783,2.00824
24,1.63062,1.99554
25,1.6143,1.98377
26,1.59881,1.97294
27,1.58396,1.96275
28,1.56979,1.95306
29,1.55646,1.94403
30,1.54396,1.93591
31,1.53216,1.92847
32,1.52105,1.92181
33,1.5104,1.91582
34,1.49998,1.91035
35,1.48977,1.90514
36,1.47991,1.9001
37,1.47044,1.89559
38,1.46137,1.89148
39,1.45242,1.88755
40,1.44394,1.88411
41,1.43566,1.88126
42,1.42749,1.87856
43,1.41945,1.87608
44,1.41145,1.87384
45,1.40351,1.87193
46,1.39577,1.8706
47,1.38823,1.86961
48,1.38071,1.86897
49,1.37334,1.86874
50,1.36602,1.86855
51,1.35854,1.86772
52,1.35111,1.86747
53,1.34362,1.86732
54,1.33632,1.86722
55,1.32894,1.86776
56,1.32145,1.86755
57,1.31412,1.8675
58,1.3068,1.86788
59,1.29957,1.86778
60,1.29246,1.8685
61,1.28496,1.86818
62,1.27768,1.86839
63,1.27049,1.86932
64,1.26299,1.86887
65,1.25578,1.86988
66,1.24833,1.87037
67,1.24114,1.87152
68,1.23387,1.87174
69,1.2268,1.87263
70,1.21961,1.8738
71,1.21257,1.87422
72,1.20512,1.87563
73,1.19776,1.87551
74,1.19067,1.87707
75,1.18373,1.87884
76,1.17655,1.88077
77,1.16923,1.88075
78,1.16201,1.88202
79,1.155,1.88371
80,1.14762,1.88612
81,1.14014,1.88759
82,1.13295,1.88934
83,1.12548,1.89314
84,1.11823,1.8947
85,1.11048,1.89597
86,1.10323,1.89961
87,1.09578,1.90199
88,1.08817,1.90427
89,1.08087,1.90556
90,1.07371,1.90875
91,1.06643,1.91122
92,1.05928,1.91442
93,1.05164,1.91677
94,1.04419,1.92119
95,1.03654,1.92327
96,1.02903,1.92725
97,1.02121,1.92862
98,1.01358,1.93351
99,1.00597,1.93607
100,0.99887,1.93909
101,0.99148,1.94382
102,0.98405,1.94648
103,0.97714,1.94997
104,0.97018,1.95299
105,0.9632,1.9565
106,0.95666,1.96042
107,0.95,1.96362
108,0.94353,1.96643
109,0.93739,1.96985
110,0.93087,1.97308
111,0.92447,1.97627
112,0.91857,1.97951
113,0.91229,1.98262
114,0.90601,1.98723
115,0.89978,1.98904
116,0.89381,1.9917
117,0.88788,1.99466
118,0.88255,1.99775
119,0.87685,2.00103
120,0.87141,2.00308
121,0.86524,2.00429
122,0.86011,2.00928
123,0.85459,2.01133
124,0.84835,2.01359
125,0.84359,2.01732
126,0.83781,2.02046
127,0.83181,2.02433
128,0.82646,2.02769
129,0.82059,2.02784
130,0.81504,2.03357
131,0.80983,2.03571
132,0.80424,2.03821
133,0.79866,2.04246
134,0.79401,2.04568
135,0.788,2.04719
136,0.78272,2.05126
137,0.77729,2.05213
138,0.77169,2.05684
139,0.76624,2.06131
140,0.7605,2.06426
141,0.75452,2.06767
142,0.74828,2.06986
143,0.7422,2.07394
144,0.73538,2.07652
145,0.72946,2.07838
146,0.72362,2.08285
147,0.71763,2.08463
148,0.71173,2.08914
149,0.70597,2.09111
150,0.69876,2.09262
151,0.69343,2.09899
152,0.68684,2.10184
153,0.68035,2.10497
154,0.675,2.11
155,0.66876,2.11054
156,0.66289,2.11355
157,0.65636,2.11663
158,0.65075,2.12017
159,0.64412,2.12051
160,0.63877,2.12489
161,0.63277,2.12647
162,0.62725,2.12893
163,0.62101,2.13325
164,0.61565,2.135
165,0.60976,2.13907
166,0.60437,2.14173
167,0.59817,2.14162
168,0.59357,2.1462
169,0.58714,2.14784
170,0.58268,2.15405
171,0.57633,2.15557
172,0.57156,2.15841
173,0.56585,2.15929
174,0.56113,2.16556
175,0.55527,2.16832
176,0.5502,2.16893
177,0.5453,2.17176
178,0.54024,2.1781
179,0.53545,2.17884
180,0.53032,2.17749
181,0.52551,2.18397
182,0.5204,2.18821
183,0.51491,2.18716
184,0.51096,2.19049
185,0.50544,2.19389
186,0.50027,2.19486
187,0.49584,2.19784
188,0.49037,2.20106
189,0.48605,2.20493
190,0.48106,2.20525
191,0.47658,2.20965
192,0.47165,2.20998
193,0.46742,2.21463
