observation_id,outside_temp_c,room_humidity_pct,visitors,lighting_pct,ventilation_pct,sunlight_w_m2,hour_sin,hour_cos,next_hour_kwh
RR-0001,24.6,57.6,22,64.2,36.6,787.6,-0.866,-0.5,9.58
RR-0002,25.8,52.2,22,39.2,52.9,554.1,-0.9659,-0.2588,9.76
RR-0003,27.9,57.9,17,60.5,44.0,344.2,0.5,-0.866,11.7
RR-0004,21.2,55.7,17,68.5,49.9,592.5,-0.9659,0.2588,5.83
RR-0005,29.9,54.2,24,82.0,35.2,676.6,-0.7071,-0.7071,14.18
RR-0006,36.1,50.8,18,39.2,32.3,488.7,-0.9659,-0.2588,18.28
RR-0007,28.9,48.6,18,82.0,43.1,732.2,-0.5,-0.866,15.09
RR-0008,17.3,53.0,18,51.0,38.1,578.7,-0.9659,0.2588,7.37
RR-0009,15.4,55.0,16,73.3,43.1,32.0,0.0,-1.0,6.61
RR-0010,15.6,55.0,25,31.5,45.5,149.0,0.5,-0.866,7.99
RR-0011,30.0,45.1,13,77.9,25.4,406.5,0.0,-1.0,13.04
RR-0012,27.5,63.1,17,78.9,42.3,145.2,-0.9659,-0.2588,8.49
RR-0013,22.2,57.5,24,59.6,51.8,46.2,-0.5,-0.866,9.72
RR-0014,6.8,66.5,16,52.0,49.9,711.7,-0.866,-0.5,6.37
RR-0015,26.2,45.9,23,51.0,51.6,315.9,-0.9659,0.2588,9.06
RR-0016,25.6,50.0,21,64.1,51.6,532.4,0.2588,-0.9659,10.06
RR-0017,22.8,50.9,15,82.0,36.3,796.8,-0.9659,0.2588,8.48
RR-0018,22.8,49.1,17,67.8,35.3,299.7,0.2588,-0.9659,7.04
RR-0019,19.8,63.7,13,82.0,36.8,267.6,0.5,-0.866,10.56
RR-0020,39.1,53.4,16,63.3,39.0,370.3,-1.0,-0.0,22.2
RR-0021,22.6,54.7,17,82.0,39.5,336.9,0.7071,-0.7071,10.25
RR-0022,40.6,53.0,12,46.0,20.9,716.8,0.5,-0.866,21.77
RR-0023,39.3,47.5,8,82.0,23.3,314.3,0.866,-0.5,22.68
RR-0024,7.0,63.9,20,63.4,46.2,599.4,0.0,-1.0,8.93
RR-0025,17.5,66.7,16,60.2,38.5,520.4,-0.866,-0.5,8.51
RR-0026,18.0,59.6,18,64.8,39.7,385.7,-0.2588,-0.9659,7.44
RR-0027,29.6,58.5,19,62.5,43.6,523.3,0.866,-0.5,17.98
RR-0028,11.1,68.8,16,49.4,35.1,817.7,0.2588,-0.9659,9.97
RR-0029,19.3,48.7,23,76.0,50.3,850.5,0.866,-0.5,11.37
RR-0030,34.5,50.3,33,35.9,63.9,633.5,0.0,-1.0,19.75
RR-0031,26.5,60.3,22,61.1,56.2,436.8,-0.866,0.5,13.95
RR-0032,26.6,46.3,19,47.4,34.1,900.0,-0.9659,-0.2588,11.21
RR-0033,25.8,55.7,17,82.0,31.1,264.0,0.2588,-0.9659,10.29
RR-0034,6.7,71.8,14,45.7,31.6,401.5,0.0,-1.0,7.48
RR-0035,28.1,45.8,20,82.0,52.6,478.4,0.866,-0.5,15.42
RR-0036,11.8,73.6,16,82.0,42.0,0.0,-0.7071,-0.7071,8.81
RR-0037,34.1,43.2,24,53.3,55.2,855.7,-0.7071,-0.7071,19.18
RR-0038,12.9,73.9,20,27.5,44.0,698.7,0.7071,-0.7071,10.27
RR-0039,17.8,55.4,18,52.6,44.2,290.3,0.2588,-0.9659,9.3
RR-0040,12.0,70.8,18,31.6,36.8,819.0,-0.2588,-0.9659,8.21
RR-0041,18.6,58.0,13,82.0,44.2,602.2,0.866,-0.5,9.92
RR-0042,16.2,51.6,15,47.8,32.1,391.2,-1.0,-0.0,8.43
RR-0043,27.6,50.4,16,43.7,45.7,327.0,-0.866,0.5,11.34
RR-0044,25.9,57.0,18,73.9,43.0,437.2,-1.0,-0.0,12.56
RR-0045,25.8,54.5,16,82.0,42.7,456.3,0.5,-0.866,9.5
RR-0046,24.9,59.4,13,72.8,30.7,467.1,0.0,-1.0,10.8
RR-0047,20.0,55.4,13,82.0,41.1,577.6,0.7071,-0.7071,10.64
RR-0048,27.2,51.0,16,82.0,41.5,324.3,0.2588,-0.9659,12.04
RR-0049,19.5,55.9,9,58.0,29.6,469.0,0.0,-1.0,6.32
RR-0050,14.4,59.6,13,80.2,27.7,224.1,-0.9659,-0.2588,9.19
RR-0051,26.1,45.9,13,51.4,42.1,526.2,0.0,-1.0,10.36
RR-0052,16.0,54.2,16,35.9,43.4,560.3,0.0,-1.0,8.92
RR-0053,22.2,51.0,16,68.4,46.5,900.0,-0.5,-0.866,7.29
RR-0054,24.3,51.7,18,57.6,50.1,900.0,0.5,-0.866,10.02
RR-0055,16.9,69.8,17,41.7,41.3,495.7,-0.9659,0.2588,9.59
RR-0056,23.5,60.5,15,64.9,25.9,45.9,0.0,-1.0,9.24
RR-0057,13.9,69.9,15,40.8,25.0,50.3,-1.0,-0.0,11.14
RR-0058,29.5,46.1,15,76.5,33.3,836.6,0.0,-1.0,13.86
RR-0059,15.2,55.2,16,61.4,37.7,398.8,-1.0,-0.0,4.47
RR-0060,24.1,57.1,17,57.2,38.1,504.2,0.5,-0.866,9.66
RR-0061,22.4,58.5,19,70.3,53.4,440.2,-0.5,-0.866,11.54
RR-0062,22.9,57.0,14,43.5,50.5,288.2,-0.866,0.5,7.3
RR-0063,26.0,60.3,26,59.0,65.9,684.0,-0.9659,-0.2588,11.92
RR-0064,11.0,64.4,18,58.1,44.4,365.0,-0.7071,-0.7071,8.14
RR-0065,21.5,55.3,14,82.0,34.3,0.0,0.866,-0.5,11.94
RR-0066,25.5,73.2,19,30.0,35.3,577.3,-0.9659,0.2588,10.92
RR-0067,17.7,66.8,15,58.8,37.7,304.1,-0.9659,-0.2588,10.61
RR-0068,16.8,58.6,24,63.7,46.8,349.7,-0.2588,-0.9659,8.28
RR-0069,28.5,54.4,14,67.4,41.8,648.1,0.0,-1.0,13.87
RR-0070,30.8,59.6,19,63.6,31.6,900.0,-0.9659,0.2588,17.52
RR-0071,33.5,61.7,16,64.1,48.1,705.2,-0.866,-0.5,16.61
RR-0072,27.5,64.6,15,82.0,43.5,617.3,-0.9659,-0.2588,11.07
RR-0073,12.6,68.2,21,80.6,33.8,626.6,-0.7071,-0.7071,10.2
RR-0074,28.5,55.1,21,80.9,55.6,784.4,-0.5,-0.866,16.63
RR-0075,25.1,60.9,22,44.3,48.2,370.1,0.5,-0.866,12.23
RR-0076,31.0,68.7,24,82.0,56.5,297.8,0.0,-1.0,18.9
RR-0077,26.9,48.4,18,53.8,44.8,675.0,-0.9659,-0.2588,13.2
RR-0078,29.9,72.6,16,82.0,38.9,671.3,-0.7071,-0.7071,13.3
RR-0079,25.0,62.5,21,64.4,48.7,569.1,-0.2588,-0.9659,13.32
RR-0080,10.3,70.3,21,56.2,49.8,753.4,-0.866,0.5,7.15
RR-0081,12.3,68.1,19,48.7,47.3,621.7,0.2588,-0.9659,9.84
RR-0082,12.4,62.5,23,61.3,43.7,69.6,-0.9659,-0.2588,10.21
RR-0083,4.0,68.9,26,82.0,56.1,382.6,0.5,-0.866,10.28
RR-0084,16.7,74.1,22,82.0,49.9,571.1,-0.866,0.5,10.66
RR-0085,24.4,57.2,13,67.0,42.0,0.0,-0.2588,-0.9659,9.85
RR-0086,20.7,63.5,18,63.6,45.3,444.6,0.2588,-0.9659,10.82
RR-0087,14.0,56.5,19,29.6,39.8,574.1,0.5,-0.866,9.93
RR-0088,24.0,60.8,21,40.9,49.7,58.6,-0.866,-0.5,11.64
RR-0089,20.4,62.9,14,76.0,31.6,566.3,-0.9659,0.2588,6.53
RR-0090,26.4,67.7,18,76.2,47.7,239.8,-1.0,-0.0,10.7
RR-0091,24.6,57.0,12,82.0,45.1,54.8,-1.0,-0.0,11.4
RR-0092,16.7,56.9,18,33.3,55.3,215.6,-1.0,-0.0,7.05
RR-0093,31.6,44.5,16,74.2,48.7,549.6,-0.2588,-0.9659,16.32
RR-0094,20.3,63.0,25,57.2,42.4,0.0,-1.0,-0.0,8.34
RR-0095,17.5,58.2,16,56.1,38.4,551.1,-0.7071,-0.7071,6.71
RR-0096,25.2,59.7,21,67.3,42.3,303.9,-0.5,-0.866,10.04
RR-0097,21.9,48.2,12,65.0,24.6,637.6,-1.0,-0.0,7.23
RR-0098,15.7,57.1,10,82.0,23.0,272.5,-0.7071,-0.7071,6.15
RR-0099,17.3,62.8,13,55.9,31.6,262.5,0.7071,-0.7071,8.89
RR-0100,22.3,64.0,23,57.7,56.8,386.4,-0.9659,0.2588,9.01
RR-0101,16.3,54.1,18,71.6,39.5,708.5,-0.5,-0.866,5.94
RR-0102,24.8,55.0,23,77.6,59.6,320.0,0.7071,-0.7071,14.37
RR-0103,16.6,63.9,17,48.8,37.1,192.4,0.7071,-0.7071,9.74
RR-0104,8.1,71.2,11,71.9,40.3,334.1,-0.866,-0.5,5.21
RR-0105,23.2,51.2,17,59.9,28.3,220.1,-0.9659,0.2588,9.05
RR-0106,34.3,42.8,14,70.4,39.1,554.7,0.0,-1.0,18.73
RR-0107,22.1,53.9,18,56.6,39.4,900.0,0.0,-1.0,6.65
RR-0108,4.0,72.9,16,78.7,44.1,639.1,0.5,-0.866,12.85
RR-0109,35.5,43.0,28,51.0,50.6,151.2,-0.5,-0.866,20.32
RR-0110,26.5,48.1,10,21.4,27.3,464.4,-0.7071,-0.7071,9.25
RR-0111,17.5,56.6,17,82.0,40.9,613.7,-0.866,-0.5,7.25
RR-0112,26.7,51.5,16,79.1,39.7,372.1,-1.0,-0.0,10.86
RR-0113,22.9,53.5,15,63.0,40.6,276.6,-0.5,-0.866,9.52
RR-0114,23.4,45.0,23,74.7,52.0,94.3,-0.866,0.5,11.09
RR-0115,13.5,59.1,14,38.3,36.3,724.0,-0.5,-0.866,7.17
RR-0116,17.0,48.9,17,82.0,39.9,553.4,-0.2588,-0.9659,9.58
RR-0117,33.2,47.4,20,40.3,48.8,407.8,-0.9659,-0.2588,15.16
RR-0118,21.9,57.8,16,77.5,39.5,327.9,0.866,-0.5,9.97
RR-0119,25.6,37.8,16,42.3,43.2,349.9,-0.9659,-0.2588,8.77
