model,layer,distance_from_input,gradient_rms
sigmoid,hidden_1,1,2.6914636919173063e-07
sigmoid,hidden_2,2,2.2841852569399634e-06
sigmoid,hidden_3,3,1.1453614206402563e-05
sigmoid,hidden_4,4,4.094202449778095e-05
sigmoid,hidden_5,5,0.00014755349548067898
sigmoid,hidden_6,6,0.0007028641412034631
sigmoid,hidden_7,7,0.004002823494374752
sigmoid,hidden_8,8,0.016795916482806206
sigmoid,output,9,0.22441773116588593
relu,hidden_1,1,0.00807910691946745
relu,hidden_2,2,0.007589520886540413
relu,hidden_3,3,0.007709706202149391
relu,hidden_4,4,0.008390430361032486
relu,hidden_5,5,0.007704713381826878
relu,hidden_6,6,0.005971913691610098
relu,hidden_7,7,0.004987834952771664
relu,hidden_8,8,0.005606322083622217
relu,output,9,0.019880756735801697
