reading_id,temperature_c,humidity_pct,co2_ppm,pm25_ug_m3,voc_ppb,occupancy_count,filter_age_days,airflow_m3_min,ventilation_alert
AQ-0001,26.3,64.4,713,14.3,250,8,47,5.0,0
AQ-0002,14.0,30.0,370,2.6,487,4,174,9.3,0
AQ-0003,21.3,48.7,721,6.0,394,11,78,7.7,1
AQ-0004,29.7,32.2,785,17.9,267,6,47,5.6,0
AQ-0005,23.8,45.8,350,11.4,41,1,158,10.2,0
AQ-0006,24.5,49.0,659,20.4,95,8,224,6.4,1
AQ-0007,21.9,60.5,405,5.8,138,8,160,8.1,0
AQ-0008,26.3,31.9,790,14.8,112,11,64,7.2,0
AQ-0009,21.4,71.1,379,9.1,217,7,154,9.6,0
AQ-0010,22.6,76.1,588,20.4,357,8,189,9.2,1
AQ-0011,26.4,76.2,698,9.6,411,11,194,6.6,1
AQ-0012,27.2,51.1,550,22.9,259,7,225,9.6,1
AQ-0013,26.0,80.2,648,12.1,111,6,129,5.7,1
AQ-0014,19.6,80.9,541,10.8,125,6,68,6.8,0
AQ-0015,26.2,42.6,575,13.7,178,7,188,7.1,1
AQ-0016,23.0,50.3,592,15.7,114,8,72,8.7,0
AQ-0017,30.3,36.3,667,10.4,204,10,38,7.6,0
AQ-0018,20.5,76.8,415,22.7,193,7,234,10.0,0
AQ-0019,27.5,68.8,398,30.5,69,6,136,8.2,0
AQ-0020,25.8,37.7,601,18.1,66,6,44,10.6,0
AQ-0021,23.4,47.7,581,34.4,434,7,218,10.8,1
AQ-0022,30.1,45.9,620,30.9,76,6,75,6.8,1
AQ-0023,17.7,75.4,350,20.5,58,7,159,10.1,0
AQ-0024,21.6,34.6,780,8.1,129,10,52,6.4,0
AQ-0025,27.4,34.9,489,31.8,271,4,88,9.5,0
AQ-0026,21.8,66.8,350,16.3,91,2,120,8.2,0
AQ-0027,23.9,81.1,527,13.3,163,8,204,9.0,1
AQ-0028,26.9,65.1,350,26.5,128,5,21,8.9,0
AQ-0029,25.2,33.4,770,12.6,123,10,101,9.0,1
AQ-0030,25.1,61.6,431,14.0,121,4,99,7.9,0
AQ-0031,19.9,42.2,512,19.6,298,8,60,8.9,0
AQ-0032,20.7,37.0,350,16.6,265,4,90,10.9,1
AQ-0033,20.4,75.2,653,14.2,290,10,57,5.4,0
AQ-0034,22.0,58.5,350,14.3,156,5,176,7.6,0
AQ-0035,26.4,36.1,524,39.3,116,7,134,7.5,0
AQ-0036,18.1,44.7,350,8.0,143,6,191,7.3,0
AQ-0037,32.5,55.4,465,8.0,217,7,60,7.1,0
AQ-0038,15.9,73.9,350,25.7,177,3,133,8.8,0
AQ-0039,25.6,43.3,788,8.7,290,10,209,7.1,1
AQ-0040,29.9,81.2,504,11.7,183,6,121,7.7,0
AQ-0041,24.4,32.3,608,25.4,209,9,103,10.9,1
AQ-0042,21.5,63.6,706,9.4,266,10,209,5.2,1
AQ-0043,22.5,77.8,504,26.4,183,9,78,8.6,0
AQ-0044,25.4,32.3,631,21.1,151,8,102,7.5,0
AQ-0045,19.6,30.1,402,5.3,143,5,30,9.1,0
AQ-0046,20.9,81.8,600,8.7,196,9,179,6.4,1
AQ-0047,18.4,35.8,467,11.4,264,9,122,10.9,0
AQ-0048,30.7,81.8,612,16.8,108,8,89,10.4,0
AQ-0049,25.3,69.1,610,8.9,106,5,219,8.4,1
AQ-0050,14.0,55.5,464,10.4,457,5,218,8.6,1
AQ-0051,14.0,54.7,592,12.6,138,6,130,6.6,1
AQ-0052,24.2,43.3,498,17.6,255,6,135,8.6,0
AQ-0053,23.7,77.4,762,16.9,132,8,205,8.5,1
AQ-0054,23.3,73.3,728,9.8,113,6,45,6.6,1
AQ-0055,20.0,76.1,351,9.0,97,4,172,9.1,0
AQ-0056,18.2,52.1,837,26.7,111,11,122,7.0,0
AQ-0057,27.5,69.1,478,12.9,162,7,116,7.4,1
AQ-0058,19.7,79.5,505,33.9,83,6,26,10.2,0
AQ-0059,19.6,39.5,617,6.9,164,9,172,6.0,1
AQ-0060,20.7,54.9,412,11.2,82,6,92,8.4,0
AQ-0061,24.1,74.7,525,20.5,105,6,73,8.1,0
AQ-0062,22.5,80.4,424,5.9,115,5,141,8.2,0
AQ-0063,25.8,77.0,452,14.1,68,7,16,8.7,0
AQ-0064,24.0,31.9,464,9.0,103,6,8,10.6,0
AQ-0065,20.3,43.6,350,16.4,55,3,110,9.9,0
AQ-0066,20.8,67.6,438,26.7,285,6,71,8.4,0
AQ-0067,26.0,69.2,622,10.5,375,6,117,7.3,1
AQ-0068,21.5,59.8,642,6.2,102,8,165,8.7,0
AQ-0069,20.0,80.0,722,17.2,154,10,78,5.3,0
AQ-0070,23.4,60.2,483,36.9,95,5,158,11.3,0
AQ-0071,21.8,53.6,352,11.2,236,3,87,7.6,1
AQ-0072,24.9,30.3,392,9.7,302,4,68,7.6,0
AQ-0073,25.0,36.9,573,23.1,197,6,67,9.4,0
AQ-0074,22.6,66.7,458,6.6,159,6,153,9.4,0
AQ-0075,28.1,33.2,503,15.2,104,8,184,8.1,0
AQ-0076,19.8,38.6,491,41.8,131,6,20,8.7,0
AQ-0077,30.6,77.9,577,8.9,142,8,7,7.8,0
AQ-0078,27.4,42.2,625,13.9,175,13,55,9.4,1
AQ-0079,14.0,49.3,467,16.2,192,6,48,9.3,0
AQ-0080,19.2,46.6,662,39.9,157,9,33,9.2,0
AQ-0081,22.1,35.7,556,15.5,147,6,34,9.4,0
AQ-0082,22.1,59.9,534,14.9,138,5,70,8.2,0
AQ-0083,27.6,37.7,532,28.3,299,5,42,8.3,0
AQ-0084,21.9,62.5,409,18.3,322,7,151,8.6,0
AQ-0085,23.7,64.1,350,4.5,192,2,73,8.4,0
AQ-0086,20.4,64.6,526,10.5,157,7,159,7.8,1
AQ-0087,24.9,37.0,470,7.1,75,5,123,7.7,0
AQ-0088,24.9,75.1,672,15.2,188,7,124,7.1,1
AQ-0089,22.5,65.6,809,24.5,238,9,213,5.9,1
AQ-0090,30.4,78.1,490,13.7,109,6,151,8.8,1
AQ-0091,20.4,42.7,452,17.0,220,7,59,8.7,0
AQ-0092,18.5,39.4,451,28.6,269,8,235,8.5,1
AQ-0093,25.1,67.7,666,17.2,84,7,201,8.8,1
AQ-0094,28.2,43.6,678,62.4,139,7,54,7.9,1
AQ-0095,21.6,34.8,456,7.6,194,4,29,9.3,0
AQ-0096,26.3,42.8,624,14.5,681,7,191,7.5,1
