date,part_requests
2024-01-01,142
2024-01-02,136
2024-01-03,139
2024-01-04,135
2024-01-05,132
2024-01-06,101
2024-01-07,83
2024-01-08,145
2024-01-09,131
2024-01-10,128
2024-01-11,122
2024-01-12,122
2024-01-13,113
2024-01-14,109
2024-01-15,158
2024-01-16,148
2024-01-17,137
2024-01-18,146
2024-01-19,131
2024-01-20,113
2024-01-21,111
2024-01-22,156
2024-01-23,147
2024-01-24,137
2024-01-25,136
2024-01-26,134
2024-01-27,131
2024-01-28,127
2024-01-29,170
2024-01-30,159
2024-01-31,145
2024-02-01,138
2024-02-02,130
2024-02-03,101
2024-02-04,107
2024-02-05,141
2024-02-06,150
2024-02-07,148
2024-02-08,139
2024-02-09,134
2024-02-10,123
2024-02-11,113
2024-02-12,159
2024-02-13,147
2024-02-14,128
2024-02-15,130
2024-02-16,134
2024-02-17,99
2024-02-18,106
2024-02-19,149
2024-02-20,140
2024-02-21,121
2024-02-22,114
2024-02-23,119
2024-02-24,97
2024-02-25,82
2024-02-26,139
2024-02-27,128
2024-02-28,125
2024-02-29,109
2024-03-01,113
2024-03-02,102
2024-03-03,100
2024-03-04,146
2024-03-05,139
2024-03-06,127
2024-03-07,135
2024-03-08,126
2024-03-09,111
2024-03-10,94
2024-03-11,148
2024-03-12,127
2024-03-13,119
2024-03-14,117
2024-03-15,128
2024-03-16,112
2024-03-17,99
2024-03-18,140
2024-03-19,143
2024-03-20,135
2024-03-21,146
2024-03-22,139
2024-03-23,123
2024-03-24,119
2024-03-25,164
2024-03-26,155
2024-03-27,139
2024-03-28,139
2024-03-29,129
2024-03-30,113
2024-03-31,114
2024-04-01,147
2024-04-02,140
2024-04-03,143
2024-04-04,139
2024-04-05,132
2024-04-06,118
2024-04-07,115
2024-04-08,151
2024-04-09,147
2024-04-10,138
2024-04-11,141
2024-04-12,141
2024-04-13,127
2024-04-14,123
2024-04-15,151
2024-04-16,156
2024-04-17,148
2024-04-18,147
2024-04-19,137
2024-04-20,126
2024-04-21,117
2024-04-22,156
2024-04-23,142
2024-04-24,130
2024-04-25,125
2024-04-26,132
2024-04-27,122
2024-04-28,119
2024-04-29,160
2024-04-30,147
2024-05-01,138
2024-05-02,145
2024-05-03,139
2024-05-04,125
2024-05-05,115
2024-05-06,157
2024-05-07,149
2024-05-08,135
2024-05-09,129
2024-05-10,121
2024-05-11,99
2024-05-12,89
2024-05-13,142
2024-05-14,138
2024-05-15,127
2024-05-16,117
2024-05-17,115
2024-05-18,91
2024-05-19,90
2024-05-20,146
2024-05-21,129
2024-05-22,106
2024-05-23,116
2024-05-24,111
2024-05-25,90
2024-05-26,88
2024-05-27,121
2024-05-28,129
2024-05-29,117
2024-05-30,111
2024-05-31,114
2024-06-01,101
2024-06-02,98
2024-06-03,146
2024-06-04,137
2024-06-05,133
2024-06-06,136
2024-06-07,128
2024-06-08,113
2024-06-09,106
2024-06-10,151
2024-06-11,146
2024-06-12,154
2024-06-13,146
2024-06-14,135
2024-06-15,120
2024-06-16,123
2024-06-17,163
2024-06-18,142
2024-06-19,140
2024-06-20,138
2024-06-21,132
2024-06-22,116
2024-06-23,113
2024-06-24,157
2024-06-25,150
2024-06-26,144
2024-06-27,145
2024-06-28,141
2024-06-29,104
2024-06-30,108
2024-07-01,150
2024-07-02,144
2024-07-03,142
2024-07-04,149
2024-07-05,140
2024-07-06,128
2024-07-07,137
2024-07-08,173
2024-07-09,158
2024-07-10,151
2024-07-11,144
2024-07-12,136
2024-07-13,121
2024-07-14,109
2024-07-15,150
2024-07-16,154
2024-07-17,138
2024-07-18,137
2024-07-19,133
2024-07-20,122
2024-07-21,124
2024-07-22,171
2024-07-23,156
2024-07-24,146
2024-07-25,141
2024-07-26,123
2024-07-27,104
