forecast_start,target_date,horizon_day,actual_requests,direct_xgboost,recursive_xgboost,seasonal_naive
2025-02-24,2025-02-24,1,190,176.5885,176.5885,163.0000
2025-02-24,2025-02-25,2,169,163.9891,170.3219,159.0000
2025-02-24,2025-02-26,3,168,159.5092,165.7243,159.0000
2025-02-24,2025-02-27,4,164,162.6740,161.8166,165.0000
2025-02-24,2025-02-28,5,161,158.5766,156.9785,150.0000
2025-02-24,2025-03-01,6,133,130.9087,143.3749,140.0000
2025-02-24,2025-03-02,7,126,138.9707,137.6288,143.0000
2025-02-24,2025-03-03,8,177,164.3954,176.6097,163.0000
2025-02-24,2025-03-04,9,183,159.8680,169.4805,159.0000
2025-02-24,2025-03-05,10,174,157.2653,162.1164,159.0000
2025-02-24,2025-03-06,11,170,156.4265,159.7054,165.0000
2025-02-24,2025-03-07,12,168,152.1084,157.1197,150.0000
2025-02-24,2025-03-08,13,149,132.4816,143.3295,140.0000
2025-02-24,2025-03-09,14,138,135.6169,133.8687,143.0000
2025-03-10,2025-03-10,1,184,173.2466,173.2466,177.0000
2025-03-10,2025-03-11,2,172,164.7900,161.9058,183.0000
2025-03-10,2025-03-12,3,172,160.6717,156.3932,174.0000
2025-03-10,2025-03-13,4,155,163.4868,156.9152,170.0000
2025-03-10,2025-03-14,5,158,162.3729,157.2512,168.0000
2025-03-10,2025-03-15,6,143,141.0012,141.6650,149.0000
2025-03-10,2025-03-16,7,138,142.2489,133.7800,138.0000
2025-03-10,2025-03-17,8,181,173.8388,175.1311,177.0000
2025-03-10,2025-03-18,9,166,168.7350,166.7630,183.0000
2025-03-10,2025-03-19,10,174,161.9778,160.9109,174.0000
2025-03-10,2025-03-20,11,163,163.0529,158.6357,170.0000
2025-03-10,2025-03-21,12,153,156.6887,158.0196,168.0000
2025-03-10,2025-03-22,13,142,135.8206,146.0205,149.0000
2025-03-10,2025-03-23,14,149,137.0937,132.9603,138.0000
2025-03-24,2025-03-24,1,191,179.6531,179.6531,181.0000
2025-03-24,2025-03-25,2,175,170.1204,166.2982,166.0000
2025-03-24,2025-03-26,3,165,166.7318,162.5555,174.0000
2025-03-24,2025-03-27,4,172,164.4431,161.6845,163.0000
2025-03-24,2025-03-28,5,168,161.6561,156.9282,153.0000
2025-03-24,2025-03-29,6,146,140.6257,140.6307,142.0000
2025-03-24,2025-03-30,7,133,143.5181,137.1210,149.0000
2025-03-24,2025-03-31,8,175,174.1383,182.0811,181.0000
2025-03-24,2025-04-01,9,171,169.5682,169.1402,166.0000
2025-03-24,2025-04-02,10,160,165.1323,163.8179,174.0000
2025-03-24,2025-04-03,11,158,163.3340,161.5085,163.0000
2025-03-24,2025-04-04,12,146,156.6989,159.3563,153.0000
2025-03-24,2025-04-05,13,127,143.3714,143.7300,142.0000
2025-03-24,2025-04-06,14,123,144.9838,143.7464,149.0000
2025-04-07,2025-04-07,1,164,169.6225,169.6225,175.0000
2025-04-07,2025-04-08,2,162,167.3968,162.1133,171.0000
2025-04-07,2025-04-09,3,162,160.8974,156.7672,160.0000
2025-04-07,2025-04-10,4,154,159.0704,157.4264,158.0000
2025-04-07,2025-04-11,5,158,153.2722,150.7395,146.0000
2025-04-07,2025-04-12,6,143,140.0250,133.9161,127.0000
2025-04-07,2025-04-13,7,142,128.8425,126.9126,123.0000
2025-04-07,2025-04-14,8,186,177.5157,171.1577,175.0000
2025-04-07,2025-04-15,9,173,168.3464,163.8099,171.0000
2025-04-07,2025-04-16,10,159,164.5581,156.6196,160.0000
2025-04-07,2025-04-17,11,163,162.6858,157.2655,158.0000
2025-04-07,2025-04-18,12,164,156.0328,148.4148,146.0000
2025-04-07,2025-04-19,13,147,139.9175,132.5602,127.0000
2025-04-07,2025-04-20,14,124,125.7433,128.1601,123.0000
2025-04-21,2025-04-21,1,172,173.1649,173.1649,186.0000
2025-04-21,2025-04-22,2,168,170.3525,166.7334,173.0000
2025-04-21,2025-04-23,3,162,162.5834,165.2302,159.0000
2025-04-21,2025-04-24,4,151,157.7096,162.9774,163.0000
2025-04-21,2025-04-25,5,141,153.3519,159.6532,164.0000
2025-04-21,2025-04-26,6,140,139.7158,144.7635,147.0000
2025-04-21,2025-04-27,7,132,132.2699,134.7970,124.0000
2025-04-21,2025-04-28,8,169,179.6089,181.5753,186.0000
2025-04-21,2025-04-29,9,164,170.2888,169.3270,173.0000
2025-04-21,2025-04-30,10,165,165.5431,165.7675,159.0000
2025-04-21,2025-05-01,11,148,161.6178,164.3641,163.0000
2025-04-21,2025-05-02,12,142,158.8490,161.3763,164.0000
2025-04-21,2025-05-03,13,127,143.2980,145.8075,147.0000
2025-04-21,2025-05-04,14,120,132.8178,134.5139,124.0000
2025-05-05,2025-05-05,1,173,164.8067,164.8067,169.0000
2025-05-05,2025-05-06,2,167,160.7661,161.0921,164.0000
