snapshot_id,zone,soil_moisture_pct,hours_since_watering,attention_score
GH-0155,west,11.4,67,0.9733
GH-0082,west,12.1,65,0.9672
GH-0117,west,9.6,64,0.9627
GH-0037,south,14.5,71,0.9546
GH-0125,south,12.1,71,0.9531
GH-0003,south,16.3,60,0.9387
GH-0014,north,19.7,65,0.9363
GH-0216,north,17.6,66,0.9321
GH-0150,south,16.5,54,0.9306
GH-0026,west,15.5,66,0.9297
GH-0107,south,15.8,70,0.9291
GH-0009,west,17.7,64,0.9253
GH-0063,west,16.3,63,0.9242
GH-0193,east,15.0,68,0.9242
GH-0177,east,16.1,66,0.9216
GH-0110,south,17.4,49,0.9214
GH-0046,north,13.2,55,0.9171
GH-0174,north,21.3,72,0.9123
GH-0205,east,24.9,65,0.9102
GH-0224,south,21.7,70,0.9070
GH-0013,south,20.0,60,0.9047
GH-0120,west,21.6,57,0.9045
GH-0073,east,19.4,68,0.9033
GH-0211,east,23.2,70,0.8993
GH-0132,west,22.8,44,0.8969
GH-0137,south,22.5,66,0.8948
GH-0027,east,20.7,57,0.8944
GH-0113,west,20.5,49,0.8891
GH-0036,west,22.2,61,0.8889
GH-0212,east,27.5,72,0.8861
GH-0200,east,27.5,66,0.8828
GH-0023,west,19.4,47,0.8813
GH-0159,north,17.8,69,0.8810
GH-0021,west,17.5,67,0.8705
GH-0071,east,21.4,64,0.8703
GH-0235,north,18.6,52,0.8680
GH-0198,west,18.0,59,0.8678
GH-0178,west,17.2,67,0.8638
GH-0162,south,23.6,71,0.8556
GH-0220,north,19.5,55,0.8481
GH-0219,east,24.3,72,0.8437
GH-0217,east,18.9,68,0.8431
GH-0192,south,19.1,65,0.8415
GH-0100,south,24.4,66,0.8406
GH-0041,west,22.2,56,0.8402
GH-0010,west,24.1,46,0.8388
GH-0134,south,21.4,50,0.8385
GH-0025,east,15.3,41,0.8369
GH-0028,north,20.0,59,0.8366
GH-0179,east,21.3,64,0.8307
GH-0186,west,18.9,53,0.8260
GH-0130,north,27.3,59,0.8235
GH-0234,east,26.8,59,0.8213
GH-0170,south,22.8,61,0.8212
GH-0111,north,20.2,52,0.8211
GH-0001,north,21.2,49,0.8210
GH-0077,north,24.6,66,0.8193
GH-0163,west,27.7,72,0.8157
GH-0096,east,23.2,41,0.8143
GH-0128,west,18.8,39,0.8095
GH-0191,south,23.5,54,0.8067
GH-0087,north,28.9,56,0.8028
GH-0054,west,22.1,59,0.8025
GH-0228,west,27.7,45,0.7979
GH-0038,north,26.8,50,0.7977
GH-0017,west,28.0,46,0.7901
GH-0079,west,22.7,50,0.7863
GH-0080,west,24.2,38,0.7837
GH-0164,east,28.1,64,0.7808
GH-0145,north,31.7,62,0.7804
GH-0230,east,27.1,49,0.7780
GH-0059,west,24.7,59,0.7774
GH-0068,west,25.3,67,0.7760
GH-0012,south,28.5,40,0.7669
GH-0223,south,22.9,41,0.7621
GH-0123,east,24.6,54,0.7612
GH-0188,south,23.1,39,0.7601
GH-0057,south,28.2,47,0.7592
GH-0133,south,26.6,60,0.7559
GH-0238,west,20.5,36,0.7553
GH-0088,west,26.0,61,0.7478
GH-0237,south,23.9,40,0.7477
GH-0024,north,23.7,54,0.7450
GH-0126,west,23.6,45,0.7426
GH-0172,north,26.2,31,0.7412
GH-0180,west,30.1,47,0.7410
GH-0070,west,27.2,56,0.7371
GH-0104,north,22.1,47,0.7306
GH-0061,east,22.6,61,0.7233
GH-0182,east,22.7,48,0.7200
GH-0007,west,22.7,40,0.7130
GH-0020,south,30.7,44,0.7126
GH-0114,north,25.1,59,0.7034
