snapshot_id,zone,soil_moisture_pct,air_temp_c,humidity_pct,light_hours,hours_since_watering
GH-0001,north,21.2,26.4,57.8,10.4,49
GH-0002,west,33.0,28.4,57.2,8.8,19
GH-0003,south,16.3,31.9,56.8,8.9,60
GH-0004,north,34.5,22.0,66.7,10.4,54
GH-0005,north,46.8,22.3,58.4,8.0,15
GH-0006,east,36.3,29.9,66.2,8.6,33
GH-0007,west,22.7,24.0,46.3,6.6,40
GH-0008,east,26.7,31.7,61.6,6.8,37
GH-0009,west,17.7,30.1,53.6,7.0,64
GH-0010,west,24.1,33.8,61.1,9.7,46
GH-0011,north,33.0,25.1,53.9,6.8,43
GH-0012,south,28.5,33.8,52.5,8.8,40
GH-0013,south,20.0,32.4,61.3,8.1,60
GH-0014,north,19.7,29.9,43.4,8.3,65
GH-0015,north,28.6,29.7,65.8,6.8,48
GH-0016,west,42.0,26.6,49.7,5.0,15
GH-0017,west,28.0,32.3,44.6,6.3,46
GH-0018,south,29.6,22.6,39.2,9.2,37
GH-0019,west,27.3,19.4,49.3,9.3,52
GH-0020,south,30.7,31.5,48.0,7.1,44
GH-0021,west,17.5,24.7,68.5,8.5,67
GH-0022,east,39.1,28.4,64.4,6.7,11
GH-0023,west,19.4,27.3,41.1,8.7,47
GH-0024,north,23.7,23.7,51.8,6.2,54
GH-0025,east,15.3,25.6,52.4,6.7,41
GH-0026,west,15.5,25.8,47.3,7.0,66
GH-0027,east,20.7,35.6,59.3,4.2,57
GH-0028,north,20.0,27.5,63.0,6.3,59
GH-0029,east,34.8,28.3,67.5,8.3,3
GH-0030,north,44.9,26.7,61.6,6.4,26
GH-0031,north,22.6,22.1,64.3,6.6,54
GH-0032,south,43.9,33.1,65.7,11.9,27
GH-0033,east,34.5,25.7,72.1,10.2,34
GH-0034,east,40.8,24.2,58.0,4.6,11
GH-0035,west,34.3,28.7,59.5,5.5,3
GH-0036,west,22.2,35.5,71.3,8.0,61
GH-0037,south,14.5,34.0,66.3,6.8,71
GH-0038,north,26.8,29.2,51.4,9.7,50
GH-0039,west,31.3,24.2,27.4,9.9,33
GH-0040,east,44.2,22.8,74.6,9.3,19
GH-0041,west,22.2,23.5,47.9,10.5,56
GH-0042,east,37.1,31.8,47.7,6.5,11
GH-0043,west,28.3,27.8,52.9,9.8,42
GH-0044,north,37.1,26.8,54.2,7.0,25
GH-0045,south,27.9,30.0,57.2,11.3,28
GH-0046,north,13.2,27.1,56.3,8.0,55
GH-0047,west,33.3,29.4,57.0,11.8,51
GH-0048,east,34.4,28.8,42.8,10.8,14
GH-0049,east,25.6,28.9,62.7,7.9,38
GH-0050,west,32.8,25.6,55.8,10.4,36
GH-0051,south,35.5,28.6,48.7,8.8,14
GH-0052,east,39.4,31.0,63.1,6.5,32
GH-0053,north,31.9,31.6,57.8,8.9,45
GH-0054,west,22.1,26.3,64.4,7.8,59
GH-0055,east,26.8,23.0,32.4,7.9,38
GH-0056,west,36.5,26.7,50.1,10.1,17
GH-0057,south,28.2,30.6,52.3,8.4,47
GH-0058,south,34.4,24.1,70.2,9.9,34
GH-0059,west,24.7,27.9,67.7,8.4,59
GH-0060,west,35.6,25.4,55.0,8.3,18
GH-0061,east,22.6,22.3,66.3,6.8,61
GH-0062,north,33.5,22.6,60.2,9.8,47
GH-0063,west,16.3,28.4,59.8,9.6,63
GH-0064,east,47.3,24.4,37.8,9.0,16
GH-0065,south,46.8,27.6,74.4,7.9,28
GH-0066,west,31.2,33.5,67.2,11.2,24
GH-0067,north,33.7,30.6,62.8,5.8,62
GH-0068,west,25.3,25.0,69.2,9.5,67
GH-0069,south,31.7,27.8,57.4,8.1,52
GH-0070,west,27.2,27.9,59.5,7.1,56
GH-0071,east,21.4,25.5,57.4,10.2,64
GH-0072,west,29.8,23.9,60.6,7.5,20
GH-0073,east,19.4,26.8,56.8,8.6,68
GH-0074,west,29.0,27.1,59.7,7.7,55
GH-0075,east,27.4,30.9,52.6,4.9,42
GH-0076,east,40.9,23.2,47.9,9.3,21
GH-0077,north,24.6,26.6,71.7,11.8,66
GH-0078,east,25.2,25.4,70.4,10.7,41
GH-0079,west,22.7,20.8,40.9,9.6,50
GH-0080,west,24.2,27.4,37.3,7.6,38
GH-0081,north,37.0,25.2,44.2,8.2,20
GH-0082,west,12.1,30.9,52.6,10.0,65
GH-0083,north,42.1,22.0,46.0,8.2,25
GH-0084,south,38.5,26.0,55.7,9.5,8
GH-0085,north,35.9,31.0,58.2,7.5,35
GH-0086,east,37.1,26.3,62.5,7.0,12
GH-0087,north,28.9,29.9,53.6,10.2,56
GH-0088,west,26.0,25.2,58.2,6.8,61
GH-0089,south,30.0,28.8,70.7,9.0,55
GH-0090,west,36.0,27.4,54.9,6.4,13
GH-0091,south,31.0,21.6,49.9,7.6,53
GH-0092,north,45.3,27.1,64.4,8.7,9
GH-0093,north,37.7,23.5,40.2,6.6,22
GH-0094,south,40.5,29.5,57.4,8.5,11
GH-0095,west,28.2,26.7,52.5,8.8,26
GH-0096,east,23.2,29.5,42.2,6.8,41
GH-0097,south,35.7,25.3,60.7,7.7,54
GH-0098,east,32.0,30.2,61.5,8.3,9
GH-0099,east,30.4,29.3,58.4,8.9,17
GH-0100,south,24.4,29.5,76.0,11.7,66
GH-0101,north,41.9,28.0,61.6,8.6,8
GH-0102,east,45.1,29.9,69.7,9.8,6
GH-0103,east,30.3,23.0,52.6,10.9,28
GH-0104,north,22.1,26.9,66.7,7.6,47
