battery_id,service_hub,months_in_service,hot_days_90d,fast_charge_share,warning_events_30d,service_probability_30d
BAT-0001,North,15,10,0.18,1,0.0509
BAT-0002,North,47,13,0.589,2,0.1881
BAT-0003,North,35,29,0.259,1,0.1563
BAT-0004,North,9,10,0.536,2,0.0778
BAT-0005,North,13,2,0.366,0,0.0268
BAT-0006,North,60,36,0.581,2,0.4886
BAT-0007,North,19,16,0.305,1,0.0556
BAT-0008,North,18,19,0.649,0,0.0651
BAT-0009,North,50,3,0.318,0,0.0851
BAT-0010,North,56,36,0.191,0,0.2386
BAT-0011,North,39,5,0.407,1,0.0966
BAT-0012,North,22,24,0.277,0,0.0772
BAT-0013,North,38,0,0.74,2,0.1647
BAT-0014,North,31,41,0.17,1,0.1798
BAT-0015,North,50,42,0.575,1,0.4201
BAT-0016,North,59,13,0.192,1,0.1567
BAT-0017,North,48,13,0.496,1,0.1228
BAT-0018,North,12,34,0.249,0,0.078
BAT-0019,North,16,27,0.084,0,0.0733
BAT-0020,North,33,29,0.385,1,0.1783
BAT-0021,North,39,27,0.648,0,0.2211
BAT-0022,North,13,29,0.495,0,0.0754
BAT-0023,North,8,24,0.464,0,0.0646
BAT-0024,North,54,16,0.4,1,0.1691
BAT-0025,North,12,24,0.201,1,0.0853
BAT-0026,North,14,30,0.459,1,0.0938
BAT-0027,North,18,0,0.567,0,0.0279
BAT-0028,North,36,20,0.288,1,0.0998
BAT-0029,North,9,42,0.301,0,0.1357
BAT-0030,North,57,34,0.183,3,0.472
BAT-0031,North,32,29,0.206,1,0.1148
BAT-0032,North,45,10,0.569,0,0.0933
BAT-0033,North,47,25,0.319,2,0.2208
BAT-0034,North,19,37,0.448,0,0.1653
BAT-0035,North,48,39,0.181,1,0.2378
BAT-0036,North,14,13,0.563,2,0.1006
BAT-0037,North,36,45,0.155,2,0.28
BAT-0038,North,14,30,0.663,1,0.146
BAT-0039,North,60,0,0.245,0,0.0806
BAT-0040,North,4,7,0.593,0,0.0262
BAT-0041,North,17,44,0.468,1,0.2595
BAT-0042,North,51,29,0.025,0,0.1302
BAT-0043,North,15,12,0.135,0,0.0338
BAT-0044,North,44,34,0.135,1,0.1905
BAT-0045,North,49,6,0.202,0,0.0565
BAT-0046,North,24,7,0.655,0,0.052
BAT-0047,North,8,38,0.507,2,0.1772
BAT-0048,North,50,22,0.27,1,0.2016
BAT-0049,North,39,42,0.596,1,0.3637
BAT-0050,North,25,36,0.35,1,0.203
BAT-0051,North,53,0,0.426,0,0.0803
BAT-0052,North,53,42,0.741,1,0.4638
BAT-0053,North,29,19,0.277,4,0.221
BAT-0054,North,10,10,0.534,2,0.0815
BAT-0055,North,39,22,0.45,0,0.1041
BAT-0056,North,30,7,0.097,3,0.0825
BAT-0057,North,6,25,0.176,1,0.0567
BAT-0058,North,45,3,0.64,0,0.095
BAT-0059,North,37,14,0.683,0,0.1177
BAT-0060,North,47,2,0.087,1,0.0512
BAT-0061,Central,11,0,0.121,1,0.0319
BAT-0062,Central,42,44,0.175,0,0.2902
BAT-0063,Central,49,35,0.164,1,0.2652
BAT-0064,Central,39,29,0.21,1,0.1941
BAT-0065,Central,60,11,0.364,0,0.1707
BAT-0066,Central,29,34,0.125,1,0.2021
BAT-0067,Central,25,33,0.5,0,0.1741
BAT-0068,Central,57,18,0.587,0,0.2619
BAT-0069,Central,15,17,0.744,1,0.1412
BAT-0070,Central,23,16,0.667,1,0.1185
BAT-0071,Central,25,28,0.201,1,0.1223
BAT-0072,Central,34,24,0.1,1,0.1205
BAT-0073,Central,33,5,0.349,0,0.0633
BAT-0074,Central,45,24,0.321,1,0.2187
BAT-0075,Central,13,26,0.16,2,0.1363
BAT-0076,Central,55,40,0.065,0,0.2864
BAT-0077,Central,38,31,0.096,1,0.1953
BAT-0078,Central,5,34,0.352,3,0.208
BAT-0079,Central,15,28,0.118,3,0.1911
BAT-0080,Central,58,35,0.488,0,0.3759
BAT-0081,Central,36,6,0.306,2,0.0891
BAT-0082,Central,53,3,0.152,0,0.0921
BAT-0083,Central,56,18,0.436,1,0.2342
BAT-0084,Central,58,31,0.52,1,0.4301
BAT-0085,Central,7,22,0.087,1,0.0683
BAT-0086,Central,18,43,0.421,0,0.2031
BAT-0087,Central,48,41,0.799,1,0.4982
BAT-0088,Central,55,9,0.123,0,0.1046
BAT-0089,Central,29,33,0.202,0,0.1427
BAT-0090,Central,21,20,0.452,2,0.1526
BAT-0091,Central,60,14,0.663,1,0.291
BAT-0092,Central,17,22,0.127,1,0.0978
BAT-0093,Central,60,8,0.718,2,0.3713
BAT-0094,Central,51,9,0.56,1,0.1646
BAT-0095,Central,5,38,0.374,1,0.1102
BAT-0096,Central,60,23,0.609,2,0.4588
BAT-0097,Central,5,11,0.191,0,0.0221
BAT-0098,Central,58,40,0.254,1,0.4027
BAT-0099,Central,49,16,0.636,1,0.2555
BAT-0100,Central,12,39,0.115,1,0.167
BAT-0101,Central,36,28,0.306,0,0.158
BAT-0102,Central,39,31,0.139,1,0.2145
BAT-0103,Central,17,1,0.662,0,0.0552
BAT-0104,Central,27,10,0.426,0,0.0928
BAT-0105,Central,8,5,0.188,2,0.0571
BAT-0106,Central,60,29,0.491,0,0.2787
BAT-0107,Central,23,13,0.188,1,0.0646
BAT-0108,Central,33,4,0.436,2,0.1021
BAT-0109,Central,10,34,0.166,0,0.0752
BAT-0110,Central,60,39,0.571,1,0.5543
BAT-0111,Central,36,14,0.187,1,0.0867
BAT-0112,Central,43,5,0.499,2,0.1801
BAT-0113,Central,10,12,0.505,1,0.0752
BAT-0114,Central,45,23,0.288,0,0.1577
BAT-0115,Central,30,4,0.407,0,0.0623
BAT-0116,Central,47,3,0.47,3,0.1944
BAT-0117,Central,17,42,0.346,1,0.2763
BAT-0118,Central,20,18,0.247,2,0.0995
BAT-0119,Central,52,18,0.59,3,0.3749
BAT-0120,Central,50,24,0.185,0,0.1797
BAT-0121,South,40,5,0.12,2,0.1108
BAT-0122,South,40,34,0.757,0,0.3416
BAT-0123,South,60,13,0.162,0,0.1308
BAT-0124,South,25,14,0.24,2,0.1012
BAT-0125,South,14,14,0.253,1,0.0632
BAT-0126,South,52,15,0.08,1,0.1846
BAT-0127,South,34,2,0.144,3,0.0979
BAT-0128,South,56,45,0.531,0,0.4831
BAT-0129,South,27,33,0.291,0,0.169
BAT-0130,South,35,17,0.67,2,0.2395
BAT-0131,South,41,2,0.049,1,0.0737
BAT-0132,South,24,1,0.5,2,0.1085
BAT-0133,South,48,39,0.595,1,0.4717
BAT-0134,South,53,18,0.674,1,0.296
BAT-0135,South,35,5,0.505,2,0.1211
BAT-0136,South,6,30,0.214,1,0.1214
BAT-0137,South,50,0,0.408,0,0.0902
BAT-0138,South,48,35,0.443,4,0.6522
BAT-0139,South,33,2,0.345,1,0.0706
BAT-0140,South,29,25,0.21,0,0.113
BAT-0141,South,36,3,0.419,0,0.0597
BAT-0142,South,37,17,0.133,1,0.1216
BAT-0143,South,17,34,0.467,0,0.1615
BAT-0144,South,17,28,0.148,0,0.0752
BAT-0145,South,41,31,0.69,2,0.4535
BAT-0146,South,49,18,0.506,0,0.1998
BAT-0147,South,28,28,0.242,0,0.1507
BAT-0148,South,38,25,0.251,1,0.2146
BAT-0149,South,10,2,0.293,0,0.0311
BAT-0150,South,17,29,0.04,1,0.1477
BAT-0151,South,31,25,0.4,0,0.1131
BAT-0152,South,46,22,0.192,0,0.1611
BAT-0153,South,7,1,0.336,1,0.0441
BAT-0154,South,43,16,0.496,2,0.2576
BAT-0155,South,23,27,0.108,0,0.1234
BAT-0156,South,58,11,0.125,0,0.1444
BAT-0157,South,54,41,0.433,1,0.5111
BAT-0158,South,36,7,0.652,0,0.1334
BAT-0159,South,41,34,0.456,1,0.2735
BAT-0160,South,29,41,0.383,2,0.3929
BAT-0161,South,42,34,0.395,1,0.3297
BAT-0162,South,10,20,0.511,1,0.1114
BAT-0163,South,17,13,0.306,0,0.0607
BAT-0164,South,33,31,0.345,0,0.1577
BAT-0165,South,20,12,0.363,1,0.0875
BAT-0166,South,57,33,0.356,0,0.3297
BAT-0167,South,48,38,0.592,0,0.4029
BAT-0168,South,52,1,0.417,0,0.0877
BAT-0169,South,60,7,0.414,2,0.27
BAT-0170,South,44,26,0.436,0,0.1992
BAT-0171,South,16,27,0.061,0,0.0709
BAT-0172,South,12,2,0.316,1,0.0509
BAT-0173,South,8,31,0.185,1,0.1067
BAT-0174,South,55,13,0.746,1,0.3045
BAT-0175,South,50,27,0.314,0,0.2115
BAT-0176,South,57,37,0.318,0,0.3391
BAT-0177,South,26,7,0.014,0,0.056
BAT-0178,South,12,29,0.264,1,0.1455
BAT-0179,South,45,27,0.268,0,0.2159
BAT-0180,South,49,26,0.179,0,0.2146
