day,period,help_requests
1,Opening hour,1
1,Class change,6
1,Evening hour,1
2,Opening hour,1
2,Class change,5
2,Evening hour,0
3,Opening hour,2
3,Class change,5
3,Evening hour,3
4,Opening hour,2
4,Class change,6
4,Evening hour,2
5,Opening hour,3
5,Class change,9
5,Evening hour,4
6,Opening hour,1
6,Class change,3
6,Evening hour,2
7,Opening hour,0
7,Class change,6
7,Evening hour,3
8,Opening hour,2
8,Class change,6
8,Evening hour,3
9,Opening hour,1
9,Class change,5
9,Evening hour,1
10,Opening hour,2
10,Class change,5
10,Evening hour,0
11,Opening hour,3
11,Class change,6
11,Evening hour,2
12,Opening hour,1
12,Class change,5
12,Evening hour,1
13,Opening hour,1
13,Class change,3
13,Evening hour,2
14,Opening hour,2
14,Class change,6
14,Evening hour,3
15,Opening hour,0
15,Class change,5
15,Evening hour,1
16,Opening hour,0
16,Class change,5
16,Evening hour,1
17,Opening hour,1
17,Class change,1
17,Evening hour,1
18,Opening hour,0
18,Class change,4
18,Evening hour,1
19,Opening hour,3
19,Class change,4
19,Evening hour,3
20,Opening hour,1
20,Class change,6
20,Evening hour,1
21,Opening hour,2
21,Class change,4
21,Evening hour,1
22,Opening hour,2
22,Class change,1
22,Evening hour,1
23,Opening hour,0
23,Class change,9
23,Evening hour,4
24,Opening hour,0
24,Class change,5
24,Evening hour,5
25,Opening hour,1
25,Class change,4
25,Evening hour,3
26,Opening hour,5
26,Class change,2
26,Evening hour,1
27,Opening hour,3
27,Class change,5
27,Evening hour,1
28,Opening hour,1
28,Class change,4
28,Evening hour,1
29,Opening hour,2
29,Class change,6
29,Evening hour,0
30,Opening hour,3
30,Class change,5
30,Evening hour,1
31,Opening hour,1
31,Class change,4
31,Evening hour,4
32,Opening hour,1
32,Class change,3
32,Evening hour,1
33,Opening hour,1
33,Class change,10
33,Evening hour,1
34,Opening hour,0
34,Class change,6
34,Evening hour,0
35,Opening hour,0
35,Class change,4
35,Evening hour,2
36,Opening hour,0
36,Class change,4
36,Evening hour,2
37,Opening hour,0
37,Class change,0
37,Evening hour,4
38,Opening hour,1
38,Class change,1
38,Evening hour,1
39,Opening hour,1
39,Class change,2
39,Evening hour,2
40,Opening hour,2
40,Class change,3
40,Evening hour,3
41,Opening hour,1
41,Class change,2
41,Evening hour,0
42,Opening hour,4
42,Class change,7
42,Evening hour,0
43,Opening hour,0
43,Class change,3
43,Evening hour,2
44,Opening hour,2
44,Class change,4
44,Evening hour,2
45,Opening hour,0
45,Class change,5
45,Evening hour,4
46,Opening hour,3
46,Class change,7
46,Evening hour,2
47,Opening hour,2
47,Class change,3
47,Evening hour,2
48,Opening hour,1
48,Class change,2
48,Evening hour,3
49,Opening hour,0
49,Class change,7
49,Evening hour,4
50,Opening hour,2
50,Class change,7
50,Evening hour,2
51,Opening hour,0
51,Class change,5
51,Evening hour,1
52,Opening hour,2
52,Class change,5
52,Evening hour,4
53,Opening hour,1
53,Class change,2
53,Evening hour,4
54,Opening hour,1
54,Class change,3
54,Evening hour,3
55,Opening hour,0
55,Class change,6
55,Evening hour,0
56,Opening hour,2
56,Class change,4
56,Evening hour,1
57,Opening hour,0
57,Class change,5
57,Evening hour,0
58,Opening hour,1
58,Class change,0
58,Evening hour,3
59,Opening hour,3
59,Class change,4
59,Evening hour,2
60,Opening hour,1
60,Class change,4
60,Evening hour,3
61,Opening hour,0
61,Class change,2
61,Evening hour,0
62,Opening hour,0
62,Class change,4
62,Evening hour,0
63,Opening hour,1
63,Class change,5
63,Evening hour,1
64,Opening hour,0
64,Class change,7
64,Evening hour,1
65,Opening hour,1
65,Class change,7
65,Evening hour,3
66,Opening hour,2
66,Class change,2
66,Evening hour,4
67,Opening hour,3
67,Class change,4
67,Evening hour,0
68,Opening hour,0
68,Class change,4
68,Evening hour,3
69,Opening hour,1
69,Class change,12
69,Evening hour,2
70,Opening hour,1
70,Class change,4
70,Evening hour,0
71,Opening hour,3
71,Class change,6
71,Evening hour,4
72,Opening hour,3
72,Class change,6
72,Evening hour,2
73,Opening hour,1
73,Class change,4
73,Evening hour,3
74,Opening hour,3
74,Class change,3
74,Evening hour,1
75,Opening hour,1
75,Class change,0
75,Evening hour,0
76,Opening hour,3
76,Class change,7
76,Evening hour,2
77,Opening hour,0
77,Class change,7
77,Evening hour,3
78,Opening hour,3
78,Class change,11
78,Evening hour,0
79,Opening hour,1
79,Class change,4
79,Evening hour,4
80,Opening hour,0
80,Class change,3
80,Evening hour,3
81,Opening hour,0
81,Class change,5
81,Evening hour,0
82,Opening hour,0
82,Class change,2
82,Evening hour,1
83,Opening hour,0
83,Class change,5
83,Evening hour,4
84,Opening hour,1
84,Class change,9
84,Evening hour,1
85,Opening hour,2
85,Class change,7
85,Evening hour,2
86,Opening hour,1
86,Class change,2
86,Evening hour,2
87,Opening hour,2
87,Class change,5
87,Evening hour,2
88,Opening hour,0
88,Class change,4
88,Evening hour,2
89,Opening hour,1
89,Class change,2
89,Evening hour,0
90,Opening hour,1
90,Class change,5
90,Evening hour,3
