batch_id,parcel_count,staff_count,belt_speed_m_per_min,processing_seconds
SORT-001,146,3,13.6,132.7
SORT-002,106,4,14.1,90.9
SORT-003,61,2,10.4,66.8
SORT-004,86,5,12.5,68.0
SORT-005,153,4,10.6,126.7
SORT-006,169,4,11.0,151.4
SORT-007,89,6,21.3,56.2
SORT-008,91,4,14.2,75.9
SORT-009,36,3,17.3,25.3
SORT-010,138,4,11.9,116.8
SORT-011,21,6,14.2,-13.2
SORT-012,125,6,21.6,90.1
SORT-013,19,3,17.9,9.5
SORT-014,80,5,11.2,62.9
SORT-015,65,2,11.2,67.7
SORT-016,167,3,14.0,156.1
SORT-017,176,4,18.4,149.1
SORT-018,79,6,11.0,52.8
SORT-019,116,3,16.3,100.1
SORT-020,179,3,11.1,158.7
SORT-021,68,2,14.1,71.7
SORT-022,55,5,10.8,43.6
SORT-023,117,5,17.8,85.2
SORT-024,73,5,18.3,52.9
SORT-025,18,6,10.1,4.0
SORT-026,28,3,15.5,22.5
SORT-027,171,2,21.6,151.7
SORT-028,43,4,14.2,34.0
SORT-029,155,5,13.9,130.5
SORT-030,107,5,19.9,78.8
SORT-031,98,3,11.0,95.6
SORT-032,60,2,12.7,70.8
SORT-033,31,3,13.3,22.5
SORT-034,93,3,11.5,85.6
SORT-035,122,6,18.5,89.4
SORT-036,173,2,10.3,174.1
SORT-037,39,2,15.5,38.3
SORT-038,50,5,16.1,30.4
SORT-039,108,6,16.4,72.3
SORT-040,54,5,10.9,35.6
