ticket_id,prediction_at,channel,priority,customer_plan,message_word_count,open_ticket_backlog,previous_30d_contacts,opened_hour,opened_weekday,first_response_minutes,missed_8h_sla,label_available_at
TKT-0001,2026-01-05T00:00:00+0000,chat,low,basic,59,12,0.0,0,0,150,0,2026-01-05T02:30:00+0000
TKT-0002,2026-01-05T04:00:00+0000,chat,low,enterprise,62,17,3.0,4,0,102,0,2026-01-05T05:42:00+0000
TKT-0003,2026-01-05T08:00:00+0000,web,low,team,58,13,3.0,8,0,230,0,2026-01-05T11:50:00+0000
TKT-0004,2026-01-05T12:00:00+0000,email,normal,basic,58,18,0.0,12,0,176,0,2026-01-05T14:56:00+0000
TKT-0005,2026-01-05T16:00:00+0000,web,normal,basic,57,16,2.0,16,0,690,1,2026-01-06T00:00:00+0000
TKT-0006,2026-01-05T20:00:00+0000,email,normal,team,51,21,3.0,20,0,207,0,2026-01-05T23:27:00+0000
TKT-0007,2026-01-06T00:00:00+0000,web,normal,basic,50,13,0.0,0,1,58,0,2026-01-06T00:58:00+0000
TKT-0008,2026-01-06T04:00:00+0000,chat,normal,enterprise,49,23,1.0,4,1,46,0,2026-01-06T04:46:00+0000
TKT-0009,2026-01-06T08:00:00+0000,email,normal,basic,45,18,1.0,8,1,68,0,2026-01-06T09:08:00+0000
TKT-0010,2026-01-06T12:00:00+0000,email,normal,basic,66,16,2.0,12,1,40,0,2026-01-06T12:40:00+0000
TKT-0011,2026-01-06T16:00:00+0000,web,normal,team,51,17,0.0,16,1,239,0,2026-01-06T19:59:00+0000
TKT-0012,2026-01-06T20:00:00+0000,email,normal,basic,56,15,3.0,20,1,61,0,2026-01-06T21:01:00+0000
TKT-0013,2026-01-07T00:00:00+0000,web,normal,basic,72,15,1.0,0,2,99,0,2026-01-07T01:39:00+0000
TKT-0014,2026-01-07T04:00:00+0000,email,low,basic,44,14,2.0,4,2,171,0,2026-01-07T06:51:00+0000
TKT-0015,2026-01-07T08:00:00+0000,email,normal,basic,66,11,0.0,8,2,256,0,2026-01-07T12:16:00+0000
TKT-0016,2026-01-07T12:00:00+0000,email,normal,team,42,13,0.0,12,2,87,0,2026-01-07T13:27:00+0000
TKT-0017,2026-01-07T16:00:00+0000,chat,normal,basic,57,16,2.0,16,2,118,0,2026-01-07T17:58:00+0000
TKT-0018,2026-01-07T20:00:00+0000,email,low,team,58,11,0.0,20,2,95,0,2026-01-07T21:35:00+0000
TKT-0019,2026-01-08T00:00:00+0000,email,high,basic,45,11,2.0,0,3,255,0,2026-01-08T04:15:00+0000
TKT-0020,2026-01-08T04:00:00+0000,web,high,basic,61,16,5.0,4,3,136,0,2026-01-08T06:16:00+0000
TKT-0021,2026-01-08T08:00:00+0000,email,low,basic,57,17,1.0,8,3,27,0,2026-01-08T08:27:00+0000
TKT-0022,2026-01-08T12:00:00+0000,email,high,enterprise,57,15,2.0,12,3,173,0,2026-01-08T14:53:00+0000
TKT-0023,2026-01-08T16:00:00+0000,email,low,basic,56,15,2.0,16,3,85,0,2026-01-08T17:25:00+0000
TKT-0024,2026-01-08T20:00:00+0000,email,high,basic,56,17,1.0,20,3,771,1,2026-01-09T04:00:00+0000
TKT-0025,2026-01-09T00:00:00+0000,email,normal,team,62,15,1.0,0,4,76,0,2026-01-09T01:16:00+0000
TKT-0026,2026-01-09T04:00:00+0000,web,high,enterprise,81,18,2.0,4,4,74,0,2026-01-09T05:14:00+0000
TKT-0027,2026-01-09T08:00:00+0000,email,normal,team,65,8,2.0,8,4,366,0,2026-01-09T14:06:00+0000
TKT-0028,2026-01-09T12:00:00+0000,email,low,team,63,18,2.0,12,4,96,0,2026-01-09T13:36:00+0000
TKT-0029,2026-01-09T16:00:00+0000,email,normal,basic,46,9,0.0,16,4,141,0,2026-01-09T18:21:00+0000
TKT-0030,2026-01-09T20:00:00+0000,chat,low,basic,70,7,2.0,20,4,688,1,2026-01-10T04:00:00+0000
TKT-0031,2026-01-10T00:00:00+0000,chat,low,team,57,3,1.0,0,5,43,0,2026-01-10T00:43:00+0000
TKT-0032,2026-01-10T04:00:00+0000,email,low,enterprise,61,16,0.0,4,5,648,1,2026-01-10T12:00:00+0000
TKT-0033,2026-01-10T08:00:00+0000,chat,high,basic,60,14,2.0,8,5,268,0,2026-01-10T12:28:00+0000
TKT-0034,2026-01-10T12:00:00+0000,chat,normal,basic,59,9,2.0,12,5,60,0,2026-01-10T13:00:00+0000
TKT-0035,2026-01-10T16:00:00+0000,email,high,basic,52,9,0.0,16,5,984,1,2026-01-11T00:00:00+0000
TKT-0036,2026-01-10T20:00:00+0000,web,normal,basic,59,15,0.0,20,5,127,0,2026-01-10T22:07:00+0000
TKT-0037,2026-01-11T00:00:00+0000,chat,normal,basic,58,7,3.0,0,6,494,1,2026-01-11T08:00:00+0000
TKT-0038,2026-01-11T04:00:00+0000,email,low,enterprise,53,8,3.0,4,6,67,0,2026-01-11T05:07:00+0000
TKT-0039,2026-01-11T08:00:00+0000,email,low,team,64,9,0.0,8,6,643,1,2026-01-11T16:00:00+0000
TKT-0040,2026-01-11T12:00:00+0000,email,normal,,47,6,1.0,12,6,206,0,2026-01-11T15:26:00+0000
TKT-0041,2026-01-11T16:00:00+0000,email,normal,team,49,19,0.0,16,6,661,1,2026-01-12T00:00:00+0000
