timestamp,hour,temperature_c,is_weekend,demand_kwh
2026-01-01 00:00:00,0,6.07,0,160.25
2026-01-01 01:00:00,1,7.51,0,160.0
2026-01-01 02:00:00,2,4.96,0,169.02
2026-01-01 03:00:00,3,10.45,0,163.26
2026-01-01 04:00:00,4,8.43,0,158.54
2026-01-01 05:00:00,5,11.35,0,149.16
2026-01-01 06:00:00,6,14.19,0,145.31
2026-01-01 07:00:00,7,15.32,0,140.24
2026-01-01 08:00:00,8,15.75,0,133.74
2026-01-01 09:00:00,9,20.25,0,127.03
2026-01-01 10:00:00,10,19.94,0,126.78
2026-01-01 11:00:00,11,20.52,0,139.98
2026-01-01 12:00:00,12,20.76,0,143.1
2026-01-01 13:00:00,13,20.25,0,132.01
2026-01-01 14:00:00,14,23.43,0,139.96
2026-01-01 15:00:00,15,20.12,0,123.35
2026-01-01 16:00:00,16,20.11,0,129.72
2026-01-01 17:00:00,17,16.58,0,159.62
2026-01-01 18:00:00,18,16.7,0,148.85
2026-01-01 19:00:00,19,17.81,0,155.71
2026-01-01 20:00:00,20,11.64,0,165.62
2026-01-01 21:00:00,21,12.0,0,174.25
2026-01-01 22:00:00,22,9.33,0,152.65
2026-01-01 23:00:00,23,10.76,0,151.29
2026-01-02 00:00:00,0,11.22,0,144.46
2026-01-02 01:00:00,1,10.64,0,151.19
2026-01-02 02:00:00,2,6.55,0,167.04
2026-01-02 03:00:00,3,10.33,0,161.93
2026-01-02 04:00:00,4,7.85,0,158.29
2026-01-02 05:00:00,5,10.06,0,153.97
2026-01-02 06:00:00,6,14.08,0,143.1
2026-01-02 07:00:00,7,16.01,0,145.99
2026-01-02 08:00:00,8,17.16,0,148.28
2026-01-02 09:00:00,9,19.22,0,130.69
2026-01-02 10:00:00,10,21.23,0,138.94
2026-01-02 11:00:00,11,20.05,0,134.4
2026-01-02 12:00:00,12,23.25,0,143.27
2026-01-02 13:00:00,13,21.4,0,138.63
2026-01-02 14:00:00,14,22.76,0,137.98
2026-01-02 15:00:00,15,23.3,0,139.63
2026-01-02 16:00:00,16,21.78,0,133.85
2026-01-02 17:00:00,17,18.96,0,144.68
2026-01-02 18:00:00,18,16.74,0,155.24
2026-01-02 19:00:00,19,16.53,0,167.99
2026-01-02 20:00:00,20,15.52,0,171.17
