sequence_id,split,step,temperature_c,door_open,vibration_g,risk_label,event_step
room_0000,train,0,3.589,0,0.204,0,-1
room_0000,train,1,3.721,0,0.214,0,-1
room_0000,train,2,3.677,0,0.192,0,-1
room_0000,train,3,3.384,0,0.216,0,-1
room_0000,train,4,3.784,0,0.236,0,-1
room_0000,train,5,3.914,0,0.218,0,-1
room_0000,train,6,3.987,0,0.284,0,-1
room_0000,train,7,4.112,0,0.099,0,-1
room_0000,train,8,3.794,0,0.266,0,-1
room_0000,train,9,4.116,0,0.227,0,-1
room_0000,train,10,4.057,0,0.167,0,-1
room_0000,train,11,3.195,0,0.167,0,-1
room_0000,train,12,4.048,0,0.28,0,-1
room_0000,train,13,10.234,0,0.212,0,-1
room_0000,train,14,4.26,0,0.21,0,-1
room_0001,test,0,4.431,1,0.246,1,5
room_0001,test,1,3.673,0,0.252,1,5
room_0001,test,2,4.64,0,0.17,1,5
room_0001,test,3,4.028,0,0.184,1,5
room_0001,test,4,4.014,0,0.152,1,5
room_0001,test,5,10.75,1,0.942,1,5
room_0001,test,6,3.342,0,0.221,1,5
room_0001,test,7,4.011,0,0.206,1,5
room_0001,test,8,4.221,0,0.224,1,5
room_0001,test,9,4.7,0,0.193,1,5
room_0001,test,10,3.617,0,0.298,1,5
room_0002,train,0,3.663,0,0.113,0,-1
room_0002,train,1,4.676,0,0.274,0,-1
room_0002,train,2,3.711,0,0.238,0,-1
room_0002,train,3,4.366,0,0.208,0,-1
room_0002,train,4,4.41,0,0.201,0,-1
room_0002,train,5,3.197,0,0.05,0,-1
room_0002,train,6,4.196,0,0.204,0,-1
room_0002,train,7,4.384,0,0.147,0,-1
room_0002,train,8,3.816,1,0.191,0,-1
room_0003,train,0,4.509,0,0.181,0,-1
room_0003,train,1,3.666,0,0.222,0,-1
room_0003,train,2,3.076,1,0.187,0,-1
room_0003,train,3,9.171,0,0.166,0,-1
room_0003,train,4,4.76,0,0.194,0,-1
room_0003,train,5,3.803,0,0.195,0,-1
room_0003,train,6,4.443,0,0.218,0,-1
room_0003,train,7,3.956,0,0.178,0,-1
room_0003,train,8,3.945,0,0.191,0,-1
room_0003,train,9,4.014,0,0.145,0,-1
room_0004,train,0,3.666,0,0.162,0,-1
room_0004,train,1,3.977,1,0.892,0,-1
room_0004,train,2,3.709,0,0.223,0,-1
room_0004,train,3,4.189,0,0.228,0,-1
room_0004,train,4,3.686,0,0.224,0,-1
room_0004,train,5,3.701,0,0.229,0,-1
room_0004,train,6,4.008,0,0.28,0,-1
room_0004,train,7,4.334,0,0.22,0,-1
room_0004,train,8,3.664,0,0.237,0,-1
room_0004,train,9,3.812,0,0.21,0,-1
room_0005,train,0,3.636,0,0.247,0,-1
room_0005,train,1,4.248,0,0.221,0,-1
room_0005,train,2,5.255,0,0.22,0,-1
room_0005,train,3,4.291,1,0.215,0,-1
room_0005,train,4,3.558,0,0.166,0,-1
room_0005,train,5,3.821,0,0.21,0,-1
room_0005,train,6,4.127,1,0.283,0,-1
room_0005,train,7,2.569,1,0.239,0,-1
room_0005,train,8,3.967,0,0.173,0,-1
room_0005,train,9,5.038,0,0.178,0,-1
room_0005,train,10,4.234,0,0.173,0,-1
room_0006,train,0,3.749,0,0.196,1,3
room_0006,train,1,3.932,0,0.198,1,3
room_0006,train,2,4.124,0,0.207,1,3
room_0006,train,3,9.856,1,0.918,1,3
room_0006,train,4,4.115,0,0.248,1,3
room_0006,train,5,3.33,0,0.217,1,3
room_0006,train,6,4.446,1,0.199,1,3
room_0006,train,7,4.997,0,0.199,1,3
room_0006,train,8,3.548,0,0.204,1,3
