check_id,pump_age_months,operating_load_pct,motor_temperature_c,vibration_mm_s,starts_24h,days_since_service,fault_within_7_days
PUMP-00001,27,42.0,47.9,1.69,11,44.7,0
PUMP-00002,109,43.6,59.5,2.97,20,58.9,0
PUMP-00003,112,68.3,55.4,4.34,21,107.4,0
PUMP-00004,137,67.4,58.2,8.23,23,109.5,0
PUMP-00005,136,67.4,57.8,2.7,22,95.5,0
PUMP-00006,91,79.6,62.5,6.15,25,104.0,0
PUMP-00007,53,37.5,55.8,2.16,20,130.9,0
PUMP-00008,60,79.3,60.8,3.16,21,74.3,0
PUMP-00009,143,55.9,53.5,3.77,24,198.2,1
PUMP-00010,144,68.3,69.7,3.34,21,41.3,0
PUMP-00011,91,76.1,54.4,3.3,36,101.8,0
PUMP-00012,114,68.8,62.6,2.38,22,106.6,0
PUMP-00013,106,54.2,54.5,2.69,18,56.4,0
PUMP-00014,113,45.4,63.9,2.05,13,118.6,1
PUMP-00015,124,42.8,54.9,3.24,22,15.9,0
PUMP-00016,91,66.0,67.0,5.74,15,110.2,0
PUMP-00017,28,48.5,56.7,2.11,18,17.0,0
PUMP-00018,86,88.1,66.6,2.58,31,67.5,0
PUMP-00019,21,56.2,54.0,3.3,16,88.3,0
PUMP-00020,37,69.8,57.9,2.07,18,37.8,0
PUMP-00021,24,83.1,54.9,3.23,31,238.5,0
PUMP-00022,54,66.6,54.8,3.47,17,64.6,0
PUMP-00023,12,99.2,61.8,5.04,31,27.8,0
PUMP-00024,109,48.7,61.3,3.89,18,41.8,0
PUMP-00025,88,71.0,56.6,3.49,14,319.2,0
PUMP-00026,50,27.4,59.3,4.04,13,39.4,0
PUMP-00027,27,62.7,58.1,3.82,15,7.8,0
PUMP-00028,8,52.3,52.8,1.13,25,36.1,0
PUMP-00029,16,63.4,51.7,2.95,19,62.9,0
PUMP-00030,99,76.3,64.2,4.08,17,36.6,0
PUMP-00031,80,64.5,56.2,1.78,24,44.9,0
PUMP-00032,39,68.8,58.5,2.74,25,25.2,0
PUMP-00033,93,53.9,58.7,3.16,14,55.5,0
PUMP-00034,89,55.6,65.7,2.28,16,40.0,0
PUMP-00035,100,37.9,54.7,3.64,14,73.9,0
PUMP-00036,59,52.6,53.7,3.25,22,21.5,0
PUMP-00037,97,61.1,52.0,2.42,29,35.9,0
PUMP-00038,46,77.2,53.4,1.53,27,118.1,0
PUMP-00039,28,69.9,58.9,2.34,26,115.2,0
PUMP-00040,6,15.0,44.1,1.59,13,32.8,0
PUMP-00041,115,69.2,61.8,4.66,25,30.3,0
PUMP-00042,32,45.4,45.9,0.99,21,80.5,0
PUMP-00043,81,73.9,65.0,3.0,25,59.6,0
PUMP-00044,65,46.5,51.4,1.83,17,54.3,0
PUMP-00045,112,68.4,60.7,4.79,24,14.6,0
PUMP-00046,119,31.0,54.8,3.73,21,175.6,0
PUMP-00047,52,66.9,52.9,3.28,21,73.3,0
PUMP-00048,30,79.1,61.3,1.9,18,52.0,0
PUMP-00049,44,100.0,63.5,2.37,31,56.9,0
PUMP-00050,90,58.7,60.6,6.0,22,66.5,0
PUMP-00051,51,85.5,61.4,3.1,25,105.8,1
PUMP-00052,63,35.0,56.8,1.54,21,22.4,0
PUMP-00053,114,74.8,62.4,2.83,33,83.4,0
PUMP-00054,115,84.3,62.1,3.42,22,36.4,0
PUMP-00055,51,78.1,62.6,2.59,21,38.8,0
PUMP-00056,6,47.7,61.4,4.42,12,28.8,0
PUMP-00057,75,73.6,55.6,3.35,16,28.2,0
PUMP-00058,46,53.7,53.1,2.06,15,85.5,0
PUMP-00059,15,61.0,60.9,2.6,23,60.6,0
PUMP-00060,105,78.1,59.9,2.87,21,87.0,0
PUMP-00061,82,80.2,57.0,4.47,28,102.3,1
PUMP-00062,67,93.1,61.9,3.11,24,80.3,0
PUMP-00063,123,58.8,56.2,1.73,19,150.7,0
PUMP-00064,35,89.5,59.7,4.25,15,68.3,1
PUMP-00065,87,58.5,65.5,2.52,19,164.1,0
PUMP-00066,58,30.3,53.9,2.83,12,101.9,0
PUMP-00067,126,40.9,57.5,3.54,14,108.9,0
PUMP-00068,126,75.2,60.8,3.41,22,83.5,0
PUMP-00069,17,65.3,61.1,5.13,16,53.9,0
PUMP-00070,68,82.9,58.0,3.94,14,72.7,0
PUMP-00071,123,42.4,58.2,2.19,25,16.5,0
PUMP-00072,130,73.4,67.2,2.19,27,86.1,0
PUMP-00073,133,69.8,60.8,2.55,25,34.5,0
PUMP-00074,23,35.4,53.9,3.46,20,102.9,0
PUMP-00075,65,22.8,47.1,3.83,10,32.2,0
PUMP-00076,59,89.2,62.3,4.55,21,135.6,1
PUMP-00077,105,76.7,64.2,4.63,19,111.5,0
PUMP-00078,93,73.2,50.0,4.95,16,31.1,0
PUMP-00079,133,61.8,61.3,4.39,21,30.1,0
PUMP-00080,141,52.2,52.6,4.31,17,69.5,0
PUMP-00081,79,63.5,55.2,2.7,20,90.8,0
PUMP-00082,46,70.2,60.4,3.07,19,40.7,0
PUMP-00083,44,78.9,66.4,3.15,27,18.4,0
PUMP-00084,11,45.5,52.3,3.6,9,144.0,1
PUMP-00085,114,59.7,55.4,4.06,16,30.8,0
PUMP-00086,131,69.1,57.8,3.47,16,96.7,0
PUMP-00087,90,51.4,57.2,1.98,9,54.1,0
PUMP-00088,90,51.1,52.4,6.23,22,47.4,0
PUMP-00089,64,68.3,64.0,3.69,22,50.3,0
PUMP-00090,90,85.7,60.8,4.91,25,90.4,0
PUMP-00091,95,26.3,45.6,2.57,15,34.6,0
PUMP-00092,66,43.6,51.9,4.56,8,82.5,0
PUMP-00093,44,46.0,51.5,4.04,13,100.7,0
PUMP-00094,37,29.9,48.9,5.28,22,54.6,0
PUMP-00095,144,40.0,58.1,2.94,10,107.8,0
PUMP-00096,23,50.9,53.7,1.37,23,118.4,0
PUMP-00097,130,31.4,52.7,2.16,15,224.3,0
PUMP-00098,47,67.0,52.6,5.17,16,57.6,0
PUMP-00099,121,58.8,68.9,3.07,21,89.4,0
PUMP-00100,41,53.8,51.8,3.08,22,95.9,0
PUMP-00101,82,63.0,54.7,4.56,15,128.1,0
PUMP-00102,87,58.7,63.4,2.29,21,11.9,0
PUMP-00103,34,48.1,52.0,7.15,27,232.1,0
PUMP-00104,98,47.0,58.0,1.83,23,90.0,0
PUMP-00105,123,42.9,57.5,3.69,20,119.4,0
PUMP-00106,123,84.2,51.4,3.3,12,108.0,1
PUMP-00107,68,69.2,58.9,3.84,25,21.7,0
PUMP-00108,15,71.1,60.8,3.51,25,125.7,0
PUMP-00109,55,45.4,55.6,2.27,18,55.6,0
