step,event_type,container_id,open_flag_count,full_history_bytes,bounded_memory_bytes,full_history_cumulative_bytes,bounded_memory_cumulative_bytes,request_reduction_pct
1,inspect_container,COLD-001,0,567,680,567,680,-19.9
2,inspect_container,COLD-002,0,706,819,1273,1499,-16.0
3,inspect_container,COLD-003,0,846,959,2119,2458,-13.4
4,inspect_container,COLD-004,1,995,1160,3114,3618,-16.6
5,inspect_container,COLD-005,1,1135,1160,4249,4778,-2.2
6,inspect_container,COLD-006,1,1274,1160,5523,5938,8.9
7,resolve_flag,COLD-004,0,1363,1057,6886,6995,22.5
8,inspect_container,COLD-007,1,1514,1112,8400,8107,26.6
9,inspect_container,COLD-008,1,1653,1111,10053,9218,32.8
10,inspect_container,COLD-009,1,1793,1113,11846,10331,37.9
11,inspect_container,COLD-010,1,1932,1164,13778,11495,39.8
12,inspect_container,COLD-011,2,2084,1220,15862,12715,41.5
13,inspect_container,COLD-012,2,2223,1220,18085,13935,45.1
14,resolve_flag,COLD-007,1,2322,1125,20407,15060,51.6
15,inspect_container,COLD-013,1,2462,1127,22869,16187,54.2
16,inspect_container,COLD-014,1,2601,1114,25470,17301,57.2
17,inspect_container,COLD-015,2,2751,1177,28221,18478,57.2
18,inspect_container,COLD-016,2,2890,1217,31111,19695,57.9
19,inspect_container,COLD-017,2,3030,1217,34141,20912,59.8
20,inspect_container,COLD-018,2,3169,1217,37310,22129,61.6
21,resolve_flag,COLD-011,1,3261,1104,40571,23233,66.1
22,inspect_container,COLD-019,2,3412,1170,43983,24403,65.7
23,inspect_container,COLD-020,2,3551,1169,47534,25572,67.1
24,inspect_container,COLD-021,2,3691,1170,51225,26742,68.3
25,resolve_flag,COLD-015,1,3775,1110,55000,27852,70.6
26,inspect_container,COLD-022,1,3914,1098,58914,28950,71.9
27,inspect_container,COLD-023,2,4066,1166,62980,30116,71.3
28,inspect_container,COLD-024,2,4205,1165,67185,31281,72.3
29,resolve_flag,COLD-019,1,4299,1121,71484,32402,73.9
