interval_id,bikes_available,open_docks,departures_last_30m,arrivals_last_30m,hour,is_weekend,empty_within_30m
BI-0001,7,20,1,2,21,0,0
BI-0002,15,0,3,2,12,0,0
BI-0003,9,10,0,2,21,0,0
BI-0004,10,19,7,5,16,0,0
BI-0005,20,8,6,5,21,0,0
BI-0006,5,15,1,5,3,0,1
BI-0007,9,9,4,1,11,0,0
BI-0008,13,1,0,4,15,0,0
BI-0009,4,15,3,2,4,0,1
BI-0010,1,28,1,2,13,1,0
BI-0011,3,19,1,2,23,1,0
BI-0012,3,29,7,6,17,0,0
BI-0013,9,9,0,2,13,1,0
BI-0014,9,18,1,3,3,0,0
BI-0015,11,22,1,3,19,0,0
BI-0016,8,6,4,1,15,1,0
BI-0017,30,1,2,2,11,0,0
BI-0018,2,12,5,4,8,0,1
BI-0019,3,17,2,5,20,0,1
BI-0020,13,21,3,2,22,0,0
BI-0021,20,1,3,3,13,0,0
BI-0022,27,2,1,1,21,0,0
BI-0023,2,15,3,0,11,0,1
BI-0024,8,16,2,1,15,0,0
BI-0025,17,6,0,3,23,1,0
BI-0026,14,16,4,2,3,0,0
BI-0027,13,5,6,5,9,0,0
BI-0028,2,19,3,2,10,0,1
BI-0029,23,10,5,1,3,0,0
BI-0030,1,30,2,5,18,0,1
BI-0031,15,0,3,1,1,0,0
BI-0032,13,8,5,4,7,0,0
BI-0033,9,12,4,6,16,0,1
BI-0034,21,4,8,5,9,0,0
BI-0035,22,14,5,1,4,0,0
BI-0036,10,12,1,2,23,1,0
BI-0037,15,2,10,5,9,0,1
BI-0038,14,3,3,3,19,0,0
BI-0039,0,20,2,3,23,0,0
BI-0040,19,11,1,2,2,1,0
BI-0041,14,6,1,2,10,0,0
BI-0042,11,7,1,0,23,0,0
BI-0043,12,11,3,3,3,0,0
BI-0044,15,12,1,2,10,0,0
BI-0045,20,7,3,3,2,0,0
BI-0046,14,10,2,3,15,1,0
BI-0047,18,1,4,3,23,0,0
BI-0048,19,10,1,3,3,0,0
BI-0049,10,21,2,8,18,0,0
BI-0050,26,0,0,1,10,1,0
BI-0051,3,32,4,3,12,0,1
BI-0052,18,7,3,3,16,1,0
BI-0053,21,7,2,2,12,1,0
BI-0054,12,8,4,0,23,1,0
BI-0055,15,20,3,0,13,0,0
BI-0056,10,24,3,2,19,0,0
BI-0057,8,11,0,0,3,1,0
BI-0058,3,12,1,2,3,1,1
BI-0059,13,6,3,3,13,0,0
BI-0060,5,21,3,4,3,0,0
BI-0061,25,8,1,1,11,1,0
BI-0062,10,26,5,1,16,0,0
BI-0063,0,30,2,3,3,0,0
BI-0064,8,10,1,3,20,1,0
BI-0065,8,22,2,3,13,0,0
BI-0066,8,9,2,0,23,0,0
BI-0067,4,26,3,1,22,0,0
BI-0068,5,9,6,5,7,0,0
BI-0069,0,32,0,2,10,0,1
BI-0070,14,16,1,1,22,0,0
BI-0071,22,9,4,4,22,0,0
BI-0072,6,8,3,2,5,1,0
BI-0073,1,15,1,0,5,0,0
BI-0074,6,17,1,2,20,0,0
BI-0075,3,14,13,1,9,0,1
BI-0076,1,20,11,6,9,0,1
BI-0077,11,20,4,1,19,0,0
BI-0078,2,26,6,8,7,0,0
BI-0079,3,26,3,3,19,0,1
BI-0080,22,2,3,0,21,1,0
BI-0081,6,24,3,4,9,1,1
BI-0082,7,26,2,1,22,0,0
BI-0083,5,28,14,3,9,0,1
BI-0084,1,19,2,3,22,1,1
BI-0085,5,19,2,1,11,0,0
BI-0086,8,9,1,1,21,1,0
BI-0087,18,16,8,2,9,0,0
BI-0088,15,2,5,6,17,1,0
BI-0089,31,0,2,1,4,1,0
BI-0090,11,10,7,3,8,0,1
BI-0091,3,26,4,3,18,0,0
BI-0092,20,2,7,6,9,0,0
BI-0093,6,26,4,9,18,0,0
BI-0094,18,8,0,1,14,1,0
BI-0095,18,0,2,1,19,1,0
BI-0096,11,25,1,1,1,1,0
BI-0097,8,26,6,6,8,0,0
BI-0098,24,3,2,2,10,1,0
BI-0099,14,1,4,2,8,0,0
BI-0100,23,0,3,5,18,0,0
BI-0101,6,29,4,1,11,0,0
BI-0102,13,1,2,0,11,1,0
BI-0103,15,10,2,4,22,1,0
BI-0104,15,9,5,5,16,0,0
BI-0105,19,12,0,1,5,0,0
BI-0106,11,7,4,1,10,0,1
BI-0107,9,25,2,5,12,0,0
BI-0108,13,8,2,2,19,0,0
BI-0109,15,13,5,5,9,1,0
BI-0110,24,5,1,2,12,0,0
BI-0111,4,14,3,2,5,0,1
BI-0112,3,26,2,2,15,0,1
BI-0113,16,12,5,5,16,0,0
BI-0114,7,15,2,2,2,0,0
BI-0115,5,9,4,4,13,0,1
BI-0116,14,9,2,2,15,0,0
BI-0117,2,28,2,2,19,0,1
BI-0118,2,19,1,4,13,0,0
BI-0119,3,15,1,2,19,0,0
BI-0120,15,18,2,3,5,0,0
BI-0121,14,0,1,0,11,1,0
BI-0122,9,5,6,1,3,0,0
BI-0123,27,6,9,9,7,0,0
BI-0124,19,2,2,3,22,0,0
BI-0125,1,28,2,2,3,0,1
BI-0126,12,17,1,1,6,1,0
BI-0127,0,35,1,4,9,0,1
BI-0128,16,18,3,3,20,0,0
BI-0129,7,17,4,0,0,0,0
BI-0130,13,4,5,2,21,1,0
BI-0131,11,18,8,4,8,0,0
BI-0132,9,18,0,2,10,1,0
BI-0133,9,25,7,8,18,0,0
BI-0134,14,16,3,0,20,1,0
BI-0135,14,15,4,1,14,0,0
BI-0136,1,28,4,1,10,1,1
BI-0137,17,13,1,3,20,0,0
BI-0138,10,5,4,2,13,1,0
BI-0139,10,8,1,1,1,0,0
BI-0140,17,1,4,3,23,0,0
BI-0141,14,19,2,2,10,0,0
BI-0142,22,0,0,0,6,1,0
BI-0143,27,2,1,1,22,1,0
BI-0144,2,20,2,0,4,0,0
BI-0145,14,11,4,3,13,0,0
BI-0146,16,9,4,6,18,0,0
BI-0147,10,17,2,1,20,0,0
BI-0148,15,16,6,7,7,0,0
BI-0149,7,11,1,5,12,0,0
BI-0150,6,25,2,2,12,0,0
BI-0151,15,8,3,4,1,0,0
BI-0152,2,12,1,3,13,1,0
