sequence_id,split,step,row_type,component,reading,alert_label
TR-0001,training,0,reading,K,1.0558,0
TR-0001,training,1,reading,A,0.2519,0
TR-0001,training,2,reading,H,-2.4124,0
TR-0001,training,3,reading,E,-0.25,0
TR-0001,training,4,reading,C,0.25,0
TR-0001,training,5,reading,B,0.5471,0
TR-0001,training,6,reading,I,0.25,0
TR-0001,training,7,reading,L,0.9148,0
TR-0001,training,8,reading,J,0.8896,0
TR-0001,training,9,reading,D,-0.25,0
TR-0001,training,10,reading,G,-0.6841,0
TR-0001,training,11,reading,F,-1.4244,0
TR-0001,training,12,query,G,,0
TR-0002,training,0,reading,G,0.2606,1
TR-0002,training,1,reading,L,0.5721,1
TR-0002,training,2,reading,I,1.3934,1
TR-0002,training,3,reading,C,-0.6906,1
TR-0002,training,4,reading,H,1.328,1
TR-0002,training,5,reading,J,0.6281,1
TR-0002,training,6,reading,A,-0.8289,1
TR-0002,training,7,reading,F,-0.4025,1
TR-0002,training,8,reading,D,-1.7236,1
TR-0002,training,9,reading,E,-0.5261,1
TR-0002,training,10,reading,B,1.5821,1
TR-0002,training,11,reading,K,2.13,1
TR-0002,training,12,query,L,,1
TR-0003,training,0,reading,B,-1.3784,0
TR-0003,training,1,reading,C,-0.6072,0
TR-0003,training,2,reading,D,0.25,0
TR-0003,training,3,reading,H,-0.8005,0
TR-0003,training,4,reading,E,-0.25,0
TR-0003,training,5,reading,I,0.9976,0
TR-0003,training,6,reading,J,-0.25,0
TR-0003,training,7,reading,G,1.7562,0
TR-0003,training,8,reading,A,1.7138,0
TR-0003,training,9,reading,F,0.25,0
TR-0003,training,10,reading,K,0.348,0
TR-0003,training,11,reading,L,-0.9742,0
TR-0003,training,12,query,H,,0
TR-0004,training,0,reading,G,-1.0605,0
TR-0004,training,1,reading,D,-2.0335,0
TR-0004,training,2,reading,C,1.6199,0
TR-0004,training,3,reading,F,-0.5005,0
TR-0004,training,4,reading,J,-0.9298,0
TR-0004,training,5,reading,K,0.5002,0
TR-0004,training,6,reading,A,-0.3682,0
TR-0004,training,7,reading,E,-0.9658,0
TR-0004,training,8,reading,B,-0.25,0
TR-0004,training,9,reading,L,-0.25,0
TR-0004,training,10,reading,I,-1.3686,0
TR-0004,training,11,reading,H,0.25,0
TR-0004,training,12,query,J,,0
