motor_temperature_c,vibration_mm_s,belt_speed_m_min,load_kg,hours_since_service,failed_inspection
80.5,1.36,49.8,200.2,567,0
75.8,3.26,56.5,268.2,448,0
77.6,1.25,42.3,225.5,882,1
57.2,1.31,47.1,377.1,65,0
76.7,0.5,44.4,219.0,228,0
66.3,2.29,42.8,400.0,739,0
66.1,3.26,45.6,300.0,782,1
79.2,2.5,48.8,170.5,682,0
63.6,3.26,43.6,313.8,410,0
55.2,2.52,37.0,281.8,272,0
63.3,5.87,47.6,308.4,737,1
56.0,0.27,37.0,254.9,42,0
49.6,4.28,42.8,409.3,130,0
66.5,0.52,44.0,323.8,898,0
72.0,2.58,50.6,356.8,687,0
46.4,7.61,47.2,230.7,709,0
68.1,1.15,44.0,329.4,524,0
70.6,2.4,50.6,262.9,96,0
69.7,2.65,44.6,308.4,78,0
55.3,0.97,48.4,237.5,113,0
64.9,6.09,40.1,379.4,711,1
66.1,2.02,52.1,310.8,309,0
72.3,3.11,41.2,349.3,365,0
55.1,3.42,38.8,273.4,184,0
71.8,4.32,51.8,244.2,848,1
77.9,3.66,42.1,318.2,185,0
45.1,6.04,43.8,470.0,93,0
70.2,2.83,57.1,220.6,691,0
52.7,0.67,55.4,274.8,318,0
66.3,2.36,35.4,402.6,167,0
61.2,1.83,51.7,397.6,256,0
80.7,3.0,42.3,200.2,211,0
68.6,9.5,49.6,296.4,661,1
76.0,4.24,39.7,294.1,686,0
57.5,8.38,51.4,297.3,263,0
72.6,1.53,29.5,466.5,338,0
82.2,0.59,58.2,289.5,77,0
60.9,0.44,30.3,402.4,539,0
74.7,7.11,30.9,347.6,666,1
72.8,1.85,53.6,346.6,133,0
67.4,1.04,39.4,299.6,807,0
55.5,5.19,47.0,441.4,424,0
70.8,1.47,43.7,424.7,334,0
65.3,2.54,55.6,216.6,249,0
74.0,2.55,40.1,264.2,467,0
75.8,0.99,48.1,417.1,567,0
83.3,1.16,46.8,162.9,74,0
59.6,4.49,39.4,175.3,250,0
76.7,4.29,38.6,387.6,714,1
75.0,1.81,43.5,537.2,348,0
68.8,1.54,40.5,560.0,746,0
74.1,0.53,39.2,217.1,688,1
69.3,2.87,40.5,433.6,524,0
74.7,3.16,43.7,297.8,557,0
71.9,2.57,41.1,326.0,63,0
62.4,1.96,55.2,250.3,807,0
69.1,2.51,40.7,497.4,110,0
74.6,5.18,42.2,279.7,237,0
59.5,0.44,26.1,151.7,321,0
64.0,1.29,50.8,219.8,57,0
81.1,0.76,40.5,328.0,744,0
71.2,2.02,48.2,334.2,478,0
61.8,2.39,34.5,276.1,205,0
62.4,2.58,32.5,426.9,25,0
82.2,2.09,34.7,200.3,895,1
72.7,2.14,44.5,347.8,27,0
49.1,5.64,41.6,105.3,505,0
73.3,2.47,42.1,258.7,665,0
59.2,9.03,49.7,382.4,208,0
67.0,0.88,41.0,341.4,78,0
52.2,2.04,51.9,476.7,231,0
65.3,2.92,39.5,387.0,626,0
60.4,3.17,47.3,414.3,486,0
56.0,2.12,36.8,332.5,829,1
77.2,5.25,56.1,344.8,603,1
