inlet_pressure_kpa,motor_current_a,vibration_mm_s,bearing_temp_c,hours_since_service,needs_inspection
271.73,19.19,1.68,55.84,1589.6,1
337.23,17.84,1.27,64.3,829.8,0
296.64,20.7,0.78,50.28,743.0,0
320.36,16.43,0.71,52.26,1213.0,0
321.78,21.89,0.88,64.11,1371.3,0
241.86,19.44,0.48,50.03,1371.0,0
327.55,22.68,1.08,58.12,2021.6,0
276.18,18.27,1.37,52.75,1927.6,0
266.45,16.39,0.29,63.58,1687.7,0
349.06,21.7,2.67,54.66,1856.6,0
253.55,19.67,1.39,64.47,1887.1,0
254.39,16.37,4.55,76.62,664.4,1
280.55,22.25,2.9,62.34,13.6,0
359.21,18.35,2.46,76.26,1467.8,1
342.36,20.43,3.7,53.72,364.7,0
304.17,20.7,3.13,64.79,2206.9,1
373.25,17.53,3.9,57.8,273.9,0
283.4,16.81,1.21,61.56,166.6,0
247.16,16.61,2.13,66.87,50.0,0
333.44,17.11,0.99,69.87,2262.8,0
317.58,20.39,1.3,45.99,1305.9,1
322.09,19.7,0.18,61.92,414.5,0
271.66,21.83,1.8,56.97,2346.3,0
329.74,20.94,0.95,62.2,679.5,1
320.75,16.9,4.57,62.96,1111.8,0
266.2,18.48,2.64,70.33,2250.0,1
328.79,15.86,2.43,69.04,2254.6,0
319.76,14.68,1.19,64.06,877.0,0
359.86,18.6,2.26,59.57,1699.6,0
296.16,18.03,2.42,69.72,1429.3,1
318.94,12.99,1.24,60.22,1206.6,0
342.55,17.78,0.95,56.92,152.0,0
266.95,12.56,1.27,48.59,2230.0,0
291.63,13.8,0.82,59.51,214.6,0
275.52,24.18,3.97,46.06,2393.5,1
290.62,22.19,5.03,65.18,2061.1,1
357.14,13.21,4.21,58.73,421.6,0
334.52,16.98,3.66,66.72,1443.1,0
324.38,22.69,0.47,43.88,1684.8,0
321.4,18.06,0.79,67.19,1918.2,0
329.42,20.98,2.08,59.97,1234.5,0
359.69,17.42,1.59,60.15,52.9,0
332.43,19.24,0.15,58.56,1648.5,0
362.0,19.84,1.08,58.78,1909.0,1
319.43,9.0,1.06,67.9,2166.3,1
311.58,18.33,3.39,62.17,1580.1,1
322.43,20.44,1.55,69.01,578.0,1
300.64,23.01,2.69,67.98,1729.9,0
328.43,23.29,1.52,60.32,689.9,1
221.05,18.5,2.0,59.18,1664.0,0
295.07,21.29,2.41,54.64,1375.4,1
290.14,12.01,2.86,56.47,1998.3,0
276.16,14.19,4.46,61.6,1712.9,1
333.36,9.26,4.14,59.87,1836.6,1
345.65,18.89,1.26,67.06,424.9,0
349.16,18.0,0.85,60.98,489.5,0
281.08,10.87,4.03,67.22,1564.2,0
326.96,20.62,1.31,60.29,1106.8,0
253.41,21.27,0.7,57.69,118.0,0
295.31,22.4,1.68,73.25,1228.8,0
302.98,21.07,0.15,61.76,783.7,0
304.04,15.33,0.64,54.49,1128.4,0
301.39,20.3,0.17,62.52,1780.1,0
339.86,20.91,0.15,62.62,1337.2,0
245.78,12.39,2.56,80.17,2268.9,1
315.97,12.88,1.89,61.62,762.8,0
285.84,17.77,1.32,52.16,1257.8,0
302.41,25.08,2.22,76.43,1532.5,1
359.57,16.04,1.26,68.14,1555.2,1
353.59,13.7,1.88,56.39,827.0,0
316.14,20.62,1.69,56.76,1814.1,0
392.73,13.35,2.29,75.38,599.4,0
312.75,21.38,1.48,60.07,197.3,0
323.58,16.68,2.62,70.72,799.4,0
347.32,18.18,0.33,75.14,147.9,0
292.78,13.07,1.9,54.0,1815.2,0
297.66,14.72,1.96,61.6,1638.3,0
340.49,11.78,3.48,51.23,1955.8,0
257.04,15.21,0.8,54.3,19.5,0
289.24,15.3,1.5,60.05,178.8,0
241.96,23.73,0.39,87.19,2038.7,0
387.73,20.29,3.46,49.93,181.8,0
293.35,18.83,4.3,75.3,693.1,0
330.59,15.59,1.14,61.55,662.8,0
263.29,15.9,0.86,49.31,435.0,0
380.3,18.32,1.22,54.95,983.4,1
264.08,13.91,0.44,58.49,1613.5,0
296.01,20.36,1.58,55.32,314.9,0
392.56,15.11,4.04,59.5,2063.7,1
335.18,16.02,1.2,50.0,1643.0,0
297.81,22.74,2.56,60.16,613.7,0
355.76,20.44,3.73,50.73,1270.5,0
316.1,18.13,0.77,67.53,76.5,0
311.57,21.23,1.32,48.48,2387.8,0
289.42,20.01,2.67,70.36,993.4,0
276.85,21.15,0.64,67.24,1444.2,0
279.87,21.88,1.11,52.73,1098.6,0
282.5,16.28,3.51,71.45,2188.8,1
287.33,19.9,1.25,68.5,2374.3,1
316.46,17.07,3.18,53.41,904.0,0
314.02,18.87,1.4,49.82,1734.2,0
305.75,14.9,2.04,54.95,33.1,0
311.51,14.56,5.24,53.73,2035.1,0
300.36,15.23,0.83,60.47,1795.7,0
337.23,22.36,0.56,53.81,959.2,0
324.4,22.21,1.05,64.87,1043.7,0
365.58,16.98,2.52,51.15,2339.2,1
300.77,16.47,1.61,75.26,1282.1,0
391.2,16.97,3.08,50.64,2128.2,0
321.23,20.75,1.77,52.46,250.6,1
320.88,17.7,2.52,71.85,134.1,0
343.96,10.49,0.85,60.17,875.0,0
293.38,20.89,1.04,70.85,2181.1,1
327.03,17.23,1.1,49.39,2028.3,1
334.87,18.28,1.02,55.83,1662.6,0
322.08,20.2,1.04,62.53,559.7,0
324.84,16.76,1.35,65.95,342.3,0
263.36,16.34,4.94,61.65,144.8,0
373.16,19.86,1.5,58.82,282.6,0
304.9,22.74,0.92,60.11,1469.0,0
222.25,15.69,1.08,56.92,1259.2,0
372.94,18.44,2.19,50.55,1584.1,0
332.06,18.34,1.56,62.88,442.3,1
324.39,17.7,1.51,68.0,173.9,0
305.6,20.42,0.65,60.71,550.6,0
297.39,17.33,1.07,53.7,1115.4,0
331.58,14.54,0.76,69.54,1007.3,0
394.36,14.08,1.49,72.02,1215.9,0
334.2,22.95,1.56,60.52,712.3,0
344.88,16.57,3.08,62.87,750.1,0
315.14,17.53,0.99,64.66,2172.0,1
267.67,15.51,0.65,59.83,1194.4,0
304.62,22.93,2.68,52.67,1918.7,1
305.26,20.58,1.96,71.55,980.3,0
331.14,18.16,0.82,53.3,2141.8,1
325.5,17.65,1.83,58.13,1091.7,0
309.87,19.75,1.84,63.11,1666.4,0
259.26,12.53,4.29,56.82,848.7,0
258.58,18.44,2.53,54.8,1287.7,1
276.54,16.38,4.55,58.62,2395.7,0
234.47,21.61,1.72,55.97,1875.8,0
266.14,18.09,1.58,58.73,862.6,0
346.47,17.89,1.53,59.12,1220.4,0
295.76,21.11,1.95,56.35,2159.4,0
261.16,10.44,0.59,65.63,1352.2,0
255.81,16.26,1.91,68.44,671.0,0
315.67,15.65,0.51,59.54,1720.5,0
316.6,16.86,0.35,65.64,2120.2,0
312.86,18.28,1.06,60.54,2302.9,0
323.28,16.22,1.8,60.16,990.8,0
302.03,13.71,0.48,64.09,544.8,0
310.74,20.49,1.14,70.25,2003.4,0
268.12,15.61,3.02,66.25,1394.9,0
294.28,16.11,1.96,55.48,656.2,0
307.74,21.04,1.54,53.24,1577.8,0
251.81,22.17,0.43,80.08,978.8,0
285.17,18.69,2.08,60.68,587.0,0
296.88,22.76,2.71,58.21,125.4,0
378.4,20.89,4.14,59.38,1628.3,0
324.79,16.12,1.3,56.88,1301.4,0
324.94,16.26,2.61,66.87,1466.8,0
346.94,16.48,2.24,55.15,2101.3,1
309.28,18.16,0.66,57.92,1986.0,0
378.37,15.09,0.98,56.54,1850.8,0
283.06,17.63,2.1,49.94,273.6,0
268.94,12.72,0.24,54.82,2252.5,0
316.82,16.36,2.37,52.5,2332.9,0
293.13,13.58,1.03,38.03,1363.6,1
277.18,18.18,1.39,76.61,537.4,0
310.63,19.39,3.36,60.14,160.7,1
229.28,20.55,2.34,58.13,1354.0,0
321.53,18.71,3.6,64.56,1279.6,1
286.84,16.93,1.18,74.53,249.9,0
315.44,20.54,3.23,64.48,75.4,1
278.9,19.24,2.68,52.69,1436.4,0
293.65,19.25,2.05,76.57,1538.9,0
342.97,14.07,1.2,61.98,1740.2,1
274.02,17.13,2.68,55.28,1909.4,1
350.02,15.13,1.74,61.62,1564.3,0
297.72,16.18,0.94,53.96,1657.6,0
392.14,20.8,0.34,65.92,1143.6,0
258.74,16.14,1.17,52.7,1107.8,0
351.71,17.66,1.25,70.73,298.4,0
298.55,18.28,1.27,44.45,1157.7,0
363.58,22.9,3.6,59.73,2033.6,1
284.81,16.06,3.69,55.29,851.2,0
262.17,18.35,0.34,54.06,2051.0,0
305.87,16.24,1.92,39.85,520.4,0
315.71,24.9,3.9,56.13,1383.3,0
296.55,18.26,0.65,59.95,1041.1,0
308.94,16.94,2.52,70.29,1808.5,0
299.5,19.67,1.35,72.51,991.8,0
288.71,20.16,0.54,66.72,1395.2,0
255.11,16.6,0.74,65.08,594.0,0
334.8,11.65,1.56,52.64,609.2,1
331.99,19.02,1.17,57.34,935.7,0
280.28,18.36,1.02,75.95,655.9,0
350.12,17.62,1.08,66.46,753.9,0
307.0,20.12,0.19,60.79,131.6,0
323.32,14.93,1.37,69.65,1601.3,0
292.31,19.42,0.71,64.07,1631.1,0
342.44,22.04,2.8,61.15,121.8,0
374.68,12.69,4.45,60.89,471.3,1
331.35,15.35,0.99,54.02,2362.6,0
322.68,18.37,0.36,69.92,1772.3,0
266.15,17.81,0.66,65.16,2217.6,0
332.13,21.83,1.21,72.03,1460.5,0
284.26,17.41,0.6,63.27,286.6,0
287.32,19.92,5.74,71.2,446.9,1
312.79,16.58,1.74,43.17,757.6,0
337.68,15.3,2.03,52.19,160.9,0
303.64,19.8,2.57,54.14,1483.6,0
368.66,13.5,1.3,59.92,627.4,0
341.45,12.5,0.5,51.17,1025.1,0
283.48,13.46,2.63,50.73,284.1,0
313.83,20.82,1.58,53.67,689.8,0
350.72,23.02,2.23,56.64,1420.7,0
315.34,15.97,2.24,82.75,924.9,1
312.09,20.05,1.19,60.39,488.7,0
381.09,15.2,2.99,56.49,1773.8,0
410.0,23.17,5.53,58.04,599.3,1
367.25,15.1,2.38,69.53,344.3,0
254.56,14.7,0.86,64.66,883.0,0
314.08,18.3,5.25,50.49,826.8,0
287.3,19.15,3.55,53.42,1970.0,0
264.36,24.51,0.79,51.65,2023.8,1
279.68,23.01,1.06,50.55,2108.5,1
264.49,17.87,1.63,58.69,1684.9,1
291.26,15.75,2.08,58.7,1863.2,0
311.04,15.04,0.62,56.95,369.4,0
306.54,17.05,1.82,50.97,340.6,0
312.84,13.31,1.22,47.78,924.1,0
288.15,18.74,0.62,64.55,112.2,0
280.59,22.03,2.27,64.12,1426.2,1
377.97,13.33,1.26,55.67,454.6,0
319.91,21.35,5.45,77.3,782.9,1
309.51,17.98,3.51,67.4,1735.1,0
339.2,18.23,2.69,56.49,810.1,0
348.72,17.32,0.98,59.72,1879.7,0
288.8,21.38,1.91,71.73,408.5,0
277.95,18.64,0.85,59.55,1546.9,0
303.9,17.75,0.93,76.78,1082.8,0
287.18,18.88,3.56,61.98,937.6,0
308.88,24.84,1.06,70.83,1387.2,0
352.82,20.84,3.75,49.88,90.2,0
319.39,17.37,1.76,64.4,552.4,0
309.13,15.31,6.6,73.37,1823.9,1
310.1,20.32,0.35,64.1,1180.8,0
276.62,18.34,1.6,57.85,713.1,0
291.44,19.06,1.66,67.09,846.3,0
394.06,17.83,1.95,57.61,2215.8,1
315.75,20.96,0.41,58.6,47.5,0
299.36,16.13,0.79,61.07,1014.5,1
375.64,15.77,0.83,60.84,406.8,0
353.59,16.46,1.22,80.46,1568.0,0
312.68,16.66,0.5,59.2,2129.3,0
277.15,16.91,1.19,58.65,944.3,0
285.16,11.48,1.05,59.22,1819.8,0
362.06,13.28,1.38,67.95,2136.8,0
348.76,15.1,0.45,48.51,504.6,0
338.24,11.86,4.83,74.74,1479.9,0
352.84,19.06,1.54,54.06,1187.2,0
335.04,26.05,7.0,61.43,2273.9,1
325.47,13.72,1.35,63.28,1767.5,0
313.64,23.0,4.95,66.52,527.9,1
315.03,15.24,2.06,53.71,2019.1,0
279.75,14.43,4.57,42.36,755.5,0
304.69,13.92,0.56,67.53,1141.4,0
246.05,17.35,0.58,58.82,687.2,0
235.1,20.32,3.06,45.65,1694.3,0
316.47,19.59,1.64,76.06,1618.6,1
274.25,21.39,4.1,52.89,2016.8,0
348.57,18.82,1.08,52.39,98.8,0
325.98,12.88,2.68,63.93,1741.1,0
364.77,17.24,0.63,64.28,1189.6,0
371.62,14.33,1.86,63.38,1106.3,1
343.99,15.23,0.78,56.67,1687.7,0
290.52,14.01,2.69,49.67,2206.8,0
270.3,12.27,0.8,46.89,679.3,0
348.84,19.35,0.61,64.68,1323.9,0
327.85,15.52,0.7,56.21,927.6,0
225.85,23.72,0.44,55.36,818.1,0
291.52,16.43,1.74,64.38,1415.9,1
309.48,19.37,0.15,54.78,1376.0,0
328.0,20.39,3.38,53.16,1432.6,0
403.89,17.02,0.54,55.7,1015.6,1
341.62,20.78,2.41,54.6,1812.7,0
286.04,21.53,4.06,64.41,1484.9,0
390.95,19.51,1.39,52.13,2305.4,1
336.98,18.59,1.12,75.07,597.1,0
302.71,18.61,1.7,45.75,1318.2,1
338.42,15.9,1.37,72.86,905.8,0
353.02,22.34,2.29,67.01,2315.9,1
343.37,13.05,0.6,54.71,221.8,0
