reviewer_id,before_minutes,after_minutes
RV-001,52.5,50.4
RV-002,50.9,46.5
RV-003,45.8,43.5
RV-004,42.6,31.6
RV-005,52.1,57.1
RV-006,33.0,23.1
RV-007,49.1,38.1
RV-008,36.7,33.3
RV-009,42.8,37.4
RV-010,49.0,42.8
RV-011,35.7,34.8
RV-012,41.2,45.2
RV-013,51.7,48.5
RV-014,47.9,49.6
RV-015,48.4,40.9
RV-016,46.0,43.3
RV-017,43.0,35.0
RV-018,54.6,51.4
RV-019,47.2,40.7
RV-020,51.0,51.5
RV-021,41.8,34.8
RV-022,48.0,44.7
RV-023,42.6,37.7
RV-024,46.3,44.2
RV-025,45.5,48.0
RV-026,57.9,53.2
RV-027,47.5,49.4
RV-028,45.4,44.6
RV-029,42.6,39.6
RV-030,53.5,56.2
RV-031,47.2,42.2
RV-032,42.8,47.1
RV-033,42.6,46.8
RV-034,56.7,56.1
RV-035,52.2,57.2
RV-036,39.7,41.5
