reading_id,recorded_at,room,temperature_c,humidity_pct,co2_ppm,battery_pct
R1-01,2026-04-06T08:00:00,Lab,20.8,44.3,728,95
R1-02,2026-04-06T09:00:00,Lab,21.1,44.0,671,94
R1-03,2026-04-06T10:00:00,Lab,21.6,48.2,711,94
R1-04,2026-04-06T11:00:00,Lab,22.0,43.8,648,94
R1-05,2026-04-06T12:00:00,Lab,21.9,46.0,798,94
R1-06,2026-04-06T13:00:00,Lab,22.2,47.3,727,93
R1-07,2026-04-06T14:00:00,Lab,22.2,,693,93
R1-08,2026-04-06T15:00:00,Lab,22.1,46.1,720,93
R1-09,2026-04-06T16:00:00,Lab,22.5,45.2,802,93
R1-10,2026-04-06T17:00:00,Lab,22.3,45.4,761,92
R1-11,2026-04-06T18:00:00,Lab,21.9,47.2,470,92
R1-12,2026-04-06T19:00:00,Lab,21.2,47.4,511,92
R1-13,2026-04-06T20:00:00,Lab,20.7,45.9,431,92
R1-14,2026-04-06T21:00:00,Lab,20.5,50.1,509,91
R1-15,2026-04-06T22:00:00,Lab,19.9,42.5,548,91
R1-16,2026-04-06T23:00:00,Lab,20.2,42.7,446,91
R1-17,2026-04-07T00:00:00,Lab,19.1,47.7,485,91
R1-18,2026-04-07T01:00:00,Lab,19.1,45.7,444,90
R1-19,2026-04-07T02:00:00,Lab,48.5,47.9,486,90
R1-20,2026-04-07T03:00:00,Lab,18.8,45.0,454,90
R1-21,2026-04-07T04:00:00,Lab,18.8,42.9,455,90
R1-22,2026-04-07T05:00:00,Lab,19.3,43.9,478,89
R1-23,2026-04-07T06:00:00,Lab,19.2,42.9,419,89
R1-24,2026-04-07T07:00:00,Lab,20.2,48.3,411,89
R2-01,2026-04-06T08:00:00,Office,21.4,49.1,719,94
R2-02,2026-04-06T09:00:00,Office,21.8,46.7,760,93
R2-03,2026-04-06T10:00:00,Office,22.2,47.5,714,93
R2-04,2026-04-06T11:00:00,Office,22.5,46.3,704,93
R2-05,2026-04-06T12:00:00,Office,23.1,44.8,705,93
R2-06,2026-04-06T13:00:00,Office ,22.8,44.7,702,92
R2-07,2026-04-06T14:00:00,Office,23.1,46.6,721,92
R2-08,2026-04-06T15:00:00,Office,23.3,47.3,659,92
R2-09,2026-04-06T16:00:00,Office,22.8,45.5,722,92
R2-10,2026-04-06T17:00:00,Office,22.8,47.3,734,91
R2-11,2026-04-06T18:00:00,Office,22.5,47.4,519,91
R2-12,2026-04-06T19:00:00,Office,21.9,49.6,573,91
R2-13,2026-04-06T20:00:00,Office,21.7,46.1,511,91
R2-14,2026-04-06T21:00:00,Office,21.3,48.6,446,90
R2-15,2026-04-06T22:00:00,Office,20.8,,476,90
R2-16,2026-04-06T23:00:00,Office,20.6,48.1,446,90
R2-17,2026-04-07T00:00:00,Office,20.5,46.7,454,90
R2-18,2026-04-07T01:00:00,Office,19.9,48.2,470,89
R2-19,2026-04-07T02:00:00,Office,19.7,46.9,error,89
R2-20,2026-04-07T03:00:00,Office,19.1,47.0,435,89
R2-21,2026-04-07T04:00:00,Office,19.5,50.8,485,89
R2-22,2026-04-07T05:00:00,Office,19.8,45.9,440,88
R2-23,2026-04-07T06:00:00,Office,20.2,41.7,432,88
R2-24,2026-04-07T07:00:00,Office,20.8,46.3,565,88
R3-01,2026-04-06T08:00:00,Storage,22.2,49.9,513,93
R3-02,2026-04-06T09:00:00,Storage,22.5,48.1,507,92
R3-03,2026-04-06T10:00:00,Storage,22.9,108.0,480,92
R3-04,2026-04-06T11:00:00,Storage,23.2,47.1,474,92
R3-05,2026-04-06T12:00:00,Storage,24.4,49.8,444,92
R3-06,2026-04-06T13:00:00,Storage,23.6,47.1,478,91
R3-07,2026-04-06T14:00:00,Storage,24.5,47.8,448,91
R3-08,2026-04-06T15:00:00,Storage,23.7,50.2,528,91
R3-09,2026-04-06T16:00:00,Storage,23.5,48.8,411,91
R3-10,2026-04-06T17:00:00,Storage,23.7,48.0,457,90
R3-11,2026-04-06T18:00:00,Storage,22.8,47.8,537,90
R3-12,2026-04-06T19:00:00,Storage,22.6,49.0,504,90
R3-13,2026-04-06T20:00:00,Storage,22.4,48.9,499,90
R3-14,2026-04-06T21:00:00,Storage,22.5,,461,89
R3-15,2026-04-06T22:00:00,Storage,21.5,50.4,446,89
R3-16,2026-04-06T23:00:00,Storage,21.0,51.5,435,89
R3-17,2026-04-07T00:00:00,Storage,20.7,45.7,512,89
R3-18,2026-04-07T01:00:00,Storage,20.6,48.3,443,88
R3-19,2026-04-07T02:00:00,Storage,20.9,45.4,447,88
R3-20,2026-04-07T03:00:00,Storage,20.4,49.6,465,88
R3-21,2026-04-07T04:00:00,Storage,20.4,52.2,519,88
R3-22,2026-04-07T05:00:00,Storage,20.1,47.1,488,87
R3-23,2026-04-07T06:00:00,Storage,21.0,49.2,488,87
R3-24,2026-04-07T07:00:00,Storage,20.9,45.3,462,87
R1-13,2026-04-06T20:00:00,Lab,20.7,45.9,431,92
