order_date,orders,revenue
11/01/2023,17,301.7
11/02/2023,9,159.62
11/03/2023,13,248.94
11/04/2023,22,427.14
11/05/2023,26,494.98
11/06/2023,17,280.11
11/07/2023,17,325.48
11/08/2023,14,241.62
11/09/2023,10,187.82
11/10/2023,12,201.5
11/11/2023,21,399.75
11/12/2023,15,262.98
11/13/2023,11,186.57
11/14/2023,13,251.64
11/15/2023,17,319.43
11/16/2023,13,230.92
11/17/2023,16,323.86
11/18/2023,17,305.51
11/19/2023,26,482.0
11/20/2023,14,263.52
11/21/2023,9,159.81
11/22/2023,16,305.05
11/23/2023,15,267.9
11/24/2023,16,288.1
11/25/2023,22,442.97
11/26/2023,17,293.27
11/27/2023,19,296.49
11/28/2023,7,143.03
11/29/2023,12,258.71
11/30/2023,15,270.21
12/01/2023,16,258.81
12/02/2023,27,489.44
12/03/2023,25,453.91
12/04/2023,10,182.72
12/05/2023,10,171.64
12/06/2023,14,268.74
12/07/2023,12,229.55
12/08/2023,13,217.19
12/09/2023,30,580.17
12/10/2023,26,545.04
12/11/2023,14,261.89
12/12/2023,14,253.33
12/13/2023,12,219.96
12/14/2023,11,211.62
12/15/2023,18,295.62
12/16/2023,21,392.64
12/17/2023,24,432.75
12/18/2023,8,165.74
12/19/2023,13,237.78
12/20/2023,9,184.51
12/21/2023,16,274.81
12/22/2023,16,307.28
12/23/2023,34,642.03
12/24/2023,27,471.34
12/25/2023,15,280.69
12/26/2023,23,458.97
12/27/2023,15,271.67
12/28/2023,13,214.11
12/29/2023,14,258.7
12/30/2023,17,296.09
12/31/2023,16,289.43
01/01/2024,12,220.83
01/02/2024,18,296.16
01/03/2024,12,198.73
01/04/2024,16,305.26
01/05/2024,13,232.35
01/06/2024,17,262.18
01/07/2024,30,583.25
01/08/2024,16,301.23
01/09/2024,19,335.22
01/10/2024,14,236.88
01/11/2024,18,351.05
01/12/2024,23,435.14
01/13/2024,17,363.11
01/14/2024,17,323.07
01/15/2024,11,208.62
01/16/2024,15,274.5
01/17/2024,10,194.8
01/18/2024,10,192.5
01/19/2024,18,360.04
01/20/2024,19,339.61
01/21/2024,27,485.39
01/22/2024,10,179.25
01/23/2024,23,447.33
01/24/2024,13,263.87
01/25/2024,17,305.14
01/26/2024,11,197.89
01/27/2024,23,434.17
01/28/2024,19,345.9
01/29/2024,17,333.92
01/30/2024,17,268.56
01/31/2024,14,245.11
02/01/2024,15,263.42
02/02/2024,12,188.59
02/03/2024,29,502.97
02/04/2024,15,261.03
02/05/2024,11,200.85
02/06/2024,14,277.7
02/07/2024,23,418.74
02/08/2024,13,224.42
02/09/2024,10,184.32
02/10/2024,14,276.63
02/11/2024,14,242.6
02/12/2024,18,313.33
02/13/2024,14,268.38
02/14/2024,6,109.4
02/15/2024,13,250.6
02/16/2024,17,314.22
02/17/2024,13,251.45
02/18/2024,25,431.45
02/19/2024,21,388.2
02/20/2024,23,419.68
02/21/2024,20,340.82
02/22/2024,20,332.48
02/23/2024,17,328.49
02/24/2024,31,560.44
02/25/2024,23,397.29
02/26/2024,13,239.0
02/27/2024,16,317.66
02/28/2024,13,204.92
02/29/2024,15,250.56
03/01/2024,15,260.89
03/02/2024,22,445.58
03/03/2024,33,621.69
03/04/2024,14,271.89
03/05/2024,21,359.77
03/06/2024,21,360.29
03/07/2024,18,342.67
03/08/2024,20,371.4
03/09/2024,18,344.85
03/10/2024,17,310.67
