pickup,dropoff,passengers,distance,fare,tip,total,payment,pickup_borough
2019-03-01 02:55:55,2019-03-01 02:57:59,3,0.74,4.0,0.0,7.8,cash,Manhattan
2019-03-01 07:18:18,2019-03-01 07:30:57,1,2.06,10.0,0.0,13.3,cash,Manhattan
2019-03-01 14:22:59,2019-03-01 14:46:39,1,6.44,23.5,5.36,32.16,credit card,Manhattan
2019-03-01 17:07:09,2019-03-01 18:05:41,1,21.27,65.59,0.0,77.61,credit card,Queens
2019-03-01 18:49:26,2019-03-01 19:09:28,2,4.16,17.0,4.26,25.56,credit card,Manhattan
2019-03-01 19:38:18,2019-03-01 19:46:42,2,1.48,7.0,2.26,13.56,credit card,Manhattan
2019-03-01 20:38:37,2019-03-01 20:48:28,1,1.43,8.0,2.36,14.16,credit card,Manhattan
2019-03-01 21:12:39,2019-03-01 21:16:16,1,0.61,4.5,0.0,8.3,cash,Manhattan
2019-03-01 23:35:14,2019-03-01 23:43:25,5,1.11,7.0,3.24,14.04,credit card,Manhattan
2019-03-02 01:06:24,2019-03-02 01:12:11,2,0.85,5.5,0.0,9.3,cash,Manhattan
2019-03-02 01:07:11,2019-03-02 01:21:37,2,2.4,11.5,3.05,18.35,credit card,Manhattan
2019-03-02 08:49:02,2019-03-02 08:58:21,1,1.83,8.5,0.0,11.8,cash,Manhattan
2019-03-02 12:19:59,2019-03-02 12:43:46,5,8.58,26.5,0.0,27.3,credit card,Queens
2019-03-02 12:25:56,2019-03-02 12:45:44,5,10.18,29.5,0.06,38.62,credit card,Queens
2019-03-02 12:57:01,2019-03-02 13:08:22,6,2.1,9.5,1.0,13.8,credit card,Manhattan
2019-03-02 15:20:58,2019-03-02 15:24:47,2,0.55,4.5,1.56,11.31,credit card,Manhattan
2019-03-02 15:59:53,2019-03-02 16:39:43,2,17.8,52.0,12.21,73.27,credit card,Manhattan
2019-03-02 16:08:03,2019-03-02 16:21:18,1,2.23,10.5,2.76,16.56,credit card,Manhattan
2019-03-02 19:09:05,2019-03-02 19:15:40,6,0.87,6.0,0.0,9.3,cash,Manhattan
2019-03-02 20:35:28,2019-03-02 20:49:47,1,4.23,14.0,0.0,15.3,cash,Queens
2019-03-03 00:53:01,2019-03-03 01:08:24,1,2.8,12.5,3.25,19.55,credit card,Manhattan
