year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,542.0,2.0,923.0,33.0,AA,1141,JFK,MIA,160.0,1089,5,40
2013,1,1,557.0,-3.0,709.0,-14.0,EV,5708,LGA,IAD,53.0,229,6,0
2013,1,1,607.0,0.0,858.0,-17.0,UA,1077,EWR,MIA,157.0,1085,6,7
2013,1,1,655.0,0.0,1021.0,-9.0,DL,1415,JFK,SLC,294.0,1990,6,55
2013,1,1,732.0,47.0,1011.0,30.0,UA,1111,EWR,MCO,145.0,937,6,45
2013,1,1,734.0,-3.0,1047.0,-26.0,B6,643,JFK,SFO,350.0,2586,7,37
2013,1,1,800.0,-10.0,949.0,-6.0,MQ,4406,JFK,RDU,80.0,427,8,10
2013,1,1,805.0,0.0,1015.0,10.0,B6,219,JFK,CLT,98.0,541,8,5
2013,1,1,807.0,-3.0,1043.0,0.0,DL,269,JFK,ATL,126.0,760,8,10
2013,1,1,810.0,-5.0,1100.0,-28.0,DL,2395,LGA,PBI,149.0,1035,8,15
2013,1,1,814.0,4.0,1047.0,17.0,FL,346,LGA,ATL,132.0,762,8,10
2013,1,1,821.0,1.0,1153.0,24.0,B6,181,JFK,SAN,354.0,2446,8,20
2013,1,1,822.0,-8.0,1014.0,-2.0,EV,4104,LGA,CLE,91.0,419,8,30
2013,1,1,830.0,-5.0,1052.0,-13.0,MQ,4610,LGA,ATL,123.0,762,8,35
2013,1,1,831.0,-4.0,1021.0,-18.0,EV,4412,EWR,MYR,92.0,550,8,35
2013,1,1,851.0,11.0,1215.0,9.0,UA,1626,EWR,SAN,367.0,2425,8,40
2013,1,1,1031.0,1.0,1353.0,-22.0,VX,23,JFK,SFO,363.0,2586,10,30
2013,1,1,1124.0,24.0,1435.0,4.0,B6,641,JFK,SFO,349.0,2586,11,0
2013,1,1,1143.0,-2.0,1512.0,5.0,UA,1010,EWR,SNA,371.0,2434,11,45
2013,1,1,1147.0,-8.0,1335.0,8.0,FL,353,LGA,CAK,82.0,397,11,55
2013,1,1,1200.0,0.0,1408.0,12.0,US,1443,JFK,CLT,102.0,541,12,0
2013,1,1,1202.0,3.0,1645.0,-8.0,UA,1663,EWR,SJU,187.0,1608,11,59
2013,1,1,1211.0,-4.0,1423.0,10.0,EV,4135,EWR,CLT,102.0,529,12,15
2013,1,1,1237.0,-8.0,1340.0,-10.0,AA,1850,JFK,BOS,40.0,187,12,45
2013,1,1,1245.0,-4.0,1722.0,-38.0,DL,315,JFK,SJU,188.0,1598,12,49
2013,1,1,1305.0,-10.0,1523.0,3.0,MQ,4564,LGA,DTW,102.0,502,13,15
2013,1,1,1333.0,-2.0,1608.0,0.0,B6,615,JFK,JAX,134.0,828,13,35
2013,1,1,1343.0,13.0,1658.0,18.0,AA,753,LGA,DFW,235.0,1389,13,30
2013,1,1,1346.0,16.0,1736.0,26.0,WN,2335,EWR,PHX,334.0,2133,13,30
2013,1,1,1355.0,5.0,1537.0,22.0,WN,2162,LGA,MDW,141.0,725,13,50
2013,1,1,1356.0,57.0,1538.0,60.0,UA,32,EWR,ORD,135.0,719,12,59
2013,1,1,1419.0,-1.0,1557.0,7.0,MQ,3728,EWR,ORD,136.0,719,14,20
2013,1,1,1430.0,0.0,1735.0,-9.0,UA,997,LGA,IAH,227.0,1416,14,30
2013,1,1,1440.0,0.0,1658.0,15.0,DL,1231,LGA,DTW,94.0,502,14,40
2013,1,1,1451.0,-9.0,1634.0,-2.0,9E,4105,JFK,IAD,57.0,228,15,0
2013,1,1,1507.0,-3.0,1748.0,3.0,MQ,4309,JFK,IND,130.0,665,15,10
2013,1,1,1521.0,6.0,1830.0,7.0,DL,507,LGA,MCO,145.0,950,15,15
2013,1,1,1522.0,-8.0,1731.0,6.0,MQ,4146,JFK,CMH,98.0,483,15,30
2013,1,1,1526.0,-4.0,1714.0,24.0,WN,4105,EWR,MDW,141.0,711,15,30
2013,1,1,1543.0,0.0,1731.0,-2.0,UA,636,LGA,CLE,88.0,419,15,43
2013,1,1,1602.0,-3.0,1834.0,-4.0,DL,1861,LGA,MCI,189.0,1107,16,5
2013,1,1,1608.0,-1.0,1847.0,-23.0,B6,157,JFK,MCO,137.0,944,16,9
2013,1,1,1628.0,64.0,1740.0,59.0,EV,4133,EWR,IAD,53.0,212,15,24
2013,1,1,1631.0,1.0,1935.0,-15.0,UA,1726,EWR,SAN,346.0,2425,16,30
2013,1,1,1717.0,-3.0,1920.0,10.0,AA,345,LGA,ORD,141.0,733,17,20
2013,1,1,1727.0,2.0,2043.0,3.0,AA,145,JFK,SAN,357.0,2446,17,25
2013,1,1,1739.0,-6.0,1956.0,3.0,DL,2331,LGA,DTW,93.0,502,17,45
2013,1,1,1757.0,-2.0,2027.0,-15.0,DL,1047,LGA,ATL,125.0,762,17,59
2013,1,1,1825.0,-4.0,2046.0,14.0,US,1973,EWR,CLT,106.0,529,18,29
2013,1,1,1834.0,-6.0,2027.0,7.0,MQ,3730,EWR,ORD,137.0,719,18,40
2013,1,1,1904.0,-1.0,2139.0,-48.0,DL,2159,JFK,MCO,133.0,944,19,5
2013,1,1,1911.0,1.0,2050.0,-5.0,MQ,4569,LGA,RDU,81.0,431,19,10
2013,1,1,1946.0,16.0,2148.0,14.0,EV,4532,EWR,CHS,106.0,628,19,30
2013,1,1,2031.0,1.0,2344.0,9.0,UA,834,EWR,IAH,223.0,1400,20,30
2013,1,1,2040.0,0.0,2317.0,3.0,B6,619,JFK,JAX,131.0,828,20,40
2013,1,1,2050.0,51.0,2229.0,45.0,MQ,4423,JFK,RDU,83.0,427,19,59
2013,1,1,2058.0,-2.0,2342.0,25.0,EV,4088,EWR,SDF,136.0,642,21,0
2013,1,1,2323.0,83.0,22.0,69.0,EV,4257,EWR,BTV,44.0,266,22,0
2013,1,2,536.0,7.0,840.0,12.0,UA,407,LGA,IAH,231.0,1416,5,29
2013,1,2,558.0,-2.0,916.0,-15.0,UA,303,JFK,SFO,341.0,2586,6,0
2013,1,2,607.0,-3.0,859.0,-11.0,AA,1895,EWR,MIA,151.0,1085,6,10
2013,1,2,610.0,10.0,826.0,19.0,EV,5310,LGA,MEM,172.0,963,6,0
2013,1,2,626.0,-4.0,850.0,17.0,US,1019,EWR,CLT,103.0,529,6,30
2013,1,2,657.0,-3.0,806.0,-3.0,US,2163,LGA,DCA,46.0,214,7,0
2013,1,2,705.0,-5.0,827.0,-23.0,MQ,3737,EWR,ORD,115.0,719,7,10
2013,1,2,722.0,-3.0,949.0,-41.0,AS,11,EWR,SEA,314.0,2402,7,25
