reading_id,outside_temp_c,solar_w_m2,inside_temp_c,inside_humidity_pct,heater_pct,vent_pct,mister_pct,temp_30min_c,humidity_30min_pct
GH-0001,15.2,0.0,23.3,60.5,0.0,25.5,0.0,22.3,59.1
GH-0002,12.2,0.0,23.2,56.1,0.0,0.0,0.0,21.5,58.7
GH-0003,12.7,70.4,20.8,59.5,17.3,0.0,10.1,20.8,59.9
GH-0004,22.7,576.1,31.1,41.0,0.0,75.9,53.7,21.6,47.3
GH-0005,9.9,0.0,22.7,58.9,0.0,4.3,0.0,22.1,62.0
GH-0006,14.9,0.0,22.0,52.8,1.4,0.0,0.0,22.2,55.4
GH-0007,20.5,577.5,27.3,45.7,0.0,58.6,53.2,21.5,52.8
GH-0008,10.5,18.3,20.1,55.9,45.0,0.0,0.0,21.0,56.2
GH-0009,22.8,773.1,31.2,33.6,0.0,53.0,85.7,24.5,46.8
GH-0010,14.9,43.2,23.2,60.1,0.0,27.9,0.0,20.3,58.5
GH-0011,10.3,0.0,21.8,48.5,0.0,0.0,17.5,20.0,51.3
GH-0012,20.7,821.9,29.8,39.7,0.0,68.6,58.4,21.5,46.3
GH-0013,12.1,22.0,20.0,62.0,4.7,0.0,0.0,20.2,64.8
GH-0014,11.9,0.0,21.9,64.2,0.0,12.7,0.0,21.0,58.0
GH-0015,14.3,0.0,22.4,52.6,0.0,0.0,27.1,21.2,58.6
GH-0016,14.7,88.9,23.7,59.2,0.0,15.6,0.0,22.6,55.1
GH-0017,13.8,0.0,26.4,45.0,0.0,22.9,50.6,25.0,53.6
GH-0018,12.4,41.4,24.2,55.6,0.0,11.9,0.0,23.8,55.2
GH-0019,20.9,682.6,28.0,46.4,0.0,38.0,28.3,23.3,50.8
GH-0020,15.2,396.0,25.1,50.1,0.0,12.6,17.0,24.6,54.7
GH-0021,11.5,4.4,23.6,48.8,0.0,0.0,9.5,23.1,52.9
GH-0022,15.1,5.8,24.0,50.4,0.0,17.4,11.9,23.9,54.1
GH-0023,11.8,0.0,24.2,53.8,0.0,23.0,0.0,24.1,52.1
GH-0024,11.9,0.0,22.5,58.2,0.0,12.1,0.0,20.4,57.5
GH-0025,20.9,519.9,28.0,45.8,0.0,82.4,27.6,20.6,45.6
GH-0026,26.2,864.1,28.9,33.4,0.0,49.5,60.8,22.3,42.1
GH-0027,22.0,826.1,33.2,45.7,0.0,100.0,44.9,18.3,46.5
GH-0028,15.6,437.2,26.8,45.7,0.0,56.9,19.2,21.1,48.6
GH-0029,15.1,11.1,24.0,61.0,0.0,39.0,0.0,23.0,58.1
GH-0030,14.8,29.0,20.5,60.0,37.0,0.0,0.0,21.5,60.5
GH-0031,16.2,504.8,26.8,54.2,0.0,63.2,8.4,19.8,50.1
GH-0032,14.1,64.6,26.0,59.2,0.0,57.0,0.0,23.4,55.4
GH-0033,22.7,688.3,31.7,40.7,0.0,89.0,48.8,20.4,47.1
GH-0034,10.2,0.0,19.7,62.9,35.8,0.0,0.0,20.1,64.6
GH-0035,21.5,770.7,28.8,39.8,0.0,64.7,43.3,19.8,42.7
GH-0036,12.4,193.0,24.0,52.6,0.0,2.1,18.0,22.4,58.9
GH-0037,16.2,0.4,27.8,64.7,0.0,81.2,0.0,25.2,57.3
GH-0038,17.1,149.0,24.5,41.0,0.0,19.0,43.3,23.9,49.5
GH-0039,10.6,48.6,22.5,60.2,0.0,26.8,5.1,20.7,58.8
GH-0040,19.5,695.4,25.4,45.8,0.0,33.8,28.6,21.8,49.6
GH-0041,21.0,804.1,32.7,34.9,0.0,100.0,70.8,17.5,42.0
GH-0042,13.2,0.0,20.6,59.0,3.0,0.0,4.9,21.3,59.1
GH-0043,23.2,779.1,32.9,34.6,0.0,99.3,58.7,18.4,37.7
GH-0044,12.8,21.8,24.9,57.2,0.0,70.2,19.3,21.6,57.2
GH-0045,24.9,766.5,29.3,45.7,0.0,71.7,45.7,19.6,49.5
GH-0046,11.7,66.2,23.1,53.1,0.0,0.0,10.9,22.0,55.4
GH-0047,25.6,835.5,30.1,40.2,0.0,72.2,54.2,20.2,46.7
GH-0048,21.1,700.6,28.4,45.9,0.0,62.3,31.1,21.6,47.4
GH-0049,23.8,920.0,28.6,37.2,0.0,48.6,58.9,21.7,48.0
GH-0050,15.0,0.0,22.9,58.7,0.0,27.4,2.0,20.8,57.6
GH-0051,21.5,695.6,26.6,52.0,0.0,53.3,28.8,20.1,57.1
GH-0052,17.8,0.0,23.7,55.5,0.0,0.0,6.8,23.4,54.4
GH-0053,12.7,43.2,24.4,56.0,0.0,25.2,3.5,22.6,54.9
GH-0054,23.8,872.2,30.2,38.3,0.0,75.5,62.6,18.4,45.6
GH-0055,13.7,36.3,22.9,48.3,1.0,0.0,39.4,22.7,54.4
GH-0056,16.6,353.8,27.0,53.1,0.0,60.9,0.0,22.0,48.9
GH-0057,19.7,608.1,28.9,40.8,0.0,79.4,55.2,19.6,43.0
GH-0058,21.1,899.7,33.6,36.6,0.0,99.2,55.5,18.0,43.2
GH-0059,17.0,59.5,22.8,60.7,0.0,2.4,0.0,22.8,60.5
GH-0060,20.4,679.3,26.0,48.6,0.0,27.5,29.6,22.3,54.7
GH-0061,11.7,0.0,23.0,61.5,0.0,7.2,0.0,22.2,62.2
GH-0062,17.6,252.3,27.0,51.6,0.0,33.6,21.9,24.7,55.0
GH-0063,13.7,23.2,19.8,66.1,20.6,0.0,0.0,20.2,63.5
GH-0064,14.3,0.0,21.7,58.2,0.2,1.4,0.0,21.8,58.3
GH-0065,16.6,19.6,23.4,58.7,0.0,17.0,4.9,22.9,56.1
GH-0066,20.1,531.0,25.8,40.5,0.0,18.9,45.8,23.9,47.5
GH-0067,18.2,601.5,26.6,43.1,0.0,36.1,50.3,23.4,49.8
GH-0068,21.0,555.5,28.7,43.9,0.0,55.7,35.9,23.7,45.6
GH-0069,12.3,25.3,23.5,57.0,0.0,16.7,4.5,21.6,58.6
GH-0070,11.6,53.5,22.6,49.6,0.0,0.0,19.2,21.2,54.4
GH-0071,11.3,171.2,25.3,56.1,0.0,11.7,15.4,23.1,58.1
GH-0072,24.3,848.5,30.7,37.0,0.0,94.9,73.3,17.3,42.5
GH-0073,15.5,0.0,24.1,62.1,0.0,33.4,0.0,22.4,56.1
GH-0074,22.6,490.1,26.3,53.3,0.0,38.3,14.7,23.5,55.4
GH-0075,14.6,0.0,19.8,48.6,18.7,0.0,27.8,20.9,50.9
GH-0076,12.8,0.0,26.7,43.3,0.0,33.2,49.2,25.6,50.9
GH-0077,20.0,787.3,27.7,42.2,0.0,24.2,43.6,24.6,49.4
GH-0078,16.3,446.5,28.8,49.0,0.0,94.0,31.1,19.2,49.6
GH-0079,20.5,439.5,28.1,57.3,0.0,88.2,0.5,20.9,51.5
GH-0080,24.1,862.4,33.1,36.2,0.0,85.6,70.7,21.5,43.1
GH-0081,11.3,37.7,20.6,60.1,21.4,0.0,0.0,20.5,60.7
GH-0082,24.7,585.2,29.7,48.4,0.0,88.8,8.9,20.3,44.8
GH-0083,23.1,827.3,28.5,40.8,0.0,47.9,46.0,22.3,44.4
GH-0084,15.1,18.8,19.5,60.3,22.6,0.0,0.0,19.4,60.1
GH-0085,18.0,700.2,27.7,49.6,0.0,64.1,22.8,19.1,48.2
GH-0086,20.7,828.0,32.3,37.9,0.0,100.0,37.7,16.8,41.4
GH-0087,21.8,646.1,33.8,36.5,0.0,99.1,60.7,21.6,38.3
GH-0088,14.9,236.5,25.2,48.3,0.0,25.8,26.9,23.9,52.5
GH-0089,15.9,443.8,24.8,46.8,0.0,39.8,30.2,21.2,50.1
GH-0090,18.1,576.8,25.9,45.0,0.0,34.2,44.7,22.9,49.4
GH-0091,13.5,120.9,23.2,53.2,0.0,0.0,16.5,21.8,60.0
GH-0092,14.2,14.5,26.0,58.0,0.0,53.9,0.0,23.8,51.5
GH-0093,14.0,0.0,22.4,67.1,0.0,0.0,0.0,21.0,68.0
GH-0094,13.4,0.0,21.7,59.5,0.0,0.0,0.0,21.7,57.7
GH-0095,17.0,426.8,27.4,51.4,0.0,51.6,20.9,23.6,51.2
GH-0096,10.3,0.0,27.9,56.4,0.0,82.2,0.0,24.9,49.9
GH-0097,25.0,846.9,31.6,37.6,0.0,100.0,52.1,16.2,39.1
GH-0098,21.5,803.1,30.9,42.4,0.0,88.4,54.1,17.4,46.9
GH-0099,22.2,777.0,30.9,46.2,0.0,85.5,21.4,18.7,46.2
GH-0100,20.0,551.4,27.7,42.6,0.0,49.6,43.0,21.1,49.9
GH-0101,10.5,62.4,23.8,44.1,0.0,0.0,21.5,23.3,50.1
GH-0102,15.5,319.0,24.1,46.8,0.0,28.6,41.8,21.1,52.1
GH-0103,23.7,830.5,30.5,40.5,0.0,73.6,56.4,19.7,46.6
GH-0104,11.3,0.0,19.1,64.8,46.2,0.0,0.0,20.9,62.4
GH-0105,11.8,29.9,18.8,53.2,24.2,0.0,23.6,19.2,60.1
GH-0106,19.8,528.0,30.9,37.9,0.0,78.7,65.4,22.2,45.7
GH-0107,11.3,0.0,22.4,48.4,0.0,0.0,18.2,22.2,51.2
GH-0108,21.4,687.8,29.1,47.9,0.0,57.7,47.3,22.7,52.8
GH-0109,18.4,314.8,27.4,49.6,0.0,38.9,25.9,23.3,50.7
GH-0110,22.9,713.8,29.5,52.3,0.0,91.3,25.9,17.7,51.8
GH-0111,20.4,675.2,33.2,46.8,0.0,100.0,32.8,19.9,47.6
GH-0112,12.3,0.0,20.1,53.7,20.3,0.0,16.1,20.1,56.3
GH-0113,11.5,0.0,23.5,62.5,0.0,20.8,0.0,21.9,60.8
GH-0114,13.1,7.5,24.1,54.7,0.0,34.7,4.0,22.8,57.0
GH-0115,12.0,7.9,21.0,46.7,14.4,0.0,32.9,20.6,53.0
GH-0116,12.8,0.0,20.7,68.3,20.6,5.4,0.0,21.3,66.3
GH-0117,16.4,0.0,22.5,61.8,0.0,21.0,0.0,22.3,58.0
GH-0118,21.3,726.4,31.0,44.2,0.0,93.0,45.3,19.3,45.7
GH-0119,20.4,768.8,27.8,45.2,0.0,61.9,32.2,20.1,44.0
GH-0120,23.2,857.8,30.0,48.2,0.0,99.0,29.7,16.2,46.7
GH-0121,23.0,732.0,30.7,36.1,0.0,99.5,69.8,18.1,42.5
GH-0122,14.6,22.2,23.5,62.5,0.0,7.1,0.0,22.3,62.8
GH-0123,13.0,0.0,21.3,57.0,8.6,0.0,0.0,20.6,58.9
GH-0124,21.1,725.1,30.4,39.0,0.0,69.8,57.7,20.2,46.8
GH-0125,22.8,919.7,30.1,35.7,0.0,44.0,59.0,24.3,44.1
GH-0126,19.4,248.7,24.0,53.5,0.0,0.4,0.0,23.5,58.3
GH-0127,17.5,337.7,24.8,46.7,0.0,6.5,26.9,24.0,52.7
GH-0128,14.7,35.5,24.0,63.3,0.0,30.2,0.0,22.9,62.0
GH-0129,13.7,150.7,22.9,57.7,0.0,8.9,0.0,21.6,57.2
GH-0130,15.4,91.2,23.2,55.2,0.0,2.2,12.5,22.3,58.4
GH-0131,12.6,0.0,22.6,56.8,0.0,3.0,3.2,21.7,57.9
GH-0132,19.7,540.9,27.0,52.0,0.0,48.4,15.8,22.5,49.8
GH-0133,13.4,64.9,23.7,55.8,0.0,9.8,0.0,22.6,55.0
GH-0134,11.4,0.0,21.8,55.6,0.0,6.5,10.7,21.2,59.6
GH-0135,21.0,685.2,28.1,42.4,0.0,43.4,41.4,23.0,48.7
GH-0136,14.4,34.4,22.0,60.5,5.4,6.9,0.0,20.8,60.3
GH-0137,22.5,719.0,29.1,50.2,0.0,85.0,37.6,17.7,51.6
GH-0138,11.8,19.6,20.7,62.3,16.9,0.5,0.0,20.2,58.8
GH-0139,13.5,0.0,19.7,52.7,16.8,0.0,0.0,19.4,52.0
GH-0140,24.7,849.8,32.7,33.1,0.0,86.8,71.1,19.0,39.6
GH-0141,9.9,135.5,23.3,46.7,0.0,0.0,19.6,21.7,53.3
GH-0142,12.0,0.0,25.7,56.8,0.0,35.3,5.5,23.8,52.8
GH-0143,12.5,95.9,23.2,63.8,0.0,50.3,0.0,20.3,57.1
GH-0144,16.8,470.9,26.6,51.2,0.0,61.9,4.1,19.7,50.2
GH-0145,11.6,0.0,17.3,63.4,61.0,0.0,0.0,19.1,62.0
GH-0146,16.5,358.6,23.2,51.2,0.0,0.0,18.7,23.5,55.7
GH-0147,13.9,42.6,24.1,62.6,0.0,29.8,0.9,22.7,61.3
GH-0148,11.3,52.0,22.1,57.7,0.0,12.7,0.0,21.9,56.6
GH-0149,13.4,48.9,23.5,62.2,0.0,1.6,0.8,22.8,60.9
GH-0150,9.1,12.4,20.0,62.2,21.3,0.0,0.4,19.7,60.8
GH-0151,10.1,0.0,19.8,66.8,37.2,0.0,0.0,20.5,64.8
GH-0152,12.9,120.0,20.2,56.4,18.0,0.0,0.0,21.3,57.5
GH-0153,11.4,50.9,23.5,54.4,0.0,0.1,0.2,23.7,57.7
GH-0154,10.9,0.0,20.0,65.6,32.6,0.0,0.0,21.0,65.4
GH-0155,13.7,0.0,22.7,50.2,0.0,0.0,24.1,21.5,58.3
GH-0156,12.2,164.7,23.1,54.4,0.0,0.0,4.2,21.3,55.4
GH-0157,19.9,334.2,27.2,47.5,0.0,68.8,20.2,21.7,48.7
GH-0158,13.2,30.7,24.5,53.4,0.0,24.9,14.3,22.8,53.6
GH-0159,9.7,30.3,22.9,54.7,0.0,0.0,0.0,21.1,58.0
GH-0160,16.4,39.7,26.9,48.1,0.0,39.1,48.9,25.4,54.6
GH-0161,21.5,702.8,28.9,49.7,0.0,71.4,30.8,19.4,52.3
GH-0162,12.6,3.7,22.2,59.3,0.0,0.0,0.0,22.4,63.1
GH-0163,12.0,0.0,22.4,59.9,0.0,9.0,10.6,22.0,58.1
GH-0164,25.4,888.4,31.3,35.6,0.0,63.6,75.6,21.6,43.0
GH-0165,15.0,8.6,24.3,61.3,0.0,30.0,0.0,21.9,60.4
GH-0166,18.4,490.3,26.3,42.0,0.0,22.0,47.5,24.7,50.8
GH-0167,17.2,286.0,25.0,48.6,0.0,13.7,22.2,23.4,51.8
GH-0168,14.2,78.0,21.5,60.7,0.0,0.8,0.0,21.5,62.3
GH-0169,13.0,10.3,23.1,57.8,0.0,6.5,0.6,21.7,59.1
GH-0170,12.8,1.2,22.8,60.3,0.0,16.0,0.0,21.2,56.8
GH-0171,14.3,50.3,27.9,52.0,0.0,73.2,0.2,23.9,45.5
GH-0172,21.2,776.6,30.2,38.9,0.0,50.9,55.1,23.2,45.4
GH-0173,10.4,3.7,23.2,47.9,0.0,0.8,37.2,22.3,60.3
GH-0174,16.3,342.6,26.0,48.4,0.0,22.8,37.7,23.9,56.4
GH-0175,9.2,10.6,24.3,49.3,0.0,19.8,11.4,22.2,51.2
GH-0176,16.7,235.9,26.2,49.7,0.0,38.3,35.4,23.2,52.8
GH-0177,12.4,115.2,22.1,59.2,0.0,0.0,0.0,21.3,58.9
GH-0178,19.7,610.6,29.7,49.5,0.0,88.6,8.5,19.3,44.0
GH-0179,20.7,805.6,25.6,41.1,0.0,24.5,40.5,22.9,47.0
GH-0180,17.4,659.3,26.6,54.4,0.0,37.1,7.0,21.7,52.9
GH-0181,24.0,599.2,30.2,45.0,0.0,74.9,38.6,22.5,44.0
GH-0182,21.0,799.8,28.6,51.7,0.0,51.7,0.4,21.5,53.9
GH-0183,17.2,11.7,21.7,65.1,0.0,11.6,0.0,21.4,63.0
GH-0184,26.6,840.0,31.1,46.7,0.0,96.4,52.1,17.1,50.5
GH-0185,19.6,158.3,25.9,52.2,0.0,19.2,8.6,24.7,53.6
GH-0186,20.5,849.8,31.5,43.2,0.0,100.0,41.4,16.2,43.9
GH-0187,20.9,545.6,26.2,62.5,0.0,58.3,0.0,19.8,58.5
GH-0188,18.6,258.2,26.7,56.7,0.0,45.0,19.5,24.0,54.1
GH-0189,14.0,39.8,21.8,55.5,0.0,0.0,8.5,20.6,60.0
GH-0190,20.6,484.3,28.1,49.3,0.0,69.0,22.2,20.9,50.1
GH-0191,17.5,18.9,24.4,65.8,0.0,35.6,0.0,22.7,59.3
GH-0192,20.1,626.4,30.1,39.8,0.0,64.4,59.7,22.1,47.9
GH-0193,10.4,0.0,19.9,61.0,12.6,0.0,0.0,19.7,63.2
GH-0194,16.3,468.7,27.4,46.5,0.0,48.9,9.8,22.4,47.8
GH-0195,10.6,0.0,24.2,54.6,0.0,24.5,1.6,22.6,55.0
GH-0196,21.8,648.6,31.1,41.6,0.0,88.3,35.6,21.1,41.8
GH-0197,13.9,0.0,25.4,53.8,0.0,38.4,0.0,23.7,55.7
GH-0198,16.2,0.0,24.8,58.6,0.0,36.8,0.0,23.2,59.7
GH-0199,11.6,3.0,19.2,62.6,43.4,0.0,0.0,20.3,62.3
GH-0200,19.8,536.5,29.5,47.6,0.0,80.4,35.6,20.1,49.5
GH-0201,15.4,0.0,23.0,58.5,0.0,40.9,0.0,21.9,58.5
GH-0202,13.4,103.5,23.3,55.8,0.0,0.0,0.0,23.0,56.5
GH-0203,15.0,53.6,21.4,56.0,0.0,8.4,0.0,21.0,57.2
GH-0204,15.9,0.0,25.9,55.4,0.0,37.2,16.7,24.5,53.6
GH-0205,15.8,462.4,29.7,46.0,0.0,98.3,24.9,19.1,45.2
