dispatch_id,departed_at,hub,service_level,status,packages,delay_minutes
DSP-000001,2025-01-01 00:00:00,Central,Economy,completed,8,9
DSP-000002,2025-01-01 00:04:00,River,Economy,completed,9,15
DSP-000003,2025-01-01 00:08:00,Central,Economy,completed,8,8
DSP-000004,2025-01-01 00:12:00,South,Priority,completed,9,6
DSP-000005,2025-01-01 00:16:00,Central,Priority,completed,5,5
DSP-000006,2025-01-01 00:20:00,West,Economy,completed,6,17
DSP-000007,2025-01-01 00:24:00,South,Economy,completed,7,11
DSP-000008,2025-01-01 00:28:00,West,Economy,completed,6,14
DSP-000009,2025-01-01 00:32:00,North,Economy,completed,1,11
DSP-000010,2025-01-01 00:36:00,North,Priority,completed,8,8
DSP-000011,2025-01-01 00:40:00,South,Economy,completed,9,12
DSP-000012,2025-01-01 00:44:00,South,Economy,completed,8,9
DSP-000013,2025-01-01 00:48:00,Harbor,Priority,completed,6,9
DSP-000014,2025-01-01 00:52:00,Harbor,Economy,completed,8,13
DSP-000015,2025-01-01 00:56:00,South,Economy,completed,12,7
DSP-000016,2025-01-01 01:00:00,West,Economy,completed,3,17
DSP-000017,2025-01-01 01:04:00,North,Economy,completed,7,10
DSP-000018,2025-01-01 01:08:00,South,Priority,completed,4,4
DSP-000019,2025-01-01 01:12:00,Central,Economy,completed,12,9
DSP-000020,2025-01-01 01:16:00,Harbor,Economy,completed,5,11
DSP-000021,2025-01-01 01:20:00,North,Economy,completed,6,11
DSP-000022,2025-01-01 01:24:00,Harbor,Economy,completed,7,10
DSP-000023,2025-01-01 01:28:00,Central,Economy,completed,9,11
DSP-000024,2025-01-01 01:32:00,Central,Priority,completed,7,3
DSP-000025,2025-01-01 01:36:00,South,Priority,completed,9,9
DSP-000026,2025-01-01 01:40:00,Harbor,Economy,completed,6,10
DSP-000027,2025-01-01 01:44:00,River,Priority,completed,3,11
DSP-000028,2025-01-01 01:48:00,Central,Economy,completed,10,9
DSP-000029,2025-01-01 01:52:00,River,Economy,completed,8,13
DSP-000030,2025-01-01 01:56:00,West,Economy,completed,10,18
DSP-000031,2025-01-01 02:00:00,Central,Economy,completed,9,8
DSP-000032,2025-01-01 02:04:00,Harbor,Economy,cancelled,6,
DSP-000033,2025-01-01 02:08:00,South,Economy,completed,10,7
DSP-000034,2025-01-01 02:12:00,Central,Economy,completed,6,9
DSP-000035,2025-01-01 02:16:00,West,Priority,completed,9,12
DSP-000036,2025-01-01 02:20:00,Central,Economy,completed,11,7
DSP-000037,2025-01-01 02:24:00,North,Priority,completed,2,11
DSP-000038,2025-01-01 02:28:00,North,Priority,completed,6,9
DSP-000039,2025-01-01 02:32:00,River,Priority,completed,7,11
DSP-000040,2025-01-01 02:36:00,Central,Economy,completed,4,8
DSP-000041,2025-01-01 02:40:00,Harbor,Economy,completed,9,12
DSP-000042,2025-01-01 02:44:00,Central,Economy,completed,9,7
DSP-000043,2025-01-01 02:48:00,West,Priority,completed,5,13
DSP-000044,2025-01-01 02:52:00,West,Economy,completed,5,19
DSP-000045,2025-01-01 02:56:00,North,Economy,completed,4,7
DSP-000046,2025-01-01 03:00:00,North,Economy,completed,8,9
DSP-000047,2025-01-01 03:04:00,South,Economy,cancelled,3,
DSP-000048,2025-01-01 03:08:00,South,Priority,completed,7,6
DSP-000049,2025-01-01 03:12:00,Central,Priority,completed,8,6
DSP-000050,2025-01-01 03:16:00,North,Economy,completed,10,10
DSP-000051,2025-01-01 03:20:00,Central,Priority,completed,8,9
DSP-000052,2025-01-01 03:24:00,West,Economy,completed,8,15
DSP-000053,2025-01-01 03:28:00,West,Priority,completed,1,17
DSP-000054,2025-01-01 03:32:00,River,Economy,completed,7,15
DSP-000055,2025-01-01 03:36:00,Central,Economy,completed,3,7
DSP-000056,2025-01-01 03:40:00,West,Economy,completed,8,15
DSP-000057,2025-01-01 03:44:00,Harbor,Economy,completed,3,10
DSP-000058,2025-01-01 03:48:00,Central,Priority,completed,5,5
DSP-000059,2025-01-01 03:52:00,West,Economy,cancelled,10,
DSP-000060,2025-01-01 03:56:00,South,Priority,completed,7,9
DSP-000061,2025-01-01 04:00:00,River,Economy,completed,4,15
DSP-000062,2025-01-01 04:04:00,Central,Economy,completed,6,8
DSP-000063,2025-01-01 04:08:00,Harbor,Economy,cancelled,2,
DSP-000064,2025-01-01 04:12:00,South,Economy,completed,9,8
DSP-000065,2025-01-01 04:16:00,North,Economy,completed,4,10
DSP-000066,2025-01-01 04:20:00,Central,Economy,completed,6,8
DSP-000067,2025-01-01 04:24:00,Central,Economy,completed,7,9
DSP-000068,2025-01-01 04:28:00,River,Priority,completed,8,13
DSP-000069,2025-01-01 04:32:00,South,Priority,completed,1,9
DSP-000070,2025-01-01 04:36:00,Central,Priority,completed,1,8
DSP-000071,2025-01-01 04:40:00,River,Economy,completed,3,10
DSP-000072,2025-01-01 04:44:00,Central,Economy,completed,5,8
DSP-000073,2025-01-01 04:48:00,North,Economy,completed,6,14
DSP-000074,2025-01-01 04:52:00,Central,Economy,completed,8,9
DSP-000075,2025-01-01 04:56:00,West,Economy,completed,6,15
DSP-000076,2025-01-01 05:00:00,South,Economy,completed,4,8
DSP-000077,2025-01-01 05:04:00,North,Priority,completed,3,8
DSP-000078,2025-01-01 05:08:00,Central,Economy,completed,8,7
DSP-000079,2025-01-01 05:12:00,Central,Priority,completed,4,4
DSP-000080,2025-01-01 05:16:00,Harbor,Priority,completed,1,10
DSP-000081,2025-01-01 05:20:00,South,Economy,completed,8,9
DSP-000082,2025-01-01 05:24:00,River,Priority,completed,5,9
DSP-000083,2025-01-01 05:28:00,Central,Economy,completed,6,6
DSP-000084,2025-01-01 05:32:00,Central,Economy,completed,4,10
DSP-000085,2025-01-01 05:36:00,South,Economy,completed,2,16
DSP-000086,2025-01-01 05:40:00,West,Economy,completed,10,20
DSP-000087,2025-01-01 05:44:00,Central,Economy,completed,7,5
DSP-000088,2025-01-01 05:48:00,North,Priority,completed,7,7
DSP-000089,2025-01-01 05:52:00,Central,Economy,completed,1,8
DSP-000090,2025-01-01 05:56:00,South,Economy,completed,6,6
DSP-000091,2025-01-01 06:00:00,Central,Priority,completed,8,6
DSP-000092,2025-01-01 06:04:00,Central,Economy,completed,8,7
DSP-000093,2025-01-01 06:08:00,West,Economy,completed,9,15
DSP-000094,2025-01-01 06:12:00,South,Priority,completed,7,7
DSP-000095,2025-01-01 06:16:00,South,Priority,completed,6,5
DSP-000096,2025-01-01 06:20:00,North,Priority,completed,9,8
DSP-000097,2025-01-01 06:24:00,Central,Economy,completed,12,8
DSP-000098,2025-01-01 06:28:00,South,Economy,completed,10,6
DSP-000099,2025-01-01 06:32:00,Harbor,Economy,completed,8,13
DSP-000100,2025-01-01 06:36:00,Central,Economy,completed,3,8
DSP-000101,2025-01-01 06:40:00,South,Priority,completed,6,4
DSP-000102,2025-01-01 06:44:00,South,Priority,completed,2,6
DSP-000103,2025-01-01 06:48:00,West,Priority,completed,2,14
DSP-000104,2025-01-01 06:52:00,Central,Economy,completed,7,9
DSP-000105,2025-01-01 06:56:00,River,Economy,completed,7,16
DSP-000106,2025-01-01 07:00:00,Harbor,Economy,completed,10,19
DSP-000107,2025-01-01 07:04:00,River,Economy,completed,4,22
DSP-000108,2025-01-01 07:08:00,West,Economy,completed,11,22
DSP-000109,2025-01-01 07:12:00,River,Economy,completed,6,21
DSP-000110,2025-01-01 07:16:00,Central,Priority,completed,5,13
DSP-000111,2025-01-01 07:20:00,North,Economy,completed,11,13
DSP-000112,2025-01-01 07:24:00,Harbor,Priority,completed,1,19
DSP-000113,2025-01-01 07:28:00,West,Economy,completed,4,21
DSP-000114,2025-01-01 07:32:00,Harbor,Economy,completed,3,21
DSP-000115,2025-01-01 07:36:00,River,Economy,completed,9,19
DSP-000116,2025-01-01 07:40:00,River,Economy,completed,10,19
DSP-000117,2025-01-01 07:44:00,Harbor,Economy,completed,5,15
DSP-000118,2025-01-01 07:48:00,North,Priority,completed,7,15
DSP-000119,2025-01-01 07:52:00,North,Economy,completed,11,14
DSP-000120,2025-01-01 07:56:00,Harbor,Economy,completed,8,17
DSP-000121,2025-01-01 08:00:00,Central,Economy,completed,7,12
DSP-000122,2025-01-01 08:04:00,West,Priority,completed,6,24
DSP-000123,2025-01-01 08:08:00,Central,Economy,completed,6,12
DSP-000124,2025-01-01 08:12:00,South,Economy,completed,8,14
DSP-000125,2025-01-01 08:16:00,North,Priority,completed,6,16
DSP-000126,2025-01-01 08:20:00,River,Economy,completed,6,17
DSP-000127,2025-01-01 08:24:00,South,Economy,completed,10,12
DSP-000128,2025-01-01 08:28:00,River,Economy,completed,10,22
DSP-000129,2025-01-01 08:32:00,West,Economy,completed,9,22
DSP-000130,2025-01-01 08:36:00,Harbor,Priority,completed,5,14
DSP-000131,2025-01-01 08:40:00,South,Priority,completed,5,10
DSP-000132,2025-01-01 08:44:00,South,Priority,completed,9,13
DSP-000133,2025-01-01 08:48:00,North,Economy,completed,5,18
DSP-000134,2025-01-01 08:52:00,North,Economy,completed,5,16
DSP-000135,2025-01-01 08:56:00,River,Economy,completed,8,21
DSP-000136,2025-01-01 09:00:00,West,Economy,completed,12,21
DSP-000137,2025-01-01 09:04:00,Central,Priority,completed,5,11
DSP-000138,2025-01-01 09:08:00,River,Economy,completed,2,21
DSP-000139,2025-01-01 09:12:00,River,Economy,completed,3,24
DSP-000140,2025-01-01 09:16:00,Central,Economy,completed,5,13
DSP-000141,2025-01-01 09:20:00,South,Economy,completed,5,16
DSP-000142,2025-01-01 09:24:00,West,Priority,completed,9,21
DSP-000143,2025-01-01 09:28:00,River,Economy,completed,7,21
DSP-000144,2025-01-01 09:32:00,Harbor,Economy,completed,2,21
DSP-000145,2025-01-01 09:36:00,River,Priority,completed,6,18
DSP-000146,2025-01-01 09:40:00,Harbor,Economy,completed,8,18
DSP-000147,2025-01-01 09:44:00,South,Economy,completed,3,16
DSP-000148,2025-01-01 09:48:00,West,Economy,completed,10,26
DSP-000149,2025-01-01 09:52:00,Central,Economy,completed,7,13
DSP-000150,2025-01-01 09:56:00,South,Economy,completed,4,13
DSP-000151,2025-01-01 10:00:00,River,Priority,cancelled,6,
DSP-000152,2025-01-01 10:04:00,River,Economy,completed,2,12
DSP-000153,2025-01-01 10:08:00,Central,Economy,completed,1,7
DSP-000154,2025-01-01 10:12:00,South,Economy,completed,7,8
DSP-000155,2025-01-01 10:16:00,River,Economy,completed,2,16
DSP-000156,2025-01-01 10:20:00,North,Priority,completed,6,7
DSP-000157,2025-01-01 10:24:00,Central,Priority,completed,7,7
DSP-000158,2025-01-01 10:28:00,Harbor,Priority,completed,6,8
DSP-000159,2025-01-01 10:32:00,Harbor,Economy,completed,10,13
DSP-000160,2025-01-01 10:36:00,North,Priority,completed,9,10
DSP-000161,2025-01-01 10:40:00,West,Economy,completed,9,13
DSP-000162,2025-01-01 10:44:00,River,Economy,completed,6,13
DSP-000163,2025-01-01 10:48:00,Central,Priority,completed,2,7
DSP-000164,2025-01-01 10:52:00,West,Economy,completed,5,16
DSP-000165,2025-01-01 10:56:00,Central,Priority,completed,8,4
DSP-000166,2025-01-01 11:00:00,River,Priority,completed,5,13
DSP-000167,2025-01-01 11:04:00,South,Economy,completed,8,8
DSP-000168,2025-01-01 11:08:00,Central,Economy,completed,7,7
