station_hour_id,hour,hour_sin,hour_cos,temperature_c,rain_mm,weekend,nearby_event,bikes_available,empty_docks,next_hour_rentals,empty_next_hour
BS-0001,19,-0.96593,0.25882,14.5,3.1,0,0,23,17,13,0
BS-0002,11,0.25882,-0.96593,24.7,3.4,1,0,15,25,20,0
BS-0003,18,-1.0,-0.0,11.9,0.0,1,0,9,31,11,0
BS-0004,7,0.96593,-0.25882,10.0,3.3,0,0,20,20,18,0
BS-0005,0,0.0,1.0,11.6,0.0,0,0,16,24,7,0
BS-0006,6,1.0,0.0,5.1,0.2,1,0,24,16,19,0
BS-0007,23,-0.25882,0.96593,24.5,0.0,0,0,10,30,8,0
BS-0008,23,-0.25882,0.96593,21.8,0.0,0,0,8,32,4,0
BS-0009,16,-0.86603,-0.5,-1.7,1.8,0,0,15,25,21,0
BS-0010,5,0.96593,0.25882,33.9,0.0,1,0,16,24,12,0
BS-0011,12,0.0,-1.0,6.5,0.0,0,0,7,33,12,1
BS-0012,0,0.0,1.0,7.7,0.0,0,0,8,32,6,0
BS-0013,4,0.86603,0.5,9.3,0.0,0,1,11,29,12,0
BS-0014,20,-0.86603,0.5,17.2,0.5,1,0,16,24,13,0
BS-0015,16,-0.86603,-0.5,19.0,0.2,1,0,17,23,28,0
BS-0016,4,0.86603,0.5,18.5,0.0,0,0,21,19,10,0
BS-0017,20,-0.86603,0.5,25.9,0.0,1,0,26,14,12,0
BS-0018,20,-0.86603,0.5,18.9,0.0,0,0,15,25,14,0
BS-0019,4,0.86603,0.5,25.9,0.0,0,0,18,22,8,0
BS-0020,17,-0.96593,-0.25882,18.7,0.0,0,0,14,26,18,0
BS-0021,4,0.86603,0.5,22.7,0.0,1,0,5,35,8,0
BS-0022,1,0.25882,0.96593,6.0,0.0,1,0,31,9,1,0
BS-0023,4,0.86603,0.5,21.1,3.8,0,0,1,39,0,0
BS-0024,2,0.5,0.86603,23.6,1.4,0,0,17,23,12,0
BS-0025,19,-0.96593,0.25882,6.2,0.0,1,0,13,27,19,0
BS-0026,10,0.5,-0.86603,3.9,0.0,1,0,25,15,27,0
BS-0027,11,0.25882,-0.96593,10.6,0.0,1,0,18,22,16,0
BS-0028,17,-0.96593,-0.25882,8.0,0.0,0,0,16,24,25,0
