trip_id,started_at,member_type,purpose,distance_km,duration_min,rain_mm
HV-0319,2026-04-01 06:10,Member,Commute,5.01,17.3,0.0
HV-0068,2026-04-01 07:50,Day pass,Errand,2.54,15.5,0.0
HV-0241,2026-04-01 08:38,Member,Errand,3.31,24.1,0.0
HV-0363,2026-04-01 08:48,Member,Commute,6.59,30.2,0.0
HV-0578,2026-04-01 09:13,Member,Commute,4.37,16.1,0.0
HV-0042,2026-04-01 12:07,Day pass,Errand,4.08,23.6,0.0
HV-0565,2026-04-01 12:15,Member,Commute,5.92,25.4,0.0
HV-0429,2026-04-01 13:00,Member,Errand,2.85,19.4,0.0
HV-0338,2026-04-01 13:19,Day pass,Commute,4.17,22.6,0.0
HV-0411,2026-04-01 13:52,Member,Errand,2.17,13.2,0.0
HV-0408,2026-04-01 14:04,Day pass,Errand,3.58,19.1,0.0
HV-0128,2026-04-01 14:11,Member,Commute,4.26,21.1,0.0
HV-0040,2026-04-01 17:27,Member,Commute,4.3,13.9,0.0
HV-0198,2026-04-01 18:58,Member,Commute,4.23,23.8,0.0
HV-0011,2026-04-02 09:30,Member,Leisure,9.55,51.9,0.0
HV-0041,2026-04-02 10:31,Member,Errand,2.25,13.2,0.0
HV-0478,2026-04-02 11:30,Member,Commute,4.13,15.5,0.0
HV-0247,2026-04-02 13:38,Member,Commute,4.16,22.4,0.0
HV-0317,2026-04-02 19:24,Member,Commute,3.17,11.2,0.0
HV-0121,2026-04-02 19:46,Day pass,Errand,5.12,30.6,0.0
HV-0563,2026-04-02 20:21,Member,Commute,2.49,10.1,0.0
HV-0414,2026-04-02 20:28,Member,Commute,4.87,19.0,0.0
HV-0323,2026-04-02 22:16,Member,Commute,8.74,35.4,0.0
HV-0118,2026-04-03 07:14,Member,Commute,12.55,49.5,1.3
HV-0468,2026-04-03 09:00,Member,Errand,3.81,25.0,1.3
HV-0588,2026-04-03 09:58,Day pass,Commute,3.18,15.3,1.3
HV-0610,2026-04-03 10:40,Member,Errand,3.03,20.2,1.3
HV-0598,2026-04-03 11:09,Member,Commute,5.81,24.1,1.3
HV-0341,2026-04-03 16:01,Day pass,Commute,3.4,16.9,1.3
HV-0447,2026-04-03 16:51,Member,Commute,2.74,7.9,1.3
HV-0293,2026-04-03 17:11,Day pass,Commute,3.72,19.2,1.3
HV-0091,2026-04-03 18:34,Member,Commute,4.07,20.0,1.3
HV-0119,2026-04-03 18:49,Member,Commute,3.02,13.6,1.3
HV-0413,2026-04-03 20:38,Member,Commute,2.38,10.8,1.3
HV-0151,2026-04-03 21:36,Member,Commute,3.61,14.0,1.3
HV-0612,2026-04-04 07:50,Day pass,Leisure,6.88,37.5,0.0
HV-0542,2026-04-04 09:22,Member,Errand,4.28,23.0,0.0
HV-0619,2026-04-04 09:42,Day pass,Leisure,4.31,24.2,0.0
HV-0140,2026-04-04 13:22,Day pass,Leisure,7.56,40.9,0.0
HV-0248,2026-04-04 14:07,Day pass,Leisure,8.82,46.6,0.0
HV-0260,2026-04-04 14:55,Member,Errand,3.56,25.7,0.0
HV-0353,2026-04-04 15:22,Day pass,Errand,5.0,32.4,0.0
HV-0493,2026-04-04 15:53,Member,Commute,4.12,17.9,0.0
HV-0516,2026-04-04 16:18,Day pass,Errand,3.8,27.5,0.0
HV-0539,2026-04-04 16:58,Member,Leisure,5.04,29.2,0.0
HV-0020,2026-04-04 17:55,Member,Commute,4.27,18.7,0.0
HV-0664,2026-04-04 18:50,Day pass,Commute,2.87,9.9,0.0
HV-0139,2026-04-04 20:37,Member,Errand,4.12,28.1,0.0
HV-0487,2026-04-05 07:03,Member,Leisure,8.66,41.0,0.0
HV-0629,2026-04-05 14:40,Member,Leisure,7.49,36.1,0.0
HV-0014,2026-04-05 14:44,Day pass,Commute,5.86,18.9,0.0
HV-0349,2026-04-05 15:13,Day pass,Errand,3.06,22.0,0.0
HV-0029,2026-04-05 15:45,Day pass,Leisure,6.31,30.9,0.0
HV-0038,2026-04-05 16:21,Day pass,Errand,2.62,13.2,0.0
HV-0102,2026-04-05 17:28,Day pass,Errand,2.96,19.3,0.0
HV-0645,2026-04-05 17:42,Day pass,Commute,3.11,10.8,0.0
HV-0566,2026-04-05 18:20,Member,Errand,3.47,25.0,0.0
HV-0209,2026-04-05 18:30,Member,Leisure,7.05,38.0,0.0
HV-0141,2026-04-05 19:11,Day pass,Leisure,10.23,51.1,0.0
HV-0551,2026-04-05 19:50,Day pass,Leisure,5.86,30.3,0.0
HV-0282,2026-04-05 20:05,Member,Leisure,7.82,41.1,0.0
HV-0599,2026-04-06 07:25,Member,Commute,3.76,14.9,5.7
HV-0440,2026-04-06 08:55,Member,Commute,5.31,20.3,5.7
HV-0368,2026-04-06 09:09,Day pass,Errand,3.88,29.5,5.7
HV-0245,2026-04-06 09:25,Member,Commute,2.81,14.4,5.7
HV-0555,2026-04-06 09:46,Member,Commute,5.97,25.3,5.7
HV-0438,2026-04-06 10:45,Member,Errand,4.02,27.3,5.7
HV-0518,2026-04-06 12:08,Member,Commute,3.44,16.1,5.7
HV-0697,2026-04-06 12:31,Member,Commute,5.86,29.5,5.7
HV-0207,2026-04-06 13:17,Member,Commute,7.44,32.0,5.7
HV-0410,2026-04-06 15:24,Member,Commute,2.21,11.0,5.7
HV-0441,2026-04-06 17:31,Member,Commute,6.02,27.4,5.7
HV-0132,2026-04-06 18:14,Member,Commute,3.71,22.7,5.7
HV-0649,2026-04-06 18:31,Member,Commute,4.24,15.9,5.7
HV-0393,2026-04-06 18:42,Day pass,Commute,3.45,15.5,5.7
HV-0497,2026-04-06 19:01,Member,Commute,6.64,25.8,5.7
HV-0507,2026-04-06 19:46,Member,Commute,2.72,12.8,5.7
HV-0275,2026-04-07 08:03,Member,Commute,5.81,27.1,5.8
HV-0448,2026-04-07 09:42,Member,Commute,3.46,18.7,5.8
HV-0175,2026-04-07 09:49,Member,Errand,3.53,20.8,5.8
HV-0348,2026-04-07 16:01,Member,Commute,6.77,28.0,5.8
HV-0286,2026-04-07 18:33,Day pass,Commute,5.81,26.8,5.8
HV-0239,2026-04-07 18:53,Day pass,Errand,3.46,30.2,5.8
HV-0288,2026-04-07 20:34,Member,Commute,3.75,18.6,5.8
HV-0104,2026-04-07 22:06,Day pass,Errand,3.23,19.4,5.8
HV-0164,2026-04-08 07:18,Member,Commute,6.35,25.0,0.0
HV-0695,2026-04-08 08:09,Member,Commute,3.89,11.7,0.0
HV-0265,2026-04-08 08:30,Member,Commute,3.76,16.3,0.0
HV-0096,2026-04-08 09:34,Member,Commute,3.38,10.4,0.0
HV-0676,2026-04-08 09:40,Member,Commute,3.87,18.5,0.0
HV-0669,2026-04-08 11:34,Member,Errand,2.89,22.8,0.0
HV-0034,2026-04-08 12:47,Day pass,Commute,2.16,9.6,0.0
HV-0084,2026-04-08 13:45,Member,Commute,4.67,19.0,0.0
HV-0228,2026-04-08 16:01,Member,Commute,5.53,24.2,0.0
HV-0226,2026-04-08 16:09,Member,Leisure,13.06,60.0,0.0
HV-0080,2026-04-08 16:37,Member,Commute,3.22,13.8,0.0
HV-0278,2026-04-08 17:49,Member,Commute,3.31,8.8,0.0
HV-0419,2026-04-08 19:14,Member,Commute,2.86,12.5,0.0
HV-0326,2026-04-09 08:58,Member,Commute,3.08,13.5,2.8
HV-0382,2026-04-09 09:35,Member,Commute,5.6,23.6,2.8
HV-0528,2026-04-09 09:57,Member,Commute,6.51,28.3,2.8
HV-0513,2026-04-09 11:01,Member,Commute,4.65,19.3,2.8
HV-0564,2026-04-09 11:55,Member,Leisure,5.59,30.7,2.8
HV-0573,2026-04-09 15:22,Member,Leisure,8.95,46.6,2.8
HV-0303,2026-04-09 16:33,Member,Commute,4.21,14.3,2.8
HV-0214,2026-04-09 19:53,Day pass,Commute,2.96,13.0,2.8
HV-0179,2026-04-09 20:14,Member,Commute,8.81,37.5,2.8
HV-0028,2026-04-09 21:02,Member,Commute,3.42,20.1,2.8
HV-0335,2026-04-10 07:24,Member,Errand,4.18,25.6,0.0
HV-0484,2026-04-10 07:28,Member,Commute,3.29,10.8,0.0
HV-0266,2026-04-10 09:13,Member,Errand,4.17,22.1,0.0
HV-0337,2026-04-10 09:46,Member,Commute,3.93,17.2,0.0
HV-0019,2026-04-10 10:56,Member,Commute,4.31,19.7,0.0
HV-0581,2026-04-10 11:45,Member,Errand,3.79,22.0,0.0
HV-0492,2026-04-10 14:27,Member,Commute,5.47,22.0,0.0
HV-0571,2026-04-10 16:57,Member,Commute,6.36,28.0,0.0
HV-0361,2026-04-10 17:14,Day pass,Errand,2.34,15.2,0.0
HV-0714,2026-04-10 17:18,Member,Commute,4.3,16.1,0.0
HV-0033,2026-04-10 17:34,Day pass,Leisure,7.82,43.6,0.0
HV-0376,2026-04-10 18:57,Member,Commute,4.08,16.5,0.0
HV-0455,2026-04-10 19:18,Member,Commute,5.13,21.5,0.0
HV-0707,2026-04-10 20:02,Member,Commute,5.59,23.8,0.0
HV-0614,2026-04-10 20:06,Member,Commute,6.91,31.2,0.0
HV-0567,2026-04-11 07:06,Member,Leisure,8.76,49.9,0.0
HV-0149,2026-04-11 09:00,Day pass,Leisure,7.44,33.3,0.0
HV-0445,2026-04-11 09:25,Day pass,Commute,4.52,22.3,0.0
HV-0482,2026-04-11 09:55,Member,Leisure,10.55,52.0,0.0
HV-0010,2026-04-11 12:39,Member,Leisure,11.02,55.5,0.0
HV-0432,2026-04-11 12:43,Member,Leisure,3.68,23.1,0.0
HV-0163,2026-04-11 15:16,Member,Errand,1.56,8.5,0.0
HV-0090,2026-04-11 16:32,Day pass,Leisure,11.62,63.0,0.0
HV-0460,2026-04-11 18:25,Day pass,Commute,6.4,28.1,0.0
HV-0504,2026-04-11 19:14,Member,Commute,2.97,14.0,0.0
HV-0456,2026-04-11 19:32,Day pass,Commute,3.3,16.0,0.0
HV-0031,2026-04-11 20:01,Member,Leisure,11.64,55.2,0.0
HV-0170,2026-04-11 20:48,Day pass,Leisure,8.29,42.3,0.0
HV-0692,2026-04-12 06:46,Member,Leisure,7.76,39.8,0.0
HV-0553,2026-04-12 08:52,Member,Leisure,10.06,49.5,0.0
HV-0305,2026-04-12 09:41,Day pass,Leisure,7.39,39.4,0.0
HV-0073,2026-04-12 09:52,Member,Leisure,10.06,51.3,0.0
HV-0392,2026-04-12 10:16,Member,Leisure,11.61,58.0,0.0
HV-0227,2026-04-12 11:12,Day pass,Leisure,2.88,15.4,0.0
HV-0060,2026-04-12 16:01,Member,Errand,2.85,15.8,0.0
HV-0500,2026-04-12 19:08,Day pass,Errand,3.63,23.2,0.0
HV-0156,2026-04-12 19:29,Member,Errand,3.57,24.6,0.0
HV-0346,2026-04-12 19:55,Member,Errand,4.53,27.0,0.0
HV-0271,2026-04-12 19:59,Day pass,Errand,3.17,22.9,0.0
HV-0427,2026-04-13 07:06,Day pass,Commute,5.97,24.7,0.3
HV-0186,2026-04-13 08:00,Day pass,Errand,4.0,21.5,0.3
HV-0075,2026-04-13 08:40,Day pass,Leisure,6.14,37.8,0.3
HV-0255,2026-04-13 09:04,Day pass,Errand,3.09,20.1,0.3
HV-0044,2026-04-13 09:35,Member,Errand,2.46,20.1,0.3
HV-0035,2026-04-13 13:46,Member,Errand,3.75,20.4,0.3
HV-0092,2026-04-13 14:16,Member,Leisure,5.46,32.4,0.3
HV-0430,2026-04-13 14:48,Member,Errand,2.86,20.3,0.3
HV-0181,2026-04-13 15:30,Day pass,Commute,4.74,26.8,0.3
HV-0673,2026-04-13 15:33,Member,Commute,4.86,18.1,0.3
HV-0589,2026-04-13 17:56,Member,Commute,5.48,21.2,0.3
HV-0002,2026-04-13 18:05,Member,Errand,4.23,30.3,0.3
HV-0295,2026-04-13 18:41,Member,Leisure,5.25,26.4,0.3
HV-0332,2026-04-13 18:41,Member,Commute,3.34,13.4,0.3
HV-0069,2026-04-13 21:46,Member,Commute,3.37,19.3,0.3
HV-0062,2026-04-14 07:02,Day pass,Leisure,10.03,49.4,2.2
HV-0434,2026-04-14 07:04,Member,Commute,3.93,19.1,2.2
HV-0056,2026-04-14 09:21,Day pass,Commute,2.94,15.3,2.2
HV-0089,2026-04-14 11:08,Member,Errand,4.08,20.6,2.2
HV-0720,2026-04-14 11:16,Day pass,Leisure,8.35,38.2,2.2
HV-0304,2026-04-14 12:41,Day pass,Errand,2.59,17.9,2.2
HV-0622,2026-04-14 13:21,Day pass,Commute,3.3,18.3,2.2
HV-0211,2026-04-14 14:34,Member,Commute,5.41,25.2,2.2
HV-0681,2026-04-14 16:54,Day pass,Errand,2.87,21.2,2.2
HV-0122,2026-04-14 16:57,Member,Errand,7.28,40.9,2.2
HV-0415,2026-04-14 17:21,Day pass,Errand,4.54,23.4,2.2
HV-0620,2026-04-14 17:58,Member,Commute,4.11,21.3,2.2
HV-0110,2026-04-14 19:54,Day pass,Leisure,7.44,41.1,2.2
HV-0051,2026-04-14 21:02,Member,Commute,3.34,21.6,2.2
HV-0078,2026-04-15 08:21,Day pass,Commute,2.74,15.9,0.0
HV-0474,2026-04-15 08:39,Day pass,Errand,2.52,17.2,0.0
HV-0269,2026-04-15 17:12,Member,Commute,3.76,13.8,0.0
HV-0143,2026-04-15 17:27,Member,Errand,5.4,30.5,0.0
HV-0264,2026-04-15 18:49,Member,Commute,4.93,16.7,0.0
HV-0443,2026-04-15 19:43,Member,Commute,2.46,10.4,0.0
HV-0628,2026-04-15 20:06,Member,Errand,3.43,19.4,0.0
