recorded_date,center_id,center_name,open_hours,visitors,electricity_kwh
2026-01-01,CTR-A,Atrium,9.5,100,66.8
2026-01-01,CTR-B,Studio,10.0,117,82.3
2026-01-01,CTR-C,Workshop,10.5,134,96.8
2026-01-01,CTR-D,Reading Room,11.0,151,67.2
2026-01-02,CTR-A,Atrium,9.5,103,67.7
2026-01-02,CTR-B,Studio,10.0,121,83.2
2026-01-02,CTR-C,Workshop,10.5,139,97.7
2026-01-02,CTR-D,Reading Room,11.0,157,68.1
2026-01-03,CTR-A,Atrium,5.5,63,59.1
2026-01-03,CTR-B,Studio,6.0,82,74.6
2026-01-03,CTR-C,Workshop,6.5,101,89.1
2026-01-03,CTR-D,Reading Room,7.0,120,59.6
2026-01-04,CTR-A,Atrium,5.5,66,59.9
2026-01-04,CTR-B,Studio,6.0,86,75.4
2026-01-04,CTR-C,Workshop,6.5,106,90.0
2026-01-04,CTR-D,Reading Room,7.0,126,60.4
2026-01-05,CTR-A,Atrium,9.5,112,70.0
2026-01-05,CTR-B,Studio,10.0,133,85.6
2026-01-05,CTR-C,Workshop,10.5,154,100.1
2026-01-05,CTR-D,Reading Room,11.0,175,70.5
2026-01-06,CTR-A,Atrium,9.5,115,70.7
2026-01-06,CTR-B,Studio,10.0,137,86.3
2026-01-06,CTR-C,Workshop,10.5,159,100.7
2026-01-06,CTR-D,Reading Room,11.0,152,69.6
2026-01-07,CTR-A,Atrium,9.5,118,71.3
2026-01-07,CTR-B,Studio,10.0,141,86.9
2026-01-07,CTR-C,Workshop,10.5,135,99.8
2026-01-07,CTR-D,Reading Room,11.0,158,70.2
2026-01-08,CTR-A,Atrium,9.5,121,71.9
2026-01-08,CTR-B,Studio,10.0,145,87.4
2026-01-08,CTR-C,Workshop,10.5,140,100.3
2026-01-08,CTR-D,Reading Room,11.0,164,70.7
2026-01-09,CTR-A,Atrium,9.5,124,72.4
2026-01-09,CTR-B,Studio,10.0,120,86.3
2026-01-09,CTR-C,Workshop,10.5,145,100.7
2026-01-09,CTR-D,Reading Room,11.0,170,71.1
2026-01-10,CTR-A,Atrium,5.5,84,63.5
2026-01-10,CTR-B,Studio,6.0,81,77.3
2026-01-10,CTR-C,Workshop,6.5,107,91.7
2026-01-10,CTR-D,Reading Room,7.0,133,62.1
2026-01-11,CTR-A,Atrium,5.5,58,62.2
2026-01-11,CTR-B,Studio,6.0,85,77.7
2026-01-11,CTR-C,Workshop,6.5,112,92.0
2026-01-11,CTR-D,Reading Room,7.0,110,60.7
2026-01-12,CTR-A,Atrium,9.5,104,71.8
2026-01-12,CTR-B,Studio,10.0,132,87.3
2026-01-12,CTR-C,Workshop,10.5,160,101.6
2026-01-12,CTR-D,Reading Room,11.0,159,82.2
2026-01-13,CTR-A,Atrium,9.5,107,72.0
2026-01-13,CTR-B,Studio,10.0,136,87.4
2026-01-13,CTR-C,Workshop,10.5,136,100.1
2026-01-13,CTR-D,Reading Room,11.0,165,70.3
2026-01-14,CTR-A,Atrium,9.5,110,72.1
2026-01-14,CTR-B,Studio,10.0,140,87.4
2026-01-14,CTR-C,Workshop,10.5,141,100.1
2026-01-14,CTR-D,Reading Room,11.0,171,70.3
2026-01-15,CTR-A,Atrium,9.5,113,72.1
2026-01-15,CTR-B,Studio,10.0,144,87.4
2026-01-15,CTR-C,Workshop,10.5,146,112.1
2026-01-15,CTR-D,Reading Room,11.0,177,70.3
2026-01-16,CTR-A,Atrium,9.5,116,72.0
2026-01-16,CTR-B,Studio,10.0,119,85.7
2026-01-16,CTR-C,Workshop,10.5,151,100.0
2026-01-16,CTR-D,Reading Room,11.0,154,68.5
2026-01-17,CTR-A,Atrium,5.5,76,62.5
2026-01-17,CTR-B,Studio,6.0,80,76.2
2026-01-17,CTR-C,Workshop,6.5,113,90.4
2026-01-17,CTR-D,Reading Room,7.0,117,59.0
2026-01-18,CTR-A,Atrium,5.5,79,62.2
2026-01-18,CTR-B,Studio,6.0,84,87.9
2026-01-18,CTR-C,Workshop,6.5,118,90.2
2026-01-18,CTR-D,Reading Room,7.0,123,58.7
2026-01-19,CTR-A,Atrium,9.5,125,71.3
2026-01-19,CTR-B,Studio,10.0,131,85.0
2026-01-19,CTR-C,Workshop,10.5,137,97.6
2026-01-19,CTR-D,Reading Room,11.0,172,67.8
2026-01-20,CTR-A,Atrium,9.5,128,71.0
2026-01-20,CTR-B,Studio,10.0,135,84.6
2026-01-20,CTR-C,Workshop,10.5,142,97.3
2026-01-20,CTR-D,Reading Room,11.0,178,67.5
2026-01-21,CTR-A,Atrium,9.5,102,81.0
2026-01-21,CTR-B,Studio,10.0,139,84.2
2026-01-21,CTR-C,Workshop,10.5,147,96.9
2026-01-21,CTR-D,Reading Room,11.0,155,65.6
2026-01-22,CTR-A,Atrium,9.5,105,68.5
2026-01-22,CTR-B,Studio,10.0,143,83.8
2026-01-22,CTR-C,Workshop,10.5,152,96.5
2026-01-22,CTR-D,Reading Room,11.0,161,65.2
2026-01-23,CTR-A,Atrium,9.5,108,68.0
2026-01-23,CTR-B,Studio,10.0,118,81.8
2026-01-23,CTR-C,Workshop,10.5,157,96.1
2026-01-23,CTR-D,Reading Room,11.0,167,64.8
2026-01-24,CTR-A,Atrium,5.5,68,58.1
2026-01-24,CTR-B,Studio,6.0,79,71.9
2026-01-24,CTR-C,Workshop,6.5,119,86.3
2026-01-24,CTR-D,Reading Room,7.0,130,55.1
2026-01-25,CTR-A,Atrium,5.5,71,57.6
2026-01-25,CTR-B,Studio,6.0,83,71.5
2026-01-25,CTR-C,Workshop,6.5,95,84.3
2026-01-25,CTR-D,Reading Room,7.0,136,54.8
2026-01-26,CTR-A,Atrium,9.5,117,66.5
2026-01-26,CTR-B,Studio,10.0,130,80.4
2026-01-26,CTR-C,Workshop,10.5,143,93.3
2026-01-26,CTR-D,Reading Room,11.0,156,62.3
2026-01-27,CTR-A,Atrium,9.5,120,66.0
2026-01-27,CTR-B,Studio,10.0,134,79.9
2026-01-27,CTR-C,Workshop,10.5,148,93.0
2026-01-27,CTR-D,Reading Room,11.0,162,62.0
2026-01-28,CTR-A,Atrium,9.5,123,65.5
2026-01-28,CTR-B,Studio,10.0,138,79.5
2026-01-28,CTR-C,Workshop,10.5,153,92.6
2026-01-28,CTR-D,Reading Room,11.0,168,61.8
2026-01-29,CTR-A,Atrium,9.5,126,65.0
2026-01-29,CTR-B,Studio,10.0,142,79.2
2026-01-29,CTR-C,Workshop,10.5,158,92.4
2026-01-29,CTR-D,Reading Room,11.0,174,61.7
2026-01-30,CTR-A,Atrium,9.5,100,63.0
2026-01-30,CTR-B,Studio,10.0,117,77.3
