inspection_id,dust_index,panel_temp_c,power_ratio,days_since_cleaning,needs_review
SP-0001,0.152,40.4,0.969,61,0
SP-0002,0.756,45.5,0.769,58,1
SP-0003,0.6,42.6,0.855,51,0
SP-0004,0.312,39.3,0.865,12,0
SP-0005,0.551,44.9,0.891,65,1
SP-0006,0.597,49.1,0.818,57,1
SP-0007,0.937,45.1,0.735,31,1
SP-0008,0.277,44.0,0.956,2,0
SP-0009,0.589,35.1,0.869,40,1
SP-0010,0.464,53.0,0.882,79,0
SP-0011,0.599,41.9,0.832,69,1
SP-0012,0.247,45.7,0.921,29,0
SP-0013,0.337,40.7,0.914,60,0
SP-0014,0.681,63.7,0.778,27,1
SP-0015,0.164,45.1,0.973,48,0
SP-0016,0.69,49.1,0.768,24,1
SP-0017,0.787,46.3,0.803,45,1
SP-0018,0.57,49.6,0.873,72,1
SP-0019,0.491,44.1,0.835,11,0
SP-0020,0.927,41.7,0.779,42,1
SP-0021,0.467,36.2,0.833,9,0
SP-0022,0.547,46.0,0.82,28,1
SP-0023,0.651,57.0,0.795,4,0
SP-0024,0.924,46.0,0.748,5,1
SP-0025,0.949,45.1,0.823,31,1
SP-0026,0.478,54.2,0.832,20,0
SP-0027,0.464,49.0,0.885,85,0
SP-0028,0.158,37.5,0.941,38,0
SP-0029,0.807,46.1,0.805,37,1
SP-0030,0.167,43.6,0.983,50,0
SP-0031,0.568,54.8,0.83,33,0
SP-0032,0.672,43.1,0.828,42,1
SP-0033,0.275,58.4,0.93,58,0
SP-0034,0.214,55.5,0.932,15,0
SP-0035,0.257,42.8,0.946,18,0
SP-0036,0.911,62.2,0.726,23,1
SP-0037,0.485,41.0,0.903,79,0
SP-0038,0.066,50.9,1.011,19,0
SP-0039,0.705,61.5,0.794,45,1
SP-0040,0.557,49.8,0.88,60,1
SP-0041,0.729,57.7,0.81,14,1
SP-0042,0.674,38.4,0.816,30,1
SP-0043,0.775,58.3,0.782,69,1
SP-0044,0.707,46.5,0.817,60,1
SP-0045,0.806,47.5,0.786,34,1
SP-0046,0.07,36.4,0.989,20,0
SP-0047,0.926,46.1,0.782,63,1
SP-0048,0.663,59.6,0.808,20,1
SP-0049,0.37,50.0,0.913,11,0
SP-0050,0.298,36.5,0.903,84,0
SP-0051,0.637,36.0,0.824,40,1
SP-0052,0.36,48.3,0.927,58,0
SP-0053,0.257,38.8,0.926,2,0
SP-0054,0.543,39.8,0.852,81,0
SP-0055,0.887,64.5,0.744,55,1
SP-0056,0.567,53.4,0.856,77,1
SP-0057,0.78,53.7,0.784,5,1
SP-0058,0.628,47.4,0.831,64,1
SP-0059,0.718,43.0,0.837,44,1
SP-0060,0.633,43.7,0.843,9,1
SP-0061,0.513,50.8,0.844,82,0
SP-0062,0.249,38.5,0.992,1,0
SP-0063,0.565,55.8,0.812,39,1
SP-0064,0.556,30.8,0.846,55,1
SP-0065,0.584,41.8,0.852,19,0
SP-0066,0.846,37.9,0.788,88,1
SP-0067,0.366,53.1,0.838,46,0
SP-0068,0.277,38.8,0.935,16,0
SP-0069,0.845,51.5,0.795,56,1
SP-0070,0.588,36.6,0.84,54,0
SP-0071,0.251,45.1,0.915,74,0
SP-0072,0.889,54.6,0.722,71,1
SP-0073,0.872,42.2,0.782,90,1
SP-0074,0.858,51.7,0.791,52,1
SP-0075,0.412,40.8,0.944,15,0
SP-0076,0.775,41.7,0.83,19,1
SP-0077,0.63,45.5,0.811,72,1
SP-0078,0.626,48.8,0.82,39,1
SP-0079,0.287,37.2,0.87,76,0
SP-0080,0.55,25.0,0.859,38,1
SP-0081,0.46,49.6,0.903,82,1
SP-0082,0.899,47.0,0.716,40,1
SP-0083,0.648,47.8,0.862,32,1
SP-0084,0.932,44.2,0.782,14,1
SP-0085,0.8,48.2,0.795,21,0
SP-0086,0.576,29.5,0.835,19,1
SP-0087,0.934,52.1,0.818,64,1
SP-0088,0.157,42.6,0.959,59,0
SP-0089,0.273,47.0,0.967,73,0
SP-0090,0.394,40.5,0.867,29,0
SP-0091,0.575,39.2,0.846,77,1
SP-0092,0.438,39.8,0.85,67,1
SP-0093,0.382,57.8,0.917,8,0
SP-0094,0.537,57.1,0.866,67,0
SP-0095,0.519,59.8,0.829,79,1
SP-0096,0.119,53.8,0.95,89,0
SP-0097,0.099,30.9,0.961,54,0
SP-0098,0.384,49.7,0.881,50,0
SP-0099,0.299,50.7,0.908,24,0
SP-0100,0.057,53.7,1.017,9,0
SP-0101,0.809,46.7,0.821,7,1
SP-0102,0.648,59.9,0.814,89,1
SP-0103,0.819,60.0,0.761,77,1
SP-0104,0.055,44.3,0.956,21,0
SP-0105,0.053,59.9,0.956,77,0
SP-0106,0.189,48.0,0.929,39,0
SP-0107,0.843,42.7,0.776,84,1
SP-0108,0.384,53.0,0.845,11,0
SP-0109,0.327,36.9,0.9,73,0
SP-0110,0.743,41.2,0.811,4,1
SP-0111,0.829,51.2,0.749,71,1
SP-0112,0.576,45.2,0.89,45,0
SP-0113,0.586,54.0,0.852,47,1
SP-0114,0.15,34.2,0.969,43,0
SP-0115,0.57,59.1,0.849,27,1
SP-0116,0.5,61.5,0.861,52,1
SP-0117,0.421,41.9,0.896,63,0
SP-0118,0.67,41.7,0.774,42,1
SP-0119,0.422,52.5,0.849,41,0
SP-0120,0.575,64.0,0.85,70,1
SP-0121,0.122,50.3,0.94,10,0
SP-0122,0.521,40.7,0.816,56,1
SP-0123,0.866,49.6,0.801,3,1
SP-0124,0.429,55.5,0.904,44,0
SP-0125,0.762,60.2,0.823,50,1
SP-0126,0.742,52.7,0.737,12,1
SP-0127,0.41,40.5,0.892,42,0
SP-0128,0.283,57.4,0.911,10,0
SP-0129,0.875,43.2,0.75,50,1
SP-0130,0.797,43.8,0.784,57,1
SP-0131,0.147,47.8,0.891,25,0
SP-0132,0.671,60.5,0.8,56,1
SP-0133,0.899,44.1,0.809,69,1
SP-0134,0.47,53.9,0.876,8,0
SP-0135,0.454,54.1,0.879,20,0
SP-0136,0.661,58.7,0.786,57,1
SP-0137,0.272,42.4,0.911,58,0
SP-0138,0.505,46.2,0.83,8,0
SP-0139,0.403,41.4,0.872,23,0
SP-0140,0.603,29.1,0.846,32,1
SP-0141,0.83,29.1,0.804,64,1
SP-0142,0.445,61.3,0.864,73,0
SP-0143,0.247,44.1,0.942,32,0
SP-0144,0.36,45.3,0.935,15,0
SP-0145,0.212,47.7,0.962,61,0
SP-0146,0.234,52.4,0.955,50,0
SP-0147,0.948,54.5,0.659,28,1
SP-0148,0.242,51.9,0.973,64,0
SP-0149,0.66,42.2,0.839,77,1
SP-0150,0.157,39.9,0.956,36,0
SP-0151,0.152,40.5,0.937,87,0
SP-0152,0.274,39.2,0.882,40,0
SP-0153,0.772,38.2,0.774,71,1
SP-0154,0.672,43.9,0.792,32,1
SP-0155,0.876,45.1,0.792,88,1
SP-0156,0.342,56.1,0.883,16,0
SP-0157,0.879,42.5,0.764,77,1
SP-0158,0.649,45.3,0.811,64,1
SP-0159,0.87,40.8,0.76,83,1
SP-0160,0.386,52.7,0.857,84,1
SP-0161,0.625,43.4,0.887,11,0
SP-0162,0.215,44.9,0.915,79,0
SP-0163,0.172,47.2,0.949,46,0
SP-0164,0.513,40.5,0.877,67,1
SP-0165,0.176,50.8,0.92,46,0
SP-0166,0.121,36.3,0.967,89,0
SP-0167,0.745,41.7,0.805,6,1
SP-0168,0.612,42.8,0.835,45,1
SP-0169,0.212,43.1,0.958,28,0
SP-0170,0.507,52.6,0.817,2,0
SP-0171,0.314,44.9,0.891,71,0
SP-0172,0.86,57.2,0.747,8,1
SP-0173,0.698,45.6,0.833,23,1
SP-0174,0.723,44.1,0.789,13,0
SP-0175,0.44,42.0,0.903,83,0
SP-0176,0.11,64.7,0.94,70,0
SP-0177,0.401,41.5,0.906,79,0
SP-0178,0.413,58.9,0.826,64,1
SP-0179,0.914,59.0,0.744,24,1
SP-0180,0.403,35.5,0.888,73,0
SP-0181,0.91,54.2,0.792,3,1
SP-0182,0.208,47.2,0.924,45,0
SP-0183,0.439,42.5,0.864,43,0
SP-0184,0.891,42.8,0.772,36,1
SP-0185,0.818,46.6,0.829,32,1
SP-0186,0.142,50.0,0.931,7,0
SP-0187,0.657,55.7,0.758,23,1
SP-0188,0.071,41.1,0.983,50,0
SP-0189,0.889,59.3,0.738,52,1
SP-0190,0.265,50.2,0.932,57,0
SP-0191,0.827,50.8,0.727,40,1
SP-0192,0.069,50.0,0.964,72,0
SP-0193,0.573,49.6,0.833,33,0
SP-0194,0.225,42.1,0.915,78,0
SP-0195,0.615,40.7,0.807,35,1
SP-0196,0.739,57.5,0.82,84,1
SP-0197,0.728,41.8,0.825,54,1
SP-0198,0.423,50.5,0.926,85,0
SP-0199,0.412,42.3,0.903,36,0
SP-0200,0.839,48.4,0.8,24,1
SP-0201,0.432,30.1,0.894,36,0
SP-0202,0.757,41.1,0.786,80,1
SP-0203,0.716,41.5,0.84,28,1
SP-0204,0.91,63.8,0.688,54,1
SP-0205,0.35,42.9,0.95,33,0
SP-0206,0.508,46.3,0.887,32,0
SP-0207,0.854,38.8,0.797,36,1
SP-0208,0.374,50.2,0.885,63,0
SP-0209,0.42,57.1,0.874,33,0
SP-0210,0.126,49.8,0.97,21,0
SP-0211,0.825,62.0,0.736,31,1
SP-0212,0.66,47.6,0.848,70,1
SP-0213,0.643,51.9,0.836,48,1
SP-0214,0.568,48.4,0.864,82,1
SP-0215,0.636,41.3,0.862,11,0
SP-0216,0.664,45.7,0.859,43,0
SP-0217,0.52,32.2,0.87,2,0
SP-0218,0.643,51.2,0.814,7,1
SP-0219,0.104,37.3,0.987,20,0
SP-0220,0.868,42.3,0.785,37,1
SP-0221,0.315,37.1,0.924,56,0
SP-0222,0.208,48.1,0.93,76,0
SP-0223,0.293,51.4,0.932,28,0
SP-0224,0.946,45.6,0.729,10,1
SP-0225,0.518,53.2,0.824,23,0
SP-0226,0.787,41.3,0.835,49,1
SP-0227,0.723,48.5,0.835,17,0
SP-0228,0.536,47.2,0.843,87,1
SP-0229,0.338,49.0,0.884,50,0
SP-0230,0.498,50.5,0.881,34,0
SP-0231,0.899,47.4,0.793,53,1
SP-0232,0.054,42.2,1.007,63,0
SP-0233,0.213,45.0,0.956,18,0
SP-0234,0.619,35.3,0.813,38,1
SP-0235,0.847,49.9,0.8,49,1
SP-0236,0.17,49.8,0.903,55,0
SP-0237,0.732,57.8,0.761,11,1
SP-0238,0.257,35.5,0.89,82,0
SP-0239,0.913,35.0,0.798,28,1
SP-0240,0.198,45.8,0.963,49,0
