date,electricity_kwh,note
2025-01-06,220.8,
2025-01-07,216.7,
2025-01-08,209.0,
2025-01-09,205.1,
2025-01-10,199.0,
2025-01-11,140.7,
2025-01-12,135.8,
2025-01-13,217.9,
2025-01-14,220.7,
2025-01-15,216.4,
2025-01-16,213.3,
2025-01-17,206.1,
2025-01-18,149.1,
2025-01-19,141.3,
2025-01-20,225.1,
2025-01-21,220.4,
2025-01-22,216.8,
2025-01-23,211.2,
2025-01-24,204.9,
2025-01-25,145.9,
2025-01-26,135.8,
2025-01-27,230.1,
2025-01-28,216.4,
2025-01-29,205.7,
2025-01-30,205.1,
2025-01-31,198.2,
2025-02-01,145.0,
2025-02-02,140.2,
2025-02-03,227.3,
2025-02-04,218.8,
2025-02-05,216.6,
2025-02-06,207.8,
2025-02-07,199.2,
2025-02-08,143.7,
2025-02-09,139.4,
2025-02-10,225.2,
2025-02-11,224.5,
2025-02-12,213.9,
2025-02-13,207.6,
2025-02-14,198.3,
2025-02-15,155.9,
2025-02-16,147.7,
2025-02-17,225.7,
2025-02-18,223.0,
2025-02-19,219.1,
2025-02-20,215.6,
2025-02-21,209.9,
2025-02-22,161.0,
2025-02-23,145.5,
2025-02-24,238.8,
2025-02-25,229.4,
2025-02-26,224.7,
2025-02-27,216.8,
2025-02-28,210.0,
2025-03-01,157.4,
2025-03-02,143.9,
2025-03-03,235.4,
2025-03-04,232.2,
2025-03-05,226.5,
2025-03-06,220.7,
2025-03-07,211.2,
2025-03-08,156.9,
2025-03-09,153.7,
2025-03-10,228.6,
2025-03-11,225.6,
2025-03-12,219.7,
2025-03-13,213.5,
2025-03-14,209.6,
2025-03-15,149.9,
2025-03-16,143.1,
2025-03-17,234.5,
2025-03-18,226.3,
2025-03-19,221.1,
2025-03-20,214.6,
2025-03-21,212.2,
2025-03-22,149.6,
2025-03-23,144.2,
2025-03-24,237.3,
2025-03-25,229.9,
2025-03-26,221.2,
2025-03-27,220.2,
2025-03-28,212.4,
2025-03-29,152.8,
2025-03-30,148.6,
2025-03-31,237.2,
2025-04-01,237.8,
2025-04-02,231.6,
2025-04-03,229.0,
2025-04-04,222.5,
2025-04-05,163.5,
2025-04-06,156.7,
2025-04-07,245.8,
2025-04-08,240.5,
2025-04-09,239.6,
2025-04-10,235.7,
2025-04-11,225.3,
2025-04-12,168.3,
2025-04-13,158.4,
2025-04-14,252.8,
2025-04-15,300.7,extended_equipment_test
2025-04-16,237.6,
2025-04-17,227.3,
2025-04-18,223.8,
2025-04-19,169.8,
2025-04-20,158.5,
2025-04-21,243.2,
2025-04-22,237.0,
2025-04-23,233.2,
2025-04-24,231.7,
2025-04-25,220.5,
2025-04-26,162.8,
2025-04-27,159.0,
2025-04-28,239.1,
2025-04-29,237.3,
2025-04-30,229.5,
2025-05-01,227.3,
2025-05-02,216.5,
2025-05-03,169.5,
2025-05-04,156.9,
2025-05-05,244.1,
2025-05-06,244.4,
2025-05-07,233.3,
2025-05-08,231.8,
2025-05-09,225.7,
2025-05-10,164.7,
2025-05-11,156.2,
2025-05-12,249.9,
2025-05-13,247.3,
2025-05-14,239.1,
2025-05-15,242.6,
2025-05-16,232.3,
2025-05-17,175.6,
2025-05-18,166.5,
2025-05-19,260.3,
2025-05-20,250.7,
2025-05-21,245.4,
2025-05-22,242.0,
2025-05-23,242.4,
2025-05-24,174.2,
2025-05-25,175.5,
2025-05-26,259.1,
2025-05-27,252.3,
2025-05-28,243.1,
2025-05-29,236.7,
2025-05-30,233.7,
2025-05-31,181.4,
2025-06-01,171.7,
2025-06-02,257.2,
2025-06-03,252.0,
2025-06-04,239.6,
2025-06-05,237.6,
2025-06-06,228.0,
2025-06-07,174.4,
2025-06-08,164.2,
2025-06-09,258.5,
2025-06-10,251.1,
2025-06-11,239.2,
2025-06-12,237.0,
2025-06-13,230.5,
2025-06-14,175.1,
2025-06-15,164.5,
2025-06-16,252.9,
2025-06-17,248.7,
2025-06-18,243.8,
2025-06-19,241.9,
2025-06-20,231.2,
2025-06-21,180.7,
2025-06-22,174.4,
