reading_id,zone,measured_at,temperature_c,humidity_pct
1,north,2026-06-01 00:00:00,19.05,68.15
2,central,2026-06-01 00:00:00,21.02,64.9
3,south,2026-06-01 00:00:00,22.58,59.39
4,north,2026-06-01 01:00:00,19.13,68.83
5,central,2026-06-01 01:00:00,20.65,65.79
6,south,2026-06-01 01:00:00,21.71,60.08
7,north,2026-06-01 02:00:00,19.17,68.19
8,central,2026-06-01 02:00:00,20.72,63.82
9,south,2026-06-01 02:00:00,21.65,61.76
10,north,2026-06-01 03:00:00,18.82,66.66
11,central,2026-06-01 03:00:00,20.28,64.32
12,south,2026-06-01 03:00:00,22.12,59.51
13,north,2026-06-01 04:00:00,19.36,67.49
14,central,2026-06-01 04:00:00,21.14,64.52
15,south,2026-06-01 04:00:00,22.35,59.43
16,north,2026-06-01 05:00:00,20.16,67.2
17,central,2026-06-01 05:00:00,21.29,63.09
18,south,2026-06-01 05:00:00,22.78,59.48
19,north,2026-06-01 06:00:00,20.22,65.04
20,central,2026-06-01 06:00:00,22.11,61.89
21,south,2026-06-01 06:00:00,22.97,58.18
22,north,2026-06-01 07:00:00,21.02,63.93
23,central,2026-06-01 07:00:00,22.85,61.06
24,south,2026-06-01 07:00:00,23.88,56.71
25,north,2026-06-01 08:00:00,21.96,61.19
26,central,2026-06-01 08:00:00,23.76,59.01
27,south,2026-06-01 08:00:00,24.89,54.83
28,north,2026-06-01 09:00:00,23.04,60.44
29,central,2026-06-01 09:00:00,24.04,56.73
30,south,2026-06-01 09:00:00,25.68,52.82
31,north,2026-06-01 10:00:00,23.24,56.68
32,central,2026-06-01 10:00:00,24.94,54.0
33,south,2026-06-01 10:00:00,26.85,49.22
34,north,2026-06-01 11:00:00,24.0,55.64
35,central,2026-06-01 11:00:00,25.85,53.01
36,south,2026-06-01 11:00:00,27.54,48.16
37,north,2026-06-01 12:00:00,24.52,55.64
38,central,2026-06-01 12:00:00,26.18,53.2
39,south,2026-06-01 12:00:00,27.63,47.65
40,north,2026-06-01 13:00:00,25.45,54.22
41,central,2026-06-01 13:00:00,26.6,50.72
42,south,2026-06-01 13:00:00,27.88,47.5
43,north,2026-06-01 14:00:00,25.37,52.87
44,central,2026-06-01 14:00:00,26.97,50.03
45,south,2026-06-01 14:00:00,27.99,46.75
46,north,2026-06-01 15:00:00,25.19,53.87
47,central,2026-06-01 15:00:00,26.52,51.23
48,south,2026-06-01 15:00:00,28.15,48.37
49,north,2026-06-01 16:00:00,24.42,54.86
50,central,2026-06-01 16:00:00,26.42,50.65
51,south,2026-06-01 16:00:00,27.43,48.17
52,north,2026-06-01 17:00:00,24.63,55.22
53,central,2026-06-01 17:00:00,25.97,53.55
54,south,2026-06-01 17:00:00,27.28,47.9
55,north,2026-06-01 18:00:00,23.36,57.19
56,central,2026-06-01 18:00:00,24.94,53.97
57,south,2026-06-01 18:00:00,26.49,50.19
58,north,2026-06-01 19:00:00,22.77,58.65
59,central,2026-06-01 19:00:00,24.17,56.88
60,south,2026-06-01 19:00:00,25.88,53.15
61,north,2026-06-01 20:00:00,21.77,59.78
62,central,2026-06-01 20:00:00,23.1,58.47
63,south,2026-06-01 20:00:00,24.59,54.17
64,north,2026-06-01 21:00:00,21.09,64.08
65,central,2026-06-01 21:00:00,22.7,60.76
66,south,2026-06-01 21:00:00,23.9,55.0
67,north,2026-06-01 22:00:00,19.97,64.62
68,central,2026-06-01 22:00:00,21.53,62.01
69,south,2026-06-01 22:00:00,23.46,57.77
70,north,2026-06-01 23:00:00,19.84,64.96
71,central,2026-06-01 23:00:00,20.88,62.2
72,south,2026-06-01 23:00:00,22.7,59.18
73,north,2026-06-02 00:00:00,18.96,67.31
74,central,2026-06-02 00:00:00,20.41,65.02
75,south,2026-06-02 00:00:00,22.17,60.28
76,north,2026-06-02 01:00:00,19.33,67.11
77,central,2026-06-02 01:00:00,20.14,64.87
78,south,2026-06-02 01:00:00,22.26,61.05
79,north,2026-06-02 02:00:00,18.66,69.13
80,central,2026-06-02 02:00:00,20.27,65.92
81,south,2026-06-02 02:00:00,21.36,61.51
82,north,2026-06-02 03:00:00,18.8,68.47
83,central,2026-06-02 03:00:00,20.71,65.76
84,south,2026-06-02 03:00:00,22.26,60.66
85,north,2026-06-02 04:00:00,18.81,66.13
86,central,2026-06-02 04:00:00,20.83,63.4
87,south,2026-06-02 04:00:00,22.29,59.26
88,north,2026-06-02 05:00:00,19.3,65.93
89,central,2026-06-02 05:00:00,21.26,62.97
90,south,2026-06-02 05:00:00,22.95,59.23
91,north,2026-06-02 06:00:00,20.6,65.11
92,central,2026-06-02 06:00:00,21.97,61.65
93,south,2026-06-02 06:00:00,23.53,58.5
94,north,2026-06-02 07:00:00,20.92,62.01
95,central,2026-06-02 07:00:00,22.5,60.14
96,south,2026-06-02 07:00:00,24.13,55.69
97,north,2026-06-02 08:00:00,21.65,60.64
98,central,2026-06-02 08:00:00,23.35,57.05
99,south,2026-06-02 08:00:00,24.93,53.59
100,north,2026-06-02 09:00:00,22.96,58.26
101,central,2026-06-02 09:00:00,24.21,57.12
102,south,2026-06-02 09:00:00,25.97,52.34
103,north,2026-06-02 10:00:00,23.78,57.83
104,central,2026-06-02 10:00:00,24.98,53.4
105,south,2026-06-02 10:00:00,26.47,49.45
106,north,2026-06-02 11:00:00,24.34,54.93
107,central,2026-06-02 11:00:00,25.49,51.99
108,south,2026-06-02 11:00:00,26.88,48.81
109,north,2026-06-02 12:00:00,24.86,54.27
110,central,2026-06-02 12:00:00,25.97,52.95
111,south,2026-06-02 12:00:00,28.07,46.66
112,north,2026-06-02 13:00:00,25.36,53.91
113,central,2026-06-02 13:00:00,26.99,50.44
114,south,2026-06-02 13:00:00,27.81,47.45
115,north,2026-06-02 14:00:00,24.79,53.99
116,central,2026-06-02 14:00:00,26.84,51.51
117,south,2026-06-02 14:00:00,28.31,47.59
118,north,2026-06-02 15:00:00,24.71,53.74
119,central,2026-06-02 15:00:00,26.36,51.68
120,south,2026-06-02 15:00:00,28.28,46.32
121,north,2026-06-02 16:00:00,24.47,54.15
122,south,2026-06-02 16:00:00,28.01,47.38
123,north,2026-06-02 17:00:00,23.86,57.05
124,central,2026-06-02 17:00:00,25.54,51.78
125,south,2026-06-02 17:00:00,26.87,48.82
126,north,2026-06-02 18:00:00,23.45,56.4
127,central,2026-06-02 18:00:00,25.36,54.23
128,south,2026-06-02 18:00:00,26.5,49.21
129,north,2026-06-02 19:00:00,23.22,57.96
130,central,2026-06-02 19:00:00,23.92,55.86
131,south,2026-06-02 19:00:00,25.39,53.06
132,north,2026-06-02 20:00:00,21.58,60.19
133,central,2026-06-02 20:00:00,23.52,56.76
134,south,2026-06-02 20:00:00,25.2,54.88
135,north,2026-06-02 21:00:00,21.46,63.16
136,central,2026-06-02 21:00:00,23.11,60.44
137,south,2026-06-02 21:00:00,24.1,57.05
138,north,2026-06-02 22:00:00,20.63,64.34
139,central,2026-06-02 22:00:00,22.13,60.97
140,south,2026-06-02 22:00:00,23.77,57.24
141,north,2026-06-02 23:00:00,19.42,67.06
142,central,2026-06-02 23:00:00,21.09,62.39
143,south,2026-06-02 23:00:00,22.91,60.01
144,north,2026-06-03 00:00:00,19.65,67.49
145,central,2026-06-03 00:00:00,20.44,63.05
146,south,2026-06-03 00:00:00,22.24,60.35
147,north,2026-06-03 01:00:00,18.57,67.08
148,central,2026-06-03 01:00:00,20.79,64.08
149,south,2026-06-03 01:00:00,22.16,60.08
150,north,2026-06-03 02:00:00,19.17,66.87
151,central,2026-06-03 02:00:00,19.9,64.45
152,south,2026-06-03 02:00:00,21.54,60.59
153,north,2026-06-03 03:00:00,18.51,67.97
154,central,2026-06-03 03:00:00,20.68,64.84
155,south,2026-06-03 03:00:00,22.34,60.33
156,north,2026-06-03 04:00:00,19.06,66.13
157,central,2026-06-03 04:00:00,21.01,64.49
158,south,2026-06-03 04:00:00,21.87,59.2
159,north,2026-06-03 05:00:00,19.74,66.4
160,central,2026-06-03 05:00:00,21.05,63.95
161,south,2026-06-03 05:00:00,22.89,60.23
162,north,2026-06-03 06:00:00,20.36,65.15
163,central,2026-06-03 06:00:00,22.1,62.09
164,south,2026-06-03 06:00:00,23.82,57.59
165,north,2026-06-03 07:00:00,20.77,62.71
166,central,2026-06-03 07:00:00,22.47,59.59
167,south,2026-06-03 07:00:00,24.38,54.74
168,north,2026-06-03 08:00:00,21.72,60.0
169,central,2026-06-03 08:00:00,23.23,57.19
170,south,2026-06-03 08:00:00,25.19,53.77
171,north,2026-06-03 09:00:00,22.86,59.73
172,central,2026-06-03 09:00:00,24.11,55.91
173,south,2026-06-03 09:00:00,25.6,52.47
174,north,2026-06-03 10:00:00,23.7,56.61
175,central,2026-06-03 10:00:00,25.53,53.58
176,south,2026-06-03 10:00:00,26.3,51.77
177,north,2026-06-03 11:00:00,24.66,57.2
178,central,2026-06-03 11:00:00,25.39,52.62
179,south,2026-06-03 11:00:00,27.32,48.92
180,north,2026-06-03 12:00:00,24.44,54.65
181,central,2026-06-03 12:00:00,26.17,51.1
182,south,2026-06-03 12:00:00,27.65,48.46
183,north,2026-06-03 13:00:00,25.45,53.87
184,central,2026-06-03 13:00:00,26.91,50.7
185,south,2026-06-03 13:00:00,28.24,47.89
186,north,2026-06-03 14:00:00,24.84,55.02
187,central,2026-06-03 14:00:00,27.06,50.67
188,south,2026-06-03 14:00:00,28.25,46.15
189,north,2026-06-03 15:00:00,24.96,53.32
190,central,2026-06-03 15:00:00,27.04,51.99
191,south,2026-06-03 15:00:00,28.1,46.85
192,north,2026-06-03 16:00:00,25.06,55.76
193,central,2026-06-03 16:00:00,25.98,51.4
194,south,2026-06-03 16:00:00,27.81,48.28
195,north,2026-06-03 17:00:00,24.28,55.95
196,central,2026-06-03 17:00:00,26.18,53.0
197,south,2026-06-03 17:00:00,27.51,50.22
198,north,2026-06-03 18:00:00,23.33,57.46
199,central,2026-06-03 18:00:00,25.2,54.02
200,south,2026-06-03 18:00:00,26.73,50.68
201,north,2026-06-03 19:00:00,23.08,59.83
202,central,2026-06-03 19:00:00,23.9,56.76
203,south,2026-06-03 19:00:00,26.25,51.66
204,north,2026-06-03 20:00:00,22.13,61.29
205,central,2026-06-03 20:00:00,23.51,58.74
206,south,2026-06-03 20:00:00,24.71,54.16
207,north,2026-06-03 21:00:00,20.79,62.93
208,central,2026-06-03 21:00:00,22.78,60.49
209,south,2026-06-03 21:00:00,24.46,55.37
210,north,2026-06-03 22:00:00,20.53,65.39
211,central,2026-06-03 22:00:00,21.89,61.26
212,south,2026-06-03 22:00:00,23.78,56.91
213,north,2026-06-03 23:00:00,20.07,65.27
214,central,2026-06-03 23:00:00,21.62,63.09
215,south,2026-06-03 23:00:00,22.32,58.23
216,north,2026-06-04 00:00:00,19.27,68.15
217,central,2026-06-04 00:00:00,20.96,64.15
218,south,2026-06-04 00:00:00,22.0,60.03
219,north,2026-06-04 01:00:00,18.47,67.12
220,central,2026-06-04 01:00:00,20.77,64.98
221,south,2026-06-04 01:00:00,21.93,60.6
222,north,2026-06-04 02:00:00,19.1,67.99
223,central,2026-06-04 02:00:00,20.58,63.85
224,south,2026-06-04 02:00:00,21.86,61.13
225,north,2026-06-04 03:00:00,19.13,67.19
226,central,2026-06-04 03:00:00,20.41,63.57
227,south,2026-06-04 03:00:00,21.55,61.99
228,north,2026-06-04 04:00:00,18.81,66.14
229,central,2026-06-04 04:00:00,20.81,63.66
230,south,2026-06-04 04:00:00,22.13,59.18
231,north,2026-06-04 05:00:00,19.61,66.51
232,central,2026-06-04 05:00:00,21.43,63.86
233,south,2026-06-04 05:00:00,22.55,59.2
234,north,2026-06-04 06:00:00,20.18,63.26
235,central,2026-06-04 06:00:00,21.5,62.17
236,south,2026-06-04 06:00:00,23.38,56.72
237,north,2026-06-04 07:00:00,21.03,62.4
238,central,2026-06-04 07:00:00,22.51,59.71
239,south,2026-06-04 07:00:00,24.28,54.75
240,north,2026-06-04 08:00:00,22.32,61.43
241,central,2026-06-04 08:00:00,23.52,58.9
242,south,2026-06-04 08:00:00,24.78,53.16
243,north,2026-06-04 09:00:00,22.82,57.89
244,central,2026-06-04 09:00:00,24.6,55.16
245,south,2026-06-04 09:00:00,26.11,52.04
246,north,2026-06-04 10:00:00,23.75,56.88
247,central,2026-06-04 10:00:00,24.9,54.75
248,south,2026-06-04 10:00:00,26.43,51.25
249,central,2026-06-04 11:00:00,25.55,54.2
250,north,2026-06-04 12:00:00,25.06,54.54
251,central,2026-06-04 12:00:00,25.87,51.33
252,south,2026-06-04 12:00:00,27.96,48.41
253,north,2026-06-04 13:00:00,24.82,53.91
254,central,2026-06-04 13:00:00,26.65,51.4
255,south,2026-06-04 13:00:00,27.72,46.09
256,north,2026-06-04 14:00:00,24.91,53.85
257,central,2026-06-04 14:00:00,26.66,50.23
258,south,2026-06-04 14:00:00,27.8,47.45
259,north,2026-06-04 15:00:00,24.81,54.57
260,central,2026-06-04 15:00:00,26.83,50.74
261,south,2026-06-04 15:00:00,27.73,47.73
262,north,2026-06-04 16:00:00,24.34,55.04
263,central,2026-06-04 16:00:00,25.91,50.76
264,south,2026-06-04 16:00:00,27.4,49.11
265,north,2026-06-04 17:00:00,24.18,55.05
266,central,2026-06-04 17:00:00,25.6,52.69
267,south,2026-06-04 17:00:00,26.91,50.34
268,north,2026-06-04 18:00:00,23.61,56.85
269,central,2026-06-04 18:00:00,24.73,55.48
270,south,2026-06-04 18:00:00,26.46,49.46
271,north,2026-06-04 19:00:00,22.75,58.5
272,central,2026-06-04 19:00:00,24.3,55.73
273,south,2026-06-04 19:00:00,26.09,51.67
