registration_id,registered_at,workshop_track,country_code,email_opt_in,fee_usd
REG-1001,2026-05-01T08:15:00Z,Python Basics,PT,True,25.0
REG-1002,2026-05-01T09:15:00Z,SQL Lab,KE,False,40.0
REG-1003,2026-05-01T10:15:00Z,Data Viz,MY,True,30.0
REG-1004,2026-05-01T11:15:00Z,Python Basics,BR,False,25.0
REG-1005,2026-05-01T12:15:00Z,SQL Lab,PL,True,40.0
REG-1006,2026-05-02T08:15:00Z,Data Viz,PT,False,30.0
REG-1007,2026-05-02T09:15:00Z,Python Basics,KE,True,25.0
REG-1008,2026-05-02T10:15:00Z,SQL Lab,MY,False,40.0
REG-1009,2026-05-02T11:15:00Z,Data Viz,BR,True,30.0
REG-1010,2026-05-02T12:15:00Z,Python Basics,PL,False,25.0
REG-1011,2026-05-03T08:15:00Z,SQL Lab,PT,True,40.0
REG-1012,2026-05-03T09:15:00Z,Data Viz,KE,True,30.0
REG-1013,2026-05-03T10:15:00Z,Python Basics,MY,True,25.0
REG-1014,2026-05-03T11:15:00Z,SQL Lab,BR,False,40.0
REG-1015,2026-05-03T12:15:00Z,Data Viz,PL,True,30.0
REG-1016,2026-05-04T08:15:00Z,Python Basics,PT,False,25.0
REG-1017,2026-05-04T09:15:00Z,SQL Lab,KE,True,40.0
REG-1018,2026-05-04T10:15:00Z,Data Viz,MY,False,30.0
REG-1019,2026-05-04T11:15:00Z,Python Basics,BR,True,25.0
REG-1020,2026-05-04T12:15:00Z,Python Basics,PL,False,25.0
REG-1021,2026-05-05T08:15:00Z,Data Viz,PT,True,30.0
REG-1022,2026-05-05T09:15:00Z,Python Basics,KE,False,25.0
REG-1023,2026-05-05T10:15:00Z,SQL Lab,MY,True,40.0
REG-1024,2026-05-05T11:15:00Z,Data Viz,BR,False,30.0
REG-1025,2026-05-05T12:15:00Z,Python Basics,PL,True,25.0
