 Registration ID ,Registered At,Workshop Track,Fee Paid,Country Code,Email Opt In
REG-1001,2026-05-01T08:15:00Z,Python Basics,$25.00,PT,yes
REG-1002,2026-05-01T09:15:00Z,sql lab,USD 40,KE,No
REG-1003,2026-05-01T10:15:00Z,DATA-VIZ,USD 30,MY,TRUE
REG-1004,2026-05-01T11:15:00Z,Python Basics,$25.00,BR,false
REG-1005,2026-05-01T12:15:00Z,sql lab,USD 40,PL,yes
REG-1006,2026-05-02T08:15:00Z,DATA-VIZ,USD 30,PT,No
REG-1007,2026-05-02T09:15:00Z,Python Basics,$25.00,KE,TRUE
REG-1008,2026-05-02T10:15:00Z,sql lab,USD 40,MY,false
REG-1009,2026-05-02T11:15:00Z,DATA-VIZ,USD 30,BR,yes
REG-1010,2026-05-02T12:15:00Z,Python Basics,$25.00,PL,No
REG-1011,2026-05-03T08:15:00Z,sql lab,USD 40,PT,TRUE
REG-1012,2026-05-03T09:15:00Z,DATA-VIZ,USD 30,KE,false
REG-1013,2026-05-03T10:15:00Z,Python Basics,$25.00,MY,yes
REG-1014,2026-05-03T11:15:00Z,sql lab,USD 40,BR,No
REG-1015,2026-05-03T12:15:00Z,DATA-VIZ,USD 30,PL,TRUE
REG-1016,2026-05-04T08:15:00Z,Python Basics,$25.00,PT,false
REG-1017,2026-05-04T09:15:00Z,sql lab,USD 40,KE,yes
REG-1018,2026-05-04T10:15:00Z,DATA-VIZ,USD 30,MY,No
REG-1019,2026-05-04T11:15:00Z,Python Basics,$25.00,BR,TRUE
REG-1020,2026-05-04T12:15:00Z,sql lab,USD 40,PL,false
REG-1021,2026-05-05T08:15:00Z,DATA-VIZ,USD 30,PT,yes
REG-1022,2026-05-05T09:15:00Z,Python Basics,$25.00,KE,No
REG-1023,2026-05-05T10:15:00Z,sql lab,USD 40,MY,TRUE
REG-1024,2026-05-05T11:15:00Z,DATA-VIZ,USD 30,BR,false
REG-1025,2026-05-05T12:15:00Z,Python Basics,$25.00,PL,yes
REG-1005,2026-05-01T12:15:00Z,SQL-LAB,USD 40,PL,yes
REG-1012,2026-05-03T09:15:00Z,DATA-VIZ,USD 30,KE,yes
REG-1020,2026-05-04T12:15:00Z, python basics ,$25.00,PL,false
,2026-05-06T09:30:00Z,SQL Lab,$40.00,GH,yes
REG-1026,not-a-date,Data Viz,$30.00,VN,no
REG-1027,2026-05-06T11:30:00Z,Python Basics,pending,CL,true
