route_id,distance_km,parcel_weight_kg,planned_stops,traffic_index,rain_mm,warehouse_queue_min,priority_service,delivery_minutes
R0001,16.27,7.31,4,0.64,0.0,1.58,0,61.2
R0002,10.4,3.69,1,0.87,2.69,1.53,0,58.5
R0003,9.33,3.79,10,0.571,1.47,2.21,0,68.9
R0004,31.54,3.43,9,0.796,0.0,15.08,0,176.9
R0005,7.82,8.06,5,0.418,0.0,4.69,0,41.7
R0006,1.99,3.02,11,0.743,5.34,2.62,0,64.9
R0007,27.5,5.42,10,0.593,0.0,7.4,0,117.6
R0008,6.3,3.46,11,0.761,4.83,10.33,0,85.1
R0009,27.14,5.96,5,0.702,0.8,4.7,0,107.3
R0010,23.42,7.81,13,0.454,0.0,5.54,0,110.7
R0011,3.46,2.25,3,0.541,0.0,12.14,0,36.4
R0012,4.21,8.46,4,0.279,0.0,3.11,0,36.1
R0013,15.04,3.39,7,0.589,3.76,8.81,0,85.5
R0014,24.03,0.41,1,0.373,0.0,2.49,1,54.5
R0015,4.6,4.96,8,0.402,8.32,2.23,0,50.4
R0016,6.54,3.2,4,0.703,23.84,1.67,0,58.1
R0017,24.94,4.63,14,0.622,1.85,11.73,1,127.8
R0018,11.06,3.89,14,0.645,0.0,2.64,1,78.0
R0019,25.99,10.41,5,0.633,1.25,4.98,0,98.8
R0020,4.56,2.75,10,0.606,0.0,3.47,0,58.1
R0021,30.21,8.45,4,0.613,0.0,2.76,0,108.2
R0022,1.48,3.06,8,0.755,0.0,4.75,1,44.4
R0023,5.67,4.38,9,0.856,18.77,1.14,1,70.9
R0024,3.3,3.2,1,0.373,0.77,2.25,0,26.1
R0025,21.97,5.35,1,0.853,0.0,8.91,0,106.5
R0026,28.63,9.73,1,0.467,0.0,4.8,1,75.1
R0027,3.53,7.01,10,0.408,0.0,6.83,0,50.2
R0028,13.29,3.59,3,0.591,2.45,10.41,0,73.9
R0029,28.02,4.51,7,0.462,0.0,13.5,0,107.1
R0030,2.87,1.13,3,0.45,5.44,4.8,0,31.9
R0031,11.69,4.89,12,0.742,0.0,7.39,0,89.1
R0032,13.31,7.07,3,0.89,0.0,6.6,0,73.7
R0033,13.36,6.82,10,0.664,0.0,9.41,0,84.6
R0034,29.73,1.48,2,0.514,0.33,11.63,0,98.7
R0035,26.56,2.01,2,0.245,7.8,14.47,0,86.5
R0036,31.71,1.19,6,0.81,0.0,4.3,0,158.2
R0037,2.5,1.04,14,0.701,0.0,14.92,0,73.6
R0038,14.58,6.82,9,0.503,0.0,3.73,0,72.7
R0039,23.29,7.0,6,0.587,0.0,7.27,0,89.4
R0040,22.34,1.38,13,0.533,0.0,12.22,0,114.4
R0041,30.01,0.95,11,0.53,0.0,7.32,0,121.6
R0042,17.81,3.47,5,0.452,0.0,4.25,0,70.8
R0043,6.0,2.93,14,0.28,0.0,3.06,1,54.6
R0044,12.24,1.4,9,0.659,0.0,3.69,1,72.3
R0045,6.2,2.29,6,0.767,0.0,16.78,0,74.1
R0046,3.42,3.95,9,0.498,0.0,10.04,0,47.1
R0047,30.68,8.62,2,0.903,0.0,1.81,0,133.9
R0048,16.63,10.97,3,0.617,0.0,15.49,0,75.3
R0049,9.76,10.32,12,0.62,0.0,2.2,1,86.6
R0050,21.36,8.94,9,0.596,0.0,3.58,1,91.7
R0051,14.03,5.38,2,0.81,3.22,2.87,0,73.2
R0052,31.57,12.14,9,0.727,4.32,2.75,0,135.4
R0053,6.33,0.58,10,0.715,0.47,4.21,0,71.4
R0054,11.3,6.04,11,0.679,0.42,4.52,1,79.5
R0055,8.67,4.19,4,0.48,4.43,8.84,0,54.6
R0056,21.56,0.73,7,0.673,2.29,12.25,1,95.7
R0057,4.7,1.58,4,0.557,0.0,15.31,0,47.1
R0058,26.17,10.89,3,0.851,0.0,11.67,0,124.3
R0059,19.69,3.33,4,0.605,0.0,1.47,0,70.8
R0060,14.67,4.85,14,0.833,0.0,3.2,0,116.3
R0061,14.94,7.95,6,0.9,0.0,4.34,0,97.0
R0062,2.17,1.49,9,0.267,0.0,8.61,0,48.0
R0063,17.26,2.87,8,0.334,1.93,21.75,0,94.4
R0064,13.38,3.21,14,0.29,0.0,0.86,0,75.7
R0065,28.57,1.77,4,0.364,1.33,1.98,0,83.1
R0066,15.56,3.05,8,0.912,0.68,1.76,1,99.4
R0067,7.71,2.01,11,0.441,0.0,7.03,1,55.4
R0068,30.09,3.03,4,0.786,0.64,1.23,1,125.5
R0069,7.21,2.3,9,0.466,0.0,4.38,0,63.1
R0070,24.83,3.05,11,0.724,0.0,6.39,1,120.2
R0071,19.63,1.18,1,0.81,0.0,2.86,0,87.5
R0072,27.25,1.11,4,0.738,3.53,10.33,1,106.5
R0073,20.77,4.72,12,0.881,0.0,6.38,0,135.7
R0074,28.0,3.17,7,0.484,6.29,1.52,0,105.8
R0075,13.2,1.57,10,0.367,0.0,5.15,0,72.9
R0076,13.46,2.15,11,0.483,0.17,9.15,1,81.4
R0077,18.88,2.47,13,0.72,0.0,8.51,0,115.4
R0078,30.06,2.19,12,0.824,12.41,3.55,0,171.7
R0079,2.0,2.57,7,0.512,0.0,4.24,1,36.7
R0080,19.04,3.81,7,0.869,0.94,10.89,0,116.4
R0081,31.67,6.85,4,0.642,3.33,13.62,0,121.4
R0082,19.78,0.92,2,0.714,0.0,5.23,0,78.2
R0083,27.23,5.75,14,0.753,0.0,2.66,0,163.1
R0084,7.85,6.46,10,0.317,0.0,1.53,0,53.3
R0085,21.86,3.17,10,0.354,3.39,2.98,0,86.7
R0086,30.38,4.92,10,0.467,0.0,5.21,1,116.8
R0087,16.46,3.68,6,0.92,0.2,10.85,0,112.4
R0088,27.35,3.02,5,0.772,1.27,6.03,0,137.1
R0089,19.3,0.73,7,0.601,0.0,9.49,0,91.4
R0090,5.51,3.34,14,0.758,0.0,1.44,0,82.6
R0091,8.03,4.25,7,0.645,0.0,8.99,0,62.2
R0092,11.57,1.07,13,0.524,0.4,14.93,1,85.7
R0093,10.33,1.62,11,0.2,0.0,3.74,0,59.3
R0094,8.47,13.22,5,0.616,6.8,4.55,0,64.4
R0095,16.97,4.78,10,0.694,0.0,8.41,0,102.0
R0096,1.46,3.64,13,0.536,0.0,5.11,0,57.0
R0097,31.17,6.67,9,0.703,0.0,10.05,0,137.9
R0098,29.8,4.21,7,0.622,6.58,16.12,0,129.2
R0099,30.18,3.67,13,0.479,0.0,1.62,1,113.4
R0100,25.75,1.84,2,0.677,0.0,8.76,0,80.0
R0101,10.7,5.9,12,0.683,0.0,3.42,0,80.5
R0102,9.23,14.42,10,0.722,4.27,15.4,1,82.3
R0103,9.21,5.8,1,0.528,0.0,3.96,0,41.5
R0104,9.13,2.34,3,0.607,6.17,7.76,0,48.0
R0105,1.1,2.48,8,0.73,3.74,11.32,0,50.6
R0106,27.09,3.41,8,0.474,12.19,2.72,0,105.4
R0107,25.85,7.98,4,0.789,5.26,5.01,0,127.9
R0108,11.16,5.17,12,0.645,0.0,1.24,1,66.7
R0109,4.85,2.85,14,0.379,2.77,8.55,0,61.1
R0110,9.43,12.44,1,0.763,0.25,0.52,1,36.8
R0111,27.69,5.15,12,0.498,0.0,2.39,0,118.5
R0112,16.99,2.94,4,0.537,0.0,2.42,0,60.6
R0113,5.55,3.39,1,0.426,0.6,2.05,1,13.4
R0114,25.63,10.99,3,0.422,0.0,16.17,0,91.8
R0115,28.9,4.23,7,0.45,0.0,3.14,0,104.4
R0116,7.79,2.98,6,0.697,0.0,15.94,1,55.8
R0117,6.09,1.91,13,0.535,2.73,1.7,0,71.0
R0118,5.52,1.2,6,0.552,3.41,2.85,0,43.0
R0119,11.48,4.05,9,0.78,0.0,5.16,0,87.3
R0120,12.6,1.34,13,0.31,0.0,18.1,0,87.6
R0121,8.7,2.67,6,0.301,0.0,1.72,0,45.7
R0122,10.04,1.66,1,0.408,0.04,4.42,0,38.5
R0123,8.71,6.48,9,0.594,0.36,3.02,0,60.0
R0124,12.43,5.46,8,0.677,0.0,3.1,1,63.4
R0125,3.58,1.99,3,0.523,0.0,10.15,1,25.7
R0126,7.78,12.67,3,0.418,0.0,5.28,1,39.7
R0127,24.65,4.49,8,0.473,0.0,3.7,0,93.3
R0128,5.79,7.73,9,0.6,0.0,4.48,1,51.6
R0129,21.38,0.88,5,0.488,0.0,1.28,0,69.7
R0130,4.66,11.1,8,0.2,0.0,5.49,0,38.6
R0131,30.8,2.81,10,0.323,4.64,7.38,0,115.2
R0132,14.48,1.9,9,0.353,1.3,8.57,0,73.5
R0133,17.26,3.37,11,0.747,13.43,3.53,0,108.3
R0134,30.61,2.46,10,0.295,4.01,5.04,0,105.2
R0135,13.1,3.0,5,0.686,0.0,5.81,0,64.9
R0136,2.4,8.55,10,0.441,0.0,5.28,1,47.6
R0137,10.5,3.7,2,0.611,0.0,6.85,1,49.1
R0138,21.37,4.99,8,0.749,0.0,9.12,1,92.1
R0139,24.27,2.94,1,0.839,0.0,0.96,1,101.3
R0140,26.62,3.01,14,0.683,0.0,2.4,0,131.5
R0141,12.49,11.25,12,0.557,0.0,4.66,0,82.3
R0142,30.18,3.76,9,0.222,0.0,7.93,0,94.2
R0143,31.97,2.91,11,0.537,0.0,2.46,0,130.1
R0144,26.11,4.03,4,0.446,3.48,3.34,0,77.6
R0145,22.47,11.3,3,0.462,7.28,2.3,1,70.0
R0146,17.89,6.96,1,0.699,0.0,5.95,0,65.4
R0147,31.69,2.74,1,0.62,7.19,8.56,0,107.8
R0148,23.6,4.89,12,0.548,0.0,4.06,0,111.0
R0149,7.79,4.02,7,0.523,10.93,7.38,0,72.8
R0150,5.29,1.45,5,0.668,0.0,2.85,0,37.5
R0151,13.09,5.56,10,0.343,0.0,10.06,0,80.3
R0152,9.13,10.45,7,0.838,1.28,12.2,0,87.6
R0153,21.93,1.77,7,0.803,0.0,9.56,0,128.9
R0154,29.02,4.54,3,0.385,0.0,4.03,0,85.7
R0155,28.23,9.37,5,0.511,4.61,3.02,0,104.8
R0156,18.54,6.19,9,0.767,0.0,2.96,0,104.6
R0157,21.86,4.59,1,0.547,0.0,4.71,0,75.6
R0158,24.35,2.35,8,0.728,0.0,7.04,0,106.0
R0159,26.96,3.88,14,0.302,3.82,2.2,0,107.3
R0160,30.04,6.05,3,0.642,1.25,6.66,0,105.6
R0161,21.02,4.01,5,0.584,0.0,6.41,1,80.9
R0162,27.55,2.75,4,0.817,0.0,6.29,1,116.9
R0163,10.65,8.3,5,0.299,1.6,8.76,0,52.5
R0164,16.02,3.44,7,0.824,9.52,6.84,0,106.1
R0165,29.62,9.26,13,0.584,0.0,9.44,0,135.1
R0166,12.71,3.9,6,0.428,1.21,3.5,0,63.9
R0167,4.29,6.35,2,0.316,0.0,9.74,1,34.8
R0168,6.89,7.25,3,0.626,16.9,9.18,0,57.8
R0169,19.71,1.47,7,0.414,0.0,2.29,1,75.0
R0170,29.75,3.83,7,0.596,0.0,4.88,1,105.4
R0171,7.54,2.2,13,0.358,13.74,3.98,1,65.1
R0172,31.42,5.25,1,0.445,0.0,3.11,1,80.2
R0173,28.45,5.97,1,0.299,0.0,1.76,0,76.1
R0174,21.96,3.22,6,0.436,0.0,3.36,0,84.7
R0175,7.92,6.73,11,0.652,3.34,9.3,0,78.7
R0176,11.67,4.02,3,0.448,0.0,6.17,1,41.6
R0177,7.67,2.0,2,0.857,0.0,3.8,1,46.2
R0178,17.22,1.38,9,0.571,0.0,2.94,1,82.1
R0179,26.16,3.0,4,0.644,0.0,1.68,0,94.3
R0180,20.05,7.21,1,0.646,3.01,16.91,0,79.0
R0181,19.6,10.38,1,0.726,0.0,1.79,0,62.5
R0182,8.72,2.71,1,0.456,0.26,1.41,0,38.2
R0183,15.84,4.96,13,0.794,3.59,7.51,0,122.5
R0184,27.04,4.52,12,0.271,0.0,2.61,1,97.5
R0185,7.54,2.59,7,0.544,0.0,6.99,0,54.0
R0186,15.95,6.43,2,0.85,0.0,10.98,1,83.6
R0187,7.35,7.9,11,0.66,0.0,7.46,0,79.3
R0188,7.77,6.14,9,0.551,0.0,18.75,0,67.3
