sample_id,turbidity_ntu,conductivity_change_pct,uv_absorbance,requires_review,split
TR-R-0399,3.715,-0.929,0.064,1,training
TR-R-0183,3.523,11.029,0.092,1,training
TR-N-0320,1.865,3.355,0.038,0,training
TR-N-0386,2.346,3.073,0.041,0,training
TR-R-0180,2.968,9.996,0.093,1,training
TR-N-0293,1.568,-0.284,0.036,0,training
TR-N-0149,1.447,1.093,0.029,0,training
TR-R-0335,3.653,5.754,0.094,1,training
TR-R-0252,2.951,8.111,0.038,1,training
TR-N-0392,1.681,-2.528,0.043,0,training
TR-R-0023,4.08,4.6,0.078,1,training
TR-R-0387,3.907,-0.052,0.068,1,training
TR-R-0199,3.113,10.757,0.077,1,training
TR-N-0219,1.467,-6.427,0.03,0,training
TR-N-0070,2.394,-2.102,0.042,0,training
TR-N-0283,2.195,-4.233,0.033,0,training
TR-R-0124,2.145,6.38,0.053,1,training
TR-N-0012,1.665,0.281,0.052,0,training
TR-N-0355,1.468,2.238,0.037,0,training
TR-R-0343,3.339,6.025,0.049,1,training
TR-R-0110,3.405,7.418,0.051,1,training
TR-R-0126,2.116,5.952,0.058,1,training
TR-N-0125,1.18,-2.504,0.034,0,training
TR-N-0004,2.017,-1.621,0.065,0,training
TR-N-0100,1.471,-4.061,0.054,0,training
TR-R-0071,2.939,0.781,0.077,1,training
TR-N-0046,1.273,1.167,0.032,0,training
TR-N-0051,1.256,0.087,0.052,0,training
TR-R-0359,3.052,6.854,0.053,1,training
TR-R-0058,3.631,12.832,0.083,1,training
TR-N-0124,1.312,3.569,0.066,0,training
TR-N-0228,1.341,-1.366,0.036,0,training
TR-N-0157,1.398,-4.823,0.036,0,training
TR-R-0004,2.997,9.443,0.06,1,training
TR-R-0352,4.36,5.243,0.083,1,training
TR-N-0101,3.088,1.502,0.038,0,training
TR-N-0322,1.502,-6.972,0.049,0,training
TR-N-0019,1.813,0.385,0.034,0,training
TR-N-0272,1.755,-2.89,0.023,0,training
TR-N-0129,1.676,1.836,0.05,0,training
TR-R-0190,3.847,13.654,0.057,1,training
TR-R-0230,4.474,5.183,0.099,1,training
TR-R-0312,2.366,0.452,0.071,1,training
TR-R-0137,2.615,4.468,0.042,1,training
TR-N-0137,1.948,-3.987,0.049,0,training
TR-N-0205,2.042,2.441,0.027,0,training
TR-R-0057,2.55,9.634,0.049,1,training
TR-R-0195,3.124,-2.351,0.062,1,training
TR-N-0061,1.472,-0.022,0.049,0,training
TR-R-0053,2.173,8.536,0.071,1,training
TR-R-0204,3.694,1.697,0.062,1,training
TR-N-0361,1.946,-2.148,0.057,0,training
TR-N-0271,1.292,-2.42,0.035,0,training
TR-N-0079,1.75,0.406,0.044,0,training
TR-R-0022,2.418,11.528,0.077,1,training
TR-R-0149,4.064,3.837,0.072,1,training
TR-R-0295,3.461,14.991,0.083,1,training
TR-N-0201,2.331,2.09,0.045,0,training
TR-N-0393,0.889,-4.284,0.048,0,training
TR-N-0143,2.331,-5.28,0.049,0,training
TR-N-0347,1.773,3.519,0.063,0,training
TR-R-0238,2.049,4.975,0.073,1,training
