timestamp,room_temp_c,outside_temp_c,door_open_minutes
2025-05-01 00:00:00,3.8,28.218,0
2025-05-01 00:30:00,3.893,28.746,0
2025-05-01 01:00:00,3.944,26.658,0
2025-05-01 01:30:00,3.897,26.763,0
2025-05-01 02:00:00,3.98,25.867,0
2025-05-01 02:30:00,3.939,25.35,0
2025-05-01 03:00:00,3.893,24.328,0
2025-05-01 03:30:00,3.828,23.87,0
2025-05-01 04:00:00,3.832,23.061,0
2025-05-01 04:30:00,3.74,22.905,0
2025-05-01 05:00:00,3.749,22.456,0
2025-05-01 05:30:00,3.75,20.48,0
2025-05-01 06:00:00,3.724,20.516,0
2025-05-01 06:30:00,3.704,20.152,0
2025-05-01 07:00:00,3.636,19.543,0
2025-05-01 07:30:00,3.636,20.149,5
2025-05-01 08:00:00,4.249,20.381,0
2025-05-01 08:30:00,3.999,20.197,0
2025-05-01 09:00:00,3.821,20.32,0
2025-05-01 09:30:00,3.784,21.287,0
2025-05-01 10:00:00,3.757,21.503,0
2025-05-01 10:30:00,3.676,21.872,0
2025-05-01 11:00:00,3.627,22.459,0
2025-05-01 11:30:00,3.671,22.966,0
2025-05-01 12:00:00,3.737,23.231,5
2025-05-01 12:30:00,4.314,24.624,0
2025-05-01 13:00:00,4.22,24.851,0
2025-05-01 13:30:00,4.066,25.934,0
2025-05-01 14:00:00,4.051,27.293,0
2025-05-01 14:30:00,3.994,27.048,0
2025-05-01 15:00:00,3.995,28.388,0
2025-05-01 15:30:00,3.976,29.068,0
2025-05-01 16:00:00,3.953,30.27,0
2025-05-01 16:30:00,4.054,30.03,0
2025-05-01 17:00:00,4.072,32.215,4
2025-05-01 17:30:00,4.601,31.338,0
2025-05-01 18:00:00,4.538,31.773,0
2025-05-01 18:30:00,4.48,32.656,0
2025-05-01 19:00:00,4.464,32.431,0
2025-05-01 19:30:00,4.426,32.87,0
2025-05-01 20:00:00,4.37,32.802,0
2025-05-01 20:30:00,4.364,33.085,0
2025-05-01 21:00:00,4.341,32.879,0
2025-05-01 21:30:00,4.314,32.443,0
2025-05-01 22:00:00,4.376,31.999,0
2025-05-01 22:30:00,4.384,31.611,0
2025-05-01 23:00:00,4.268,31.166,0
2025-05-01 23:30:00,4.26,30.179,0
2025-05-02 00:00:00,4.247,29.946,0
2025-05-02 00:30:00,4.181,28.973,0
2025-05-02 01:00:00,4.089,29.021,0
2025-05-02 01:30:00,4.046,28.639,0
2025-05-02 02:00:00,4.101,26.613,0
2025-05-02 02:30:00,4.048,25.681,0
2025-05-02 03:00:00,3.973,24.993,0
2025-05-02 03:30:00,3.934,24.741,0
2025-05-02 04:00:00,3.894,24.332,0
2025-05-02 04:30:00,3.82,23.182,0
2025-05-02 05:00:00,3.779,23.292,0
2025-05-02 05:30:00,3.734,22.407,0
2025-05-02 06:00:00,3.668,21.939,0
2025-05-02 06:30:00,3.67,21.174,0
2025-05-02 07:00:00,3.66,21.317,0
2025-05-02 07:30:00,3.576,21.197,3
2025-05-02 08:00:00,4.008,20.73,0
2025-05-02 08:30:00,3.877,21.876,0
2025-05-02 09:00:00,3.856,21.627,0
2025-05-02 09:30:00,3.758,22.437,0
2025-05-02 10:00:00,3.7,22.304,0
2025-05-02 10:30:00,3.703,22.778,0
2025-05-02 11:00:00,3.737,23.589,0
2025-05-02 11:30:00,3.743,22.983,0
2025-05-02 12:00:00,3.688,23.691,9
2025-05-02 12:30:00,4.758,24.748,4
2025-05-02 13:00:00,4.981,25.657,0
2025-05-02 13:30:00,4.688,26.142,0
2025-05-02 14:00:00,4.45,27.182,0
2025-05-02 14:30:00,4.34,28.103,0
2025-05-02 15:00:00,4.206,29.527,0
2025-05-02 15:30:00,4.173,30.478,0
2025-05-02 16:00:00,4.209,30.146,0
2025-05-02 16:30:00,4.161,30.767,0
2025-05-02 17:00:00,4.199,31.475,4
2025-05-02 17:30:00,4.677,31.52,0
2025-05-02 18:00:00,4.567,32.61,0
2025-05-02 18:30:00,4.482,32.669,0
2025-05-02 19:00:00,4.436,33.045,0
2025-05-02 19:30:00,4.399,33.718,0
2025-05-02 20:00:00,4.396,33.435,0
2025-05-02 20:30:00,4.401,33.26,0
2025-05-02 21:00:00,4.382,33.076,0
2025-05-02 21:30:00,4.434,32.776,0
2025-05-02 22:00:00,4.46,32.474,0
2025-05-02 22:30:00,4.336,32.747,0
2025-05-02 23:00:00,4.376,31.241,0
2025-05-02 23:30:00,4.332,31.103,0
2025-05-03 00:00:00,4.29,30.046,0
2025-05-03 00:30:00,4.275,29.043,4
2025-05-03 01:00:00,4.685,28.389,0
2025-05-03 01:30:00,4.557,27.783,0
2025-05-03 02:00:00,4.396,26.566,0
2025-05-03 02:30:00,4.27,27.193,0
2025-05-03 03:00:00,4.22,25.36,0
2025-05-03 03:30:00,4.107,24.522,0
2025-05-03 04:00:00,4.076,23.988,2
2025-05-03 04:30:00,4.252,23.515,0
2025-05-03 05:00:00,4.093,22.187,0
2025-05-03 05:30:00,3.94,21.992,0
2025-05-03 06:00:00,3.9,21.831,0
2025-05-03 06:30:00,3.815,21.96,4
2025-05-03 07:00:00,4.29,21.089,0
2025-05-03 07:30:00,4.057,21.355,3
2025-05-03 08:00:00,4.259,21.189,0
2025-05-03 08:30:00,4.057,21.282,0
2025-05-03 09:00:00,3.95,21.133,0
2025-05-03 09:30:00,3.811,21.45,0
2025-05-03 10:00:00,3.771,22.383,0
2025-05-03 10:30:00,3.769,22.492,0
2025-05-03 11:00:00,3.727,21.831,0
2025-05-03 11:30:00,3.678,23.968,0
2025-05-03 12:00:00,3.694,23.99,9
2025-05-03 12:30:00,4.817,24.73,0
2025-05-03 13:00:00,4.581,25.287,0
2025-05-03 13:30:00,4.372,26.714,0
2025-05-03 14:00:00,4.33,26.957,0
2025-05-03 14:30:00,4.217,28.118,0
2025-05-03 15:00:00,4.127,28.348,0
2025-05-03 15:30:00,4.116,29.402,0
2025-05-03 16:00:00,4.096,29.732,0
2025-05-03 16:30:00,4.101,31.102,0
2025-05-03 17:00:00,4.126,31.957,7
2025-05-03 17:30:00,5.001,31.683,0
2025-05-03 18:00:00,4.773,31.657,0
2025-05-03 18:30:00,4.658,31.969,0
2025-05-03 19:00:00,4.48,32.902,0
2025-05-03 19:30:00,4.394,33.41,0
2025-05-03 20:00:00,4.406,32.415,0
2025-05-03 20:30:00,4.377,32.416,0
2025-05-03 21:00:00,4.394,32.707,0
2025-05-03 21:30:00,4.388,32.068,0
2025-05-03 22:00:00,4.291,31.09,0
2025-05-03 22:30:00,4.219,31.774,0
2025-05-03 23:00:00,4.216,30.671,3
2025-05-03 23:30:00,4.524,30.833,0
2025-05-04 00:00:00,4.481,29.524,0
2025-05-04 00:30:00,4.315,28.677,0
2025-05-04 01:00:00,4.197,28.655,0
2025-05-04 01:30:00,4.141,26.179,0
2025-05-04 02:00:00,4.008,26.61,0
2025-05-04 02:30:00,3.968,25.721,0
2025-05-04 03:00:00,3.911,25.272,0
2025-05-04 03:30:00,3.938,24.094,0
2025-05-04 04:00:00,3.904,23.305,0
2025-05-04 04:30:00,3.842,22.644,0
2025-05-04 05:00:00,3.817,21.539,6
2025-05-04 05:30:00,4.405,21.199,0
2025-05-04 06:00:00,4.19,21.636,0
2025-05-04 06:30:00,4.014,20.763,0
2025-05-04 07:00:00,3.915,20.244,0
2025-05-04 07:30:00,3.746,19.953,5
2025-05-04 08:00:00,4.194,20.433,0
2025-05-04 08:30:00,4.001,19.885,0
2025-05-04 09:00:00,3.841,21.47,4
2025-05-04 09:30:00,4.253,20.016,0
2025-05-04 10:00:00,3.998,20.241,0
2025-05-04 10:30:00,3.812,21.298,0
2025-05-04 11:00:00,3.731,21.852,4
2025-05-04 11:30:00,4.14,22.483,0
2025-05-04 12:00:00,3.956,23.079,3
2025-05-04 12:30:00,4.254,23.854,0
2025-05-04 13:00:00,4.134,24.276,0
2025-05-04 13:30:00,3.969,25.017,0
2025-05-04 14:00:00,3.907,25.453,0
2025-05-04 14:30:00,3.887,26.429,0
2025-05-04 15:00:00,3.885,27.475,0
2025-05-04 15:30:00,3.847,27.997,0
2025-05-04 16:00:00,3.931,28.564,0
2025-05-04 16:30:00,3.945,29.891,0
2025-05-04 17:00:00,3.979,30.98,3
2025-05-04 17:30:00,4.371,30.375,0
2025-05-04 18:00:00,4.316,30.849,0
2025-05-04 18:30:00,4.353,31.09,0
2025-05-04 19:00:00,4.303,31.346,0
2025-05-04 19:30:00,4.23,31.07,0
2025-05-04 20:00:00,4.217,31.878,0
2025-05-04 20:30:00,4.249,32.142,0
2025-05-04 21:00:00,4.214,30.741,0
2025-05-04 21:30:00,4.211,30.225,0
2025-05-04 22:00:00,4.212,30.091,0
2025-05-04 22:30:00,4.187,30.196,0
2025-05-04 23:00:00,4.207,29.524,0
2025-05-04 23:30:00,4.218,29.675,0
2025-05-05 00:00:00,4.162,29.065,0
2025-05-05 00:30:00,4.178,27.208,0
2025-05-05 01:00:00,4.077,27.308,0
2025-05-05 01:30:00,4.011,26.115,0
2025-05-05 02:00:00,3.967,25.674,0
2025-05-05 02:30:00,3.937,25.041,0
2025-05-05 03:00:00,3.952,24.068,0
2025-05-05 03:30:00,3.866,23.201,0
2025-05-05 04:00:00,3.781,22.294,0
2025-05-05 04:30:00,3.77,21.813,0
2025-05-05 05:00:00,3.769,21.269,0
2025-05-05 05:30:00,3.708,20.217,0
2025-05-05 06:00:00,3.645,19.677,0
2025-05-05 06:30:00,3.631,20.82,0
2025-05-05 07:00:00,3.556,19.04,0
2025-05-05 07:30:00,3.494,19.683,7
2025-05-05 08:00:00,4.298,19.691,0
2025-05-05 08:30:00,4.05,18.908,0
2025-05-05 09:00:00,3.854,18.688,0
2025-05-05 09:30:00,3.685,19.531,0
2025-05-05 10:00:00,3.579,19.86,0
2025-05-05 10:30:00,3.51,20.152,0
2025-05-05 11:00:00,3.471,21.02,0
2025-05-05 11:30:00,3.549,21.751,0
2025-05-05 12:00:00,3.569,21.446,9
2025-05-05 12:30:00,4.66,22.561,0
2025-05-05 13:00:00,4.428,23.955,0
2025-05-05 13:30:00,4.233,24.432,0
2025-05-05 14:00:00,4.128,24.808,0
2025-05-05 14:30:00,4.018,26.039,0
2025-05-05 15:00:00,3.962,26.441,0
2025-05-05 15:30:00,3.989,26.87,0
2025-05-05 16:00:00,3.979,27.64,0
2025-05-05 16:30:00,4.037,28.757,0
2025-05-05 17:00:00,4.001,29.193,9
2025-05-05 17:30:00,5.043,30.524,0
2025-05-05 18:00:00,4.811,30.164,0
2025-05-05 18:30:00,4.653,30.705,0
2025-05-05 19:00:00,4.404,30.883,0
2025-05-05 19:30:00,4.285,29.904,0
2025-05-05 20:00:00,4.285,31.08,0
2025-05-05 20:30:00,4.199,31.543,0
2025-05-05 21:00:00,4.164,30.482,0
2025-05-05 21:30:00,4.146,30.535,0
2025-05-05 22:00:00,4.14,30.788,0
2025-05-05 22:30:00,4.121,29.984,0
2025-05-05 23:00:00,4.154,29.509,0
2025-05-05 23:30:00,4.15,28.824,0
2025-05-06 00:00:00,4.097,27.383,0
2025-05-06 00:30:00,4.104,27.064,0
2025-05-06 01:00:00,4.047,26.544,0
2025-05-06 01:30:00,4.047,26.419,0
2025-05-06 02:00:00,4.015,25.227,0
2025-05-06 02:30:00,3.973,23.361,0
2025-05-06 03:00:00,3.866,23.376,0
2025-05-06 03:30:00,3.821,22.472,0
2025-05-06 04:00:00,3.748,21.419,0
2025-05-06 04:30:00,3.689,21.076,4
2025-05-06 05:00:00,4.167,19.932,0
2025-05-06 05:30:00,3.96,19.756,0
2025-05-06 06:00:00,3.862,18.851,0
2025-05-06 06:30:00,3.716,19.224,0
2025-05-06 07:00:00,3.599,18.186,0
2025-05-06 07:30:00,3.581,19.593,9
2025-05-06 08:00:00,4.682,18.839,0
2025-05-06 08:30:00,4.354,19.22,0
2025-05-06 09:00:00,4.085,19.266,0
2025-05-06 09:30:00,3.925,19.147,0
2025-05-06 10:00:00,3.81,19.178,0
2025-05-06 10:30:00,3.72,20.31,0
2025-05-06 11:00:00,3.634,20.337,0
2025-05-06 11:30:00,3.601,20.582,0
2025-05-06 12:00:00,3.629,22.169,8
2025-05-06 12:30:00,4.542,22.907,0
2025-05-06 13:00:00,4.248,22.921,0
2025-05-06 13:30:00,4.054,24.043,0
2025-05-06 14:00:00,3.975,25.06,0
2025-05-06 14:30:00,3.921,25.634,0
2025-05-06 15:00:00,3.883,26.881,0
2025-05-06 15:30:00,3.916,27.528,0
2025-05-06 16:00:00,3.901,27.89,0
2025-05-06 16:30:00,3.948,28.447,0
2025-05-06 17:00:00,3.966,28.629,6
2025-05-06 17:30:00,4.722,29.339,0
2025-05-06 18:00:00,4.554,29.17,0
2025-05-06 18:30:00,4.43,30.454,0
2025-05-06 19:00:00,4.376,30.972,0
2025-05-06 19:30:00,4.292,30.255,0
2025-05-06 20:00:00,4.249,31.435,0
2025-05-06 20:30:00,4.195,31.099,0
2025-05-06 21:00:00,4.179,30.206,0
2025-05-06 21:30:00,4.212,31.089,0
2025-05-06 22:00:00,4.162,30.215,0
2025-05-06 22:30:00,4.092,29.954,0
2025-05-06 23:00:00,4.065,29.616,0
2025-05-06 23:30:00,3.994,28.39,0
2025-05-07 00:00:00,4.007,28.198,0
2025-05-07 00:30:00,3.984,27.594,0
2025-05-07 01:00:00,3.953,27.058,0
2025-05-07 01:30:00,3.916,25.821,0
2025-05-07 02:00:00,3.887,25.185,0
2025-05-07 02:30:00,3.879,24.502,0
2025-05-07 03:00:00,3.862,22.707,0
2025-05-07 03:30:00,3.829,22.684,0
2025-05-07 04:00:00,3.785,22.392,0
2025-05-07 04:30:00,3.765,21.826,0
2025-05-07 05:00:00,3.715,21.134,6
2025-05-07 05:30:00,4.337,20.449,0
2025-05-07 06:00:00,4.113,19.906,0
2025-05-07 06:30:00,3.951,19.504,0
2025-05-07 07:00:00,3.805,19.799,2
2025-05-07 07:30:00,3.946,19.232,4
2025-05-07 08:00:00,4.272,19.082,0
2025-05-07 08:30:00,4.006,19.928,0
2025-05-07 09:00:00,3.798,19.693,0
2025-05-07 09:30:00,3.69,19.674,0
2025-05-07 10:00:00,3.663,20.279,3
2025-05-07 10:30:00,3.922,20.469,0
2025-05-07 11:00:00,3.756,21.514,0
2025-05-07 11:30:00,3.681,21.619,0
2025-05-07 12:00:00,3.731,23.396,6
2025-05-07 12:30:00,4.456,22.572,0
2025-05-07 13:00:00,4.281,24.531,0
2025-05-07 13:30:00,4.132,24.975,0
