reading_id,recorded_at,station,direction,bicycles
1,2026-01-01T00:00,Riverside,inbound,19
2,2026-01-01T00:00,Riverside,outbound,30
3,2026-01-01T00:00,Market Gate,inbound,16
4,2026-01-01T00:00,Market Gate,outbound,14
5,2026-01-01T00:00,University,inbound,18
6,2026-01-01T00:00,University,outbound,15
7,2026-01-01T00:00,North Bridge,inbound,9
8,2026-01-01T00:00,North Bridge,outbound,15
9,2026-01-01T01:00,Riverside,inbound,18
10,2026-01-01T01:00,Riverside,outbound,13
11,2026-01-01T01:00,Market Gate,inbound,20
12,2026-01-01T01:00,Market Gate,outbound,23
13,2026-01-01T01:00,University,inbound,14
14,2026-01-01T01:00,University,outbound,17
15,2026-01-01T01:00,North Bridge,inbound,19
16,2026-01-01T01:00,North Bridge,outbound,11
17,2026-01-01T02:00,Riverside,inbound,15
18,2026-01-01T02:00,Riverside,outbound,17
19,2026-01-01T02:00,Market Gate,inbound,15
20,2026-01-01T02:00,Market Gate,outbound,16
21,2026-01-01T02:00,University,inbound,13
22,2026-01-01T02:00,University,outbound,27
23,2026-01-01T02:00,North Bridge,inbound,15
24,2026-01-01T02:00,North Bridge,outbound,2
25,2026-01-01T03:00,Riverside,inbound,22
26,2026-01-01T03:00,Riverside,outbound,17
27,2026-01-01T03:00,Market Gate,inbound,12
28,2026-01-01T03:00,Market Gate,outbound,6
29,2026-01-01T03:00,University,inbound,14
30,2026-01-01T03:00,University,outbound,19
31,2026-01-01T03:00,North Bridge,inbound,10
32,2026-01-01T03:00,North Bridge,outbound,22
33,2026-01-01T04:00,Riverside,inbound,29
34,2026-01-01T04:00,Riverside,outbound,17
35,2026-01-01T04:00,Market Gate,inbound,12
36,2026-01-01T04:00,Market Gate,outbound,12
37,2026-01-01T04:00,University,inbound,22
38,2026-01-01T04:00,University,outbound,17
39,2026-01-01T04:00,North Bridge,inbound,11
40,2026-01-01T04:00,North Bridge,outbound,21
41,2026-01-01T05:00,Riverside,inbound,29
42,2026-01-01T05:00,Riverside,outbound,21
43,2026-01-01T05:00,Market Gate,inbound,19
44,2026-01-01T05:00,Market Gate,outbound,23
45,2026-01-01T05:00,University,inbound,32
46,2026-01-01T05:00,University,outbound,29
47,2026-01-01T05:00,North Bridge,inbound,21
48,2026-01-01T05:00,North Bridge,outbound,20
49,2026-01-01T06:00,Riverside,inbound,42
50,2026-01-01T06:00,Riverside,outbound,48
51,2026-01-01T06:00,Market Gate,inbound,33
52,2026-01-01T06:00,Market Gate,outbound,31
53,2026-01-01T06:00,University,inbound,54
54,2026-01-01T06:00,University,outbound,39
55,2026-01-01T06:00,North Bridge,inbound,30
56,2026-01-01T06:00,North Bridge,outbound,25
57,2026-01-01T07:00,Riverside,inbound,67
58,2026-01-01T07:00,Riverside,outbound,59
59,2026-01-01T07:00,Market Gate,inbound,57
60,2026-01-01T07:00,Market Gate,outbound,54
61,2026-01-01T07:00,University,inbound,62
62,2026-01-01T07:00,University,outbound,52
63,2026-01-01T07:00,North Bridge,inbound,38
64,2026-01-01T07:00,North Bridge,outbound,44
65,2026-01-01T08:00,Riverside,inbound,83
66,2026-01-01T08:00,Riverside,outbound,72
67,2026-01-01T08:00,Market Gate,inbound,61
68,2026-01-01T08:00,Market Gate,outbound,46
69,2026-01-01T08:00,University,inbound,73
70,2026-01-01T08:00,University,outbound,65
71,2026-01-01T08:00,North Bridge,inbound,63
72,2026-01-01T08:00,North Bridge,outbound,50
73,2026-01-01T09:00,Riverside,inbound,66
74,2026-01-01T09:00,Riverside,outbound,57
75,2026-01-01T09:00,Market Gate,inbound,56
76,2026-01-01T09:00,Market Gate,outbound,56
77,2026-01-01T09:00,University,inbound,59
78,2026-01-01T09:00,University,outbound,55
