cycle_id,load_kg,air_temp_c,fan_pct,drying_minutes
DC-001,14.48,43.1,64.6,69.2
DC-002,17.31,55.9,53.5,73.5
DC-003,12.76,60.0,50.4,53.9
DC-004,9.74,41.5,77.6,50.1
DC-005,17.94,41.3,56.7,86.8
DC-006,14.97,58.4,84.4,59.1
DC-007,14.9,38.6,41.0,82.0
DC-008,12.78,48.5,47.9,59.7
DC-009,12.25,47.3,87.7,51.3
DC-010,7.43,48.0,66.2,35.1
DC-011,9.12,44.1,69.1,45.1
DC-012,14.51,51.5,37.1,69.2
DC-013,8.71,46.4,69.4,38.7
DC-014,4.63,61.3,91.6,7.6
DC-015,13.55,57.3,66.3,59.2
DC-016,7.63,49.2,62.3,35.8
DC-017,12.62,40.9,54.8,63.2
DC-018,9.62,51.0,58.7,44.0
DC-019,8.4,51.3,39.3,43.5
DC-020,4.48,50.6,69.5,21.6
DC-021,6.96,41.5,59.0,33.3
DC-022,10.18,55.3,87.4,41.7
DC-023,15.52,50.9,62.3,69.1
DC-024,6.84,45.3,47.6,37.5
DC-025,12.62,53.5,44.8,59.4
DC-026,10.02,56.5,93.2,33.1
DC-027,15.13,56.6,73.3,61.7
DC-028,4.46,42.2,75.2,23.5
DC-029,8.38,54.6,72.0,30.5
DC-030,14.17,50.7,67.2,64.6
DC-031,10.46,39.0,44.4,64.7
DC-032,7.23,50.2,93.8,25.9
DC-033,9.53,41.5,42.2,52.9
DC-034,16.2,42.0,39.3,78.0
DC-035,10.49,41.8,54.3,55.5
DC-036,16.57,39.2,72.2,80.2
DC-037,6.06,49.2,48.8,31.4
DC-038,9.67,45.9,60.4,49.8
DC-039,13.0,54.5,57.4,54.1
DC-040,17.63,49.2,89.7,76.2
DC-041,8.32,59.9,85.3,23.0
DC-042,4.97,57.9,74.7,10.4
DC-043,16.68,55.8,66.8,69.9
DC-044,12.68,44.0,42.4,66.1
DC-045,12.68,49.2,39.1,61.7
DC-046,10.29,56.7,60.8,40.7
DC-047,7.43,49.8,45.6,34.2
DC-048,6.1,47.8,59.6,32.9
DC-049,8.46,40.6,68.8,41.9
DC-050,7.86,55.3,73.9,33.5
DC-051,12.38,44.0,91.7,52.2
DC-052,13.41,60.2,93.9,44.1
DC-053,15.93,59.4,57.1,65.1
DC-054,5.29,42.4,74.7,23.5
DC-055,10.14,59.0,63.6,36.1
DC-056,17.58,39.3,49.7,88.5
DC-057,13.37,47.7,55.1,62.1
DC-058,17.28,61.8,81.0,68.3
DC-059,6.5,57.7,42.3,28.9
DC-060,12.03,42.1,67.0,58.8
DC-061,8.55,42.0,66.5,39.0
DC-062,14.44,43.5,53.9,72.1
DC-063,16.93,60.0,59.4,67.1
DC-064,13.63,41.6,66.2,63.6
DC-065,15.98,61.0,45.7,67.4
DC-066,6.05,55.1,52.2,26.1
DC-067,5.14,58.0,48.2,23.8
DC-068,6.13,54.6,72.3,18.4
DC-069,14.17,52.6,71.9,60.1
DC-070,9.04,49.5,83.6,38.9
DC-071,14.48,43.2,39.6,73.9
DC-072,14.14,42.8,72.8,66.6
