reading_id,vibration_rms_mm_s,motor_temp_c,load_pct,current_variation_a,acoustic_kurtosis,days_since_service,recent_auto_stops,ambient_temp_c,urgent_inspection
EQ-00001,1.98,49.9,22.1,0.45,2.26,235,0,34.2,0
EQ-00002,1.92,71.2,61.3,2.42,4.74,445,1,21.4,1
EQ-00003,1.9,51.1,66.3,0.77,3.66,123,0,22.3,0
EQ-00004,1.71,67.8,99.8,0.72,3.12,375,0,23.3,0
EQ-00005,2.05,73.3,81.7,0.46,3.65,123,2,29.5,1
EQ-00006,1.48,65.4,68.9,1.37,4.49,487,0,31.1,1
EQ-00007,1.32,63.7,54.8,3.49,3.95,378,0,23.1,0
EQ-00008,2.67,63.4,93.1,1.03,3.26,313,0,23.7,0
EQ-00009,1.55,71.9,64.7,2.15,3.94,102,1,25.7,0
EQ-00010,3.47,50.5,76.3,0.41,4.11,482,3,27.3,0
EQ-00011,0.64,75.6,88.1,0.2,1.64,317,0,16.8,0
EQ-00012,2.2,56.9,54.5,0.85,1.46,75,1,24.1,0
EQ-00013,5.12,64.0,75.6,1.66,4.9,305,0,30.1,0
EQ-00014,6.56,50.1,94.9,1.07,4.23,17,1,24.9,0
EQ-00015,4.04,63.4,23.2,0.05,1.3,114,0,17.5,0
EQ-00016,4.0,60.2,86.4,1.15,3.44,279,0,34.2,0
EQ-00017,1.9,49.0,87.7,1.04,2.47,511,0,32.1,0
EQ-00018,3.26,53.8,79.7,1.39,1.31,530,1,20.0,0
EQ-00019,0.52,54.1,69.1,0.68,1.47,299,1,24.6,0
EQ-00020,1.77,50.3,46.5,1.73,5.98,58,1,25.1,0
EQ-00021,2.03,78.5,76.8,2.34,4.13,283,1,27.8,0
EQ-00022,1.33,70.1,62.6,1.22,5.96,449,0,25.0,0
EQ-00023,2.41,67.5,80.1,0.56,3.28,426,0,21.7,0
EQ-00024,2.0,67.5,31.4,1.19,3.16,149,0,25.0,0
EQ-00025,0.97,53.1,26.9,2.25,2.35,76,0,19.3,0
EQ-00026,0.61,52.0,90.0,3.76,1.84,298,0,26.9,0
EQ-00027,3.25,55.9,63.4,0.75,1.81,145,1,28.8,0
EQ-00028,4.15,66.7,81.4,0.31,2.81,19,2,23.2,0
EQ-00029,5.76,63.9,64.7,0.97,5.45,532,1,25.8,0
EQ-00030,1.76,73.0,65.1,0.59,2.33,322,2,30.9,0
EQ-00031,2.71,67.4,34.0,0.84,4.73,190,0,35.2,0
EQ-00032,4.93,51.0,54.7,2.42,4.33,253,0,21.8,0
EQ-00033,2.92,48.6,60.6,0.8,5.72,11,0,21.1,0
EQ-00034,4.92,79.3,56.8,0.68,2.34,356,1,22.6,0
EQ-00035,2.01,68.6,79.3,1.72,3.49,215,0,30.6,0
EQ-00036,0.67,63.1,39.3,0.47,4.45,426,2,25.7,0
EQ-00037,1.92,59.9,52.4,2.64,2.43,201,0,23.0,0
EQ-00038,1.75,41.3,60.8,1.61,3.81,535,1,21.5,0
EQ-00039,2.48,57.6,75.4,0.31,2.88,475,0,30.0,0
EQ-00040,8.2,71.2,66.7,0.47,1.73,25,1,19.7,0
EQ-00041,0.62,68.6,88.1,0.74,7.51,5,2,28.3,0
