n_estimators,max_depth_label,min_samples_leaf,balanced_accuracy,recall,cv_fit_time_ms,cv_score_time_ms,selected
80,4,1,0.749792,0.669336,145.938730,7.408571,False
200,4,6,0.748783,0.663622,365.326452,13.984585,False
80,4,6,0.747746,0.666479,155.834103,7.910967,False
200,4,1,0.745966,0.657988,367.997313,14.199257,False
200,unlimited,6,0.745708,0.593078,501.608372,20.655584,False
200,8,6,0.745377,0.607203,474.362898,19.726324,False
20,8,6,0.743172,0.615734,47.813177,4.310560,False
20,4,6,0.740749,0.674970,37.569141,3.836298,True
80,8,6,0.740077,0.604306,190.191746,9.430981,False
80,unlimited,6,0.739747,0.581771,199.127197,9.975815,False
20,4,1,0.736653,0.660926,37.369871,3.936958,False
20,unlimited,6,0.723202,0.561932,50.576782,4.600859,False
200,8,1,0.720589,0.530825,481.685066,18.585014,False
80,8,1,0.718254,0.525231,189.166069,9.012508,False
20,8,1,0.711280,0.519598,48.561096,4.236746,False
200,unlimited,1,0.673596,0.375533,540.789604,22.079372,False
80,unlimited,1,0.657889,0.344427,216.716528,10.743809,False
20,unlimited,1,0.655137,0.344467,55.265856,4.724836,False
