site_id,sunlight_hours,cloud_cover_pct,panel_area_m2,panel_age_years,inverter_efficiency,daily_output_kwh
SITE-0001,3.02,52.2,289.4,26.0,0.962,94.8
SITE-0002,1.36,62.6,16.8,7.3,0.893,1.0
SITE-0003,8.25,78.8,117.7,8.9,0.892,71.0
SITE-0004,6.01,32.0,148.4,29.4,0.902,109.5
SITE-0005,9.11,70.9,196.8,24.0,0.918,133.8
SITE-0006,2.93,49.1,154.5,16.3,0.971,51.8
SITE-0007,9.13,46.4,180.2,0.9,0.989,220.3
SITE-0008,5.46,48.5,225.0,27.1,0.905,128.2
SITE-0009,12.73,95.0,223.1,3.1,0.826,140.2
SITE-0010,8.7,24.5,273.5,2.8,0.91,359.1
SITE-0011,13.89,36.0,93.4,22.5,0.943,163.9
SITE-0012,2.4,74.5,77.7,1.5,0.879,12.3
SITE-0013,3.11,85.1,73.7,4.3,0.87,12.2
SITE-0014,7.42,94.9,121.2,17.9,0.901,46.7
SITE-0015,5.71,45.7,32.2,2.1,0.84,26.5
SITE-0016,10.35,43.5,171.5,18.8,0.832,184.2
SITE-0017,7.06,13.0,81.4,14.5,0.859,89.7
SITE-0018,2.12,94.7,109.3,22.7,0.905,12.9
SITE-0019,12.6,23.1,22.1,3.9,0.87,36.6
SITE-0020,11.25,2.8,257.5,6.8,0.967,534.6
SITE-0021,12.33,72.6,147.3,2.4,0.97,174.3
SITE-0022,8.57,59.5,261.0,13.9,0.972,228.6
SITE-0023,3.93,37.1,244.0,24.4,0.937,116.8
SITE-0024,11.89,82.9,72.6,12.9,0.94,59.6
SITE-0025,3.3,64.7,104.5,20.3,0.966,28.0
SITE-0026,1.9,4.0,292.3,12.6,0.983,100.7
SITE-0027,10.94,38.8,280.0,15.8,0.973,396.9
SITE-0028,9.53,86.4,236.0,20.4,0.931,146.9
SITE-0029,5.72,75.4,236.4,8.6,0.881,106.9
SITE-0030,4.79,81.4,118.1,22.5,0.903,39.3
SITE-0031,6.58,74.8,238.9,10.4,0.826,112.4
SITE-0032,6.13,83.0,27.1,22.2,0.874,13.5
SITE-0033,3.17,4.3,220.2,4.9,0.828,116.2
