ticket_id,jobs_ahead,estimated_repair_minutes,technicians_on_shift,parts_ready,priority_level,misses_48h
RQ-0001,6,309,4,True,2,0
RQ-0002,23,64,7,True,1,0
RQ-0003,17,251,6,False,1,0
RQ-0004,3,57,6,True,1,0
RQ-0005,5,243,4,False,2,0
RQ-0006,30,348,7,False,3,1
RQ-0007,8,216,6,True,2,0
RQ-0008,8,105,8,False,2,0
RQ-0009,25,247,8,True,1,0
RQ-0010,28,201,6,True,2,0
RQ-0011,19,126,5,False,3,1
RQ-0012,10,139,6,False,2,0
RQ-0013,19,169,4,False,2,1
RQ-0014,15,196,7,False,1,0
RQ-0015,25,336,6,True,2,0
RQ-0016,30,50,5,True,2,0
RQ-0017,24,282,1,True,2,1
RQ-0018,5,77,3,True,1,0
RQ-0019,7,182,6,True,2,0
RQ-0020,16,101,8,False,3,0
RQ-0021,19,268,1,False,2,1
RQ-0022,5,246,6,True,3,0
RQ-0023,2,106,5,False,3,0
RQ-0024,27,330,7,True,2,0
RQ-0025,5,82,3,False,3,0
RQ-0026,6,300,3,True,2,0
RQ-0027,8,201,4,False,1,0
RQ-0028,18,99,4,False,3,0
RQ-0029,3,340,6,True,1,1
RQ-0030,28,64,7,False,1,1
RQ-0031,15,155,8,True,2,0
RQ-0032,22,206,1,False,2,1
RQ-0033,23,253,3,True,1,1
RQ-0034,8,325,2,False,1,1
RQ-0035,24,66,4,False,3,0
RQ-0036,6,334,4,False,1,1
RQ-0037,17,223,3,True,1,0
RQ-0038,6,144,4,True,1,1
RQ-0039,30,306,5,False,3,1
RQ-0040,0,191,4,False,1,0
RQ-0041,7,73,3,True,1,0
RQ-0042,26,120,5,True,1,0
RQ-0043,6,144,6,False,3,0
RQ-0044,22,178,1,False,3,1
RQ-0045,24,214,4,True,3,0
RQ-0046,11,314,6,False,1,1
RQ-0047,2,15,4,False,1,0
RQ-0048,25,267,5,True,1,0
RQ-0049,19,96,8,False,2,0
RQ-0050,12,200,5,False,1,0
RQ-0051,27,249,5,False,1,0
RQ-0052,27,201,6,True,1,0
RQ-0053,14,54,5,False,2,1
RQ-0054,3,292,2,True,2,0
RQ-0055,19,136,5,False,2,0
RQ-0056,14,266,7,False,1,1
RQ-0057,1,313,7,False,1,0
RQ-0058,22,314,4,True,3,1
RQ-0059,18,122,4,False,3,0
RQ-0060,23,261,3,True,2,1
RQ-0061,4,15,5,True,1,0
RQ-0062,21,37,2,True,1,0
RQ-0063,24,290,3,True,1,1
RQ-0064,19,88,7,True,2,0
RQ-0065,30,207,7,False,2,0
RQ-0066,13,346,1,True,2,1
RQ-0067,11,150,5,True,2,0
RQ-0068,29,302,7,True,2,1
RQ-0069,6,240,4,True,3,0
RQ-0070,10,309,2,False,3,0
RQ-0071,12,227,5,True,3,0
RQ-0072,16,241,5,True,2,1
RQ-0073,16,39,4,False,2,0
RQ-0074,22,280,3,True,1,0
