date,requests
2025-01-06,87
2025-01-07,86
2025-01-08,76
2025-01-09,74
2025-01-10,71
2025-01-11,50
2025-01-12,60
2025-01-13,88
2025-01-14,80
2025-01-15,82
2025-01-16,69
2025-01-17,66
2025-01-18,54
2025-01-19,64
2025-01-20,95
2025-01-21,85
2025-01-22,85
2025-01-23,73
2025-01-24,66
2025-01-25,60
2025-01-26,61
2025-01-27,94
2025-01-28,83
2025-01-29,82
2025-01-30,78
2025-01-31,69
2025-02-01,61
2025-02-02,62
2025-02-03,99
2025-02-04,86
2025-02-05,83
2025-02-06,81
2025-02-07,70
2025-02-08,59
2025-02-09,59
2025-02-10,94
2025-02-11,93
2025-02-12,85
2025-02-13,80
2025-02-14,76
2025-02-15,63
2025-02-16,68
2025-02-17,99
2025-02-18,95
2025-02-19,85
2025-02-20,111
2025-02-21,77
2025-02-22,62
2025-02-23,66
2025-02-24,90
2025-02-25,90
2025-02-26,83
2025-02-27,78
2025-02-28,80
2025-03-01,67
2025-03-02,69
2025-03-03,96
2025-03-04,94
2025-03-05,81
2025-03-06,81
2025-03-07,78
2025-03-08,64
2025-03-09,66
2025-03-10,103
2025-03-11,87
2025-03-12,88
2025-03-13,81
2025-03-14,79
2025-03-15,70
2025-03-16,72
2025-03-17,102
2025-03-18,102
2025-03-19,89
2025-03-20,86
2025-03-21,84
2025-03-22,65
2025-03-23,68
2025-03-24,105
2025-03-25,91
2025-03-26,88
2025-03-27,80
2025-03-28,89
2025-03-29,67
2025-03-30,72
2025-03-31,99
2025-04-01,103
2025-04-02,87
2025-04-03,86
2025-04-04,91
2025-04-05,72
2025-04-06,70
2025-04-07,109
2025-04-08,98
2025-04-09,92
2025-04-10,86
2025-04-11,81
2025-04-12,68
2025-04-13,70
2025-04-14,104
2025-04-15,99
2025-04-16,93
2025-04-17,89
2025-04-18,85
2025-04-19,109
2025-04-20,76
2025-04-21,108
2025-04-22,105
2025-04-23,93
2025-04-24,98
2025-04-25,87
2025-04-26,74
2025-04-27,78
2025-04-28,106
2025-04-29,103
2025-04-30,98
2025-05-01,93
2025-05-02,89
2025-05-03,69
2025-05-04,82
2025-05-05,109
2025-05-06,94
2025-05-07,102
2025-05-08,95
2025-05-09,90
2025-05-10,74
2025-05-11,76
2025-05-12,112
2025-05-13,111
2025-05-14,100
2025-05-15,97
2025-05-16,90
2025-05-17,72
2025-05-18,78
2025-05-19,111
2025-05-20,106
2025-05-21,100
2025-05-22,95
2025-05-23,86
2025-05-24,72
2025-05-25,76
2025-05-26,105
2025-05-27,102
2025-05-28,103
2025-05-29,95
2025-05-30,88
2025-05-31,73
2025-06-01,115
2025-06-02,114
2025-06-03,107
2025-06-04,102
2025-06-05,96
2025-06-06,93
2025-06-07,75
2025-06-08,80
2025-06-09,114
2025-06-10,102
2025-06-11,100
2025-06-12,97
2025-06-13,101
2025-06-14,82
2025-06-15,84
2025-06-16,119
2025-06-17,109
2025-06-18,109
2025-06-19,97
2025-06-20,92
2025-06-21,82
2025-06-22,82
