reading_id,outside_temp_c,hour,door_open_minutes,pallet_load_kg,humidity_pct,compressor_age_months,cooling_energy_kwh
CS-0001,26.4,2,0.9,549.0,73.5,2,47.5
CS-0002,23.6,13,6.9,,69.5,25,50.29
CS-0003,7.5,17,9.9,588.5,49.4,32,39.78
CS-0004,27.6,13,2.2,923.5,69.9,40,55.96
CS-0005,25.6,5,1.9,383.0,40.3,34,41.37
CS-0006,27.3,1,,1352.9,62.0,54,61.4
CS-0007,23.5,14,5.7,691.6,76.0,71,59.26
CS-0008,20.1,3,9.1,471.4,30.0,80,55.15
CS-0009,16.5,19,3.2,436.0,48.9,90,50.44
CS-0010,5.9,6,5.8,1416.5,70.3,42,39.49
CS-0011,22.9,22,1.8,715.9,41.5,99,50.65
CS-0012,19.3,19,,833.6,46.0,113,65.41
CS-0013,38.2,13,,688.6,66.7,13,71.69
CS-0014,22.9,22,0.4,436.7,64.1,73,47.77
CS-0015,32.1,1,,351.5,62.9,44,64.63
CS-0016,30.8,16,,397.1,65.3,56,65.15
CS-0017,13.5,1,5.8,1150.5,,83,45.14
CS-0018,17.9,11,4.2,604.8,72.3,106,53.39
CS-0019,28.1,4,1.8,853.5,52.2,92,54.05
CS-0020,25.1,7,1.3,820.0,52.8,58,50.68
CS-0021,37.4,2,4.3,1820.5,58.1,102,69.19
CS-0022,32.1,8,,1063.6,58.2,80,75.44
CS-0023,21.1,14,3.6,,55.3,33,48.21
CS-0024,24.0,13,16.4,481.5,75.3,47,63.67
CS-0025,38.6,3,3.1,,83.1,29,66.01
CS-0026,25.8,13,4.0,848.9,,20,53.23
CS-0027,28.3,6,4.0,267.0,57.4,13,50.87
CS-0028,19.7,12,,534.5,50.3,115,67.47
CS-0029,15.4,9,,283.3,51.1,94,62.74
CS-0030,22.5,19,1.3,1223.8,52.7,107,53.46
CS-0031,34.6,14,,246.8,61.9,66,78.28
CS-0032,24.4,2,2.0,1444.2,87.7,93,53.76
CS-0033,22.3,10,2.3,283.2,78.3,55,49.38
CS-0034,39.4,17,3.1,1227.8,68.9,20,66.06
CS-0035,22.2,13,2.8,157.7,53.3,95,56.79
CS-0036,30.2,5,4.9,406.1,52.1,88,55.56
CS-0037,17.4,17,,553.0,56.4,104,58.69
CS-0038,20.2,17,4.0,668.2,48.2,95,51.34
CS-0039,22.1,2,1.3,693.8,59.3,118,49.68
CS-0040,23.0,3,9.6,337.0,,13,47.94
CS-0041,20.9,14,5.4,766.3,34.1,38,52.31
CS-0042,27.0,7,4.9,858.8,,55,58.4
CS-0043,18.0,10,8.4,1030.9,72.4,30,54.3
CS-0044,22.5,23,4.7,102.9,57.8,7,42.42
CS-0045,31.3,14,8.0,,73.5,47,57.59
CS-0046,25.3,17,5.4,838.1,61.9,56,59.76
CS-0047,16.8,11,,280.8,37.7,87,55.62
CS-0048,23.4,21,4.8,,42.5,9,44.31
CS-0049,26.6,0,2.8,1161.1,56.8,69,53.2
CS-0050,14.9,1,,669.3,50.9,61,48.54
CS-0051,19.2,13,2.1,1222.7,51.5,32,51.6
CS-0052,15.5,14,9.6,934.2,70.4,28,51.37
CS-0053,27.5,19,9.3,423.9,54.1,23,54.32
CS-0054,23.4,1,3.1,522.1,42.3,69,49.08
CS-0055,13.8,8,7.3,423.1,52.7,105,45.44
CS-0056,34.2,20,,,42.7,100,72.81
CS-0057,18.7,7,3.6,582.1,55.9,65,47.06
CS-0058,28.1,0,3.4,670.4,51.7,46,52.92
CS-0059,32.9,19,10.6,,68.0,115,71.01
CS-0060,5.5,10,1.8,195.5,60.0,83,39.35
CS-0061,14.8,18,5.0,1321.6,78.8,29,44.67
CS-0062,9.2,13,12.2,667.1,,40,49.23
CS-0063,28.3,18,10.6,628.0,69.2,24,58.6
CS-0064,12.7,17,4.8,339.1,,57,43.64
CS-0065,34.1,3,10.5,901.3,63.4,116,72.32
CS-0066,41.5,8,16.7,724.8,79.9,5,70.92
CS-0067,19.0,22,3.6,970.0,65.4,13,47.11
CS-0068,15.9,15,7.2,673.2,,10,43.83
CS-0069,40.1,10,2.7,659.6,92.0,115,76.43
CS-0070,36.4,4,3.4,382.7,83.8,99,65.41
CS-0071,18.7,8,4.1,610.1,64.2,16,45.03
CS-0072,31.5,3,,781.9,65.7,91,70.92
CS-0073,29.4,20,6.8,1073.5,57.9,7,54.62
CS-0074,16.9,6,5.3,427.2,60.8,70,39.94
CS-0075,18.9,7,5.0,418.9,75.5,91,53.64
CS-0076,27.2,13,1.6,472.5,79.8,72,60.93
CS-0077,27.1,0,5.4,570.0,48.4,120,59.64
CS-0078,43.0,2,6.1,1048.2,54.3,119,76.08
CS-0079,22.1,4,7.7,826.2,78.6,35,53.8
CS-0080,22.2,23,9.3,321.2,,65,58.18
CS-0081,16.5,6,9.0,270.5,,100,51.1
CS-0082,18.9,10,4.8,601.4,74.1,4,45.42
CS-0083,24.2,20,4.5,294.2,42.8,77,51.09
CS-0084,22.1,8,6.2,,58.2,119,60.39
CS-0085,25.8,14,17.4,693.6,44.5,63,61.78
CS-0086,31.8,0,7.3,483.5,58.1,96,63.31
CS-0087,22.8,10,1.0,1100.2,,12,49.21
CS-0088,16.7,19,10.7,641.2,54.4,111,56.02
CS-0089,19.5,14,6.5,891.6,46.2,78,57.76
CS-0090,17.9,15,1.8,547.3,69.0,25,45.77
CS-0091,22.9,0,3.2,1033.7,61.1,82,47.99
CS-0092,14.1,0,0.5,,62.0,64,39.58
CS-0093,26.5,19,3.2,,52.7,65,54.63
CS-0094,26.8,15,5.8,808.8,57.7,39,55.35
