order_id,data_split,review_status,item_count,fragile_item_count,aisle_distance_m,pickers_available,conveyor_load_pct,pick_minutes
PICK-0001,training,routine log,20,2,863.7,5,61.0,28.21
PICK-0002,training,routine log,63,21,772.0,2,66.6,43.53
PICK-0003,training,routine log,46,6,511.2,4,51.7,26.56
PICK-0004,training,routine log,13,2,579.9,3,48.8,21.01
PICK-0005,training,routine log,18,2,692.3,3,19.4,23.02
PICK-0006,training,routine log,80,3,794.9,2,90.5,51.74
PICK-0007,training,routine log,25,4,643.4,3,26.6,27.62
PICK-0008,training,routine log,24,7,573.2,6,74.4,27.29
PICK-0009,training,routine log,67,1,108.7,4,40.9,1.0
PICK-0010,training,routine log,75,17,899.7,6,34.9,37.28
PICK-0011,training,routine log,52,12,117.1,3,44.8,24.64
PICK-0012,training,routine log,29,6,696.2,6,87.5,35.45
PICK-0013,training,routine log,51,8,151.6,4,88.3,29.65
PICK-0014,training,routine log,41,4,315.8,3,37.9,24.81
PICK-0015,training,routine log,67,20,659.1,1,40.3,40.06
PICK-0016,training,routine log,79,14,286.8,2,36.9,30.92
PICK-0017,training,routine log,64,6,280.0,3,28.1,31.77
PICK-0018,training,routine log,16,3,771.6,5,83.5,29.54
PICK-0019,training,routine log,21,4,677.9,2,39.3,26.94
PICK-0020,training,routine log,44,5,534.3,1,27.7,34.46
PICK-0021,training,routine log,52,3,792.5,6,65.7,35.31
PICK-0022,training,routine log,17,2,808.8,2,73.4,33.53
PICK-0023,training,routine log,10,0,363.7,3,86.1,28.93
PICK-0024,training,routine log,72,15,729.9,5,41.5,36.53
PICK-0025,training,routine log,17,2,175.3,6,89.2,22.9
PICK-0026,training,routine log,19,2,472.2,5,33.3,19.49
PICK-0027,training,routine log,24,1,828.3,3,37.6,25.55
PICK-0028,training,routine log,49,3,613.2,4,89.4,37.71
PICK-0029,training,routine log,12,3,734.3,3,36.2,24.84
PICK-0030,training,routine log,75,4,680.8,3,75.8,38.39
PICK-0031,training,routine log,43,6,645.1,6,58.1,29.57
PICK-0032,training,routine log,59,8,861.0,6,63.6,39.05
PICK-0033,training,routine log,63,16,879.7,5,49.9,36.28
PICK-0034,training,routine log,25,2,454.0,5,26.8,21.99
PICK-0035,training,routine log,64,11,241.4,5,34.2,26.16
