TITLE,AUTHOR,GENRE,PRICE,RATING,YEAR,STOCK
The Hidden Signal,Iris Brandt,Mystery,32.5,3,1999,259
The Pale Lantern,Priya Nakamura,Self-Help,24.12,3,2015,217
The Distant Current,Hugo Halloran,Cookbook,46.67,2,2010,25
The Hollow Lantern,Cyrus Esposito,History,17.67,5,2001,292
The Last Almanac,Diego Dvorak,Cookbook,32.95,4,2015,32
The Sunlit Lantern,Felix Garza,Poetry,60.07,5,2012,299
The Gentle Station,Soren Halloran,Science Fiction,13.48,4,2007,268
The Crimson Garden,Rosa Jovanovic,Cookbook,15.91,3,2011,84
The Crimson Mirror,Omar Castellano,Travel,30.79,4,2009,254
The Sunlit Thicket,Priya Castellano,History,54.7,5,2000,31
The Last Current,Rosa Jovanovic,Self-Help,9.51,4,2012,181
The Endless Field,Hugo Pulaski,Literary Fiction,59.47,4,2002,126
The Silver Cipher,Anton Castellano,Science Fiction,34.91,5,2006,70
The Restless Almanac,Yara Nakamura,Biography,72.17,5,2002,42
The Endless Signal,Theo Halloran,Literary Fiction,63.68,5,2003,134
The Last River,Mara Nakamura,Travel,48.86,4,2008,64
The Open Field,Omar Okonkwo,Travel,34.67,5,2010,53
The Crimson Cipher,Omar Garza,Mystery,37.52,4,2001,174
The Salt Lantern,Hugo Adeyemi,Cookbook,43.95,3,2009,13
The Golden Orchard,Felix Moreau,Science Fiction,72.02,4,2017,186
The Crimson Meadow,Hugo Pulaski,Poetry,40.42,5,2000,73
The Broken Garden,Yara Pulaski,Science Fiction,21.75,2,2014,185
The Northern Almanac,Lena Renner,History,54.65,3,2006,265
The Wild Archive,Kwame Halloran,Travel,50.64,4,2017,99
The Hollow Cipher,Theo Garza,Travel,31.82,5,1998,14
The Bright Anchor,Yara Garza,Cookbook,37.96,4,2021,178
The Wild Harbor,Theo Dvorak,Fantasy,21.18,5,2004,247
The Salt Field,Lena Pulaski,Biography,63.92,3,2001,198
The Pale Anchor,Diego Nakamura,Biography,61.66,3,2021,202
The Gentle Cipher,Priya Fenwick,Science Fiction,9.85,3,2016,238
The Northern Field,Felix Pulaski,Biography,44.76,3,2002,10
The Quiet Meadow,Vera Esposito,Self-Help,63.35,4,2004,14
The Bright Orchard,Soren Renner,Fantasy,25.38,4,2011,67
The Distant Station,Rosa Tran,Travel,63.42,5,2014,66
The Frozen Signal,Vera Renner,Literary Fiction,60.03,5,2017,2
The Northern Archive,Mara Pulaski,Cookbook,45.28,3,2008,265
The Open Almanac,Anton Dvorak,Travel,24.65,2,2006,21
The Broken Beacon,Rosa Sato,Literary Fiction,37.7,3,2017,258
The Salt Beacon,Nina Ibsen,Poetry,42.02,5,2005,267
The Bright Almanac,Nina Okonkwo,Science Fiction,16.15,5,2012,161
The Golden Compass,Milo Castellano,Fantasy,60.52,4,2022,79
The Wild Signal,Yara Esposito,Poetry,58.03,4,2001,203
The Crimson Archive,Theo Fenwick,Self-Help,30.72,5,2004,182
The Hidden Harbor,Kwame Adeyemi,Biography,37.51,5,1998,196
The Hidden Beacon,Felix Jovanovic,Travel,15.56,3,2023,117
The Broken Harbor,Yara Ibsen,Literary Fiction,26.12,3,2002,216
The Bright Cipher,Mara Sato,Travel,54.93,5,2000,142
The Distant Archive,Milo Castellano,History,50.51,2,2023,133
The Golden Field,Theo Castellano,History,38.4,3,2008,283
The Restless Tide,Felix Esposito,Literary Fiction,70.85,4,2003,134
The Pale Ledger,Soren Renner,Fantasy,37.86,4,2019,91
The Bright Station,Lena Ibsen,Literary Fiction,9.24,2,2014,282
The Pale Beacon,Anton Halloran,Poetry,52.11,3,2018,221
The Crimson Almanac,Iris Renner,History,73.82,4,2008,101
The Northern Cipher,Kwame Brandt,Science Fiction,12.74,2,2021,130
The Restless Archive,Omar Castellano,Self-Help,48.12,4,2020,150
The Distant Thicket,Diego Fenwick,History,8.24,5,2009,168
The Frozen Garden,Theo Brandt,History,31.89,4,1998,171
The Silver Harbor,Anton Ibsen,Travel,24.63,4,2022,2
The Golden Tide,Priya Esposito,Self-Help,34.4,2,2007,155
The Hollow Harbor,Greta Renner,Science Fiction,59.21,5,2021,253
The Northern Ledger,Felix Esposito,Literary Fiction,57.17,5,2023,258
The Northern Beacon,Vera Tran,Literary Fiction,13.7,4,1999,68
The Wild Meadow,Iris Okonkwo,Travel,50.06,2,2018,272
The Hollow Anchor,Yara Adeyemi,Poetry,58.13,3,2014,274
The Golden Beacon,Priya Pulaski,History,64.69,3,2005,105
The Hollow Thicket,Anton Moreau,Mystery,69.0,5,2007,23
The Salt Orchard,Priya Vargas,Science Fiction,25.01,4,2021,155
