title,price,currency,total_reviews,avg_rating,genre
Desert Echoes,0.0,USD,1755144,4.4,Productivity
Shattered Wings,1.99,USD,1744492,4.1,Health & Fitness
Moon Over Pine,29.99,USD,1084834,4.0,Games
Moon Over Pine,3.99,USD,687925,4.0,Health & Fitness
Silent Creek,24.99,USD,1079796,4.3,Music
Cinder & Ash,7.99,USD,1897498,4.0,Productivity
Autumn Rain,10.0,USD,782738,4.2,Productivity
Valley of Roses,0.99,USD,394502,4.6,Games
Silver Steps,10.0,USD,1466105,4.4,Games
Dawn Chorus,24.99,USD,461779,4.6,Games
Whispered Roots,7.99,USD,1939387,4.5,Health & Fitness
Silent Creek,0.99,USD,296100,4.3,Social Networking
Moon Over Pine,3.99,USD,411815,4.6,Social Networking
Dawn Chorus,10.0,USD,541110,4.5,Social Networking
Silent Creek,7.99,USD,1671823,4.1,Health & Fitness
Crimson Snow,24.99,USD,1729089,4.3,Productivity
Dawn Chorus,14.99,USD,766121,4.3,Social Networking
Berry Tales,3.99,USD,1923444,4.0,Social Networking
Glass Meadows,7.99,USD,338807,4.3,Health & Fitness
Valley of Roses,3.99,USD,1574554,4.7,Music
Dawn Chorus,1.99,USD,755493,4.2,Productivity
Whispered Roots,24.99,USD,751009,4.6,Health & Fitness
Glass Meadows,10.0,USD,659948,4.2,Health & Fitness
Wreath of Ivy,0.99,USD,1784990,4.0,Games
Golden Harvest,1.99,USD,1861110,4.6,Health & Fitness
Moon Over Pine,14.99,USD,1000313,4.7,Health & Fitness
Fading Embers,24.99,USD,224077,4.1,Health & Fitness
Fading Embers,10.0,USD,433941,4.4,Music
Crimson Snow,19.99,USD,206805,4.4,Health & Fitness
Crimson Snow,24.99,USD,423159,4.4,Health & Fitness
Painted Grove,3.99,USD,520527,4.5,Productivity
Whispered Roots,24.99,USD,201199,4.5,Music
Whispering Leaves,0.99,USD,961225,4.4,Productivity
Berry Tales,3.99,USD,1389833,4.1,Games
Wreath of Ivy,0.99,USD,1795098,4.2,Productivity
Wreath of Ivy,24.99,USD,546296,4.4,Health & Fitness
Painted Grove,14.99,USD,644173,4.3,Social Networking
Glass Meadows,10.0,USD,1118762,4.7,Games
Shattered Wings,3.99,USD,334272,4.5,Games
Cinder & Ash,24.99,USD,682585,4.3,Games
Moon Over Pine,0.0,USD,680125,4.1,Games
Valley of Roses,0.99,USD,1278263,4.3,Social Networking
Wreath of Ivy,3.99,USD,1330855,4.2,Health & Fitness
Cinder & Ash,19.99,USD,709602,4.7,Music
Silent Creek,0.99,USD,403278,4.6,Social Networking
Autumn Rain,14.99,USD,1179421,4.0,Games
Berry Tales,14.99,USD,1727174,4.5,Games
Shattered Wings,3.99,USD,598896,4.7,Productivity
Autumn Rain,1.99,USD,784151,4.7,Productivity
Moon Over Pine,19.99,USD,1894545,4.1,Games
Whispered Roots,0.0,USD,395586,4.3,Productivity
Autumn Rain,19.99,USD,1209481,4.3,Music
Berry Tales,1.99,USD,994764,4.0,Music
Fading Embers,19.99,USD,798210,4.6,Health & Fitness
Wreath of Ivy,1.99,USD,598244,4.4,Productivity
Berry Tales,29.99,USD,1742952,4.0,Social Networking
Berry Tales,0.0,USD,1425109,4.7,Health & Fitness
Marble Sands,1.99,USD,319285,4.1,Productivity
Moon Over Pine,29.99,USD,342524,4.3,Music
Desert Echoes,29.99,USD,716351,4.0,Health & Fitness
