Date,IPOName,Issue_Size,Subscription_QIB,Subscription_HNI,Subscription_RII,Subscription_Total,Issue_Price,Listing_Gains_Percent,Listing_Gains
03/02/10,Infinite Comp,189.8,48.44,106.02,11.08,43.22,165,11.82,1
08/02/10,Jubilant Food,328.7,59.39,51.95,3.79,31.11,145,-84.21,0
15/02/10,Syncom Health,56.25,0.99,16.6,6.25,5.17,75,17.13,1
15/02/10,Vascon Engineer,199.8,1.12,3.65,0.62,1.22,165,-11.28,0
19/02/10,Thangamayil,0.0,0.52,1.52,2.26,1.12,75,-5.2,0
23/02/10,Aqua Logistics,150.0,0.26,5.07,3.0,1.94,220,-88.88,0
24/02/10,DB Realty,1500.0,1.35,1.21,0.01,0.85,468,-2.69,0
24/02/10,Emmbi Ind,43.08,0.43,5.55,0.46,1.2,45,-36.33,0
25/02/10,Hathway Cable,735.4,1.43,4.29,0.28,1.36,240,-82.68,0
03/03/10,ARSS Infra,103.0,49.34,124.53,18.55,47.62,450,63.62,1
10/03/10,Texmo Pipes,45.0,1.02,30.5,7.26,7.48,90,52.5,1
11/03/10,Man Infra,142.0,96.06,104.57,10.26,62.53,252,-81.58,0
18/03/10,United Bank,330.0,47.08,39.15,9.8,33.38,66,4.24,1
29/03/10,DQ Entertain,128.38,93.86,272.88,19.45,86.33,80,35.69,1
30/03/10,ILandFS Trans,700.0,52.61,39.39,4.56,33.42,258,-1.67,0
05/04/10,Pradip Overseas,116.6,8.57,45.35,10.53,14.08,110,-18.83,0
06/04/10,Persistent,168.01,144.43,107.73,21.69,93.6,310,-34.19,0
09/04/10,Shree Ganesh,385.29,1.38,6.13,1.39,1.96,260,-37.21,0
12/04/10,Intrasoft Tech,53.65,21.97,21.6,13.51,18.95,145,9.9,1
16/04/10,Goenka Diamond,145.0,0.78,2.99,0.66,1.07,135,-90.53,0
10/05/10,Talwalkars Fitn,77.44,35.43,51.48,8.43,28.39,128,27.03,1
13/05/10,NEL HOLDINGS SO,405.0,2.54,0.22,0.16,1.16,54,-5.65,0
18/05/10,Tarapur Trans,63.75,0.03,5.08,2.74,1.74,75,-24.13,0
19/05/10,GB Global,107.9,7.97,10.52,2.81,6.32,130,2.81,1
20/05/10,SJVN,1079.0,9.03,3.39,3.12,6.64,26,-3.65,0
21/05/10,Jaypee Infra,1650.0,1.77,1.15,0.61,1.24,102,-10.49,0
01/07/10,Parabolic Drugs,200.0,1.48,1.2,0.4,1.04,75,-13.6,0
16/07/10,Technofab Engg,71.76,4.28,48.85,10.03,12.78,240,23.19,1
21/07/10,Hindustan Media,270.0,8.98,3.39,1.0,5.43,166,13.98,1
28/07/10,Shri Aster,53.1,0.01,12.46,7.41,4.47,118,68.73,1
16/08/10,Bharat Fin,1653.97,20.38,18.26,2.81,13.69,985,10.52,1
18/08/10,Bajaj Consumer,297.0,20.19,53.49,6.62,19.29,660,-77.02,0
25/08/10,Prakash Steelag,68.75,1.27,10.91,6.62,4.53,110,-82.91,0
09/09/10,Gujarat Pipavav,500.0,13.2,85.7,9.15,19.94,46,17.5,1
29/09/10,Indosolar,357.0,1.44,1.3,1.81,1.55,29,-18.28,0
01/10/10,Tirupati Inks,51.5,1.78,23.18,12.59,8.77,43,-14.77,0
05/10/10,Sasta Sundar,147.5,5.91,35.88,11.04,12.2,118,-6.02,0
06/10/10,Eros Intl,350.0,25.79,73.4,11.95,26.51,175,8.6,1
06/10/10,Career Point,115.0,47.45,101.93,31.74,47.39,310,103.98,1
08/10/10,Orient Green,900.0,2.09,0.64,0.18,1.07,47,-4.47,0
08/10/10,Ramky Infra,530.0,4.52,1.45,0.99,2.89,450,-13.92,0
08/10/10,Electrosteel St,0.0,5.86,28.58,6.19,8.23,11,2.27,1
12/10/10,Cantabil Retail,105.0,1.71,3.83,2.63,2.35,135,-22.41,0
12/10/10,Tecpro Systems,268.03,27.99,62.48,9.07,24.47,355,14.89,1
13/10/10,Va Tech Wabag,472.6,36.13,100.98,8.55,36.22,1310,-73.9,0
14/10/10,Sea TV Network,50.2,1.66,40.94,7.45,9.58,100,6.0,1
14/10/10,Ashoka Buildcon,225.0,25.52,13.91,3.46,15.94,324,-77.37,0
14/10/10,Bedmutha Ind,91.8,0.67,29.19,8.51,7.69,102,77.25,1
18/10/10,Jupiter Wagons,172.41,3.68,0.34,0.38,2.07,127,-11.61,0
20/10/10,Oberoi Realty,1028.61,22.15,3.61,0.94,12.13,260,8.83,1
27/10/10,BS Limited,197.36,0.52,3.16,1.04,1.1,248,-92.37,0
27/10/10,Gyscoal Alloys,54.67,1.54,33.44,8.0,8.59,71,-88.51,0
27/10/10,Prestige Estate,1200.0,4.32,0.24,0.08,2.26,183,5.22,1
04/11/10,Coal India,15475.0,24.7,25.4,2.31,15.28,245,39.73,1
16/11/10,Gravita India,45.0,6.04,182.52,37.34,42.88,125,-66.34,0
06/12/10,RPP Infra Proj,48.75,0.16,7.27,5.6,2.97,75,-30.67,0
15/12/10,MOIL,1260.0,0.0,0.0,0.0,0.0,375,-37.8,0
20/12/10,Claris Life,300.0,1.31,2.03,1.6,1.5,228,-9.71,0
23/12/10,A2Z Infra Eng,675.0,0.7,4.25,0.33,0.96,400,-17.78,0
30/12/10,Punjab & Sind,480.0,49.8,22.91,8.38,47.2,120,5.87,1
20/01/11,C Mahendra Expo,165.0,1.02,3.92,4.82,2.78,110,-49.61,0
10/02/11,Omkar Special,79.38,0.82,5.27,9.9,4.67,98,-52.86,0
10/03/11,Acropetal Tech,170.0,1.12,2.0,1.21,1.28,90,9.39,1
11/03/11,Fineotex Chem,30.32,0.0,0.22,4.38,1.57,70,-79.87,0
11/03/11,Sudar Ind,69.98,0.17,4.47,2.27,1.55,77,46.88,1
24/03/11,Lovable Lingeri,93.28,21.87,99.87,20.84,35.21,205,21.56,1
30/03/11,PTC India Fin,438.76,2.85,0.22,1.18,1.7,28,-11.07,0
08/04/11,Shilpi Cable,55.88,1.04,6.39,5.74,3.48,69,-65.51,0
06/05/11,Muthoot Finance,901.25,25.01,60.94,8.5,24.55,175,0.71,1
09/05/11,Paramount Print,45.83,0.33,3.28,9.31,3.92,35,-23.86,0
10/05/11,Future Consumer,750.0,0.26,7.81,0.61,1.52,10,-17.0,0
