tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
2023-12-31 23:56:46,2024-01-01 00:12:06,2.0,2.38,236,142,1,15.6,1.0,21.6
2023-12-31 23:58:35,2024-01-01 00:13:06,6.0,8.39,138,217,2,33.1,0.0,42.35
2024-01-01 00:00:17,2024-01-01 00:07:46,1.0,2.35,161,75,1,12.1,3.42,20.52
2024-01-01 00:01:39,2024-01-01 01:02:53,1.0,2.59,161,246,2,47.1,0.0,52.1
2024-01-01 00:02:21,2024-01-01 00:18:59,,6.4,48,116,0,28.9,5.09,38.99
2024-01-01 00:02:28,2024-01-01 00:19:21,2.0,4.28,234,65,1,21.2,3.0,29.2
2024-01-01 00:02:35,2024-01-01 00:10:55,1.0,1.36,90,79,1,10.0,3.0,18.0
2024-01-01 00:02:51,2024-01-01 00:21:55,2.0,2.6,249,68,1,18.4,1.0,24.4
2024-01-01 00:03:21,2024-01-01 00:27:51,1.0,2.96,68,143,1,23.3,7.08,35.38
2024-01-01 00:03:31,2024-01-01 00:04:29,1.0,0.0,264,264,1,100.0,0.0,101.0
2024-01-01 00:03:37,2024-01-01 00:22:03,1.0,4.0,234,145,1,21.9,5.35,32.25
2024-01-01 00:03:39,2024-01-01 00:15:05,1.0,2.97,161,238,1,14.9,6.0,25.9
2024-01-01 00:04:22,2024-01-01 00:07:33,1.0,0.85,263,141,1,5.8,2.16,12.96
2024-01-01 00:04:24,2024-01-01 00:20:10,1.0,3.32,263,233,1,17.7,1.0,23.7
2024-01-01 00:04:58,2024-01-01 00:39:03,1.0,5.02,114,246,1,34.5,3.8,43.3
2024-01-01 00:05:00,2024-01-01 00:06:39,1.0,0.52,249,125,1,4.4,2.82,12.22
2024-01-01 00:05:14,2024-01-01 00:13:36,1.0,1.44,90,79,1,10.0,3.75,18.75
2024-01-01 00:05:40,2024-01-01 00:14:17,2.0,2.4,79,229,2,12.8,0.0,17.8
2024-01-01 00:05:42,2024-01-01 00:18:02,3.0,2.19,79,170,1,14.2,3.84,23.04
2024-01-01 00:06:19,2024-01-01 00:21:33,2.0,3.49,162,148,1,19.8,2.0,26.8
2024-01-01 00:06:33,2024-01-01 00:11:59,1.0,1.04,43,237,1,7.9,0.0,12.9
2024-01-01 00:06:49,2024-01-01 00:12:10,1.0,1.2,263,75,1,7.2,3.05,15.25
2024-01-01 00:06:54,2024-01-01 00:23:30,1.0,3.5,114,255,1,19.8,2.0,26.8
2024-01-01 00:07:19,2024-01-01 00:15:08,2.0,1.14,161,237,2,9.3,0.0,14.3
2024-01-01 00:07:24,2024-01-01 00:39:14,2.0,3.0,163,68,1,26.8,6.36,38.16
2024-01-01 00:08:05,2024-01-01 00:17:35,1.0,2.2,142,75,1,11.4,4.1,20.5
2024-01-01 00:08:06,2024-01-01 00:17:39,2.0,1.78,24,239,1,12.1,3.42,20.52
2024-01-01 00:08:09,2024-01-01 00:28:27,1.0,4.3,144,140,1,21.2,5.25,31.45
2024-01-01 00:08:27,2024-01-01 00:11:53,3.0,0.6,18,18,2,5.8,0.0,8.3
2024-01-01 00:08:33,2024-01-01 00:20:44,1.0,1.6,170,90,1,12.8,3.56,21.36
2024-01-01 00:08:35,2024-01-01 00:48:44,1.0,6.83,142,82,1,40.8,6.87,52.67
2024-01-01 00:08:47,2024-01-01 00:17:21,4.0,1.42,114,170,1,10.0,3.0,18.0
2024-01-01 00:08:49,2024-01-01 00:12:03,1.0,0.34,249,114,2,5.1,0.0,10.1
2024-01-01 00:08:51,2024-01-01 00:46:27,2.0,19.17,132,68,1,70.0,10.0,92.69
2024-01-01 00:08:57,2024-01-01 00:15:37,1.0,0.68,161,229,1,7.9,2.58,15.48
