Date,SP500
1950-01-01,16.88
1950-02-01,17.21
1950-03-01,17.35
1950-04-01,17.84
1950-05-01,18.44
1950-06-01,18.74
1950-07-01,17.38
1950-08-01,18.43
1950-09-01,19.08
1950-10-01,19.87
1950-11-01,19.83
1950-12-01,19.75
1951-01-01,21.21
1951-02-01,22.0
1951-03-01,21.63
1951-04-01,21.92
1951-05-01,21.93
1951-06-01,21.55
1951-07-01,21.93
1951-08-01,22.89
1951-09-01,23.48
1951-10-01,23.36
1951-11-01,22.71
1951-12-01,23.41
1952-01-01,24.19
1952-02-01,23.75
1952-03-01,23.81
1952-04-01,23.74
1952-05-01,23.73
1952-06-01,24.38
1952-07-01,25.08
1952-08-01,25.18
1952-09-01,24.78
1952-10-01,24.26
1952-11-01,25.03
1952-12-01,26.04
1953-01-01,26.18
1953-02-01,25.86
1953-03-01,25.99
1953-04-01,24.71
1953-05-01,24.84
1953-06-01,23.95
1953-07-01,24.29
1953-08-01,24.39
1953-09-01,23.27
1953-10-01,23.97
1953-11-01,24.5
1953-12-01,24.83
1954-01-01,25.46
1954-02-01,26.02
1954-03-01,26.57
1954-04-01,27.63
1954-05-01,28.73
1954-06-01,28.96
1954-07-01,30.13
1954-08-01,30.73
1954-09-01,31.45
1954-10-01,32.18
1954-11-01,33.44
1954-12-01,34.97
1955-01-01,35.6
1955-02-01,36.79
1955-03-01,36.5
1955-04-01,37.76
1955-05-01,37.6
1955-06-01,39.78
1955-07-01,42.69
1955-08-01,42.43
1955-09-01,44.34
1955-10-01,42.11
1955-11-01,44.95
1955-12-01,45.37
1956-01-01,44.15
1956-02-01,44.43
1956-03-01,47.49
1956-04-01,48.05
1956-05-01,46.54
1956-06-01,46.27
1956-07-01,48.78
1956-08-01,48.49
1956-09-01,46.84
1956-10-01,46.24
1956-11-01,45.76
1956-12-01,46.44
1957-01-01,45.43
1957-02-01,43.47
1957-03-01,44.03
1957-04-01,45.05
1957-05-01,46.78
1957-06-01,47.55
1957-07-01,48.51
1957-08-01,45.84
1957-09-01,43.98
1957-10-01,41.24
1957-11-01,40.35
1957-12-01,40.33
1958-01-01,41.12
1958-02-01,41.26
1958-03-01,42.11
1958-04-01,42.34
1958-05-01,43.7
1958-06-01,44.75
1958-07-01,45.98
1958-08-01,47.7
1958-09-01,48.96
1958-10-01,50.95
1958-11-01,52.5
1958-12-01,53.49
1959-01-01,55.62
1959-02-01,54.77
1959-03-01,56.16
1959-04-01,57.1
1959-05-01,57.96
1959-06-01,57.46
1959-07-01,59.74
1959-08-01,59.4
1959-09-01,57.05
1959-10-01,57.0
1959-11-01,57.23
1959-12-01,59.06
1960-01-01,58.03
1960-02-01,55.78
1960-03-01,55.02
1960-04-01,55.73
1960-05-01,55.22
1960-06-01,57.26
1960-07-01,55.84
1960-08-01,56.51
1960-09-01,54.81
1960-10-01,53.73
1960-11-01,55.47
1960-12-01,56.8
1961-01-01,59.72
1961-02-01,62.17
1961-03-01,64.12
1961-04-01,65.83
1961-05-01,66.5
1961-06-01,65.62
1961-07-01,65.44
1961-08-01,67.79
1961-09-01,67.26
1961-10-01,68.0
1961-11-01,71.08
1961-12-01,71.74
1962-01-01,69.07
1962-02-01,70.22
1962-03-01,70.29
1962-04-01,68.05
1962-05-01,62.99
1962-06-01,55.63
1962-07-01,56.97
1962-08-01,58.52
1962-09-01,58.0
1962-10-01,56.17
1962-11-01,60.04
1962-12-01,62.64
1963-01-01,65.06
1963-02-01,65.92
1963-03-01,65.67
1963-04-01,68.76
